"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,19,1.3,0.2755,0.1489,872.8,1320.6,32.5,49.8,0.0377,0.0383,0.0377,11.33,0.8,46.48,25.2,0,0,55,33.12,80,0.3923,0.3923,1269.6,1.3,0.93,23.3,15.93,0.98,0.15,14.5,1319.4,0.2744,3.99,15.46,0.14,0.1601,NA,0.0563,975.7,1166.7,0.1309,0.1157,25.1,0.0193,236.2,0.1815,0,1.34,3.1,0.0419,0.9,18.63,0.5623,1301.3,0.0339,0.0288,62.7,61.69,152.7,111424,1363.7,82.8,14.09,1363.7,1.35,1.29
"2",2010-12-31,18.9,0.98,0.339,0.14483922377426,912.2,1342.4,38.9,135.6,0.13231850117096,0.12566027244926,0.10101311084625,30.9232,0.8,61.723404255319,19.8,0,0,48.1,23.8807,67.9,0.50352,0.50352112676056,889.2,0.95499946300075,0.71113243761996,18.486486486486,13.095729013255,0.82402001668057,0.15,-26.1425,1024.8,0.25968414779499,2.3,19.947826086956,0.1555,0.17626527050611,NA,0.0052890345649583,931.1,870.3,0.17752499138228,0.15076112412178,14.1,0.013066444259105,194.8,0.18052080437401,0,0.95406709055032,4.1148936170213,0.044574182188861,0.80650542118432,50.0232,2.0947140965649,1079.1,0.025647823005048,0.015457136592852,64.4,45.88,154.5,142995,1250.4,20,43.515,1250.4,1.35,0.9607199775007
"3",2009-12-31,20,1.38,0.4729,0.011516946363935,901.2,1085.5,59.2,30.3,0.030984763268228,0.030699088145897,0.027913403961308,9.6585,0.74011418904631,12.450450450451,16.4,0.0188,18.1871,134.3,80.4712,150.7,0.40081,0.40092521202776,947.6,1.0751077830724,0.90221841378654,7.0558451228593,6.2879893828799,0.96008105369807,NA,28.0127,977.9,0.31220635651773,1.88,26.643617021277,-0.363,0.22598137451373,NA,0,881.4,967.4,0.010853835021708,0.010737294201861,77.7,0.078723404255319,150.6,0.15258358662614,0.23406846846847,1.0734576120728,NA,0.13606889564336,0.98014184397163,52.4585,0.65189198062501,987,0.09129931586113,0.086218375499334,69.9,50.09,10.5,149845,1050.3,37.5,25.797333333333,1050.3,1.4,1.0726116046945
"4",2008-12-31,20,NA,NA,0.05628068494791,788.1,1145.4,93.2,0.2,0.00022962112514351,0.00013260840737303,0.000174611489436,-56.5446,NA,NA,14.7,0,0,19.7,19.7,34.4,0,NA,870.8,1.0429991615762,0.80899293942772,44.203045685279,25.313953488372,0.57737700570216,0.02,-2.2554,871,0.25903614457831,1.68,24.77380952381,0.0293,0.45421184320267,0.9415,0,834.9,824,0.057038834951456,0.053960964408726,-30.7,-0.02035539053176,197.5,0.13095080228087,NA,1.0455525948484,NA,0.013061928126243,0.54634663837687,21.9554,1.1144895215798,1508.2,0.023595640196431,-0.038954447405152,73.1,41.62,47,183286,1076.4,-36.7,NA,1076.4,1.4,1.0429888636091
"5",2007-12-31,20.6,NA,NA,0.0056950010546298,942.8,1165.2,61.8,68.7,0.16502522219553,0.045663010967099,0.058959835221421,-5.6606,NA,4.0683168316832,11.9,0,0,168.4,93.2481,180.3,0.44627,NA,347.6,0.39522455940876,0.22539229671897,2.0641330166271,1.9278979478647,0.23104021269525,NA,49.0088,416.3,0.19112598695503,0.72,31.277777777778,0.1055,0.68650793650794,NA,0,879.5,410.9,0.013141883669993,0.012971414845064,101,0.067131937520771,225.9,0.15014955134596,0,0.43582944420874,NA,0.11193087404453,0.27311399135926,44.2394,0.47442625353886,1504.5,0.10602402728823,0.10712770470938,73.1,22.52,5.4,220707,1542.2,64.2,6.4003115264797,1542.2,NA,0.43904239611896
"6",2006-12-31,20.5,NA,NA,0.11884953648681,370.7,655.4,58.1,50,0.030206004953785,0.036837839829072,0.076289288983827,NA,NA,1.3905925155925,12.5,0,0,99.4,99.4,111.9,0,NA,1605.3,4.3304558942541,NA,16.149899396378,14.345844504021,1.1827156855522,NA,NA,1655.3,0.25984131827891,0.93,80.322580645161,3.8349,0.25698992886823,0.9616,0,370.7,1605.3,0.031146826138416,0.030206004953785,1154.4,0.85051204597362,158.5,0.11677595225816,0,4.3304558942541,NA,0.073233625580196,1.1827156855522,NA,NA,1357.3,0.26814135419477,3.1141084434853,65.8,74.7,50,170736,NA,NA,NA,NA,NA,3.9346327549323
