"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,27.9,1.15,0.477,0.2153,164,294.5,8.2,47.8,0.3855,0.1445,0.1623,-2.44,0.6,NA,16.9,0,0,-4,-3.5,13,0,76.2,0.47,0.26,NA,5.69,0.23,0.09,7.64,124,0.0523,NA,NA,NA,-0.02,0.5996,NA,0.7367,0.3789,161.2,79,0.5696,0.3629,-5.6,-0.0169,23.3,0.0704,NA,0.48,NA,-0.0106,0.24,-11.14,NA,330.9,-0.0217,-0.0341,100.3,2.98,45,156489,296.3,-15.6,NA,296.3,1.25,0.59
"2",2010-12-31,24.4,0.51,0.4107,0.26680896478122,137.4,240.9,4.1,129.1,0.63658777120316,0.45409778403095,0.53590701535907,2.1463,0.7608960311663,NA,12.6,0,0,2.3,2.3,14.9,0,73.7,1.2641509433962,0.2316153362665,32.04347826087,4.9463087248322,0.25923320436159,0.175,8.6537,202.8,0.039435450394354,NA,NA,NA,0.0313,0.40104555638536,NA,0.7524,0.029472810294728,58.3,152.8,0.32722513089005,0.2465483234714,-0.4,-0.001406964474147,18,0.063313401336616,NA,1.1120815138282,NA,0.0080900457263454,0.53746042912417,-6.3537,-2.7624676933429,284.3,0.039451114922813,-0.0029112081513828,84.2,5.06,50,97981,318.2,0.4,382,318.2,1.25,1.0821771611526
"3",2009-12-31,26.9,0.87,0.4818,0.4131221719457,129.7,277,4.8,155,0.49647661755285,0.50936575747617,0.55956678700361,-0.7605,0.70049813200498,NA,15.4,0,0,5.8,5.8,21.2,0,157.2,2.3818181818182,0.531799729364,27.103448275862,7.4150943396226,0.51659546500164,0.15,17.1605,312.2,0.035740072202166,0.34,26.176470588235,NA,-0.3117,0.2134583563155,NA,0.9059,0.038628158844765,66,220.9,0.41330918967859,0.29244074311339,-42.6,-0.13999342753861,26.6,0.087413736444298,NA,1.7031611410948,NA,0.019060138021689,0.72592836017088,-11.3605,-1.958706811563,304.3,0.087878787878788,-0.32845026985351,87,8.9,91.3,78813,295.6,2.3,96.04347826087,295.6,1.35,1.4126696832579
"4",2008-12-31,22.7,0.74,0.4804,0.36234817813765,157.5,309,6.3,74,0.2281837804502,0.19860440150295,0.23948220064725,-4.933,0.4496253122398,NA,25.1,0,0,-8.6,-8.6,16.5,0,250.3,1.4468208092486,0.79510800508259,NA,15.169696969697,0.67176596886742,0.15,15.133,324.3,0.037540453074434,0.32,29.84375,NA,0.1284,0.40277777777778,NA,0.9931,0.1,173,234.8,0.38117546848382,0.27597903176071,-22.3,-0.059849704777241,31.8,0.085346215780998,NA,1.4907936507936,NA,-0.023081052066559,0.63016639828234,-23.733,NA,372.6,-0.049710982658959,-0.1415873015873,100.2,9.55,89.5,117392,314.8,-55.9,NA,314.8,1.35,1.312955465587
"5",2007-12-31,22.3,1.01,0.4014,0.30708661417323,220,393.1,5.7,123.3,0.59970817120623,0.37915129151291,0.31366064614602,-6.6411,0.53811659192825,NA,25.3,0,0,-26.6658,-26.6658,-1.3658,0,82.3,0.42378990731205,0.21482641607935,NA,NA,0.25307503075031,0.15,-0.4248,205.6,0.028491477995421,NA,NA,NA,0.0882,0.57588577472237,NA,NA,0.2706690409565,194.2,108.1,0.90194264569843,0.47422178988327,-17.6,-0.054120541205412,37.3,0.11469864698647,NA,0.49136363636364,NA,-0.08199827798278,0.33241082410824,-26.2411,NA,325.2,-0.13731122554068,-0.08,94.1,5.53,97.5,129633,383.1,-11.8,NA,383.1,1.35,0.64755905511811
"6",2006-12-31,21.8,1.18,0.3817,0.30869161769255,223.5,381.7,5.2,126,0.31296572280179,0.43076923076923,0.33010217448258,0.7535,0.54493057374902,NA,12,0,0,-8.1,-4.05,3.9,0.6,276.6,1.4019260010137,0.96477153819323,NA,70.923076923077,0.94564102564103,0.15,1.9965,402.6,0.029080429656798,-0.05,NA,-0.065,0.0656,0.25266903914591,NA,0.9258,0.28844642389311,197.3,302.8,0.32959048877147,0.24788872329856,-3.9,-0.013333333333333,38,0.12991452991453,NA,1.3548098434005,NA,-0.027692307692308,1.0352136752137,-6.0465,NA,292.5,-0.020527116066903,-0.01744966442953,80.8,13.23,99.8,214397,286.7,-20.6,NA,286.7,1.3,1.2452830188679
"7",2005-12-31,20.7,2.72,0.4878,0.31423173803526,217.8,368.7,5.5,225.9,0.4873786407767,0.86817832436587,0.6126932465419,-2.9909,0.45920459204592,22.73125,8.1,0,0,14.9,13.8574,23,0.06997,237.6,2.5910577971647,0.80926430517711,15.946308724832,10.330434782609,0.91314373558801,0.15,19.4483,463.5,0.0368863574722,0.24,69.458333333333,-0.13,0.005,0.22214094123385,NA,NA,0.080282072145376,91.7,363.7,0.27440197965356,0.21531823085221,16,0.061491160645657,23.3,0.089546502690238,0,1.6698806244261,1.5154166666667,0.057263643351268,1.3977709454266,-5.5909,-0.40345477704904,260.2,0.15111719738277,0.07346189164371,59.9,16.67,99.8,131983,293.6,-2,NA,293.6,1.4,1.4593828715365
"8",2004-12-31,19.7,4.35,0.7523,0.3588195841717,NA,345.2,5.6,158.9,0.33410428931876,0.60857908847185,0.46031286210892,1.7304,1.1564535424698,28.353846153846,7.7,0,0,18.2565,14.4847,25.9565,0.2066,316.7,2.2735104091888,1.212945231712,17.347265190223,12.201192149321,1.2884458909683,0.1667,14.8543,475.6,0.040556199304751,0.63,27.52380952381,-0.235,0.1269,0.20770877944325,NA,0,0.091830822711472,139.3,368.6,0.29028757460662,0.22497897392767,13,0.052888527257933,27.8,0.11310008136697,0,1.9278242677824,1.7008905911126,0.074273718470301,1.4995931651749,-0.3696,-0.025514437910073,245.8,0.10398199017947,0.067991631799163,58.7,17.34,107,338165,261.1,14,26.328571428571,261.1,1.5,1.5949027498323
"9",2003-12-31,18.3,3.86,0.7754,0.50552825552825,NA,365.6,3.7,194.4,0.36507042253521,0.81543624161074,NA,4.8976,0.99561516636575,51.097222222222,9.6,0,0,21.7807,19.9518,31.3807,0.08397,338.1,2.5769817073171,1.4182046979866,15.522902824149,10.774131377483,1.6671597633136,NA,20.9542,532.5,0.039934354485777,0.71,26.619718309859,NA,-0.0238,0.44225188624492,NA,0.9968,0.092997811816193,131.2,367.9,0.44740418592009,0.30910798122066,7.2,0.035502958579882,27.9,0.13757396449704,0,2.2850931677019,NA,0.1074,1.8141025641026,-1.0024,-0.050239437971279,202.8,0.15207159254268,0.04472049689441,49.9,18.9,164.6,97526,238.4,12.8,28.7421875,238.4,1.25,1.6354422604423
"10",2002-12-31,17.6,3.59,0.7756,0.35500211059519,NA,274.1,3.4,105.8,0.2807855626327,0.52873563218391,NA,-11.7,1.0183,NA,11.6,0,0,-5.5,-5.5,6.1,0,271,NA,NA,NA,44.426229508197,1.3543228385807,0.15,2.7,376.8,0.09449106165633,0.42,38.357142857143,NA,-0.1341,0.65321030372933,NA,0.8316,0.14994527544692,131.1,292.7,0.28732490604715,0.22319532908705,-3.3,-0.016491754122939,26.8,0.13393303348326,NA,1.9155759162304,NA,-0.027486256871564,1.4627686156921,-8.2,NA,200.1,-0.041952707856598,-0.021596858638743,61.6,16.11,84.1,139548,194.8,5.4,54.203703703704,194.8,1.15,2.0671243325706
"11",2001-12-31,NA,3.17,0.8596,0.4087,NA,304.9,4.6,100.2,0.44513549533541,0.43985952589991,NA,-3.4772,0.6464,NA,18.5,0,0,-24.8728,-24.8728,-6.3728,0,124.9,NA,NA,NA,NA,0.54828797190518,0.1833,-7.4956,225.1,0.099048868481469,NA,NA,-0.02,-0.3421,0.72611726117261,0,0.7855,0.1472613971794,154.738,120.9,0.86186931348222,0.46290537538872,-23.4,-0.1027216856892,41.787,0.18343722563652,NA,0.80225613802256,NA,-0.10918700614574,0.53072870939421,-17.3772,NA,NA,-0.16074138220734,-0.15527538155275,70.9,6.5,104.2,25600,227.8,-15.8,NA,208.8,1.1,1.454717005519
"12",2000-12-31,NA,1,0.7131,0.26010168584426,NA,334,14.1,133.9,0.31088925005805,0.39301438215439,NA,21.7386,0.4206983592764,11.343537414966,16.9,0,0,50.93465,42.3135,67.8346,0.16926,296.8,NA,NA,5.8270744964381,4.3753450485851,0.87114763721749,0.25,22.9056,430.7,0.084131736526946,NA,NA,NA,0.3106,0.47783251231527,NA,0.81,NA,142.6,333.5,0.29145427286357,0.22567912700255,29.4,0.086292926328148,71.5,0.20986204872322,0,1.8600111544897,45.374149659864,0.12419563,0.97886703845025,19.4079,0.45866974866521,NA,0.29672826887097,0.16397099832683,76.3168,20.21,97.2,NA,340.7,-5.9,NA,254.4,NA,1.5576853526221
"13",1999-12-31,NA,0.9,0.7448,0.0944032366824,NA,187.6,8.5,15.7,0.034772978959026,0.047417698580489,NA,NA,0.1812567132116,20.348837209302,9.6,0,0,32.2,29.4537,39.0537,0.08529,435.8,NA,NA,13.534161490683,11.159004756071,1.3162186650559,0.2625,9.1439,451.5,0.11300639658849,NA,15.694444444444,NA,0.6473,0.54933726067747,NA,0.8176,NA,132.6,437.5,0.032,0.031007751937984,NA,0.080640289942616,NA,0.20295983086681,0,3.2576321667908,0.77519379844961,0.097251585623679,1.3213530655391,NA,-0.037346799185785,NA,0.22212414781297,0.198808637379,69.7,NA,NA,NA,NA,26.7,16.385767790262,331.1,NA,3.0445043830074
