"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Reinvestment Rate","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,491,1.59,0.4343,0.2222,16541,114302,0,4488,0.5412,0.0393,NA,0.8,16.67,0,0,0,5705,4738.52,5705,0.1694,0.4965,3805,0.23,0.67,0.67,0.345,4738.52,8293,0,1.27,5.91,-0.32,NA,0.409,0.01,0.7427,0.016,16779,3567,1.3249,0.5699,214,0,0,0.22,0.48,0,0,0.2824,0.0129,0,7.51,4726,9280439,314.3,11.35,NA,2.4,0.39
"2",2010-12-31,490,2.88,1.2089,0.26322223994047,13861,112395,0,3132,0.38834951456311,0.027866008274389,NA,0.4859789891637,24.705555555556,0,0,0,5854,3368.0548,5854,0.42465753424657,0.42465753424657,4932.9,0.31457815190358,0.84265459514862,0.84265459514862,0.28,3368.0548,8064.9,0,1.1,5.9545454545454,-0.235,NA,0.50945324476239,0.01,0.9512,0.018417189376752,15681,3112.9,1.5907995759581,0.61401877270642,126,0,0,0.22457975615035,0.88234126984127,0,0,0.2147857148473,0.0090902532284828,0,6.55,4952,8360313,-3.3,NA,NA,2.35,0.42868760963164
"3",2009-12-31,489,3.51,1.3418,0.22874913614375,12276,108187,0,5002,0.48982069938014,0.046234760183756,NA,0.45647637501863,33.186363636364,0,0,0,6019,4786.1928,6019,0.20481927710843,0.20481927710843,5209.9,0.47731562070545,0.86557567702276,0.86557567702276,0.085,4786.1928,10211.9,0,1.51,8.7019867549669,-0.065,NA,0.30722484807563,0.01,0.8817,0.020871269191308,10915,6570.9,0.55410978709157,0.35654481536247,198,0,0,0.53526392961877,3.9042780748663,0,0,0.43849681823952,0.016129032258064,0,13.14,3641,7127560,388,16.93530927835,NA,2.45,0.64157190425331
"4",2008-12-31,433,3.95,1.3245,0.32312125578221,8926,107389,0,7328,0.73123515676452,0.068237901461043,NA,0.30804077010192,12.282302771855,0,0,0,6777,3982.9785,6777,0.41228,NA,2693.4,0.45970302099334,0.39743249225321,0.39743249225321,0.01,NA,10021.4,0,0.87,13.045977011494,0.035,NA,0.89211618257261,0.01,0.8557,0.022935309947946,5859,5760.4,0.73970557600167,0.42519009320055,469,0,0,0.64535066099036,12.282302771855,NA,NA,0.67980516129032,0.052543132422138,0,11.35,4261,18223016,-103.2,NA,NA,2.55,0.75994540077349
"5",2007-12-31,436,2.6,0.5394,0.22455554916288,13478,114315,0,3091,0.60579335214801,0.027039321173949,NA,0.48943270300334,0.87356154406409,0,0.14540603635151,174.4,6330,4484.5518,6330,0.29154,NA,2011.4,0.14075577326802,0.31775671406003,0.31775671406003,0.11,NA,5102.4,0,2.72,1.0404411764706,NA,NA,NA,0.01,0.9761,0.0219918645847,14290,1199.4,3.2541270635318,0.76493414863594,1373,0,0.12702112163146,0.088989464312212,0.079414685824008,NA,NA,0.3138244786564,0.10186971360736,NA,2.83,3903,7420538,991.6,1.2095603065752,NA,1.65,0.29356193544675
"6",2006-12-31,443,0.74,0.1524,0.19944748063179,13330,110871,0,2469,0.16988571074704,0.022269123576048,NA,0.8,8.2564801178203,0,0.015804072313442,177.2,6487,4492.2475,6487,0.3075,NA,12064.3,0.85067691439853,1.8597656852166,1.8597656852166,0.12,NA,14533.3,0,3.5,6.9714285714286,NA,NA,0.23005627275737,0.01,0.9916,0.023252248108162,14182,11212.3,0.29619257422652,0.22850969841674,1358,0,0.13048600883652,0.8411327831958,0.68804000981836,NA,NA,0.31675698067974,0.10187546886722,NA,24.4,3321,3533359,1417.2,7.9115862263618,NA,1,0.87281844934238
"7",2005-12-31,471,NA,NA,0.17050978436994,13310,105292,0,1875,0.1015913265389,0.017807620711925,NA,NA,12.853883892069,0,0.010786053701265,169.56,6297,4278.4336,6297,0.32056,NA,16581.3,1.1700867969797,2.6332062887089,2.6332062887089,0.09,NA,18456.3,0,3.06,11.179738562092,NA,NA,0.081073069512376,0.01,0.9586,0.021198191695475,14171,15720.3,0.17404248010534,0.14824206368557,1223,0,0.13864268192968,1.1810894064613,1.428209321341,NA,NA,0.30191473290523,0.091885800150263,NA,34.21,2736,1573200,NA,NA,NA,0.95,1.1502118908139
"8",2004-12-31,489.5,0,0,0.16497923156802,NA,103878,0,1392,0.0741913304872,0.013400335008375,0,NA,14.495352993744,0,0.0086705202312139,146.85,NA,NA,NA,0.30583,NA,17370.3,1.2393193493151,NA,NA,NA,NA,18762.3,0,2.51,13.784860557769,NA,0,0.15630638018698,0.03,0.728,0.021611890871984,14016,16220.3,0.15671720005179,0.13548445553051,1119,0,0.13123324396783,1.2607103995026,NA,0,NA,NA,0.08697341831183,0,34.6,2542,462700,1119,14.495352993744,0,0,1.2176985981308
"9",2003-12-31,0,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,0,NA,0,NA,NA,NA,0.1071,NA,0,NA,2.16,12.583333333333,NA,0,0.18014866637516,NA,0.9465,NA,0,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,27.18,0,292200,0,NA,0,0,NA
