"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-09-30,3.1,-0.06,0.5192,0.1133,80.6,1275.5,0,276.9,2.84,0.2171,NA,-0.03,18.96,0,0,0,47,26.39,47,0.4385,0.4458,-179.4,NA,NA,NA,26.39,97.5,0.0135,0.28,NA,0.261,NA,0.339,0.001,-186,87.2,0.1181,0.1056,4.6,0,0,1.08,0,0,NA,NA,0.0571,3.1,22.8,10.3,130569,NA,17.6,4.95,NA,0.9,NA
"2",2011-09-30,0,0.45,0.6063,NA,NA,NA,0,0,0,NA,NA,0.37110341415141,NA,0,0,0,NA,NA,NA,0,NA,48.8,NA,NA,NA,NA,48.8,NA,NA,NA,0.33659038313191,NA,0.3163,NA,NA,48.8,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,0,16.65,0,6751,NA,4.9,9.9591836734694,NA,0.9,NA
"3",2010-09-30,2.5,1.27,0.7236,0.17785843920145,45.3,741.1,0,109.4,2.1620553359684,0.14761840507354,NA,0.31094527363184,10.461538461539,0,0,0,19.6,13.0901,19.6,0.33214,0.33898305084746,-58.8,NA,NA,NA,13.0901,50.6,0.023748481986237,NA,NA,0.52189634391322,NA,0.2501,0.0045877749291594,-54.3,40.8,0.24019607843137,0.19367588932806,3.9,0,0,0.90066225165563,0,0,NA,NA,0.086092715231788,13.5,13.78,9.8,21697,NA,3.1,13.161290322581,NA,0.9,NA
"4",2009-09-30,2.5,1.66,0.6178,0.17785843920145,45.3,741.1,0,109.4,1.6961240310078,0.14761840507354,NA,0.23308514082227,14.025641025641,0,0,0,19.6,13.0901,19.6,0.33214,NA,-44.9,NA,NA,NA,NA,64.5,0.023748481986237,NA,NA,0.62144275314361,NA,0.268,0.0045877749291594,-54.3,54.7,0.17915904936015,0.15193798449612,3.9,0,0,1.2075055187638,NA,NA,NA,NA,0.086092715231788,13.5,20.9,9.8,4136,NA,-1.4,NA,NA,0.9,NA
"5",2008-09-30,2.5,1.71,0.5102,0.17785843920145,45.3,741.1,0,109.4,3.5868852459016,0.14761840507354,NA,0.21952175617405,5.3076923076923,0,0.06280193236715,1.3,19.6,13.0901,19.6,0.33214,NA,-78.9,NA,-4.0255102040816,-4.0255102040816,NA,30.5,0.023748481986237,0.16,NA,0.71428571428571,NA,0.3371,0.0045877749291594,-54.3,20.7,0.47342995169082,0.32131147540984,3.9,0,0.33333333333333,0.45695364238411,NA,NA,NA,NA,0.086092715231788,13.5,8.85,9.8,4800,NA,-1.8,NA,NA,0.7,NA
"6",2007-09-30,2.5,NA,NA,0.17785843920145,45.3,741.1,0,109.4,0.96643109540636,0.14761840507354,NA,NA,26.512820512821,0,0.01257253384913,1.3,19.6,13.0901,19.6,0.33214,NA,3.8,NA,0.19387755102041,0.19387755102041,NA,113.2,0.023748481986237,0.16,NA,0.22771119555686,NA,0.4061,0.0045877749291594,-54.3,103.4,0.094777562862669,0.086572438162544,3.9,0,0.33333333333333,2.2825607064018,NA,NA,NA,NA,0.086092715231788,13.5,38.75,9.8,4169,NA,0.3,344.66666666667,NA,0.5,NA
"7",2006-09-30,2.5,NA,NA,0.19324577861163,43,776.3,0,14.4,0.17286914765906,0.018549529820946,NA,NA,NA,0,0.017808219178082,1.3,16.3,16.3,16.3,0,NA,68.9,1.7712082262211,4.2269938650307,4.2269938650307,NA,83.3,0.01945124307613,NA,NA,0.20732722731058,NA,0.3424,0.0043797500966121,38.9,73,0.14109589041096,0.12364945978391,-0.9,0,NA,1.6976744186046,NA,NA,NA,0.41902313624679,-0.020930232558139,12.1,29.8,10.3,4924,NA,4,18.25,NA,0.4,1.562851782364
"8",2005-09-30,2.5,0,0,0.17881944444444,NA,780.8,0,8.9,0.14194577352472,0.01139856557377,0,NA,15.878787878788,0,0.025679012345679,1.3,NA,NA,NA,0.33833,NA,53.8,1.1047227926078,NA,NA,NA,62.7,0.014984631147541,NA,0,0.19463414634146,NA,0.498,0,48.7,52.4,0.19656488549618,0.16427432216906,3.3,0,0.39393939393939,1.107822410148,0,NA,NA,NA,0.069767441860465,9.6,20.25,10.3,445,NA,-0.9,NA,0,0.45,1.0885416666667
"9",2004-09-30,2.5,0.34,0.157,0.18867924528302,NA,772.3,0,9.8,0.14475627769572,NA,0,0.43312101910828,16.970588235294,0,0,0,NA,NA,NA,0.33064,NA,57.9,1.3402777777778,NA,NA,NA,67.7,0.014761103198239,NA,0,0.12676056338028,NA,0.1935,0,43.2,57.7,0.17331022530329,0.14771048744461,3.4,0,0,1.3418604651163,0,NA,NA,NA,0.079069767441861,10.5,22.75,10,1200,NA,4,14.425,0,0.45,1.277358490566
"10",2003-09-30,2.5,0.2,0.1903,0.18315018315018,NA,607.6,0,7.4,0.11635220125786,NA,0,0.2289,24.363636363636,0,0.024253731343284,1.3,14.6,10.0839,14.6,0.30932,NA,56.2,NA,3.8493150684932,3.8493150684932,10.0839,63.6,0.018268597761685,NA,0,0.21347201584943,NA,0.1696,0,47.2,53.6,0.1865671641791,0.15723270440252,2.2,0,0.59090909090909,1.2017937219731,0,0,0,0.21364254237288,0.04932735426009,13.5,21.5,10,1412,0,3.4,15.764705882353,0,0.45,1.1906779661017
"11",2002-09-30,NA,-0.03,0.1936,0,NA,0,0,0,NA,NA,0,-0.0271,NA,0,0,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0.12808381209868,0,0.152,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,0,16.69,0,5400,0,1.7,0,0,0.5,NA
