"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,53.8,1.7,0.6796,0.0541,29.7,117.1,0.6,68.2,0.3924,1.4419,0.5824,-0.37,0.63,NA,1.1,0,0,-24,-24.02,-23,0,105.6,NA,2.21,NA,NA,2.23,NA,-23.15,173.8,0.0248,-0.23,NA,-0.1,0.6155,NA,0.7398,0,-36.8,172.1,0.0099,0.0098,-10.8,-0.2283,-43.2,-0.9133,NA,5.79,-0.5078,3.64,-0.87,NA,47.3,NA,-0.3636,13.4,2.79,1.7,382754,47.7,-1.6,47.7,1.3,NA
"2",2010-12-31,45,1.41,0.651,NA,-14.6,88.9,0.4,80.7,0.26141885325559,2.763698630137,0.90776152980877,-13.7747,0.49923195084485,NA,1.4,0,0,-40.5426,-40.5426,-39.1426,0,228,NA,5.9530026109661,NA,NA,7.8082191780822,NA,-25.7679,308.7,0.039370078740158,NA,NA,0.1541,0.3259949195597,NA,0.743,0,-93.6,307,0.0055374592833876,0.0055069646906382,-30.1,-1.0308219178082,-44.2,-1.513698630137,NA,NA,-1.3884452054795,10.513698630137,-14.7747,NA,29.2,NA,NA,13.5,5.64,1.7,248850,38.3,-20.4,38.3,1.3,NA
"3",2009-12-31,44.8,1.26,0.68,0.80034722222222,11.5,171.9,0.7,154.7,0.49393358876117,6.1388888888889,0.8999418266434,-5.2778,0.49632352941176,NA,1.7,0,0,-37.6226,-37.6226,-35.9226,0,158.5,NA,5.4655172413793,NA,NA,6.2896825396825,NA,-31.3448,313.2,0.026759744037231,NA,NA,0.7587,0.4321223709369,NA,0.6032,0,-97.1,267.1,0.17259453388244,0.14719029374202,-36.1,-1.4325396825397,-35,-1.3888888888889,NA,23.226086956522,-1.4929603174603,10.599206349206,-6.2778,NA,25.2,NA,-3.1391304347826,13.3,5.87,46.1,264783,29,-34.3,29,1.35,NA
"4",2008-12-31,44.2,1.27,0.6022,0.52354874041621,43.5,214.2,3.5,141.9,0.66432584269663,10.063829787234,0.6624649859944,-22.4454,0.34540019926935,NA,1.7,0,0,-52.257,-52.257,-50.557,0,71.7,NA,3.0772532188841,NA,NA,5.0851063829787,0.05,-31.6116,213.6,0.026143790849673,NA,NA,0.5324,0.41777777777778,NA,0.6248,0,-50.6,165.8,0.28829915560917,0.22378277153558,-50.9,-3.6099290780142,-34.4,-2.4397163120567,NA,3.8114942528736,-3.7061673758865,11.758865248227,-20.6454,NA,14.1,NA,-1.1701149425287,16.9,3.69,47.8,183269,23.3,-35.9,23.3,1.3,NA
"5",2007-12-31,43.8,1.08,0.5313,0,88,142.2,1.2,135.1,0.7406798245614,14.684782608696,0.95007032348804,5.5717,0.46677959721438,NA,1.7,0,0,-59.8385,-59.8385,-58.1385,0,47.3,NA,4.1491228070175,NA,NA,5.1413043478261,NA,-64.9102,182.4,0.027426160337553,-1.22,NA,0.1321,0.56030150753769,NA,0.6382,0,-47.1,182.4,0,0,-53.4,-5.804347826087,-23.3,-2.5326086956522,NA,2.0727272727273,-6.5041826086956,19.826086956522,5.0717,NA,9.2,NA,-0.60681818181818,15.1,4.22,0,201717,11.4,-55.6,11.4,1.55,NA
"6",2006-12-31,35.8,2.2,0.5019,0,80,104.8,0.8,95.8,0.37480438184664,14.515151515151,0.91412213740458,3.9152,0.54194062562263,NA,2.3,0,0,-52.2112,-52.2112,-49.9112,0,159.8,NA,19.253012048193,NA,NA,24.212121212121,NA,-54.6263,255.6,0.04293893129771,-1.32,NA,NA,0.31880448318804,NA,0.7053,0,-15.8,255.6,0,0,-47.2,-7.1515151515151,-15.2,-2.3030303030303,NA,3.195,-7.9107848484848,38.727272727273,2.4152,NA,6.6,NA,-0.59,11.6,5.8,0,269684,8.3,-51.8,8.3,1.7,NA
"7",2005-12-31,35.3,1.2,0.4599,0,105.5,156.7,3.1,140.6,0.67824409068982,2.6578449905482,0.89725590299936,-5.8223,0.55664274842357,NA,6.1,0,0,-10.6282,-10.6282,-4.5282,0,66.7,NA,1.5124716553288,NA,NA,1.2608695652174,NA,-1.8059,207.3,0.051052967453733,-0.45,NA,-0.202,0.2985347985348,NA,0.5671,0,-35.1,207.3,0,0,-7.5,-0.14177693761815,-35,-0.66162570888469,NA,1.9649289099526,-0.20091190926276,3.9187145557656,-8.8223,NA,52.9,NA,-0.071090047393365,8.7,5.92,0,141246,44.1,-21.3,44.1,1.6,NA
"8",2004-12-31,29,2.78,0.6446,0.0012106537530266,NA,120.2,4.4,71.4,0.33070866141732,1.3053016453382,0.59400998336107,-0.0602,0.86255041886441,NA,7.5,0,0,-6.4482,-6.4482,1.0518,0,144.5,12.901785714286,2.6416819012797,NA,137.3770024243,2.651376146789,NA,-3.288,215.9,0.37354409317804,NA,NA,-0.1767,0.29792147806005,NA,0.5693,0,11.2,215.8,0.00046339202965709,0.00046317739694303,-4.9,-0.089908256880734,-16.4,-0.30091743119266,NA,2.6157575757576,-0.11831467889908,3.9596330275229,-3.1602,0.49009149697797,54.5,-0.57572767857143,-0.059393939393939,9,6.12,0.1,117710,54.7,-5.7,54.7,1.75,2.6138014527845
"9",2003-12-31,28.7,2.74,0.6833,0.07684098185699,NA,128.4,4.5,76.7,0.46597812879708,1.3044217687075,NA,1.6469,0.80199034099224,NA,9.3,0,0,10.3294,10.3294,19.6294,0,87.9,5.1705882352941,1.4948979591837,8.5097319773267,4.4779883185128,1.3419847328244,NA,13.4825,164.6,0.37305295950156,NA,NA,-0.2237,0.34970364098222,NA,0.3925,0,17,157.4,0.04574332909784,0.043742405832321,-4.4,-0.067175572519084,-16.1,-0.24580152671756,NA,1.8196531791907,0.1577,2.4030534351145,-3.1531,-0.30525926326365,65.5,0.60760882352941,-0.050867052023121,9.6,6.07,7.2,161472,58.8,-9,58.8,1.7,1.7566702241195
"10",2002-12-31,21.4,2.6,0.7882,0.13079777365492,NA,145.1,11.1,85.6,0.55225806451613,1.3630573248408,NA,0,0.7251,NA,13.4,0,0,-20.0945,-20.0945,-6.6945,0,69.4,NA,NA,NA,NA,1.1050955414013,NA,-17.7945,155,0.35492763611303,NA,NA,0.0628,0.5,NA,0.3495,0,22.2,140.9,0.10007097232079,0.090967741935484,-22.2,-0.35350318471338,-24.1,-0.38375796178344,NA,1.5037353255069,-0.31997579617834,2.2436305732484,-2.3,NA,62.8,-0.90515675675676,-0.23692636072572,12.9,4.91,14.1,99760,63.3,-34.4,63.3,1.4,3.1261261261261
