"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-12-31,49.3,1.52,0.4521,0,346.7,383.1,7.7,296.7,1.2669,1.7525,0.7745,-0.57,0.8,NA,10.8,0,0,-39,-39.44,-29,0,-62.5,-1.25,-0.39,NA,NA,-0.37,0.12,-35.78,234.2,0.0916,NA,NA,NA,-0.115,0.3032,0.7921,0,50,234.2,0,0,-66,-0.3898,11.7,0.0691,NA,0.68,NA,-0.233,1.38,-3.67,NA,169.3,-0.7889,-0.1904,90.2,4.56,0,219201,161.1,-63.2,NA,161.1,0.95,0.68
"2",2011-12-31,50.6,1.45,0.5203,0,411.2,466.1,30.9,347.2,1.3983084977849,1.8409331919406,0.74490452692555,-0.7007,0.45646742264078,NA,28.2,0,0,-122.0607,-122.0607,-93.8607,0,-98.9,-1.5453125,-0.54043715846995,NA,NA,-0.52439024390244,NA,-124.06,248.3,0.080025745548166,NA,NA,NA,0.3704,0.40495867768595,0.8746,0,64,248.3,0,0,-131.9,-0.69936373276776,23.6,0.12513255567338,NA,0.60384241245136,NA,-0.64719353128314,1.3165429480382,1.9993,NA,188.6,-1.9071984375,-0.32076848249027,122.6,5.06,0,503480,183,-58.4,NA,183,0.95,0.60384241245136
"3",2010-12-31,49.8,1.38,0.5687,0.0060209874419405,577.8,656,31,449.2,0.98422436459246,3.320029563932,0.68475609756098,11.4467,0.41761913135221,NA,32.9,0,0,-136.3639,-136.3639,-103.4639,0,7.2,0.054504163512491,0.04056338028169,NA,NA,0.053215077605321,NA,-145.9106,456.4,0.14908536585366,NA,NA,NA,-0.3652,0.53351387948544,0.8853,0,132.1,452.9,0.0077279752704791,0.0076687116564417,-155.7,-1.1507760532151,36.7,0.27124907612713,NA,0.78383523710627,NA,-1.0078633407243,3.3473762010347,9.5467,NA,135.3,-1.0322778955337,-0.26947040498442,135.9,8.88,3.5,678929,177.5,-140.5,NA,177.5,0.95,0.78513676242904
"4",2009-12-31,49.1,1.03,0.4631,0,706.1,785.7,30.2,522.9,0.46859037548167,2.4876308277831,0.66552119129439,-17.4111,0.32822284603757,NA,32.2,0,0,-124.4778,-124.4778,-92.2778,0,593,3.2368995633188,4.1672522839072,NA,NA,2.8211227402474,NA,-105.0667,1115.9,0.14483899707267,NA,NA,0.085,-0.5491,0.33129147524247,0.9541,0,183.2,1115.9,0,0,-76.2,-0.36251189343482,53.9,0.25642245480495,NA,1.5803710522589,NA,-0.59218744053283,5.3087535680304,-19.4111,NA,210.2,-0.67946397379913,-0.10791672567625,160.7,21.77,0,547284,142.3,-153.2,NA,142.3,0.95,1.5803710522589
"5",2008-12-31,48.6,1,0.4299,0,757,855.3,48.7,570,0.85998792999397,1.2332323669407,0.66643283058576,19.2834,0.37217957664573,9.0919067215364,26.8,0,0,93.2,58.442,120,0.37294,92.8,0.49625668449198,0.3191196698762,0.99570815450644,0.77333333333333,0.20077888360017,0.23,17.2586,662.8,0.15304571495382,-1.39,NA,NA,0.206,0.50992234685073,NA,0,187,662.8,0,0,72.9,0.15772392903505,52,0.11250540891389,0,0.87556142668428,0.39530029224071,0.20164430982259,1.4340112505409,41.1834,0.70468896898382,462.2,0.31252402139037,0.096301188903567,153.5,14.6,0,300370,290.8,-30.7,NA,290.8,1,0.87556142668428
"6",2007-12-31,46.9,0.73,0.3581,0,617.6,698.3,38.1,492.4,0.2993859062443,1.3336944745395,0.70514105685236,-5.4769,0.53616308293773,27.050986842105,22.1,0,0,72.8,50.1643,94.9,0.31093,1152.3,9.2036741214058,2.616485013624,15.828296703297,12.142255005269,3.1210725893824,0.2313,39.6412,1644.7,0.13475583560074,1.45,21.08275862069,NA,0.3349,0.22146636432351,NA,0,125.2,1644.7,0,0,60.8,0.1646803900325,28.4,0.076923076923077,0,2.6630505181347,1.1695195348943,0.19718309859155,4.454767063922,10.5231,0.20977224365068,369.2,0.40067329073482,0.098445595854922,118.1,30.57,0,652187,440.4,74.6,22.04691689008,440.4,1.2,2.6630505181347
"7",2006-12-31,40.2,1.16,0.4211,0,317.8,381.4,28.3,211.6,0.12197371454923,0.89094736842105,0.55479811221814,-9.0459,0.55093801947281,57.443708609272,16.5,0,0,38.9,30.5019,55.4,0.21589,1523.2,14.34274952919,4.4498977505112,39.156812339332,27.494584837545,6.4134736842105,0.3,27.7478,1734.8,0.2139486103828,1.2,31.041666666667,NA,0.2913,0.35173351461591,0.939,0,106.2,1734.8,0,0,30.2,0.12715789473684,20.5,0.086315789473684,0,5.4587791063562,1.9147902869757,0.16378947368421,7.3044210526316,2.7541,0.090292970579219,237.5,0.28721166666667,0.095028319697923,69,37.25,0,720232,342.3,52.4,33.106870229008,342.3,1.45,5.4587791063562
"8",2005-12-31,38.9,0,0,0,NA,302.6,37.7,191.5,0.19435704861463,0.90415486307838,0.63284864507601,2.5816,NA,39.099206349206,7,0,0,38.7657,24.9864,45.7657,0.35545,793.8,10.770691994573,3.7478753541076,20.476854292916,17.344859864545,4.4645669291339,0.2267,-8.2951,985.3,0.19629874421679,0.62,39.403225806452,NA,0.7115,0.2086272928845,0.8931,0,73.7,985.3,0,0,25.2,0.14173228346457,13.5,0.075928008998875,0,3.7153092006033,1.7247113519721,0.21802992125984,5.5416197975253,33.2816,1.3319843033984,177.8,0.33902910211669,0.095022624434389,48.8,24.43,0,262011,211.8,25.4,38.791338582677,211.8,1.45,3.7153092006033
"9",2004-12-31,36.8,0,0,0,NA,236.1,9.1,179.3,0.170973586345,1.0993255671367,NA,7.3831,NA,121.94186046512,5.1,0,0,18.9031,11.6885,24.0031,0.38166,869.4,25.127167630058,5.3304721030043,45.992480594442,36.220336631659,8.8443540183113,0.25,0.3054,1048.7,0.086827615417196,0.7,38.357142857143,NA,0,0.29015084294587,0.7368,0,34.6,1048.7,0,0,8.6,0.087487283825025,11.2,0.11393692777213,0,4.9027582982702,4.8776744186047,0.1923,10.668362156663,11.3831,0.9738698042729,98.3,0.33781897891907,0.040205703599813,34.6,26.85,0,378923,163.1,23.6,44.436440677966,163.1,0,4.9027582982702
"10",2003-12-31,4.7,0,0,NA,NA,77.5,4.2,34.3,0.37858719646799,0.43583227445998,NA,-40.5,0,8.5673076923077,5.4,0,0,7.6,7.6,13,0,56.3,NA,NA,7.4078947368421,4.3307692307692,0.715374841169,0.341,8.8,90.6,0.21290322580645,0.21,90.952380952381,NA,0.0482,0.26251137397634,0.2913,0,27.4,89.1,0.016835016835017,0.016556291390728,10.4,0.13214739517154,7,0.088945362134689,0,NA,0.25124069478908,0.096569250317662,1.1321473951715,-1.2,-0.15789473684211,78.7,0.27737226277372,NA,31.6,19.1,1.5,NA,89.1,6.1,14.606557377049,89.1,NA,2.0547445255474
