"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Trailing Sales Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Revenues","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta"
"1",2011-12-31,0,0.96,0.198,NA,NA,NA,0,0,NA,NA,NA,0.8,0,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,0,1.84,57.51,NA,0.0948,0.057,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,0,105.81,0,792207,1844.3,321.4,NA,1844.3,1.15
"2",2009-12-31,0,1.46,0.4162,NA,NA,NA,0,0,0,NA,NA,0.72080730418068,0,0.0234,239.9553,NA,NA,NA,0,10254.5,6.6505609961736,NA,NA,NA,10254.5,1.6,53.8125,NA,0.19581562602158,0.064,0.9715,NA,10254.5,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,86.1,0,1120107,1541.9,225.2,45.535079928952,1541.9,1.2
"3",2008-12-31,0,1.59,0.4183,NA,NA,NA,0,0,0,NA,NA,0.45900071718862,0,0.0286,239.6337,NA,NA,NA,0,8378.8,5.4599244102698,NA,NA,NA,8378.8,1.95,34.394871794872,NA,0.42283069043632,0.136,NA,NA,8378.8,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,67.07,0,3092551,1534.6,86,97.427906976744,1534.6,1.2
"4",2007-12-31,0,1.46,0.3028,NA,0,0,0,0,0,NA,NA,0.55482166446499,0,0,0,0,0,0,0,6392.9,4.3285936759428,NA,0.0591,NA,6392.9,4.79,11.482254697286,NA,0.47906976744186,NA,NA,0,6392.9,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,55,0,2529911,1476.9,296.8,21.539420485175,1476.9,1.05
"5",2006-12-31,0,1.52,0.2252,NA,0,0,0,0,NA,NA,NA,0.67495559502664,0,NA,0,0,0,0,0,0,0,NA,0.0551,NA,0,4.62,18.640692640693,NA,0.20489130434783,NA,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,86.12,0,2380050,1489,535.2,0,1489,0.95
"6",2005-12-31,0,0.99,0.1983,NA,0,0,0,0,NA,NA,NA,0.64548663640948,0,NA,0,0,0,0,0,0,0,NA,0.0489,NA,0,4.38,25.543378995434,NA,0.23661087866109,NA,0.9502,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,111.88,0,771600,1452.8,918.4,0,1452.8,0.8
"7",2004-12-31,0,0.25,0.1753,NA,NA,0,0,0,NA,0,0,0.28522532800913,0,0,0,NA,NA,NA,0,0,NA,NA,0.057,NA,0,NA,NA,0,0.1500787519688,NA,0.9179,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,74.1,0,406800,1423.4,254.2,0,1423.4,0.7
"8",2003-12-31,0,0.29,0.1476,NA,NA,0,0,0,NA,0,0,0.39295392953929,0,0,0,NA,NA,NA,0,0,0,NA,0.0652,NA,0,4.16,15.158653846154,0,0.19674887892377,NA,0.8713,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,63.06,0,136300,1374.7,257.9,0,1374.7,0.65
"9",2002-12-31,0,0.22,0.1336,NA,NA,0,0,0,NA,NA,0,0.3639,0,NA,0,0,0,0,0,0,NA,NA,0.0751,0,0,4.04,11.965346534654,0,0.15921720222276,NA,0.8413,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,0,0,48.34,0,281807,1337.4,430,0,1337.4,0.65
"10",2001-12-31,NA,0.13,0.1663,0,NA,0,0,0,NA,NA,0,0.141,0,0.0682,0,NA,NA,NA,0,0,NA,NA,0.0821,NA,0,NA,NA,NA,0.11543624161074,0,0.9101,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,35.36,0,194200,0,210.1,0,1093.3,0.75
"11",2000-12-31,NA,0.75,0.1981,NA,NA,0,0,0,NA,NA,NA,0.6,0,NA,0,NA,NA,NA,0,0,NA,NA,0.1077,NA,0,NA,9.6942355889724,NA,0.12116316639742,NA,0.8584,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,38.68,0,NA,NA,181.1,0,983,NA
"12",1999-12-31,NA,0.85,0.2155,NA,NA,0,0,0,0,NA,NA,0.59164733178654,0,0,0,0,0,0,0,3505.9,NA,4.0961560930015,0.1019,0,3505.9,NA,11.491620111732,0,0.21489001692047,NA,0.7029,0,3505.9,0,0,NA,0.15807921486155,NA,0,NA,0,4.0961560930015,NA,NA,0,NA,NA,NA,NA,135.3,25.912047302291,855.9,NA
