"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,38.7,1.83,0.4455,0,131.2,164.9,8.1,87.6,0.2931,0.457,0.5312,-0.12,0.8,40.95,9.1,0,0,6,5.78,15,0.0362,0.0267,211.3,4.85,1.09,35.22,13.99,1.1,0.275,6.9,298.9,0.1243,NA,NA,-0.055,0.2489,NA,0.7917,0.1928,43.6,298.9,0,0,7.3,0.0381,-11.7,-0.061,0,2.28,1.49,0.0313,1.56,-1.12,-0.193,191.7,0.1326,0.0556,143.8,7.57,0,301957,193.6,8,37.36,193.6,1.2,2.28
"2",2010-12-31,39.6,0.91,1.5504,0,199.3,239,10.7,158.5,0.64773191663261,0.80253164556962,0.66317991631799,0.3965,0.19349845201238,59.682926829268,10.8,0,0,2.9,2.9,13.7,0,0,86.2,2.1127450980392,0.44570837642192,29.724137931035,6.2919708029197,0.43645569620253,0.23,2.6035,244.7,0.09163179916318,NA,NA,-0.0848,0.46322067594433,NA,NA,0.13723849372385,40.8,244.7,0,0,4.1,0.020759493670886,-19.1,-0.096708860759494,0,1.2277972905168,2.5949098621421,0.014683544303798,1.2389873417721,0.2965,0.10224356176342,197.5,0.071078431372549,0.020572002007025,150.7,6.32,0,1216166,193.4,2.2,111.22727272727,193.4,1.2,1.2277972905168
"3",2009-12-31,155.7,1.41,0.5886,0.46541786743516,74.2,291.3,9.6,106.8,0.22498420054771,0.50377358490566,0.36663233779609,1.1001,0.50968399592253,NA,11,0,0,-7.8,-7.8,3.2,0,NA,367.9,11.496875,1.8562058526741,NA,114.96875,1.7353773584906,0.125,-7.5001,474.7,0.072433916924133,NA,NA,-0.1389,0.30474040632054,NA,0.8607,0.070030895983522,32,410.1,0.15752255547427,0.13608594902043,-8.8,-0.041509433962264,-16.9,-0.079716981132075,NA,5.5269541778976,NA,-0.036792452830189,1.9344339622641,-0.2999,NA,212,-0.24375,-0.11859838274933,170.8,2.57,64.6,525587,198.2,-23.1,NA,198.2,1.2,3.4200288184438
"4",2008-12-31,153.1,1.14,0.5701,0.46728971962617,74.1,292,5.9,108.9,0.32860591430296,0.44981412639405,0.37294520547945,2.4282,0.33678302052272,380.57142857143,12,0,0,-0.5,-0.2,11.5,0.6,NA,222.5,7.3675496688742,1.0113636363636,NA,19.347826086956,0.91904171829822,0.1767,3.4718,331.4,0.075,NA,NA,-0.1638,0.51068883610451,NA,0.8109,0.071575342465753,30.2,266.4,0.24399399399399,0.1961375980688,0.7,0.0028913672036349,-26.6,-0.10987195373812,0,3.5951417004049,21.537715255882,-0.0020652622883106,1.1003717472119,-3.6718,NA,242.1,-0.0066225165562914,0.00944669365722,195.8,1.66,65,586412,220,-4.7,NA,220,1.2,2.3824586628325
"5",2007-12-31,151.4,1.37,0.4524,0.010582010582011,105.7,282.5,18.7,175.6,0.82248243559719,0.61334264757248,0.62159292035398,-3.0178,0.47745358090186,20.514563106796,13.1,0,0,3,2.1616,16.1,0.27946,NA,37.9,NA,0.14318095957688,12.633333333333,2.3540372670807,0.13237862382117,0.36,-0.4206,213.5,0.11504424778761,-0.05,NA,0.004,0.68856447688565,NA,0.8646,0.12884955752212,-67.7,211.3,0.010411736867014,0.010304449648712,10.3,0.035976248690185,-40,-0.13971358714635,0,1.9990539262062,0.56984897518878,0.010478519035976,0.73803702410059,2.5822,1.1945608005287,286.3,NA,0.097445600756859,224,1.6,2.2,366922,264.7,0.2,1056.5,264.7,1.35,NA
"6",2006-12-31,154.1,1.99,0.5232,0.020317145688801,97.7,285.9,12.9,157.8,0.39728096676737,0.54338842975207,0.55194123819517,0.1592,0.59633027522936,17.787330316742,12.8,0,0,-2.7,-2.6837,10.1,0.00603,NA,239.4,NA,0.81986301369863,NA,23.70297029703,0.82438016528926,0.5,-2.9429,397.2,0.10213361315145,-0.01,NA,0.1129,0.50506186726659,NA,0.8692,0.14200769499825,-56,393.1,0.010429916051895,0.010322255790534,22.1,0.076101928374656,-28.9,-0.099517906336088,0,4.0235414534289,0.35574660633484,-0.009297520661157,1.353650137741,0.2592,NA,290.4,NA,0.22620266120778,225.4,2.26,4.1,669052,292,14.3,27.489510489511,292,1.95,NA
"7",2005-12-31,149.2,3.55,0.5805,0.01841620626151,153.3,249,11.2,152.3,0.17711361786254,0.60292953285827,0.61164658634538,7.1498,0.46856158484066,NA,11.1,0,0,-2.8,-2.8,8.3,0,NA,707.6,353.8,2.4810659186536,NA,85.253012048193,2.8012668250198,0.35,-10.0498,859.9,0.083132530120482,0.04,137.75,0.1464,0.30989824236818,NA,0.8167,0.13574297188755,2,858.9,0.0011642798928863,0.0011629259216188,-0.3,-0.001187648456057,-55.4,-0.21931908155186,NA,5.6027397260274,NA,-0.011084718923199,3.4002375296912,7.2498,NA,252.6,-1.4,-0.0019569471624266,195.7,5.51,1,600512,285.2,-2.3,NA,285.2,1.7,5.5729099157485
"8",2003-12-31,8.5,0,0,NA,NA,0.8,0,0.1,0.018518518518519,0.090909090909091,NA,0,NA,NA,0,0,0,NA,NA,NA,0,NA,5.3,NA,4.8181818181818,NA,NA,NA,NA,NA,5.4,0.25,NA,NA,0,NA,NA,0,0,-0.3,4.4,0.22727272727273,0.18518518518519,-1.3,NA,-1.1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1.6,0.45,1,20000,1.1,-1.7,NA,1.1,0,NA
"9",2002-12-31,5.6,0,0,NA,NA,0.9,0,0.1,0.0625,0.045454545454545,NA,-0.4,0,NA,0.3,0,0,-1.1265,-1.1265,-0.8265,0,NA,1.5,NA,NA,NA,NA,0.68181818181818,NA,-0.8265,1.6,0.55555555555556,NA,NA,-0.6758,NA,NA,NA,0,0.3,0.7,1.2857142857143,0.5625,-1.8,-0.81818181818182,-0.4,-0.18181818181818,NA,NA,NA,-0.51206363636364,0.31818181818182,-0.3,NA,2.2,-3.7551333333333,NA,1.8,0.11,0.9,3176,2,-1.7,NA,2,NA,5
"10",2001-12-31,NA,NA,NA,0.9785,NA,1.5,0,0.1,0.05524861878453,0.041666666666667,NA,-0.0043,NA,NA,0.4,0,0,-0.228,-0.228,0.172,0,NA,1.71,NA,NA,NA,9.9418604651163,0.7125,NA,0.1763,1.81,0.66666666666667,NA,NA,-0.6505,NA,0,0,0,0.957,0.81,1.2345679012346,0.5524861878453,-0.8,-0.33333333333333,-0.422,-0.17583333333333,NA,NA,NA,-0.095,0.3375,-0.4043,NA,NA,-0.23824451410658,NA,1.3,0.54,1,NA,2.4,-1.3,NA,2.4,NA,1.8913270637409
