"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,3.7,1.21,0.6065,0,3.9,4.5,0,1,0.4167,0.2941,0.2222,0.01,0.5,NA,0.1,0,0,0,-0.04,0,0,1.4,0.48,0.4,NA,21.74,0.41,0.05,2.4,0.0222,-0.21,0.4127,NA,0.0826,0,2.9,2.4,0,0,-0.8,-0.2353,0.5,0.1471,NA,0.62,-0.0105,0.71,-0.09,NA,3.4,-0.0123,-0.2051,2.1,0.8,0,16100,3.5,-0.4,NA,3.5,0.45,0.62
"2",2010-12-31,3.7,1,0.4538,0.26984126984127,4.6,9.4,0.1,0.3,0.096774193548387,0.090909090909091,0.031914893617021,0.2364,0.2479065667695,NA,0.8,0,0,-2.0546,-2.0546,-1.2546,0,2.8,0.46666666666667,0.77777777777778,NA,NA,0.84848484848485,-1.591,3.1,0.24468085106383,NA,0.57894736842105,NA,0.1142,0,6,1.4,1.2142857142857,0.54838709677419,-2,-0.60606060606061,2.6,0.78787878787879,NA,0.30434782608696,-0.62260606060606,0.42424242424242,-0.4636,NA,3.3,-0.34243333333333,-0.43478260869565,3.1,0.44,1.7,6205,3.6,-1.8,NA,3.6,0.45,0.49206349206349
"3",2009-12-31,3.7,1.27,0.5463,0.14736842105263,8.1,11.5,0.3,0.1,0.022727272727273,0.0044444444444444,0.008695652173913,-0.9956,0.20593080724876,NA,0.8,0,0,-1.8845,-1.8845,-1.0845,0,4.3,0.45744680851064,0.23243243243243,NA,NA,0.19111111111111,-0.3889,4.4,0.37391304347826,-0.2171,0.43589743589744,NA,0.1267,0,9.4,3,0.46666666666667,0.31818181818182,-1.5,-0.066666666666667,5.6,0.24888888888889,NA,0.37037037037037,-0.083755555555556,0.13333333333333,-1.4956,NA,22.5,-0.20047872340425,-0.18518518518519,4.2,0.87,1.4,6720,18.5,-1.6,NA,18.5,0.45,0.46315789473684
"4",2008-12-31,3.7,1.22,0.579,0.13513513513514,9.6,14.3,0.2,0.4,0.090909090909091,0.013937282229965,0.027972027972028,-0.7195,0.11053540587219,NA,0.8,0,0,-1.0009,-1.0009,-0.2009,0,4,0.37383177570094,0.15873015873016,NA,NA,0.13937282229965,0.3186,4.4,0.34265734265734,-0.1814,0.625,NA,0.1323,0,10.7,2.9,0.51724137931034,0.34090909090909,-1,-0.034843205574913,5.9,0.20557491289199,NA,0.30208333333333,-0.03487456445993,0.10104529616725,-1.3195,NA,28.7,-0.093542056074766,-0.10416666666667,4.5,0.77,1.5,4999,25.2,-1.6,NA,25.2,0.4,0.3963963963964
"5",2007-12-31,3.6,1.63,0.6285,0.16129032258064,10.4,15.8,0.2,1.2,0.3,0.034582132564842,0.075949367088608,1.3435,0.20365950676213,NA,0.9,0,0,-0.6,-0.6,0.3,0,2.8,0.25,0.1025641025641,NA,9.3333333333333,0.080691642651297,-1.2435,4,0.34177215189873,-0.0946,0.99248120300752,NA,0.1564,0,11.2,2,1,0.5,-0.3,-0.0086455331412104,6.3,0.18155619596542,NA,0.19230769230769,-0.017291066282421,0.057636887608069,0.6435,NA,34.7,-0.053571428571429,-0.028846153846154,5.4,0.7,2,10000,27.3,-0.5,NA,27.3,0.8,0.32258064516129
"6",2006-12-31,3.6,2.06,0.5902,0.29251700680272,10.4,18.9,0.7,0.1,0.0075757575757576,0.0026385224274406,0.0052910052910053,0.4172,0.23043036258895,8.9,0.8,0,0,1.8,1.1916,2.6,0.33801,13.1,0.8972602739726,0.36187845303867,7.2777777777778,5.0384615384615,0.34564643799472,0.8744,13.2,0.30687830687831,0.2777,0.41405082212257,NA,0.1419,0,14.6,8.9,0.48314606741573,0.32575757575758,1,0.026385224274406,9.3,0.24538258575198,0,0.85576923076923,0.047493403693931,0.23482849604222,0.3172,0.26615910258661,37.9,0.081615205479452,0.096153846153846,4.8,2.43,4.3,200,36.2,0.1,89,36.2,0.85,0.89795918367347
"7",2005-12-31,3.5,4.3,0.5952,0.17272727272727,9.1,13.9,1.3,0.9,0.064748201438849,0.030927835051546,0.064748201438849,-1.3278,0.1747311827957,6,0.6,0,0,3.1,2.0281,3.7,0.34579,13,1.2871287128713,0.36111111111111,4.1935483870968,3.5135135135135,0.446735395189,2.6559,13.9,0.35251798561151,0.1673,0.41814595660749,NA,0.1292,0,10.1,12,0.15833333333333,0.13669064748201,2,0.06872852233677,5.6,0.19243986254296,0,1.3186813186813,0.10652920962199,0.41237113402062,-0.6278,-0.30957557356614,29.1,0.20079712871287,0.21978021978022,4.1,3.39,1.9,800,36,1.7,7.0588235294118,36,0.65,1.2636363636364
"8",2004-12-31,3.4,1.42,0.6518,0.25,NA,11.4,1.3,0.5,0.034722222222222,0.018518518518519,0.043859649122807,0.5554,0.43571647744707,11,0.6,0,0,1.9652,1.1907,2.5652,0.39411,13.9,1.5977011494253,0.51481481481481,7.0730714431101,5.4186808046156,0.57438016528926,-0.0647,14.4,0.36842105263158,0.219,0.41042654028436,NA,0.0661,0,8.7,12.1,0.1900826446281,0.15972222222222,1.1,0.045454545454545,4.8,0.19834710743802,0,1.7536231884058,0.081206611570248,0.5,1.2554,1.0543185881401,24.2,0.13686149747126,0.15942028985507,3.6,3.35,2.3,6300,27,1.8,6.7222222222222,27,0.85,1.5652173913043
"9",2003-12-31,3.4,-0.07,1.0341,0.21917808219178,NA,9.6,0.3,1.4,0.092105263157895,0.060344827586207,NA,0.4933,-0.013538342520066,13.6,0.7,0,0,2.5604,1.56,3.2604,0.3907,13.8,2.3389830508475,0.5948275862069,5.3898881012362,4.232674406122,0.70769230769231,1.4667,15.2,0.375,0.0496,0.46344735077129,NA,0.0762,0,5.9,13.6,0.11764705882353,0.10526315789474,1,0.051282051282051,2.6,0.13333333333333,0,2.3859649122807,0.1313,0.6974358974359,0.0933,0.059828244669226,19.5,0.26441038220339,0.17543859649123,3.2,4.04,1.6,500,23.2,0.9,15.111111111111,23.2,0,2.0821917808219
"10",2002-12-31,3.3,0.22,1.0557,0.35714285714286,NA,9,0,0.7,0.036649214659686,0.038674033149171,NA,0.5,0.0456,15.090909090909,0.7,0,0,1.5,1.3342,2.2,0.11056,18.4,NA,NA,12.266666666667,8.3636363636364,1.0165745856354,2.0342,19.1,0.45555555555555,0.1684,0.66666666666667,NA,NA,0,6.3,16.6,0.15060240963855,0.13089005235602,1.1,0.060773480662983,2.5,0.13812154696133,0,3.6888888888889,0.082872928176796,0.9171270718232,-0.7,-0.52467470168496,18.1,0.21177142857143,0.24444444444444,2.8,5.05,2.5,14730,18.9,1.2,13.833333333333,18.9,NA,2.9206349206349
