"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Price to Book Value Ratio","Price to Sales Ratio","Reinvestment Amount","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,122.5,0.54,0.6222,NA,-313.7,199.6,6.9,3.2,0.0033,32,0.016,NA,0.22,14.6,0,0,NA,NA,NA,0,960,5.62,NA,9600,NA,963.2,0.9669,NA,-0.02,0.3782,0.1292,0,170.9,475.4,1.0261,0.5064,-160.8,-1608,-22.7,-227,NA,4754,-7.7,0.1,NA,NA,40.6,2.31,487.8,3352403,NA,-154,NA,1.1,5.53
"2",2010-12-31,113,1.59,0.8741,NA,-185.5,277.3,9.5,70.4,0.090129304826527,704,0.25387666786873,0,0.32890973572818,17.3,0,0,NA,NA,NA,0,710.7,3.7643008474576,7107,7107,NA,781.1,0.72989542012261,NA,NA,0.64081632653061,0.1744,0,188.8,336.4,1.3219381688466,0.56932531045961,-170.6,-1706,-14.6,-146,NA,3364,-7.8,0.1,NA,NA,135.3,2.5,444.7,1546205,0.1,-162.7,0.1,1.15,3.0135030864198
"3",2009-12-31,113,1.29,0.8877,NA,-59.2,247.4,18.9,32.5,0.024456317254872,NA,0.13136620856912,NA,0.33795201081446,18.7,0,0,NA,NA,NA,0,1296.4,6.9661472326706,12964,NA,NA,1328.9,0.84155214227971,NA,NA,0.40050377833753,0.2033,0,186.1,1051.1,0.26429454856817,0.20904507487396,-220.1,NA,-23.6,NA,NA,NA,0.2,NA,NA,NA,53.4,8.06,277.8,2033683,0.1,-191.8,0.1,1.2,6.0791399817017
"4",2008-12-31,102,1.33,0.8471,0.62139737991266,86.7,282.5,82.5,46.5,0.040179728678821,NA,0.1646017699115,NA,0.23609963404557,12.3,0,0,NA,NA,NA,0,1110.8,6.0865753424657,NA,NA,NA,1157.3,0.80141592920354,NA,NA,0.72027972027972,0.308,0,182.5,1015,0.14019704433498,0.12295861055906,-303,NA,-45.9,NA,11.707035755479,NA,NA,NA,NA,-3.4948096885813,55.3,8.76,142.3,989274,NA,-243.9,NA,1.25,5.053711790393
"5",2007-12-31,101.4,-0.23,0.6215,0.23492330321496,364.1,543.4,78.3,368.3,0.77553169088229,NA,0.67776959882223,NA,0.28318584070796,9,0,0,-9,-9,0,0,106.6,0.9907063197026,NA,NA,NA,474.9,0.29039381670961,-2.8,NA,0.64503816793893,0.3847,0,107.6,363.1,0.30790415863399,0.23541798273321,-293.2,NA,-57.2,NA,0.99725350178522,NA,NA,NA,-0.08364312267658,-0.80527327657237,50.5,3.43,111.8,311621,NA,-294.7,NA,1.1,0.99789871821811
"6",2006-12-31,73.4,0.61,0.6035,0.2249393694422,383.5,539.7,20.8,436.5,0.6336188125998,NA,0.80878265703168,NA,0.33140016570008,7.2,0,0,-7.2,-7.2,0,0,252.4,4.3293310463122,NA,NA,0.3,688.9,0.16360941263665,-3.78,NA,0.40047961630695,0.3657,0,58.3,577.6,0.19269390581717,0.16156191029177,-230.6,NA,-31.8,NA,1.5061277705345,NA,NA,NA,-0.12349914236707,-0.6013037809648,42,7.28,111.3,306416,NA,-289.4,NA,1.25,1.3922797089733
"7",2005-12-31,50.3,NA,NA,0,207,228.4,17.2,145.6,0.17695673310647,NA,0.63747810858144,NA,NA,7.4,0,0,-7.4,-7.4,0,0,677.2,11.029315960912,6772,NA,NA,822.8,0.30560420315236,-4.35,NA,0.33131618759455,0.2696,0,61.4,822.8,0,0,-114.3,NA,-17.1,NA,3.9748792270531,NA,NA,NA,-0.12052117263844,-0.55217391304348,22.8,16.49,0,803475,0.1,-192.6,0.1,1.5,3.9748792270531
"8",2004-12-31,32.8,0,0,0,NA,163.5,6.9,90.5,0.15328590785908,NA,0.55351681957187,0,NA,7.2,0,0,NA,NA,NA,0,499.9,8.3455759599332,NA,NA,NA,590.4,0.37064220183486,NA,0,0.33094954310687,0.2237,0,59.9,590.4,0,0,-76,NA,-7.8,NA,3.9255319148936,NA,-0.3,NA,NA,-0.50531914893617,70,11.26,0,285279,NA,-81.8,0,0,3.9255319148936
"9",2003-12-31,32.4,0,0,0.011844331641286,NA,125.9,5.2,55.9,0.10452505609574,NA,NA,0,NA,7.7,0,0,NA,NA,NA,0,478.9,5.8048484848485,NA,NA,NA,534.8,0.4900714853058,NA,0,0.38834951456311,0.1255,0,82.5,533.4,0.0026246719160105,0.0026178010471204,-65.9,NA,-5.4,NA,5.5217391304348,NA,-2.5,NA,NA,-0.56421232876712,58.7,15.9,1.4,20879,NA,0,0,0,4.5245346869712
