"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,70.7,0.59,0.1733,0.1359,3171.6,9476.5,29.9,1537.3,0.5589,0.1622,NA,0.8,NA,0,0.0214,48.08,NA,NA,NA,0,NA,1213.1,0.57,0.15,NA,2750.4,0.0057,3.43,9.35,0.125,NA,0.1311,0.8651,0.0021,2133.3,2251.4,0.2216,0.1814,-105.8,0,0.1647,0.71,NA,29.9,NA,NA,-0.0334,1929.1,32.08,499,422288,NA,291.9,7.71,NA,0.85,0.75
"2",2010-12-31,76.3,0.61,0.262,0.13336185230736,3241.4,8832.1,17.9,1465.1,0.61628738484836,0.16588353845631,NA,0.8,6.0073552926127,0,0.0226,42.4541,NA,NA,NA,0.0811,0.081104907434617,912.2,0.40094940881719,0.15,NA,2377.3,0.0039401727788408,NA,NA,0.82,NA,0.17886482449589,0.8533,0.0023776904699902,2275.1,1878.5,0.2655310087836,0.20981786059816,312.7,0,0.13576622961305,0.57953353489233,0.40049035284085,17.9,NA,NA,0.096470660825569,1891.1,26.5,498.8,671962,NA,-26.6,NA,NA,0.85,0.63560772151222
"3",2009-12-31,83.3,0.67,0.2956,0.070210970464135,3305.4,8257.2,4.6,1120.1,0.45238287560582,0.13565131037156,NA,0.76116373477673,4.6980375606668,0,0.0207,46.0865,NA,NA,NA,0.11371,0.113708621657,1355.9,0.55686065136145,0.15,NA,2476,0.0033304267790534,2.95,9.7016949152542,0.07,NA,0.14079422382671,0.8705,0.00099307271229957,2434.9,2226.4,0.11210923463888,0.10080775444265,473.9,0,0.097249377505803,0.67356447026079,0.31320250404445,4.6,NA,NA,0.14337145277425,1836.8,28.62,249.6,592852,NA,346.3,6.429107710078,NA,0.9,0.69648382559775
"4",2008-12-31,81.5,0.71,0.2968,0.082381298289639,2779.1,7288.8,11.4,1034,0.44075021312873,0.14186148611568,NA,0.48517520215633,20.197495183044,0,0.0238,49.8967,NA,NA,NA,0.25963,NA,1312,0.65777599518701,0.15,NA,2346,0.0046372516738009,4.74,5.3691983122363,NA,NA,0.21279317697228,0.9273,0.0011250137196795,1994.6,2096.5,0.11900787025996,0.10635123614663,103.8,0,0.48070038535645,0.75438091468461,1.3464996788696,NA,NA,NA,0.037350221294664,1835.5,25.45,249.5,823401,NA,368.3,5.6923703502579,NA,0.9,0.77461533381761
"5",2007-12-31,85.5,0.84,0.2403,0.081347200938998,2817.6,7201.3,11.1,931.5,0.44562981390231,0.1293516448419,NA,0.59925093632959,3.7644171779141,0,0.027868318122555,51.3,0,0,0,0.14808,NA,1158.8,0.54261097583817,0.15,NA,2090.3,0.0038604140919001,2.35,10.31914893617,NA,NA,0.41109902067465,0.9834,0.0011386832932943,2135.6,1840.8,0.13553889613212,0.11936085729321,489,0,0.10490797546012,0.65332197614992,0.25096114519427,NA,NA,0,0.17355195911414,1601.4,24.25,249.5,1482717,NA,226.6,8.1235657546337,NA,0.9,0.68152326301718
"6",2006-12-31,87.8,0.7,0.212,0.094516239057111,2389.3,6640.1,1.8,1190.5,0.42213318204383,0.1792894685321,NA,0.64150943396226,6.7992594551706,0,0.020491675742959,52.68,0,0,0,0.19622,NA,1629.7,1.1253279933711,0.1,NA,2820.2,0.0037047634824777,4.57,6.2319474835886,NA,NA,0.17110266159696,0.9656,0.0012349211608259,1448.2,2570.8,0.097012603080753,0.088433444436565,378.1,0,0.13932822004761,1.0759636713682,0.67992594551706,NA,NA,0,0.1582471853681,1663.6,28.48,249.4,503346,NA,473.3,5.4316501162054,NA,0.85,1.0687838708455
"7",2005-12-31,95.2,0.96,0.2045,0.11933368436169,2039.8,6537.8,17.8,1391.3,0.50247390660551,0.21280859004558,NA,0.66503667481663,NA,0,0.022670265121448,57.12,0,0,0,0,NA,1377.6,1.5344174649142,0.05,NA,2768.9,0.0034874116675334,3.43,7.6851311953353,NA,NA,0.11932635037995,0.7386,0.0012542445470953,897.8,2519.6,0.098944276869344,0.090035754270649,-177.8,0,NA,1.2352191391313,NA,NA,NA,0,-0.08716540837337,1651.6,26.36,249.3,154700,NA,288.9,8.7213568708896,NA,0.85,1.2096020269975
"8",2004-12-31,0,0,0,NA,NA,0,0,0,0,NA,0,NA,NA,0,0,0,NA,NA,NA,0,NA,1629.5,NA,0.12,NA,1629.5,NA,NA,NA,NA,0,0.158256660456,0.3855,NA,0,1629.5,0,0,0,0,NA,NA,NA,0,NA,NA,NA,0,23.61,0,130200,NA,0,NA,0,1,NA
"9",2003-12-31,0,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,0,NA,0,NA,0.12,NA,0,NA,NA,NA,NA,0,0.11402095084609,0.2666,NA,0,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,24.69,0,5000,NA,0,NA,0,0,NA
"10",2002-12-31,0,0,0,NA,NA,0,0,0,NA,NA,0,0,NA,0,NA,0,0,0,0,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,0,0.049949031600408,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,0,23.7,0,NA,0,NA,NA,0,NA,NA
