"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,292.9,0.75,0.2178,0.4252,6503,13848.3,123.9,415.5,0.0278,0.0723,0.03,2.68,0.8,20.49,571.3,0.0232,234.32,1076,730.42,1647,0.3211,0.3366,14512.4,1.33,2.49,13.49,8.81,2.53,0.1267,1175.14,14927.9,0.0299,2.37,14.69,-0.07,-0.035,0.1716,0.818,0.7543,10897.3,10118.1,0.4754,0.3222,493.8,0.0859,171.5,0.0298,0.4429,1.56,1.62,0.1873,1.76,-444.72,-0.6089,5745.7,0.067,0.0759,671.8,34.81,4809.8,2099236,5835.4,529,19.13,5835.4,0.8,1.32
"2",2010-12-31,301.9,0.55,0.2407,0.44777625417195,6403.2,14161.8,132.8,338,0.025806057552089,0.064142708036816,0.02386702255363,21.9563,0.8,17.662198391421,536.7,0.0076,60.0826,956,622.031,1492.7,0.34934,0.27373032613987,12759.7,1.1334600659128,2.2593136907713,13.346966527197,8.5480672606686,2.4214251826549,0.14,1003.9747,13097.7,0.027538872177266,2.27,11.713656387665,-0.135,0.7342,0.19950257594599,0.8253,0.75928907342287,11257.3,7905.6,0.65676229508197,0.39641311069883,447.6,0.084941645317393,306,0.058070025619129,0.1342327077748,1.2346326836582,1.2615855993872,0.18142138722839,1.5002561912895,-381.9437,-0.61402686984167,5269.5,0.055255786023292,0.069902548725637,675.8,26.59,5192.1,1583442,5647.6,514,15.380544747082,5647.6,0.8,1.1295697394634
"3",2009-12-31,374.5,0.57,0.4089,0.28137378699555,8308.9,13997.6,52.5,430.9,0.037779355936067,0.11431224300305,0.03078384865977,90.494,0.48911714355588,80.477788746298,384.3,0.0074,60.3278,414.8,276.2692,799.1,0.33397,0.35064102564103,10974.8,0.98594054602787,2.1074583301329,26.458052073288,13.733950694531,2.911473670248,0.1317,517.5752,11405.7,0.026854603646339,1.97,13.903553299492,-0.09,-0.4424,0.16348516348516,0.6672,0.75939446762302,11131.3,8152.4,0.39906039939159,0.28523457569461,101.3,0.026873590661891,237.2,0.062926117522218,0.59553563672261,0.98116477512065,6.1106901098176,0.11004111951187,2.1627271521422,-241.306,-0.87344485726141,3769.5,0.024819135590632,0.012191746199858,554.1,27.39,3253.3,3596045,5207.6,209.8,38.857959961868,5207.6,0.8,0.98646451367387
"4",2008-12-31,190.9,0.63,0.411,0.41580540075736,3532.8,7514,76.7,220.9,0.031161832750254,0.064103308183401,0.029398456215065,-6.201,NA,38.963373083475,273.1,0.0084,38.4241,334.9,227.2531,608,0.32143,NA,6867.9,1.1787553206096,2.0529997309658,20.507315616602,11.295888157895,1.9930063842136,NA,429.8541,7088.8,0.036278945967527,NA,NA,-0.015,-0.2613,0.2621359223301,NA,0.68116848549374,5826.4,4574.3,0.54970159368647,0.35471447917842,117.4,0.034068485200232,212.2,0.061578641903656,0.32729233390119,1.2948086503623,NA,0.097185142193848,1.3274230992455,-202.601,-0.89152128389161,3446,0.039004032163943,0.03323143115942,474.2,23.44,2514.5,3027462,3345.3,211.1,21.668877309332,3345.3,NA,1.1722256213517
"5",2007-12-31,194.7,0.86,0.3898,0.53067050616886,3781.2,9794.6,113.8,355.3,0.048489232196959,0.074674232870954,0.03627509035591,-9.9475,NA,9.1927710843374,462,0.012758846657929,38.94,745.7,462.1774,1207.7,0.38021,NA,6972.1,0.90531468713074,1.4363025833299,9.3497385007376,5.7730396621678,1.4653425809164,NA,820.3249,7327.4,0.040073101504911,NA,NA,0.045,0.1294,0.5943979628956,NA,0.72821758928389,7701.3,3052,1.4008519003932,0.58348118022764,332,0.069777217318201,492,0.10340479192938,0.11728915662651,0.80715116894108,NA,0.15672551492224,0.64144598570828,-358.1475,-0.77491356924606,4758,0.060012907301365,0.087802813921506,610.4,16.27,4275.4,1510166,4854.2,289.6,10.538674033149,4854.2,NA,0.90949035573319
"6",2006-12-31,191,0.95,0.2134,0.48917460420663,3142.7,7630.6,122.4,211.8,0.019142474964752,0.051251028408266,0.027756663958273,-30.3561,0.71227741330834,31.087996912389,403.5,0.0047424549032266,38.2,591.9,371.7132,995.4,0.372,NA,10852.6,1.8269140125244,2.3605951189803,18.335191755364,10.902752662246,2.6260949523302,NA,683.1693,11064.4,0.045317537284093,NA,NA,0.045,0.2166,NA,NA,0.62216601577858,5940.4,8054.9,0.37362350867174,0.27199848161672,259.1,0.062696607462614,269.9,0.065309974350288,0.14743342338865,2.5630508798167,NA,0.14322702414945,1.949111939215,-311.4561,-0.83789350520243,4132.6,0.062573766076359,0.082445031342476,611.1,39.87,3009.5,2175100,4597.4,483.9,16.645794585658,4597.4,0.95,1.7984460843276
"7",2005-12-31,62.8,0.35,0.1903,0.33163562281723,459.3,972.4,63.6,138,0.017580513656747,0.12353415092651,0.14191690662279,-143.1945,0.8,72.243601895735,51.9,0.0016479263156514,12.56,196.1,118.664,248,0.39488,NA,7711.6,14.041514930808,2.3372734436564,39.32483426823,31.095161290323,6.9032315817742,NA,250.1585,7849.6,0.072295351707116,NA,NA,NA,0.0673,NA,NA,0.26779103249691,549.2,7621.7,0.029901465552305,0.029033326538932,105.5,0.094440963208307,73.3,0.065616327992122,0.11905213270142,16.594165033747,NA,0.17554381881658,6.8227553486707,-131.4945,-1.1081244279413,1117.1,0.21606706482156,0.22969736555628,129.4,40.09,227.9,566100,3299.4,220.3,34.596913300045,3299.4,1,11.422584400466
