"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,35.1,2.74,1.0411,0.7076,15,78,3.3,48.3,0.2415,0.8299,0.6192,1.46,0.66,NA,5.4,0,0,-3095,-3094.88,-3089,0,NA,151.7,50.57,4.17,NA,NA,2.61,NA,-3094.24,200,0.1628,NA,NA,0.045,0.5763,NA,0.5424,0,3,163.7,0.2217,0.1815,-32.7,-0.5619,-3.9,-0.067,NA,10.91,-53.1766,2.81,-0.64,NA,58.2,-1031.6264,-2.18,24,2.4,36.3,2536436,36.4,NA,NA,36.4,1.25,3.9
"2",2010-12-31,28.5,1.86,0.942,0.36729222520107,23.6,74.3,0.3,37.3,0.69719626168224,1.110119047619,0.50201884253028,-10.0527,0.35828025477707,NA,5.7,0,0,-111.2054,-111.2054,-105.5054,0,NA,16.2,NA,0.27979274611399,NA,NA,0.48214285714286,NA,-95.7527,53.5,0.20053835800808,NA,NA,NA,0.76228571428571,NA,0.1204,0,0,39.8,0.34422110552764,0.25607476635514,-68.8,-2.0476190476191,-13.9,-0.41369047619048,NA,1.6864406779661,-3.3096839285714,1.1845238095238,-15.4527,NA,33.6,NA,-2.9152542372881,23.3,1.15,13.7,1015132,57.9,-38.7,NA,57.9,1.35,NA
"3",2009-12-31,13.5,1.34,0.6645,NA,-12.1,52.8,0.3,23.9,0.21454219030521,0.24288617886179,0.45265151515152,5.5805,0.47027840481565,33.827586206896,6.8,0,0,16.6,6.64,23.4,0.6,0.70707070707071,87.5,NA,1.9188596491228,5.2710843373494,3.7393162393162,0.88922764227642,NA,7.5595,111.4,0.3844696969697,NA,NA,0.0017,0.69811320754717,NA,0.1076,0,-22.7,98.1,0.13557594291539,0.11938958707361,2.9,0.029471544715447,-10.4,-0.10569105691057,0,NA,0.16869918699187,0.9969512195122,-0.9195,-0.1384807522774,98.4,NA,NA,23.7,5.13,13.3,2624238,45.6,-48,NA,45.6,1.25,NA
"4",2008-12-31,140.5,1.67,0.6847,NA,-61,67.2,8.1,10.8,0.053838484546361,0.15882352941177,0.16071428571429,0.6049,0.29209872937053,NA,6.7,0,0,-38.7212,-38.7212,-32.0212,0,NA,189.8,NA,1.6693051890941,NA,NA,2.7911764705882,NA,-40.7261,200.6,0.39880952380952,-0.05,NA,-0.2414,0.5672514619883,NA,0.1996,0,-8.5,137.3,0.46103423160961,0.31555333998006,-45.2,-0.66470588235294,0.9,0.013235294117647,NA,NA,-0.56942941176471,2.0191176470588,2.0049,NA,68,NA,NA,24.1,0.7,63.3,2851265,113.7,9.9,13.868686868687,113.7,1.25,NA
"5",2007-12-31,132,2.14,0.6151,0.99412915851272,-29.3,84.8,9.5,38.6,0.28195763330898,0.45788849347568,0.45518867924528,-1.8725,0.37717444317997,NA,6.2,0,0,-2.6,-2.6,3.6,0,NA,98.3,NA,2.146288209607,NA,27.305555555556,1.1660735468565,NA,-4.0275,136.9,0.30188679245283,-0.43,NA,1.2803,0.6974358974359,NA,0.4934,0,-17.1,86.1,0.59001161440186,0.37107377647918,-12.3,-0.14590747330961,-4.1,-0.048635824436536,NA,NA,-0.030842230130486,1.0213523131673,1.4275,NA,84.3,NA,NA,20.6,0.66,50.8,374789,45.8,-65.2,NA,45.8,1.45,NA
"6",2006-12-31,105.5,3.02,0.6059,NA,-67.8,91.5,8.5,46.4,0.088532722762832,1.5728813559322,0.50710382513661,5.3153,0.36969796996204,NA,5.1,0,0,-40.6682,-40.6682,-35.5682,0,NA,477.7,NA,6.0853503184713,NA,NA,16.193220338983,NA,-49.3834,524.1,0.2448087431694,-0.17,NA,0.295,0.38267716535433,NA,0.4723,0,-16,425.9,0.23057055646866,0.18736882274375,-51.8,-1.7559322033898,-3.2,-0.10847457627119,NA,NA,-1.3785813559322,14.437288135593,8.7153,NA,29.5,NA,NA,18.1,2.85,98.2,2175173,78.5,-16.9,NA,78.5,1.4,NA
"7",2005-12-31,86.3,2.72,0.5519,NA,-20.7,72.6,4.8,43.5,0.15311510031679,2.3262032085562,0.59917355371901,4.0979,0.34788911034608,NA,5.1,0,0,-36.0934,-36.0934,-30.9934,0,NA,240.6,29.341463414634,9.0451127819549,NA,NA,12.866310160428,NA,-39.8912,284.1,0.26308539944904,-0.06,NA,4.0301,0.23456790123457,NA,0.2387,0,8.2,211.7,0.34199338686821,0.25483984512496,-23.8,-1.2727272727273,-9.7,-0.51871657754011,NA,NA,-1.9301272727273,11.320855614973,3.7979,NA,18.7,-4.4016317073171,NA,14.8,2.2,72.4,702267,26.6,-47,NA,26.6,1.2,5.495164410058
"8",2004-12-31,85.6,1.31,0.6277,NA,NA,46.3,2.6,24.3,0.13228089275993,1.6418918918919,0.52483801295896,-62.7,0.41739684562689,NA,4.6,0,0,-62.3159,-62.3159,-57.7159,0,NA,159.4,7.2454545454545,10.77027027027,NA,NA,43.081081081081,NA,2.3841,183.7,0.41684665226782,-0.26,NA,0,0.47311827956989,NA,0.1747,0,22,142.4,0.29002808988764,0.22482308111051,-78.9,-21.324324324324,-20.9,-5.6486486486487,NA,NA,-16.842143243243,38.486486486486,-64.7,1.0382577937937,3.7,-2.8325422727273,NA,15.6,1.6,41.3,637187,14.8,-5.1,NA,14.8,1.45,NA
"9",2003-12-31,84,1.1,0.6469,0.55162790697674,NA,118.8,2.7,85.2,0.30891950688905,10.923076923077,NA,-0.4082,0.34008347503478,NA,4,0,0,-53.5214,-53.5214,-49.5214,0,NA,190.6,3.6724470134875,24.435897435897,NA,NA,7.8114754098361,NA,-51.8132,275.8,0.17929292929293,-0.94,NA,-0.3031,0.61128526645768,NA,0.3674,0,51.9,216.5,0.27390300230947,0.21501087744743,-58.7,-2.405737704918,0.6,0.024590163934426,NA,11.639784946237,-2.1935,8.8729508196721,-1.7082,0.031916144221031,24.4,-1.0312408477842,-1.2178423236514,24.5,2.49,59.3,389682,7.8,-80.9,NA,7.8,1.35,2.5655813953488
"10",2002-12-31,71.8,1.98,0.8016,NA,NA,71.8,10.1,36.7,0.058124802027241,1.2274247491639,NA,46.9,0.5445,NA,2.1,0,0,-32.009,-32.009,-29.909,0,NA,594.7,NA,NA,NA,NA,19.889632107023,NA,-40.009,631.4,0.31476323119777,-0.72,NA,0.6957,0.58050221565731,NA,0.4239,0,22.2,561.1,0.12528960969524,0.11133987963256,-33.2,-1.1103678929766,0.1,0.0033444816053512,NA,NA,-1.0705341137124,18.765886287625,8,NA,29.9,-1.4418454954955,NA,19.4,6.74,70.3,962423,30,-44,NA,30,1.3,26.788288288288
