"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,20.8,1.57,0.3327,0.116,348.3,406.6,0.1,241.3,0.6757,NA,0.5935,-1.79,0.8,2.82,0.1,0,0,NA,NA,NA,0,0,115.8,0.76,NA,NA,NA,NA,NA,NA,NA,357.1,5e-04,NA,NA,-0.425,0.1611,NA,0.7964,0,152.7,311.4,0.1468,0.128,110.6,NA,4.2,NA,NA,0.89,NA,NA,-1.79,NA,NA,NA,0.3175,21,14.75,45.7,97821,NA,-53.1,NA,NA,1.35,0.91
"2",2010-12-31,20.6,3.17,3.0034,0.23513011152416,246.9,337,0.1,225.8,0.56591478696742,NA,0.6700296735905,NA,0.11653459412666,NA,0.1,0,0,NA,NA,NA,0,NA,173.2,1.7855670103093,NA,NA,NA,NA,NA,NA,NA,399,0.00089020771513353,NA,NA,NA,0.24236252545825,NA,0.8727,0,97,323.1,0.23491179201486,0.19022556390977,-47.7,NA,3.2,NA,NA,1.3086269744836,NA,NA,0,NA,NA,NA,-0.19319562575942,20.8,15.79,75.9,110747,NA,-33.8,NA,NA,1.4,1.2360594795539
"3",2009-12-31,20.3,3.51,3.0321,0.29103088946781,190.5,282.1,2.2,106.4,0.25207296849088,3.0574712643678,0.37717121588089,NA,0.11955410441608,NA,1.4,0,0,-16.1448,-16.1448,-14.7448,0,NA,315.7,1.9451632778805,NA,NA,NA,9.0718390804598,NA,NA,-16.9448,422.1,0.0010634526763559,NA,NA,-0.5274,0.31871455576559,NA,0.5615,0,162.3,343.9,0.22739168362896,0.18526415541341,-42.9,-1.2327586206897,-0.5,-0.014367816091954,NA,1.805249343832,-0.46392988505747,9.882183908046,0.8,NA,34.8,-0.099474799753543,-0.2251968503937,37.2,17.08,78.2,82134,NA,-29.3,NA,NA,1.45,1.5708969110532
"4",2008-12-31,20.3,3.79,3.0412,0.49026290165531,104.7,232.4,3.5,89.8,0.30134228187919,1.2184531886024,0.38640275387263,-3.1639,0.076285676706563,NA,3.6,0,0,-20.0572,-20.0572,-16.4572,0,NA,208.2,1.8010380622837,3.7245080500895,NA,NA,2.8249660786974,NA,NA,-16.7933,298,0.053356282271945,NA,NA,-0.5829,0.75633802816901,NA,0.4409,0.054647160068847,115.6,197.3,0.51039026862646,0.33791946308725,-42.8,-0.58073270013569,13.1,0.17774762550882,NA,1.8844317096466,-0.27214667571235,2.6770691994573,-3.2639,NA,73.7,-0.17350527681661,-0.40878701050621,60.7,10.31,100.7,362572,55.9,-51.9,NA,55.9,1.45,1.4508276533593
"5",2007-12-31,121.1,1.73,0.4344,0.53461770018061,154.6,391.9,9.3,124.8,0.48073959938367,0.70868824531516,0.3184485838224,-1.1309,0.51565377532228,NA,12.8,0,0,-50.1684,-50.1684,-37.3684,0,NA,134.8,0.64995178399229,1.3547738693467,NA,NA,0.76547416240772,NA,NA,-45.5375,259.6,0.090839499872416,-0.1,NA,-0.1161,0.62139917695473,NA,0.5123,0.22148507272263,207.4,82,2.1658536585366,0.68412942989214,-68.1,-0.38671209540034,-2.6,-0.014764338444066,NA,0.53040103492885,-0.28488597387848,0.465644520159,-4.6309,NA,176.1,-0.24189209257474,-0.4404915912031,99.5,0.69,177.6,511429,99.5,-42,NA,99.5,1.4,0.78145695364238
"6",2006-12-31,120.4,2.18,0.4762,0.43493333333333,211.9,443.4,17.9,169.3,0.43477144324602,0.85461887935386,0.38182228236355,-0.2649,0.65518689626208,NA,14.6,0,0,-54.7351,-54.7351,-40.1351,0,NA,220.1,1.0700048614487,1.2080131723381,NA,NA,1.1110550227158,NA,NA,-57.7702,389.4,0.10126296797474,-0.5,NA,0.0591,0.30677290836653,NA,0.4873,0.22304916553902,205.7,226.3,0.72072470172338,0.41884951206985,-43.8,-0.221100454316,-3.3,-0.01665825340737,NA,1.067956583294,-0.27630015143867,1.1423523472993,3.0351,NA,198.1,-0.2660916869227,-0.20670127418594,106.9,1.7,163.1,414100,182.2,-64.6,NA,182.2,1.95,1.0384
"7",2005-12-31,119.9,3.87,0.5556,0.51197870452529,165,416.2,12.3,159.3,0.34250698774457,0.85553168635875,0.38274867851994,-1.2924,0.5471562275018,NA,15.7,0,0,-42.8852,-42.8852,-27.1852,0,NA,305.8,1.7102908277405,1.4438149197356,NA,NA,1.6423200859291,NA,NA,-38.1928,465.1,0.095386833253244,NA,NA,0.1889,0.25813449023861,NA,0.381,0.27895242671792,178.8,292,0.59280821917808,0.37217802623092,-37.2,-0.19978517722879,9.4,0.050483351235231,NA,1.769696969697,-0.2303179377014,1.5682062298604,-4.6924,NA,186.2,-0.23985011185682,-0.22545454545454,98.6,2.42,173.1,1334700,211.8,-34.4,NA,211.8,1.9,1.3756285122745
"8",2004-12-31,120,3.82,0.8576,0.11483870967742,NA,453.8,15.3,185.3,0.76004922067268,1.031163049527,0.40832966064345,-0.044,0.89085820895522,NA,13.2,0,0,-52.0929,-52.0929,-38.8929,0,NA,58.5,1.239406779661,0.32554257095159,NA,NA,0.37332482450542,NA,NA,-54.1489,243.8,0.099382988100485,NA,NA,0,0.40243902439024,0.022,0.2195,0.22895548699868,47.2,217.1,0.12298479963151,0.10951599671862,-35,-0.22335673261008,-0.3,-0.001914486279515,NA,1.0549076773567,-0.33243739629866,1.3854499042757,2.056,-0.039467283197515,156.7,-1.1036639830508,-0.17006802721088,103.8,1.91,26.7,599700,179.7,-54.8,NA,179.7,2.2,1.0486021505376
"9",2003-12-31,119.4,3.73,0.8863,0.47534429142603,NA,836.3,13.7,226,0.47679324894515,0.38718519787562,NA,-40.7851,0.84170145548911,NA,32.8,0,0,1.6226,1.6226,34.4226,0,NA,248,1.1061552185549,0.42487579235909,152.84111919142,7.2045690912366,0.15284111919142,NA,-0.275,61.5077,474,0.040655267248595,-0.12,NA,-0.0372,0.61707632600259,0.022,0.3288,0.2514647853641,224.2,260,0.82307692307692,0.45147679324895,-33.3,-0.020522618020461,63.7,0.039257981018119,NA,1.1007620660457,0.001,0.16023665721681,-59.8851,-36.906888006732,1622.6,0.0072372881355932,-0.14098221845893,244.5,2.11,214,300500,583.7,0,NA,583.7,2.1,1.0528653931586
"10",2002-12-31,119.4,4.33,1.1805,0.43948126801153,NA,868.7,11.5,269.2,0.41174671153258,0.15970574276222,NA,41.6,0.8075,NA,32.9,0.0027117874176698,1.194,-30.3,-30.3,2.6,0,NA,384.6,NA,NA,NA,147.92307692308,0.2281680113906,NA,-0.01,-8.9,653.8,0.044434212040981,-0.03,NA,-0.1367,0.584229390681,0.035,0.2702,0.25946817082998,216.6,440.3,0.48489666136725,0.32655246252677,-129.1,-0.076589938300902,-15.6,-0.0092548647365923,NA,1.6169665809769,-0.01797579496915,0.26121262458472,-21.4,NA,1685.6,-0.1398891966759,-0.47410943811972,272.9,3.63,213.5,561197,1671.8,-103.9,NA,1671.8,2.1,1.7756232686981
"11",2001-12-31,NA,3.99,1.1577,0.3525,NA,1192.3,23.3,511.7,1.2951151607188,0.26572155579789,NA,22.2824,0.6034,NA,40.7,0.0071,1.1871,-6.7784,-6.7784,33.9216,0,NA,-116.6,NA,NA,NA,-3.4373378614216,-0.060549410603936,NA,NA,-11.6608,395.1,0.049735804747127,-0.11,-12.909090909091,-0.3101,0.65873015873016,0.071,0.2045,0.14342028013084,134.894,167.2,1.363038277512,0.57681599595039,-499.1,-0.25917848055253,-154.476,-0.080218102508179,NA,0.39933126343444,-0.0035199667653321,0.086825569922625,4.8824,NA,NA,-0.050249825789138,-1.1920229281108,315.1,1.42,227.9,160600,1925.7,-290.1,NA,1647.9,1.95,2.9289664477293
"12",2000-12-31,NA,1.9,1.1741,0.16304023845008,NA,1648.3,15.5,219.4,0.34853057982526,0.079194340167485,NA,-2.3559,0.48547823865088,NA,33.5,0,0,-26.3188,-26.3188,7.1812,0,NA,410.1,NA,NA,NA,57.107447223305,0.14802916546347,0.24,NA,7.5734,629.5,0.032154340836013,NA,NA,-0.1594,0.78416013925152,0.052,0.2022,NA,903.8,410.7,0.5327489651814,0.34757744241462,-212.4,-0.076667629223217,99.7,0.035987583020502,NA,0.45411322423706,-0.0095,0.14824574068727,-33.8922,NA,NA,-0.029120159327285,-0.23485183547103,354.8882,3.85,218.8,NA,2770.4,-655.3,NA,2251.1,NA,0.56045227920228
"13",1999-12-31,NA,1.5,0.8573,0.28180454886278,NA,1499.9,10.2,49.8,0.047061047061047,NA,NA,NA,0.2624518838213,6.7425101214575,36.8,0,0,35.9,26.3851,63.1851,0.26504,NA,1008.4,NA,NA,28.089136490251,15.959467889437,0.36690438073061,NA,NA,59.5762,1058.2,0.037469164610974,NA,NA,0.1728,0.91304347826087,0.13,0.1924,NA,750.4,832.7,0.27080581241744,0.21309771309771,NA,0.030963469655072,NA,0.034565565419881,0,1.4489298764573,0.013062145248144,0.30297627710668,NA,-1.0081461238828,NA,0.035161332622601,0.14807725769967,311.6,NA,NA,NA,NA,85.1,9.7849588719154,2748.4,NA,1.3224193951512
