"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,209.3,0.26,0.4869,0.337,786.8,2204.3,34.6,968.9,0.1027,0.6869,0.4395,-7.35,0.13,305.22,35,0,0,222,151.03,257,0.3188,0.5107,8465.5,38.85,4.82,38.18,32.98,6,0.255,158.78,9434.4,0.0604,NA,NA,0.12,0.3476,0.036,0.9149,0.3151,217.9,9034.4,0.0443,0.0424,29.6,0.021,-30,-0.0213,0,11.48,0.1572,6.4,-7.75,-0.0513,1410.6,0.6931,0.0376,400.7,41.9,400,1231994,1756.3,127.8,70.69,1756.3,0.85,7.95
"2",2010-12-31,203.5,0.55,0.3758,0.51585014409222,504,1725.4,38,1031.4,0.13899707558994,7.1924686192469,0.59777442911789,-1674.5449,0.63198509845663,NA,30.5,0,0,-4258.7721,-4258.7721,-4228.2721,0,NA,6388.9,665.51041666667,6.9992331288344,NA,NA,44.5529986053,0.64,-2591.7273,7420.3,0.041903326764808,4.1,8.1,0.3813,0.37917301159658,0.033,0.9095,0.31575286889997,9.5999999999999,6883.3,0.078014905641189,0.072369041682951,-754.6,-5.2622036262204,-312.1,-2.176429567643,NA,13.657341269841,-29.698550627615,48.00069735007,-1667.0449,NA,143.4,-443.6221,-1.4972222222222,187.8,33.21,537,2692892,912.8,-309.5,NA,912.8,0.95,7.1280499519693
"3",2009-12-31,200,0.47,0.4556,0.12310030395137,1096.3,1955.5,23.5,1284.9,0.17638095761037,12.609421000981,0.65706980311941,-22.187,0.57616330114135,NA,30.1,0,0,-592.8122,-592.8122,-562.7122,0,NA,5999.9,NA,53.714413607878,NA,NA,58.880274779195,0.49,-564.0251,7284.8,0.031858859626694,NA,NA,-0.5607,0.17207577162538,0.031,0.9534,0.27859882383022,-34.7,7130.9,0.021582128483081,0.021126180540303,-642.2,-6.3022571148184,-230.7,-2.2639842983317,NA,6.5045151874487,-5.8175876349362,69.979391560353,-28.787,NA,101.9,NA,-0.58578856152513,130.2,35.03,153.9,1639110,111.7,-732.9,NA,111.7,1.05,NA
"4",2008-12-31,151.2,0.38,0.5018,0.54616261398176,238.9,980.5,32.2,832.1,0.10397610836207,4.7413105413105,0.84864864864865,76.1549,0.33479473893982,NA,32.2,0,0,-458.3842,-458.3842,-426.1842,0,NA,7170.7,NA,70.508357915438,NA,NA,40.858689458689,0.38,-534.5391,8002.8,0.069658337582866,NA,NA,-0.2254,0.25864532723635,0.035,0.9958,0,-305.7,7715.3,0.037263619042681,0.035924926275804,-459.9,-2.6205128205128,-181.1,-1.0319088319088,NA,32.29510255337,-2.6118757834758,43.961823361823,76.1549,NA,175.5,NA,-1.9250732524069,101.9,42.85,287.5,1945359,101.7,-590.7,NA,101.7,1.05,NA
"5",2007-12-31,132.9,0.62,0.5227,0.068657741160316,271.3,601.5,32.4,460.9,0.10521870148845,2.3160804020101,0.76625103906899,-3.8165,0.39793380524201,NA,27.5,0,0,-412.6844,-412.6844,-385.1844,0,NA,3919.5,NA,20.234899328859,NA,NA,19.695979899498,0.29,-413.7679,4380.4,0.11055694098088,-3.44,NA,-0.1267,0.43325143325143,0.0409,0.9483,0,-169.6,4360.4,0.0045867351619118,0.0045657930782577,-391.3,-1.9663316582915,-143.3,-0.72010050251256,NA,16.072244747512,-2.0737909547739,21.911557788945,1.0835,NA,199,NA,-1.4423147806856,84.7,30.38,20,1084958,193.7,-403.3,NA,193.7,1.3,NA
"6",2006-12-31,126.1,2.04,0.5165,0.19404173968456,505.9,921.6,32.4,704.6,0.21529623857977,3.2560073937153,0.76453993055556,9.8741,0.41819941916747,NA,25.9,0,0,-225.4424,-225.4424,-199.5424,0,NA,2568.1,NA,10.598844407759,NA,NA,11.867375231054,0.315,-241.8165,3272.7,0.066731770833333,-2.58,NA,0.1529,0.28753497046938,0.04,0.9051,0,-76.9,3150.9,0.03865562220318,0.03721697680814,-214,-0.98890942698706,-82.5,-0.38123844731978,NA,6.2283059893259,-1.041785767098,14.560536044362,16.3741,NA,216.4,NA,-0.4230084997035,57.9,21.5,121.8,3371325,242.3,-332.1,NA,242.3,1.35,NA
"7",2005-12-31,108.2,2.9,0.4873,0.43357802510064,239.2,549,17,407.5,0.08273271749061,2.5326289620882,0.74225865209472,11.3891,0.50892673917505,NA,27.3,0,0,-141.7643,-141.7643,-114.4643,0,NA,4518,305.27027027027,24.303388918773,NA,NA,28.079552517091,0.355,-142.8533,4925.5,0.099271402550091,-1.95,NA,0.1695,0.26265998887034,0.044,0.9169,0,14.8,4742.4,0.038609143049933,0.037173890975536,-147.1,-0.91423244251088,-73.3,-0.455562461156,NA,19.826086956522,-0.88107060285892,29.474207582349,1.0891,NA,160.9,-9.5786662162163,-0.61496655518395,44,37.42,183.1,799962,185.9,-200.5,NA,185.9,1.55,11.66350935354
"8",2004-12-31,80.8,1.61,0.5183,0.90634920634921,NA,545.5,12.5,392.3,0.12561237232237,3.4472759226713,0.71915673693859,-14.5586,0.62126181748022,NA,29.6,0,0,-137.168,-137.168,-107.568,0,NA,2730.8,NA,23.996485061511,NA,NA,26.590068159688,0.155,-105.5094,3123.1,0.11769019248396,-1.4,NA,0.4355,0.5450462351387,0.076,0.8918,0,-14.3,2780.5,0.12321524905592,0.10969869680766,-145.2,-1.4138266796495,-134.7,-1.3115871470302,NA,78.545197740113,-1.3356181110029,27.07400194742,-31.6586,0.23080180470716,102.7,9.5921664335664,-4.1016949152542,42.1,27.67,342.6,907148,113.8,-145.2,NA,113.8,1.65,8.2621693121693
"9",2003-12-31,78,1.37,0.4917,0.65073329712113,NA,724.4,17.4,583.2,0.47403072421361,6.9263657957245,NA,-23.9939,0.55725035590807,NA,23.4,0,0,-149.1869,-149.1869,-125.7869,0,NA,647.1,NA,7.6852731591449,NA,NA,9.3646888567294,0.1,-119.193,1230.3,0.11057426836002,-1.79,NA,-0.58,0.20792079207921,0.067,0.7704,0,-30.9,870.9,0.41267654150878,0.29212387222629,-174.6,-2.5267727930536,-109.8,-1.589001447178,NA,4.5147744945568,-2.159,12.603473227207,-29.9939,0.20104930025617,69.1,4.8280550161812,-0.90513219284603,39.1,10.28,359.4,257594,84.2,0,NA,84.2,1.55,2.2275936990766
"10",2002-12-31,76.4,1.67,0.639,0.46427055327579,NA,815.7,41.2,635,0.5906976744186,3.9416511483551,NA,-101.5,0.575,NA,25.4,0,0,-119.5791,-119.5791,-94.1791,0,NA,440,NA,NA,NA,NA,2.7312228429547,-0.005,-135.3791,1075,0.11769032732622,-2.18,NA,-0.0548,0.41083521444695,0.067,0.7202,0,71.7,746.9,0.43928236711742,0.30520930232558,-108.6,-0.67411545623836,-40.9,-0.25387957790192,NA,1.972794506075,-0.7422660459342,4.6362507759156,15.8,NA,161.1,-1.6677693165969,-0.28684627575277,49.4,9.68,328.1,431767,143,-135.2,NA,143,1.45,6.1366806136681
