"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Trailing Sales Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Revenues","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta"
"1",2011-12-31,0,0.86,0.2175,NA,NA,NA,0,0,NA,NA,NA,0.8,0,NA,0,NA,NA,NA,0,0,0,NA,NA,0,0.39,145.31,NA,0.1048,0.0509,0.9918,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,0,56.67,0,1258293,49602,247.1,NA,49602,1.05
"2",2008-12-31,0,1.39,0.3797,NA,NA,NA,0,0,NA,NA,NA,0.48459309981564,0,NA,0,NA,NA,NA,0,0,0,NA,NA,0,0.27,125.11111111111,NA,0.39761813292355,0.069,0.9237,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,33.78,0,5697224,59614.6,-4.5,NA,59614.6,1.15
"3",2007-12-31,0,0.98,0.2672,NA,0,0,0,0,NA,NA,NA,0.65868263473054,0,NA,0,0,0,0,0,0,0,NA,NA,0,0.52,57.346153846154,NA,NA,0.071,0.961,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,29.82,0,4424808,60828.3,347.3,0,60828.3,1.1
"4",2006-12-31,0,1.87,0.2298,NA,0,0,0,0,NA,NA,NA,0.66144473455178,0,NA,0,0,0,0,0,0,0,NA,NA,0,0.33,101.15151515151,NA,0.25119113573407,0.067,0.9526,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,33.38,0,3246568,2103.3,86.6,0,2103.3,0.95
"5",2005-12-31,0,1.13,0.179,NA,0,0,0,0,NA,NA,NA,0.8,0,NA,0,0,0,0,0,0,0,NA,NA,0,0.78,65.064102564103,NA,0.22583217061989,0.065,0.9302,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,50.75,0,947500,15228.8,NA,NA,15228.8,0.9
"6",2004-12-31,271.1,0.85,0.1956,NA,NA,0,0,0,0,0,0,0.86912065439673,0,0.045245398773006,479.847,NA,NA,NA,0,10757.2,0.21940036712217,NA,NA,10757.2,0.6,65.2,0,0.15740359544394,0.067,0.8665,0,10757.2,0,0,0,NA,0,NA,NA,NA,NA,0,NA,0,39.12,0,755500,49030,249,43.201606425703,49030,0.75
"7",2003-12-31,271.1,0.7,0.1734,NA,NA,0,0,0,0,0,0,0.80738177623991,0,0.048636491425358,469.003,NA,NA,NA,0,9789.4,0.21631164928407,NA,NA,9789.4,0.8,44.4625,0,0.15073295092416,0.07,0.8406,0,9789.4,0,0,0,NA,0,NA,NA,NA,NA,0,NA,0,35.57,0,461800,45256,249,39.314859437751,45256,0.7
"8",2002-12-31,271.1,0.46,0.1888,NA,NA,0,0,0,0,NA,0,0.5371,0,0.058662674399587,466.292,0,0,0,0,7948.7,NA,NA,0,7948.7,0.86,34.279069767442,0,0.1344065892924,NA,0.8337,0,7948.7,0,0,0,NA,0,NA,NA,NA,NA,0,0,0,29.48,0,820233,43981,NA,NA,43981,0.7
"9",2001-12-31,NA,0.28,0.2098,0,NA,0,0,0,NA,NA,0,0.231,0,0.0695,0,NA,NA,NA,0,0,NA,NA,NA,0,1.05,23.114285714286,NA,0.17920396115026,0,0.8138,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,24.27,0,1146900,0,0,NA,0,0.7
"10",2000-12-31,NA,0.6,0.1997,NA,NA,0,0,0,NA,NA,NA,0.6,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,26.154545454545,NA,0.10951526032316,NA,0.7657,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,28.77,0,NA,NA,NA,NA,45127,NA
"11",1999-12-31,NA,0.7,0.197,NA,NA,0,0,0,0,NA,NA,0.53299492385787,0,0,0,0,0,0,0,6951.5,NA,0.20499671191349,0,6951.5,NA,NA,0,0.19347912193291,NA,0.7772,0,6951.5,0,0,NA,0,NA,0,NA,0,0.20499671191349,NA,NA,0,NA,NA,NA,NA,0,NA,33910.3,NA
