"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,78.9,1.74,0.6119,0.84,613.3,5152.7,441.7,751,0.2007,0.2445,0.1457,-10.97,0.71,NA,548.4,0,0,-1,-1.2,547,0,2990.5,0.97,0.95,NA,5.47,0.97,NA,0.025,116.47,3741.5,0.3799,NA,0.22,0.4506,0.32,NA,0.3614,3082.9,520.9,6.1828,0.8608,-290.5,-0.0946,-407.3,-0.1326,NA,0.85,NA,-4e-04,0.17,-117.67,NA,3071.1,-4e-04,-0.4737,724.8,6.65,3220.6,1299985,3153.8,-323,3153.8,1.4,0.98
"2",2010-12-31,78.4,1.16,0.6541,0.75710973106959,911.3,4834.8,398.9,419.2,0.12000801580258,0.15542043600771,0.086704724083726,-37.9424,0.55419660602354,NA,457,0,0,31.7,31.7,488.7,0,3073.9,0.92234524559666,1.0206527874622,96.968454258675,6.2899529363618,1.1396633545899,NA,0.07,127.7424,3493.1,0.42123769338959,NA,0.1186,0.52504317789292,0.223,NA,0.42690493919087,3332.7,652.5,4.3534099616858,0.81320317196759,-248.1,-0.091984279994068,-325.4,-0.12064363043156,NA,0.71601009546801,NA,0.011752928963369,0.24191754411983,-96.0424,-3.0297293933983,2697.2,0.0095118072433762,-0.27224843629979,775.9,9.29,2840.6,2022094,3011.7,-337.1,3011.7,1.45,0.9310216157147
"3",2009-12-31,77.5,1.34,0.646,0.61872434480581,1690.5,5371.7,734.9,564.2,0.15129655949157,0.236740516952,0.10503192657818,-12.6274,0.5030959752322,NA,410.7,0,0,32.2,32.2,442.9,0,3164.9,0.81788815381435,1.2712994577224,98.288819875776,7.1458568525627,1.3280043638805,NA,0.08,-279.3726,3729.1,0.39486568497869,NA,0.0909,0.33774373259053,0.22,0.9665,0.44242977083605,3869.6,985.8,2.7828159870156,0.73564667077847,-212.1,-0.088997985901309,-283.1,-0.11878986236992,NA,0.58314108251996,NA,0.013511245384357,0.41364551863041,311.5726,9.6761688704993,2383.2,0.0083212735166425,-0.12546583850932,770,12.26,2743.3,2372791,2489.5,-214.3,2489.5,1.3,0.84106184311426
"4",2008-12-31,69.5,3.15,2.1448,0.61391606560499,1621.9,5052.9,795.7,595.9,0.15124749359121,0.30420133748532,0.11793227651448,-53.4047,0.096978739276389,NA,331.4,0,0,47.1,47.1,378.5,0,3344,0.92760055478502,1.4521452145214,70.997876857749,8.8348745046235,1.7070805043647,NA,0.175,-363.7953,3939.9,0.36468166795306,NA,0.1866,0.55996326905418,0.237,NA,0.4555403827505,3605,1360.9,1.8950694393416,0.65458514175487,-147.4,-0.075246311705549,-304.2,-0.15529123487672,NA,0.83907762500771,NA,0.024044106386237,0.69472663229363,410.8953,8.7238926608471,1958.9,0.013065187239945,-0.090881065417103,626.6,17.55,2579,2653815,2302.8,-228.7,2302.8,1.3,0.93787045633079
"5",2007-12-31,68.7,3.15,2.1448,0.54246822511741,1724.3,4433,504.8,612.6,0.15959774906211,0.37564385577631,0.13819084141665,32.491,0.096978739276389,NA,302.2,0,0,60.7,60.7,362.9,0,3225.8,1.0220842178638,1.7252112525404,53.143327841845,8.8889501240011,1.9780475840078,NA,0.225,-174.391,3838.4,0.2970223325062,-1.41,0.3813,0.62610415293342,0.237,NA,0.52745319196932,3156.1,1794,1.1395763656633,0.53261775739892,-75.5,-0.046296296296296,-221.7,-0.1359455481972,NA,1.0404222003132,NA,0.037220995830267,1.1000735835173,235.091,3.8729981222262,1630.8,0.019232597192738,-0.043785884126892,477.7,26.89,2044.4,1344670,1869.8,-110.8,1869.8,1.3,1.0184944410539
"6",2006-12-31,67.9,3.15,2.1448,0.48510577061448,1789,4093,594.4,441.3,0.089625898696129,0.38822908419108,0.10781822623992,76.1028,NA,NA,226.7,0,0,29.7,14.85,256.4,0.6,4482.5,1.4778122115258,2.9750447998938,150.92592592593,17.482449297972,3.9434327439078,0.18,NA,-428.9528,4923.8,0.26332763254337,-0.65,0.1203,0.53657590567062,NA,NA,0.50713413144393,3033.2,3238.3,0.52048914553933,0.34231690970389,-4.8,-0.0042227500659805,-233.8,-0.20568311779713,NA,1.8101173840134,NA,0.026128266033254,2.8488607372218,443.8028,29.885707312117,1136.7,0.0048958195964658,-0.0026830631637786,356.3,39.27,1685.5,1262903,1506.7,-87.6,1506.7,NA,1.4171247661534
"7",2005-12-31,61.2,3.15,2.1448,0.28186646433991,1514.4,2506.3,218.6,384.1,0.089596454397014,0.41991909915819,0.15325380042293,20.4294,NA,123.08666666667,195.5,0,0,67.2,39.394,262.7,0.41378,3902.9,2.2629442801647,3.71351094196,58.078869047619,14.856870955462,4.2668634524981,0.15,NA,-4.1354,4287,0.2481347005546,-0.01,0.0856,0.28369970966404,NA,0.9554,0.54530582931014,1724.7,3692.6,0.16097058982831,0.13865173781199,30,0.032797638570023,-137.1,-0.14988520826501,0,2.4383254094031,8.2057777777778,0.073466710396851,4.0369520061222,43.5294,1.1049746551788,914.7,0.022841064532962,0.019809825673534,259.3,59.47,594.4,141525,1051,NA,1051,NA,2.0329097116844
"8",2000-12-31,NA,0.8,NA,0,NA,84,4.1,29,2.7102803738318,0.61571125265393,NA,-0.4748,NA,NA,10.4,0,0,-12.65577,-12.6558,-2.2558,0,-18.3,NA,NA,NA,NA,-0.38853503184713,NA,NA,-4.2659,10.7,0.13095238095238,NA,-0.3426,0.72413793103448,NA,0.1333,NA,45.6,10.7,0,0,-22,-0.46709129511677,6.1,0.12951167728238,NA,0.14343163538874,NA,-0.2687,0.22717622080679,-8.3899,NA,NA,-0.27753881578947,-0.29490616621984,27.3745,1.83,0,NA,47.1,-30.3,35.6,NA,0.14343163538874
"9",1999-12-31,NA,0.95,1.3139,0.37301587301587,NA,30.3,4.7,16,0.43715846994536,0.36199095022624,NA,NA,0.10845574244615,NA,1.2,0,0,0.4,0.4,1.6,0,20.6,NA,NA,51.5,12.875,0.46606334841629,NA,NA,-3.7529,36.6,0.18481848184819,NA,-0.0355,0.85507246376812,NA,0.173,NA,9.2,27.2,0.34558823529412,0.2568306010929,NA,-0.42986425339367,NA,0.067873303167421,NA,1.7215189873418,NA,0.0090497737556561,0.61538461538461,NA,8.75,NA,0.043478260869565,-1.2025316455696,14.1,NA,NA,NA,NA,-19,44.2,NA,1.452380952381
