"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-11-30,5.1,NA,NA,0.372,103.3,176.7,3.1,7.4,0.0374,0.1989,0.0419,1.48,NA,NA,6.8,0,0,-1,-0.8,6,0,190.3,1.21,4.68,NA,31.72,5.12,1.42,197.7,0.6706,NA,-0.04,0.1896,NA,0.5031,0,157.1,136.5,0.4484,0.3096,-3,-0.0806,15.7,0.422,0,1.32,-0.0215,3.67,-2.22,NA,37.2,-0.0051,-0.029,10.3,27,61.2,719,40.7,1,136.5,40.7,0.9,1.2
"2",2010-11-30,5.1,0.1,0.3526,0.36606624055782,109.1,183.2,9.9,9.3,0.046384039900249,0.26123595505618,0.050764192139738,-0.1424,0.63811684628474,NA,7,0.0149,2.0488,-3.1,-3.1,3.9,0,191.2,1.1744471744472,5.4164305949009,NA,49.025641025641,5.3707865168539,-5.8576,200.5,0.60807860262009,NA,-0.097,0.17564484997368,NA,0.4906,0,162.8,137.5,0.45818181818182,0.3142144638404,-4.5,-0.12640449438202,16.9,0.47471910112359,NA,1.2603116406966,-0.087078651685393,3.8623595505618,2.7576,NA,35.6,-0.019041769041769,-0.041246562786435,10.3,26.46,63,3929,35.3,-3.6,NA,35.3,0.9,1.1650203370134
"3",2009-11-30,5.1,0.1,0.3526,0.35307388606881,114.7,188.7,17.1,9.6,0.042857142857143,0.24489795918367,0.05087440381558,-3.0166,0.63811684628474,NA,6.5,0.0126,2.0336,-5.3,-5.3,1.2,0,214.4,1.27847346452,6.1432664756447,NA,178.66666666667,5.469387755102,-12.8834,224,0.69422363540011,NA,-0.1242,0.14766748509295,NA,0.4681,0,167.7,161.4,0.38785625774473,0.27946428571429,-5.5,-0.14030612244898,27.5,0.7015306122449,NA,1.4071490845684,-0.13520408163265,4.1173469387755,7.5834,NA,39.2,-0.031604054859869,-0.047951176983435,10.7,32.38,62.6,4335,34.9,-5.2,NA,34.9,0.9,1.2633953750705
"4",2008-11-30,5.1,0.1,0.3526,0.28621908127209,121.2,181.7,11.3,13.4,0.069900886802295,0.30112359550562,0.073747936158503,-2.2157,0.40839478162224,NA,7.5,0.0142,2.032,-9.5158,-9.5158,-2.0158,0,178.3,1.1400255754476,4.338199513382,NA,NA,4.0067415730337,-11.1001,191.7,0.55255916345625,NA,-0.2467,0.2704445198507,NA,0.4454,0,156.4,143.1,0.33962264150943,0.25352112676056,-8.3,-0.18651685393258,29,0.65168539325843,NA,1.1806930693069,-0.2138393258427,3.2157303370787,1.5843,NA,44.5,-0.060843030690537,-0.068481848184819,10.9,29.13,48.6,9389,41.1,-9.2,NA,41.1,0.9,1.1289752650177
"5",2007-11-30,5.1,0.1,0.3526,0.26352067868505,138.9,206.8,15,34,0.14542343883661,0.57239057239057,0.16441005802708,7.2958,0.29495178672717,28.323076923077,5.8,0.011080934274851,2.04,9.4,5.9611,15.2,0.36584,199.8,1.2923673997413,4.510158013544,21.255319148936,13.144736842105,3.3636363636364,-10.5347,233.8,0.52562862669246,0.145,0.1251,0.29223104468317,NA,0.4607,0,154.6,184.1,0.26996197718631,0.2125748502994,6.5,0.10942760942761,28.7,0.48316498316498,0.31384615384615,1.3254139668826,0.15824915824916,3.0993265993266,16.4958,2.7672376200434,59.4,0.038558240620957,0.046796256299496,12,36.3,49.7,1908,44.3,-1.9,NA,44.3,0.65,1.2396606574761
"6",2006-11-30,5.1,0.1,0.3526,0.27063740856844,139.6,216.6,28.5,38.2,0.15844048112816,0.71804511278196,0.17636195752539,-1.4026,0.31764038570618,NA,5.8,0,0,0.4,0.4,6.2,0,202.9,1.3244125326371,3.6362007168459,507.25,32.725806451613,3.8139097744361,-20.8974,241.1,0.46999076638966,NA,0.2379,0.10246249646193,NA,0.4221,0.0032317636195752,153.2,189.3,0.27363972530375,0.21484861053505,-0.2,-0.0037593984962406,28.7,0.53947368421053,NA,1.3560171919771,0.0075187969924812,3.5582706766917,21.2974,53.243421052631,53.2,0.0026109660574413,-0.001432664756447,12,35.1,51.8,500,55.8,6,31.55,55.8,0.7,1.2596656217346
"7",2005-11-30,5,0.1,0.3526,0.25,132.9,188.6,16.7,42.2,0.20172084130019,1.0071599045346,0.2237539766702,-10.4062,0.27226318774816,NA,5.3,0,0,-4.8,-4.8,0.5,0,167,1.237037037037,3.0474452554745,NA,334,3.9856801909308,-5.7938,209.2,0.43849416755037,NA,0.0068,0.15106675843083,NA,0.443,0,135,164.9,0.26864766525167,0.21175908221797,-4.6,-0.10978520286396,33.8,0.80668257756563,NA,1.2407825432656,-0.1145584725537,3.9355608591885,0.9938,NA,41.9,-0.035555555555556,-0.034612490594432,10.8,32.45,44.3,519,54.8,-1.4,NA,54.8,0.6,1.1805869074492
"8",2004-11-30,5,0.48,0.3637,0.1940119760479,NA,176.4,7.9,39,0.23297491039426,1.012987012987,0.22108843537415,-2.1888,0.26395380808358,NA,5,0,0,-4.4397,-4.4397,0.5603,0,128.4,1.003125,3.3350649350649,NA,229.1547687036,3.1165048543689,-5.1508,167.4,0.40362811791383,NA,0.0613,NA,NA,0.5672,0.0045351473922903,128,135,0.24,0.19354838709677,-2.2,-0.053398058252427,33.4,0.81067961165049,NA,1.0029717682021,-0.10775922330097,3.2766990291262,0.7112,-0.16018385301276,41.2,-0.034685,-0.016344725111441,9.9,27,32.4,423,38.5,-3.7,NA,38.5,0.7,1.0023952095808
"9",2003-11-30,4.9,0.61,0.3891,0.30200860832138,NA,145.7,6.9,0,0,0,NA,3.6335,0.31354407607299,NA,4.5,0,0,2.6778,2.6778,7.1778,0,175,1.2553802008608,4.1469194312796,65.351666654219,24.380661537904,4.5811518324607,-3.3557,175,0.081674673987646,NA,0.1208,0.34585942936674,NA,0.4316,0,139.4,132.9,0.31677953348382,0.24057142857143,-2.3,-0.06020942408377,34.7,0.90837696335078,NA,1.365878725591,0.0701,3.479057591623,6.0335,2.2531416799498,38.2,0.019209612625538,-0.023638232271326,8.5,25.75,42.1,600,42.2,-1.6,NA,42.2,0.7,1.2553802008608
"10",2002-11-30,4.9,0.39,0.3876,0.21031746031746,NA,133,5.9,0,0,0,NA,0.7,0.2214,23.896551724138,3.2,0,0,-2.3,-2.3,0.9,0,95.8,NA,NA,NA,106.44444444444,2.8176470588235,-5,95.8,0.50827067669173,NA,0.0604,0.1958041958042,NA,0.4123,0,126,69.3,0.38239538239538,0.27661795407098,2.9,0.085294117647059,34.9,1.0264705882353,0,0.6964824120603,-0.067647058823529,2.0382352941177,2.7,NA,34,-0.018253968253968,0.029145728643216,8.1,14.21,26.5,1065,38,-1.1,NA,38,0.65,0.76031746031746
