"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-06-29,32,2.36,0.7097,0.1205,110.9,496.9,5.5,104.9,0.3028,0.1393,0.2111,0.43,0.8,14.6,0,0,-301,-301.15,-287,0,241.5,11.39,0.31,NA,NA,0.32,NA,-292.48,346.4,0.0551,NA,NA,0.11,0.4967,NA,0.8317,0.0175,21.2,331.2,0.0459,0.0439,-24.5,-0.0325,23.3,0.0309,2.99,-0.3999,0.44,-8.67,NA,753,-14.2052,-0.2209,212.8,10.23,15.2,250138,767,-30.5,767,1.4,2.75
"2",2011-06-29,31.1,1.65,0.6139,0,123.3,538,8.2,139.9,0.39486311035845,0.22220457433291,0.26003717472119,-0.608,0.52940218276592,17.8,0,0,-12.6,-12.6,5.2,0,214.4,NA,0.30822311673376,NA,41.230769230769,0.34053367217281,NA,-2.392,354.3,0.055018587360595,0.68,16.852941176471,0.5275,0.44703656998739,NA,0.8743,0.024721189591078,-16.6,354.3,0,0,-21.2,-0.033672172808132,-5.8,-0.0092121982210928,2.8734793187348,-0.020012706480305,0.56273824650572,-10.208,NA,629.6,NA,-0.17193836171938,182.5,11.46,0,599898,695.6,-12.7,695.6,1.3,NA
"3",2010-06-29,30.5,1.67,0.5758,0,134.9,497.2,6.3,130.2,0.47225244831338,0.32251672033688,0.26186645213194,-0.1807,0.52101424105592,18.4,0,0,-84.7279,-84.7279,-66.3279,0,145.5,30.957446808511,0.34933973589436,NA,NA,0.36041615060689,NA,-72.4472,275.7,0.056717618664521,NA,NA,2.859,0.3713670613563,NA,0.5553,0.032582461786002,4.7,275.7,0,0,-88.9,-0.22021302947734,-5.7,-0.014119395590785,2.0437361008154,-0.20987839980183,0.68293287094377,-12.2807,NA,403.7,-18.027214893617,-0.6590066716086,174.3,9.03,0,243232,416.5,-82.3,416.5,1.2,2.0437361008154
"4",2009-06-29,30,1.26,0.5513,0,231.5,285.5,1.6,172,0.85402184707051,0.69523039611964,0.60245183887916,-1.023,0.34826773081807,5.6,0,0,-33.3088,-33.3088,-27.7088,0,29.4,0.49411764705882,0.12163839470418,NA,NA,0.11883589329022,NA,-28.2858,201.4,0.024168126094571,NA,NA,-0.3094,0.38599640933573,NA,0.7037,0.012259194395797,59.5,201.4,0,0,-31.3,-0.12651576394503,44.4,0.17946645109135,0.86997840172786,-0.13463540824576,0.81406628940986,-5.023,NA,247.4,-0.55981176470588,-0.13520518358531,62.8,7.01,0,258966,241.7,-65.1,241.7,1.2,0.86997840172786
"5",2004-06-29,260.5,3.19,1.1811,NA,NA,569.9,17.9,180.4,0.24424587056594,0.22151277013752,NA,2.8518,0.54017441368216,80.2,0,0,62.8132,62.8132,143.0132,0,558.2,NA,0.68541257367387,8.8866671336598,3.9031362139998,0.66294536817102,NA,122.2614,738.6,0.13090015792244,NA,NA,-0.3125,0.53271028037383,NA,0.4307,0,-21.1,456.6,0.61760840998686,0.38180341186028,-100.3,-0.11912114014252,-87,-0.10332541567696,NA,0.0746,0.54228028503563,-59.4482,-0.94642875267167,842,-2.9769289099526,NA,366.5,1.76,282,1575400,814.4,-79.3,814.4,2.05,NA
"6",2003-06-29,204.6,2.32,1.8808,NA,NA,649.8,18.5,176.6,0.29320936410427,0.1836140569765,NA,-259.2,0.2713,95.5,0,0,-101.367,-101.367,-5.867,0,425.7,NA,NA,NA,NA,0.44260761072988,NA,-24.367,602.3,0.16635887965528,NA,NA,-0.3039,0.37037037037037,NA,0.3106,0,-32.6,293.4,1.0528289025222,0.51286734185622,-129.7,-0.13485132044084,-158.2,-0.16448326055313,NA,-0.10539299230609,0.30505302557704,-77,NA,961.8,NA,NA,490.3,1.36,308.9,2053347,938.1,-136.6,938.1,1.9,NA
"7",2002-06-29,NA,2.49,1.8955,1.2068,NA,910.1,27.8,218.2,0.3732466643859,0.16266587147756,NA,11.6295,0.2298,160.2,0,0,103.9037,103.9037,264.1037,0,366.4,NA,NA,3.5263421803073,1.3873338389428,0.27314745787983,NA,224.6742,584.6,0.17613449071531,NA,NA,-0.3215,0.79297597042514,0,0.3836,0,46.026,265.8,1.1993980436418,0.54533014026685,-46.3,-0.034516177128373,-113.299,-0.084463247353511,NA,0.077459147159684,0.19815118532876,-120.7705,-1.1623310815688,NA,2.2575001086342,NA,627.3,1.36,318.8,597700,1341.4,-18.2,1203.7,1.95,12.701516534133
"8",2001-06-29,NA,NA,1.8221,0.5193218267909,NA,1283,139,126.1,0.16436392075078,0.067996764626584,NA,5.5096,0,135.5,0,0,-210.6712,-210.6712,-75.1712,0,641.1,NA,NA,NA,NA,0.34569964950121,0.09,-238.0887,767.2,0.20958690568979,NA,NA,-0.2039,0.88432835820895,0.03,0.3031,NA,188.6,427.2,0.79588014981273,0.44316996871741,-493,-0.26583984901591,-117.3,-0.063251550283095,NA,-0.1136,0.23035858722027,27.4175,NA,NA,-1.1170265111347,NA,952.8421,2.41,340,NA,1854.5,-449.3,1854.4,NA,2.4378773435018
"9",2000-06-29,NA,NA,0.6832,0.38418743982026,NA,1839.2,261.1,258.1,0.22956506270568,0.11881962986834,NA,NA,NA,168.5,0,0,-90.3,-90.3,78.2,0,866.2,NA,NA,NA,11.076726342711,0.3987662277875,NA,-196.165,1124.3,0.25375163114398,NA,NA,-0.1699,0.63013946748777,0.03,0.2852,NA,693.5,765.2,0.4692890747517,0.31939873699191,NA,-0.073565969984348,NA,-0.089586594236258,1.3293954134816,-0.041570757757113,0.35226958843569,NA,NA,NA,-0.13020908435472,-0.2776233495483,1086.4,NA,NA,NA,NA,-159.8,2172.2,NA,1.1814838167297
