"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,52.1,2.42,0.5454,0.5448,1288.9,4138.5,220.6,117.5,0.0555,0.0213,0.0284,32.29,0.8,20.47,165.6,0,0,1299,547.15,1465,0.5788,0.5751,1998.2,0.74,0.32,1.54,1.36,0.36,0.1,459.87,2115.7,0.2559,1.47,7.36,-0.115,0.01,0.2837,0.9709,0.3702,2713.9,573.2,2.691,0.7291,28,0.0051,277.5,0.0503,0,0.44,2.05,0.2353,0.1,87.29,0.1595,5521.8,0.2016,0.0217,399.3,10.82,1542.5,349148,6164.3,52.5,10.92,6164.3,1.3,0.75
"2",2010-12-31,39.5,1.43,0.5201,0.26168157423971,1031.8,2337.4,176.7,93.9,0.093956373824295,0.021538179232516,0.040172841618893,21.4712,0.57681215150932,11.295900178253,121.6,0,0,1032.8,645.3554,1154.4,0.37514,0.37597330367074,905.5,0.69461491254986,0.17635258832236,0.87674283501162,0.78439015939016,0.20769777737,0.12,568.7842,999.4,0.38354582014204,1.94,6.0670103092784,-0.065,0.0109,0.58156028368794,NA,0.14344998716523,1303.6,633.7,0.57708694966072,0.36591955173104,56.1,0.012867857880129,120.8,0.027708328554717,0,0.61416941267687,0.94132501485443,0.2368970341996,0.14535403812189,76.5712,0.1186496352984,4359.7,0.49505631175207,0.054371002132196,357.4,11.77,365.7,958828,5134.6,36.1,17.554016620499,5134.6,1.2,0.71513416815742
"3",2009-12-31,39.1,1.2,0.499,0.13254958269766,966.6,2022.2,97.6,128.9,0.14139973672664,0.030187353629977,0.063742458708338,0.6353,0.55110220440882,12.202875399361,125.7,0,0,979.9,603.0795,1105.6,0.38455,0.38446411012783,782.7,0.79429673229146,0.18226910716781,0.79875497499745,0.70794138929088,0.18330210772834,0.1,630.5441,911.6,0.37093264761151,1.41,13.028368794326,-0.02,0.0234,0.26984126984127,0.9978,0.072050242310355,985.4,763.9,0.19334991491033,0.16202281702501,62.6,0.014660421545667,112.1,0.026252927400468,0,0.79029588247465,1.2202875399361,0.22948477751756,0.17889929742389,-27.4647,-0.045540730875849,4270,0.61201487213314,0.064763087109456,0,18.37,147.7,368593,4294.2,52.4,14.578244274809,4294.2,1.1,0.81809207574262
"4",2008-12-31,38.9,0.94,0.5092,0.27639383155397,915,2181.8,148.7,337.8,0.30869048706936,0.08137014019367,0.15482629021909,3.7959,0.3299293008641,12.645161290323,121.4,0,0,955,585.5105,1076.4,0.3869,NA,756.5,0.81633754181504,0.17740725106702,0.79214659685864,0.70280564845782,0.18222768222768,0.1083,554.4146,1094.3,0.33733614446787,1.5,12.306666666667,0.12,-0.0307,0.30293159609121,0.9762,0.062608855073792,926.7,744.8,0.46925349087003,0.31938225349539,58.9,0.01418798477622,139.7,0.033651298357181,0,0.81398907103825,1.1676049206207,0.2300428771017,0.17940935587994,31.0959,0.053108981742753,4151.4,0.63182313585842,0.064371584699454,0,18.46,349.5,399560,4264.2,67.1,11.099850968703,4264.2,1.05,0.8654013444049
"5",2007-12-31,38.3,1.47,0.499,0.2531404314303,862.1,2079.6,186.5,264.6,0.35214266702156,0.062696964670758,0.12723600692441,2.6611,0.32064128256513,13.233429394813,121.8,0,0,813.2,427.6537,935,0.47411,NA,486.8,0.54715072496347,0.1179720822024,0.59862272503689,0.52064171122995,0.11534725019548,0.125,360.2927,751.4,0.32857280246201,1.25,10.416,0.315,0.0314,0.60744500846024,NA,0.071696480092325,889.7,459.2,0.63632404181185,0.38887410167687,34.7,0.008222164301116,119.6,0.028339217591167,0,0.53265282449832,1.058674351585,0.19268772362154,0.10880743075137,67.3611,0.15751306482601,4220.3,0.48067185343374,0.040250550980165,NA,13.02,292.2,270502,4126.4,47.8,9.6066945606695,4126.4,1,0.65095729013255
"6",2006-12-31,40,0.1,0.3853,0.1156510925564,995.6,2016.1,151.1,254.5,0.22985910404624,0.059647971500223,0.12623381776698,-2.8527,0.43602387749805,13.72191011236,124,0,0,818.8,495.1284,942.8,0.3953,NA,852.7,0.97865258808677,0.1958923935767,1.0414020517831,0.90443360203649,0.19985000117187,0.15,470.881,1107.2,0.27339913694757,1.43,16.412587412587,NA,0.0153,0.35764531654943,NA,0.11170080849164,871.3,977,0.13326509723644,0.11759393063584,71.2,0.016687369629925,141.2,0.033093491457098,0,0.98131779831258,0.91479400749064,0.19190475074413,0.22898258607355,24.2473,0.048971828308114,4266.7,0.56826392746471,0.071514664523905,NA,23.47,130.2,512250,4352.9,37.7,25.915119363395,4352.9,1.05,0.98347841534908
"7",2005-12-31,37.3,NA,NA,0.035991140642303,870.5,1760.6,126.1,314.6,0.30363864491844,0.080173292558614,0.17868908326707,-1.085,NA,7.8040435458787,103.2,0,0,858.6,514.2155,961.8,0.4011,NA,721.5,1.2262066621346,0.17219159447269,0.840321453529,0.75015595757954,0.18386850152905,0.125,492.4006,1036.1,0.29626263773714,1.57,16.082802547771,NA,0.107,0.23894147189492,NA,0.039702374190617,588.4,1003.6,0.032383419689119,0.031367628607277,128.6,0.032772680937819,16,0.0040774719673802,0,1.1529006318208,0.6243234836703,0.21880733944954,0.25575942915393,21.815,0.042423814553485,3924,0.87392171991842,0.14773118897185,NA,25.25,32.5,386200,4190.1,77.3,12.98318240621,4190.1,0.55,1.1473975636766
