"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-03-31,12,0.82,0.2456,0.4553,135.9,257.2,0.6,2.8,0.0107,0.0411,0.0109,4.54,0.8,6.73,0.3,0.0386,5.76,41,25.2,41,0.3853,0.3867,260.1,1.05,3.74,6.34,6.3,3.81,NA,20.36,262.9,0.0031,0.11,0.09,0.1166,NA,0.3699,0,246.7,149.3,0.7609,0.4321,22.2,0.3255,238.3,3.4941,0.2618,1.1,NA,0.6012,2.19,4.84,0.1921,68.2,0.1022,0.1634,0,12.4,113.6,61347,69.5,22,6.79,69.5,0.9,1.05
"2",2011-03-31,11.8,1.06,0.5168,0.50999574649085,115.2,243.6,0.4,2,0.0073313782991202,0.031847133757962,0.0082101806239737,7.5072,0.43537151702786,9.1011904761905,0.3,0.0313,4.7858,32.4,19.9101,32.7,0.38549,0.38461538461539,270.8,1.1617331617332,4.1725731895223,8.358024691358,8.2813455657492,4.312101910828,NA,12.303,272.8,0.0032840722495895,0.07,0.1033,0.19964742177171,NA,0.35,0,233.1,152.9,0.7841726618705,0.43951612903226,16.8,0.26751592356688,224.5,3.5748407643312,0.28486726190476,1.3272569444444,NA,0.51592356687898,2.4347133757962,7.6072,0.38207525001329,62.8,0.085414517374517,0.14583333333333,0,12.82,119.9,26139,64.9,19.1,8.0052356020942,64.9,0.9,1.1603572947682
"3",2010-03-31,11.7,1.64,0.6281,0.5281007751938,97.4,214.1,0.2,1.5,0.0065104166666667,0.026548672566372,0.0070060719290051,9.4524,0.39802579207133,11.901960784314,0.3,0,0,21.8,13.3726,22.1,0.38658,0.3855421686747,228.9,1.1171303074671,3.866554054054,10.5,10.357466063348,4.0513274336283,NA,4.0202,230.4,0.0032695002335357,0.075,0.0354,0.26190476190476,NA,0.269,0,204.9,121.4,0.89785831960461,0.47309027777778,10.2,0.18053097345133,197.8,3.5008849557522,0,1.2464065708419,NA,0.3858407079646,2.1486725663717,9.3524,0.69937186133533,56.5,0.065263816495852,0.1047227926078,0,10.24,109,7725,59.2,13.4,9.0597014925373,59.2,1,1.1162790697674
"4",2009-03-31,11.4,1.86,0.6352,0.54787234042553,85,197.8,0.3,1.7,0.0093922651933702,0.032015065913371,0.0085945399393327,4.4729,0.26448362720403,13.684210526316,0.4,0,0,14.4,9.0567,14.8,0.37106,NA,179.3,0.96242619431025,3.2959558823529,12.451388888889,12.114864864865,3.376647834275,NA,4.6839,181,0.0040444893832154,0.175,0.0455,0.64502164502165,NA,0.2571,0,186.3,78,1.3205128205128,0.56906077348066,5.7,0.10734463276836,182.7,3.4406779661017,0,0.91764705882353,NA,0.27118644067797,1.4689265536723,4.3729,0.48283193370461,53.1,0.048613719806763,0.067058823529412,0,6.89,103,6991,54.4,8.1,9.6296296296296,54.4,1.05,0.96276595744681
"5",2008-03-31,10.2,1.93,0.4121,0.56309060589216,78.6,189.8,0.4,2.3,0.018282988871224,0.045908183632735,0.012118018967334,-3.1563,0.38825527784518,2.5257731958763,0.4,0,0,21.8,13.5454,22.2,0.37865,NA,123.5,0.69538288288288,2.421568627451,5.6651376146789,5.5630630630631,2.4650698602794,NA,16.7017,125.8,0.0042149631190727,0.415,0.0465,0.59597989949749,NA,0.3306,0,177.6,24.5,4.134693877551,0.80524642289348,9.7,0.1936127744511,175.7,3.5069860279441,0,0.3117048346056,NA,0.43512974051896,0.48902195608782,-3.1563,-0.23301493013878,50.1,0.076269313063063,0.1234096692112,NA,2.35,101.3,8564,51,8.5,2.8823529411765,51,1,0.69927737632018
"6",2007-03-31,10,0.75,0.2939,0.57722592368262,69.8,173,0.6,1.5,0.0091687041564792,0.032119914346895,0.0086705202312139,-6.5137,0.40830214358625,5.8879310344828,0.4,0,0,24.2,14.9556,24.6,0.382,NA,162.1,0.99083129584352,3.3353909465021,6.698347107438,6.5894308943089,3.4710920770878,NA,21.2693,163.6,0.0057803468208093,NA,0.0867,0.30538302277433,NA,0.2437,0,163.6,68.3,1.3953147877013,0.58251833740831,11.6,0.24839400428266,160.1,3.4282655246253,0,0.97851002865329,NA,0.51820128479657,1.4625267665953,-6.3137,-0.42216323629864,46.7,0.09141564792176,0.16618911174785,NA,7.63,95.3,6365,48.6,11.2,6.0982142857143,48.6,0.75,0.99091459721381
"7",2006-03-31,9.9,0.36,0.3181,0.58605974395448,58.2,149.5,0.7,1.7,0.0085988872028326,0.039812646370023,0.011371237458194,-11.2213,0.37723986167872,10.877358490566,0.3,0,0,21.4,13.2607,21.7,0.38034,NA,196,1.411087113031,4.2424242424242,9.1588785046729,9.0322580645161,4.5901639344262,NA,24.082,197.7,0.0060200668896321,NA,0.9358,0.16935483870968,NA,0.2716,0,138.9,115.3,0.71465741543799,0.41679312089024,10.6,0.24824355971897,136.9,3.2060889929742,0,1.9810996563574,NA,0.50117096018735,2.7002341920375,-10.8213,-0.81604228211143,42.7,0.095469575233981,0.18213058419244,NA,11.8,82.4,4200,46.2,11.4,10.114035087719,46.2,0.75,1.4061166429587
"8",2005-03-31,7.6,0.52,0.3453,0.71338912133891,NA,103.2,0.3,1,0.0058445353594389,0.028818443804035,0.0096899224806201,34.058,0.30118737329858,19.788461538462,0.2,0,0,12.2516,7.6123,12.4516,0.37867,NA,170.1,1.7980972515856,4.9020172910663,13.883844216901,13.660840129621,6.6705882352941,NA,-26.5457,171.1,0.0058139534883721,NA,0.1218,0.17014417480075,NA,0.1714,0,94.6,102.9,0.66277939747327,0.39859731151374,5.2,0.20392156862745,94.4,3.7019607843137,0,3.7554744525547,NA,0.4804568627451,4.0352941176471,34.158,4.487206207955,25.5,0.080468474571882,0.18978102189781,0,10.51,68.2,19724,34.7,8.9,11.561797752809,34.7,0.85,1.7897489539749
"9",2004-03-31,5.1,0.73,0.3414,0.71338912133891,NA,103.2,0.3,1,0.0060313630880579,0.0355871886121,NA,9.6251,0.42765084944347,18.769230769231,0.2,0,0,12.4516,7.7366,12.6516,0.37867,NA,164.8,1.7420718816068,5.864768683274,13.235193729345,13.025968944762,6.4627450980392,0.12,-1.9885,165.8,0.0058139534883721,NA,0.1218,0.32714412024757,NA,0.1129,0,94.6,97.6,0.69877049180328,0.41133896260555,5.2,0.20392156862745,94.4,3.7019607843137,0,3.5620437956204,1.5641025641026,0.4883,3.8274509803922,9.7251,1.2570274456062,25.5,0.08178206865222,0.18978102189781,0,14.29,68.2,9389,28.1,9.4,10.382978723404,28.1,0.85,1.734309623431
"10",2003-03-31,5,0.33,0.3435,0.73405535499398,NA,90,0.3,0.5,0.0047892720306513,0.022321428571429,NA,66.1,0.2139,10.093023255814,0.2,0.011520737327189,0.5,10.8,6.7624,11,0.37385,NA,103.9,NA,NA,9.6203703703704,9.4454545454546,4.6383928571429,NA,6.6624,104.4,0.0055555555555556,NA,0.104,0.43548387096774,NA,NA,0,82.6,43.4,1.4055299539171,0.58429118773946,4.3,0.19196428571429,83.7,3.7366071428571,0.11627906976744,1.9638009049774,NA,0.48214285714286,1.9375,0.1,0.014787605620473,22.4,0.081869491525424,0.19457013574661,0,8.59,61,7145,23.7,4.6,9.4347826086957,23.7,0.85,1.2578692493947
"11",2002-03-31,NA,-0.01,0.2827,0.7509,NA,77.5,0.2,0.1,0.0013477088948787,0.0049504950495049,NA,0,-0.0087,5.1282051282051,0.2,0,0,10.3581,6.4957,10.5581,0.37289,NA,74.1,NA,NA,7.1538216468271,7.0183082183347,3.6683168316832,NA,6.4957,74.2,0.0051612903225807,NA,0.0541,0.25628140703518,0,0.0041,0,72.18,20,2.71,0.73045822102426,3.9,0.19306930693069,73.128,3.620198019802,0,1.1111111111111,NA,0.32156772727723,0.99009900990099,0,0,NA,0.089992630798005,0.21666666666667,0,4,54.2,1600,20.2,0,NA,0,NA,1.0279855915766
"12",2001-03-31,NA,NA,0.353,0.4360568383659,NA,67.2,0.1,0.2,0.002962962962963,0.01123595505618,NA,0,0,5.4117647058823,0.1,0,0,9.44112,5.8213,9.5411,0.38341,NA,67.3,NA,NA,7.1283915467656,7.0536792326268,3.7808988764045,NA,5.8213,67.5,0.0044642857142857,NA,NA,0.45859872611465,NA,NA,NA,63.3,18.4,2.6684782608696,0.72740740740741,3.4,0.19101123595506,61.9,3.4775280898876,0,1.2777777777778,NA,0.327039336,1.0337078651685,0,0,NA,0.091963667943128,0.23611111111111,NA,3.8,49.1,NA,17.8,NA,NA,NA,NA,1.0629921259843
