"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-09-30,7.9,1.82,0.489,0.1308,171.5,1240.8,0,8.7,0.0461,0.007,NA,0.8,8.99,0,0,0,62,38.25,62,0.385,0.3844,179.9,0.95,2.89,2.89,38.25,188.6,0.0123,NA,NA,-0.335,NA,0.4521,0.0776,0,188.6,162.8,0.1585,0.1368,18.1,0,0,0.95,0,0,NA,0.2028,0.1055,9.2,21.37,25.8,7415,NA,18.1,8.99,NA,1,0.96
"2",2011-09-30,7.9,1.97,0.6582,0.14642451759364,150.4,1253.6,0,5,0.047892720306513,0.0039885130823229,NA,0.37982376177454,NA,0,0,0,28.3,28.3,28.3,0,NA,99.4,0.58060747663551,3.5123674911661,3.5123674911661,28.3,104.4,0.01148691767709,2.3,4.6565217391304,-0.135,NA,0.32259245697547,0.041,0,171.2,78.6,0.32824427480916,0.24712643678161,-16.3,0,NA,0.52260638297872,0,0,NA,0.16530373831776,-0.10837765957447,15.2,10.71,25.8,8425,NA,-16.3,NA,NA,1,0.59250851305335
"3",2010-09-30,7.9,1.46,0.7405,0.13326446280992,167.8,1434.2,0,14,0.088216761184625,0.0097615395342351,NA,0.32072923700203,21.095238095238,0,0,0,51.7,35.2987,51.7,0.31724,0.32258064516129,144.7,0.80567928730512,2.7988394584139,2.7988394584139,35.2987,158.7,0.0096220889694603,0.26,64.461538461538,-0.08,NA,0.34538784067086,0.0852,0,179.6,132.9,0.1941309255079,0.16257088846881,6.3,0,0,0.79201430274136,0,0,NA,0.1965406013363,0.037544696066746,17.5,16.76,25.8,9145,NA,6.3,21.095238095238,NA,0.95,0.81973140495868
"4",2009-09-30,7.9,1.25,0.7038,0.13423517169615,166.4,1559.6,0,63.3,0.30142857142857,0.040587330084637,NA,0.21597044614947,9.8502673796791,0,0.0385,7.0917,58.6,36.6268,58.6,0.37497,NA,146.7,1.1380915438324,2.5034129692833,2.5034129692833,NA,210,0.0085919466529879,NA,NA,-0.04,NA,0.46113989637306,0.0977,0,128.9,184.2,0.14006514657981,0.12285714285714,18.7,0,0.37923529411765,1.1069711538461,NA,NA,NA,0.28414862684251,0.11237980769231,25,23.29,25.8,12217,NA,18.7,9.8502673796791,NA,0.95,1.0926118626431
"5",2008-09-30,7.9,NA,NA,0.14478114478115,152.4,1516.8,0,21.7,0.092066185829444,0.014306434599156,NA,NA,22.569892473118,0,0.033873272987137,7.11,46.5,30.012,46.5,0.35458,NA,214,1.3674121405751,4.6021505376344,4.6021505376344,NA,235.7,0.0096255274261603,NA,NA,0.055,NA,0.4083186877563,0.0739,0,156.5,209.9,0.12291567413054,0.10946117946542,9.3,0,0.76451612903226,1.3772965879265,NA,NA,NA,0.19177015974441,0.061023622047244,30.7,27,25.8,4047,NA,9.3,22.569892473118,NA,0.85,1.3226711560045
"6",2007-09-30,8.3,NA,NA,0,156.6,1524.8,0,11.4,0.051029543419875,0.0074763903462749,NA,NA,10.740384615385,0,0.033437779767234,7.47,56.3,35.2798,56.3,0.37336,NA,212,1.4600550964187,3.765541740675,3.765541740675,NA,223.4,0.0085257082896117,NA,NA,0.115,NA,0.29160530191458,0.0691,0,145.2,223.4,0,0,20.8,0,0.35913461538461,1.42656449553,NA,NA,NA,0.24297404958678,0.13282247765006,29.9,21.89,0,11098,NA,15.4,14.506493506494,NA,1,1.42656449553
"7",2006-09-30,8.4,NA,NA,0,148.9,1556.3,0,35.3,0.098301308827625,0.022682002184669,NA,NA,13.918604651163,0,0.021052631578947,7.56,56.5,36.0843,56.5,0.36134,NA,323.8,2.8503521126761,5.7309734513274,5.7309734513274,NA,359.1,0.0068110261517702,NA,NA,0.125,NA,0.16209515771706,0.0572,0,113.6,359.1,0,0,25.8,0,0.29302325581395,2.4116856950974,NA,NA,NA,0.31764339788732,0.17327065144392,17.1,41.35,0,4673,NA,20.8,17.264423076923,NA,0.75,2.4116856950974
"8",2005-09-30,8.5,0,0,0,NA,1361.9,0,18.3,0.054577989859827,0.013437109919965,0,NA,13.305555555556,0,0.022865853658537,7.65,NA,NA,NA,0.36778,NA,317,2.6263463131732,NA,NA,NA,335.3,0.0062412805639181,NA,NA,NA,0,0.18676415912753,0.0358,0.00058741464130994,120.7,335.3,0,0,25.2,0,0.30357142857143,2.4122302158273,0,NA,NA,NA,0.18129496402878,12.8,39.36,0,3889,NA,25.7,13.046692607004,0,0.7,2.4122302158273
"9",2004-09-30,8.4,0.84,0.2682,0,NA,1107.4,0,24.3,0.071407581545695,NA,0,0.62639821029083,14.179166666667,0,0.020518081559374,6.72,NA,NA,NA,0.38491,NA,316,3.0649854510184,NA,NA,NA,340.3,0.0068629221600145,NA,NA,NA,0,0.12987177859591,0.0351,0,103.1,340.3,0,0,24,0,0.28,2.671114599686,0,NA,NA,NA,0.1883830455259,14.4,38.99,0,3000,NA,25.1,13.557768924303,0,0.6,2.671114599686
"10",2003-09-30,8.4,0.84,0.2682,0,NA,978.2,0,4.2,0.012269938650307,NA,0,0.6916,17.201005025126,0,0.016687116564417,5.712,43.3,29.2253,43.3,0.32505,NA,338.1,NA,7.8083140877598,7.8083140877598,29.2253,342.3,0.0066448579022695,NA,NA,NA,0,0.31332082551595,0.0298,0,105.2,342.3,0,0,19.9,0,0.2870351758794,3.1288848263254,0,0,0,0.27780736692015,0.1819012797075,19.7,40.55,0,2289,0,24,14.2625,0,0.55,3.2138783269962
