"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,107.2,0.33,0.9779,0,51.2,141,0.8,118.3,0.1829,16.9,0.839,-406.02,0.08,4.2,0,0,-32,-32.17,-28,0,528.4,NA,7.52,75.49,NA,377.26,646.7,0.0333,-0.25,-0.38,0.6398,0.7048,0.0617,-67.1,646.7,0,0,-52,-7.4286,-44.9,-6.4143,12.63,-4.595,92.39,-409.42,NA,7,NA,-1.0156,16.7,4.85,0,960685,70.3,-27.8,70.3,1.25,NA
"2",2010-12-31,73.1,0.38,0.8411,NA,-31.1,69.9,0.7,46.1,0.060689836756187,4.5196078431373,0.65951359084406,0.3275,0.37153727261919,4.6,0,0,-59.298,-59.298,-54.698,0,713.5,NA,71.35,69.950980392157,NA,-55.7255,759.6,0.10300429184549,NA,-0.2639,0.52236135957066,0.5818,0.14020028612303,-77.2,759.6,0,0,-61.6,-6.0392156862745,-16.7,-1.6372549019608,NA,-5.8135294117647,74.470588235294,-3.5725,NA,10.2,NA,NA,23.4,7.45,0,567503,10,-50,10,1.25,NA
"3",2009-12-31,66.4,-0.04,0.9034,NA,-5.5,76.7,0.7,46.9,0.12361623616236,3.7222222222222,0.61147327249022,1.9571,0.33207881337171,5.2,0,0,-52.8809,-52.8809,-47.6809,0,332.5,NA,30.787037037037,26.388888888889,NA,-50.3381,379.4,0.13168187744459,NA,0.068,0.49388753056235,0.4164,0.14471968709257,-52.4,379.4,0,0,-53.2,-4.2222222222222,-13.7,-1.0873015873016,NA,-4.1968984126984,30.111111111111,-2.5429,NA,12.6,NA,NA,21.5,5.04,0,298913,10.8,-57.7,10.8,1.2,NA
"4",2008-12-31,56.5,0.33,0.7863,0,7.4,79.8,2.3,42.9,0.3036093418259,4.29,0.53759398496241,-4.875,0.26453007757853,5.4,0,0,-72.382,-72.382,-66.982,0,98.4,NA,7.0791366906475,9.84,NA,-64.407,141.3,0.16541353383459,NA,NA,0.57857974388824,0.3175,0.15538847117794,-35.5,141.3,0,0,-70.2,-7.02,-12.5,-1.25,19.094594594595,-7.2382,14.13,-7.975,NA,10,NA,-9.4864864864865,27.1,2.15,0,167363,13.9,-54.8,13.9,1.3,NA
"5",2007-12-31,56.2,0.14,0.7938,0,68.8,160.5,7.3,88.5,0.24360033030553,1.3014705882353,0.55140186915888,-11.4018,0.26203073822121,9,0,0,-83.1744,-83.1744,-74.1744,0,274.8,NA,15.016393442623,4.0411764705882,NA,-70.0726,363.3,0.096573208722741,-1.19,0.0081,0.59431728492502,0.2529,0.08411214953271,-19.7,363.3,0,0,-79.1,-1.1632352941177,-15.6,-0.22941176470588,5.280523255814,-1.2231529411765,5.3426470588235,-13.1018,NA,68,NA,-1.1497093023256,63.3,5.79,0,285689,18.3,-73.8,18.3,1.3,NA
"6",2006-12-31,56.1,2.67,0.5622,0,142,228.5,9.6,127.1,0.81683804627249,1.8857566765579,0.5562363238512,0.8323,0.25613660618997,3.5,0,0,-85.7819,-85.7819,-82.2819,0,28.5,1.9127516778523,0.4031117397454,0.42284866468843,0.29,-92.7143,155.6,0.076148796498906,-1.54,0.0355,0.67517401392111,0.1582,0,14.9,155.6,0,0,-75.1,-1.1142433234421,-17,-0.25222551928783,1.0957746478873,-1.2727287833828,2.3086053412463,6.9323,NA,67.4,-5.7571758389262,-0.52887323943662,57,2.64,0,179731,70.7,-88.6,70.7,0.9,1.0957746478873
"7",2005-12-31,55.8,NA,NA,0,206.9,277.7,6.6,179.3,0.36877828054299,2.7712519319938,0.64566078501981,1.0266,NA,2.1,0,0,-55.5487,-55.5487,-53.4487,0,306.9,11.119565217391,4.3780313837375,4.7434312210201,NA,-61.0753,486.2,0.039971191933741,NA,-0.4182,0.52183614918712,0.2354,0,27.6,486.2,0,0,-50.8,-0.78516228748068,-12.3,-0.19010819165379,2.3499275012083,-0.85855749613601,7.5146831530139,5.5266,NA,64.7,-2.0126329710145,-0.24552924117931,33.7,8.69,0,413566,70.1,-65.9,70.1,1.2,2.3499275012083
"8",2004-12-31,47.9,0,0,0,NA,187.1,3.9,80.5,0.098857914773425,1.2327718223583,0.43025120256547,3.2813,NA,1.3,0,0,-8.1879,-8.1879,-6.8879,0,733.8,25.657342657343,11.237366003063,7.6918238993711,NA,-14.0692,814.3,0.036344200962052,NA,2.22,0.29608426837646,0.2048,0,28.6,814.3,0,0,-6.2,-0.064989517819706,-10.4,-0.10901467505241,7.4637946837764,-0.085826834381551,8.5356394129979,5.8813,-0.71829847519475,95.4,-0.28628951048951,-0.056828597616865,23.6,17.11,0,104365,65.3,-50.3,65.3,0,7.4637946837764
"9",2003-12-31,47.8,0,0,NA,NA,67.1,3.1,43.5,0.052089570111364,NA,NA,13,NA,0.6,0,0,-41.511,-41.511,-40.911,0,791.6,NA,NA,26.743243243243,NA,-57.011,835.1,0.061102831594635,NA,0.2974,0.39175257731959,0.1466,0,-71.2,835.1,0,0,-41.9,-1.4155405405405,-13,-0.43918918918919,NA,-1.4024,28.212837837838,15.5,-0.37339464393087,29.6,0.5830202247191,NA,20.2,17.03,0,12455,NA,0,0,0,NA
