"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,7.7,1.19,0.2484,0.5364,218.9,2302.7,0,39.3,0.0769,0.0171,NA,0.8,9.84,0,0.0299,7.7,81,56,81,0.3104,0.3105,471.8,1.09,5.81,5.81,56,511.1,0,3.36,10.11,0.03,NA,0.1379,NA,0.3738,0.0196,432.9,257.8,0.9825,0.4956,26.2,0,0.3068,1.18,0,0,NA,0.1294,0.1197,11.6,33.97,253.3,14968,NA,25.1,10.27,NA,0.95,1.08
"2",2010-12-31,7.7,1.13,0.2999,0.63986013986014,206,2306,0,31,0.050016134236851,0.013443191673894,NA,0.75025008336112,10.233870967742,0,0.0303,7.6901,83.9,57.9128,83.9,0.30974,0.3091922005571,588.8,1.0883548983364,7.0178784266985,7.0178784266985,57.9128,619.8,0,3.59,9.0807799442897,0.01,NA,0.21331413026084,NA,0.3546,0.019861231569818,541,253.8,1.4420803782506,0.59051306873185,24.8,0,0.31008629032258,1.2320388349515,0,0,NA,0.10704771534196,0.12038834951456,15.1,32.6,366,12952,NA,26.7,9.5056179775281,NA,0.9,1.0835664335664
"3",2009-12-31,7.6,0.97,0.3977,0.66631652661064,190.6,2235.4,0,29.8,0.043901001767826,0.013330947481435,NA,0.56575308021121,13.078947368421,0,0.0257,7.6637,85.6,58.6874,85.6,0.3144,0.31325301204819,649,1.1987439970447,7.5817757009346,7.5817757009346,58.6874,678.8,0,NA,NA,0.025,NA,0.19710013593113,NA,0.3223,0.020488503176165,541.4,298.2,1.2763246143528,0.56069534472599,22.8,0,0.33612894736842,1.5645330535152,0,0,NA,0.10839926117473,0.1196222455404,22.6,36.23,380.6,10542,NA,23.5,12.689361702128,NA,0.9,1.1883753501401
"4",2008-12-31,7.6,0.7,0.3663,0.72057094878254,166.4,2341.5,0,35.2,0.052443384982122,0.01503309844117,NA,0.39312039312039,15.823529411765,0,0.0316,7.6504,88.6,65.5799,88.6,0.25982,NA,636,1.1351061931108,7.1783295711061,7.1783295711061,NA,671.2,0,NA,NA,0.045,NA,0.42948080366023,NA,0.3009,0.019816357036088,560.3,242.1,1.7724080958282,0.63930274135876,15.3,0,0.50002352941176,1.4549278846154,NA,NA,NA,0.11704434767089,0.091947115384615,31.7,32.7,429.1,19303,NA,27.5,8.8036363636364,NA,0.9,1.1271200671704
"5",2007-12-31,6.5,0.54,0.348,0.76329263489563,120.2,1716.8,0,28.8,0.049213943950786,0.016775396085741,NA,0.3448275862069,9.7339901477832,0,0.032894736842105,6.5,65.4,46.1619,65.4,0.29416,NA,556.4,1.1615866388309,8.5076452599388,8.5076452599388,NA,585.2,0,NA,NA,0.09,NA,0.28554522400676,NA,0.2962,0.002504659832246,479,197.6,1.9615384615385,0.66233766233766,20.3,0,0.32019704433497,1.6439267886855,NA,NA,NA,0.096371473903967,0.16888519134775,36.5,26.52,387.6,8459,NA,24.2,8.1652892561983,NA,0.75,1.1524222134699
"6",2006-12-31,6.6,1.11,0.2447,0.77858176555716,107.1,1769.9,0,33.4,0.059251374844776,0.018871122662297,NA,0.55578259092767,9.2167487684729,0,0.033864243719936,6.336,65.9,45.4684,65.9,0.31004,NA,530.3,1.177659338219,8.0470409711684,8.0470409711684,NA,563.7,0,NA,NA,0.09,NA,0.26236842105263,NA,0.2807,0.0029380190971241,450.3,187.1,2.0128273650454,0.66808586127373,20.3,0,0.31211822660098,1.7469654528478,NA,NA,NA,0.10097349322674,0.18954248366013,35,28.4,376.6,3300,NA,19.6,9.5459183673469,NA,0.85,1.1653917717594
"7",2005-12-31,7.5,1.67,0.2421,0.689448441247,129.5,1653.3,0,30.3,0.050609654250877,0.018326982398839,NA,0.52870714580752,14.542056074766,0,0,0,59.6,40.6484,59.6,0.31798,NA,568.4,1.4698732867856,9.5369127516778,9.5369127516778,NA,598.7,0,NA,NA,NA,NA,0.18888329979879,NA,0.2907,0.0036291054255126,386.7,311.2,0.92384318766067,0.48020711541674,21.4,0,0,2.4030888030888,NA,NA,NA,0.10511608999224,0.16525096525096,21.6,46.12,287.5,8500,NA,20.9,14.88995215311,NA,0.8,1.4357314148681
"8",2004-12-31,7.8,0.38,0.2065,0.69826065036552,NA,1370.4,0,37.2,0.070254957507082,0.027145359019264,0,0.3680387409201,13.359788359788,0,0,0,NA,NA,NA,0.32913,NA,492.3,1.3694019471488,NA,NA,NA,529.5,0,NA,NA,NA,0,0.14921985815603,NA,0.2397,0.0053269118505546,359.5,252.5,1.0970297029703,0.52313503305005,18.9,0,0,2.109440267335,0,NA,NA,NA,0.15789473684211,14.2,33,277,3000,NA,19.8,12.752525252525,0,0.75,1.334761784724
"9",2003-12-31,7.8,0.28,0.2183,0.69826065036552,NA,1370.4,0,37.2,0.064060616497331,NA,0,0.25652771415483,16.068783068783,0,0.020010005002501,6.24,NA,NA,NA,0.32913,NA,543.5,1.5118219749652,NA,NA,NA,580.7,0,NA,NA,NA,0,0.15689981096408,NA,0.2065,0.0053269118505546,359.5,303.7,0.9120842937109,0.47701050456346,18.9,0,0.33015873015873,2.5371762740184,0,NA,NA,NA,0.15789473684211,14.2,39.98,277,5600,NA,20,15.185,0,0.75,1.4638265691959
"10",2002-12-31,8,0.51,0.2757,0.61763759253299,NA,1218.4,0,33.5,0.079065376445598,NA,0,0.4061,13.245714285714,0,0.026229508196721,6.08,55.4,37.3961,55.4,0.32498,NA,390.2,NA,7.043321299639,7.043321299639,37.3961,423.7,0,NA,NA,NA,0,0.21187892632781,NA,0.1844,0.0068122127380171,277.2,231.8,0.82786885245902,0.45291479820628,17.5,0,0.34742857142857,1.9511784511785,0,0,0,0.1349065945166,0.1473063973064,17.1,29.85,191.9,7462,0,18.2,12.736263736264,0,0.75,1.4076479076479
"11",2001-12-31,NA,0.32,0.331,0.6164,NA,1089.4,0,38.9,0.1065169769989,NA,0,0.1718,12.753246753247,0,0.0278,5.4599,NA,NA,NA,0.31718,NA,326.3,NA,NA,NA,NA,365.2,0,NA,NA,NA,NA,0.22107969151671,0,0.1563,0.0052322379291353,235.039,196.4,0.85947046843177,0.46221248630887,15.4,0,0.35454025974026,1.8686964795433,0,NA,NA,NA,0.1465271170314,24.9,23.95,168.8,6800,0,15.6,12.589743589744,0,0.7,1.5537846910513
"12",2000-12-31,NA,0.65,0.392,0.37215189873418,NA,1010.9,0,29.3,0.10581437342001,NA,NA,0.49744897959184,10.402877697842,0,0.035850622406639,5.184,NA,NA,NA,0.31057,NA,247.6,NA,NA,NA,NA,276.9,0,NA,NA,NA,NA,0.20251177394035,NA,0.0549,NA,193.9,144.6,0.9149377593361,0.47778981581799,13.9,0,0.37294964028777,1.5907590759076,0,NA,NA,NA,0.15291529152915,NA,18.2,132.3,NA,NA,20,7.23,NA,NA,1.2405913978495
