"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Growth in Earnings Per Share","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","Reinvestment Amount","Reinvestment Rate","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing Net Income","Trailing PE Ratio","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,9.5,1.25,0.2891,0.1072,127.4,1489.2,0,30.2,0.1763,0.0203,0.8,14.31,0,0.0268,4.18,43,29.22,43,0.3205,0.323,141.1,1.25,3.28,3.28,29.22,171.3,0,0.075,0.1524,0.0971,0.0038,112.5,156,0.0981,0.0893,10.9,0,0.3483,1.22,0,0,0.2597,0.0856,7.4,16.52,15.3,6389,12,13,0.6,1.2
"2",2010-12-31,9.3,1.34,0.3756,0.11791383219955,116.7,1397.3,0,30.5,0.20225464190981,0.021827810777929,0.33280085197018,12.754716981132,0,0.0293,3.9614,41.7,28.2351,41.7,0.3229,0.32484076433121,120.3,1.1817288801572,2.8848920863309,2.8848920863309,28.2351,150.8,0,0.135,0.26185173401209,0.0855,0.0040792957847277,101.8,135.2,0.11538461538462,0.10344827586207,10.6,0,0.37371320754717,1.1585261353899,0,0,0.27735825147348,0.090831191088261,8.7,14.3,15.6,9708,10.5,12.87619047619,0.5,1.1398337112623
"3",2009-12-31,9.1,0.72,0.3134,0.22684852835607,107.7,1304,0,25.9,0.17948717948718,0.019861963190184,0.39885130823229,14.26582278481,0,0,0,35.7,25.4095,35.7,0.28825,0.29464285714286,118.4,1.0440917107584,3.3165266106443,3.3165266106443,25.4095,144.3,0,NA,0.15966386554622,0.0467,0.0043711656441718,113.4,112.7,0.28039041703638,0.21898821898822,7.9,0,0,1.0464252553389,0,0,0.22406944444444,0.073351903435469,12.5,13.6,31.6,4268,11,10.245454545454,0.5,1.0358937544867
"4",2008-12-31,8,0.63,0.2966,0.11381322957198,91.1,1180.5,0,21.5,0.21140609636185,0.018212621770436,0.24275118004046,11.25,0,0.0348,3.132,32.6,22.3554,32.6,0.31425,NA,80.2,0.98646986469865,2.4601226993865,2.4601226993865,NA,101.7,0,NA,0.27552328064929,0.0683,0.0049978822532825,81.3,90,0.13,0.11504424778761,8,0,0.3915,0.98792535675082,NA,NA,0.27497478474785,0.08781558726674,18.3,10.95,11.7,9066,7.6,11.842105263158,0.45,0.98929961089494
"5",2007-12-31,7.9,NA,NA,0.30511182108626,87,1057.7,0,24.9,0.21101694915254,0.02354164696984,NA,8.0606060606061,0,0.035639097744361,2.844,32,21.1962,32,0.33762,NA,93.1,0.92821535393818,2.909375,2.909375,NA,118,0,NA,0.1932059447983,0.05,0.005672686016829,100.3,79.8,0.47869674185464,0.32372881355932,9.9,0,0.28727272727273,0.91724137931034,NA,NA,0.21132761714855,0.11379310344828,22.1,11.25,38.2,5651,8.2,9.7317073170732,0.4,0.94249201277955
"6",2006-12-31,7.7,NA,NA,0.12797281993205,77,979.3,0,35.6,0.31476569407604,0.036352496681303,NA,11.065217391304,0,0,0,31.3,19.8273,31.3,0.36654,NA,77.5,1.4705882352941,2.4760383386581,2.4760383386581,NA,113.1,0,NA,0.15659340659341,0.0618,0.0062289390380884,52.7,101.8,0.11100196463654,0.099911582670203,9.2,0,0,1.3220779220779,NA,NA,0.37622956356736,0.11948051948052,16.9,12.99,11.3,700,9.2,11.065217391304,NA,1.2808607021518
"7",2005-12-31,7.6,NA,NA,0.13740458015267,67.8,918.5,0,33,0.24480712166172,0.035928143712575,NA,14.761904761905,0,0,0,28.2,18.0204,28.2,0.36098,NA,101.8,2.2324561403509,3.6099290780142,3.6099290780142,NA,134.8,0,NA,0.16343490304709,0.0164,0.0068590092542188,45.6,124,0.087096774193548,0.080118694362018,8.4,0,0,1.8289085545723,NA,NA,0.39518342105263,0.12389380530973,8.2,16.1,10.8,1619,9.1,13.626373626374,NA,1.7150127226463
