"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-06-30,77.8,2,0.5877,0,83.9,180.3,2.9,160.9,0.1533,9.811,0.8924,-1.07,0.8,4.6,0,0,-5,-4.6,0,0,888.9,NA,49.38,NA,NA,54.2,NA,-1.83,1049.8,0.0643,NA,NA,-0.235,0.2504,NA,0.822,0,-77,1049.8,0,0,-73.3,-4.4695,-11,-0.6707,12.51,-0.2805,64.01,-2.77,NA,16.4,NA,-0.8737,20.4,12.75,0,1049029,18,-79,18,1.1,NA
"2",2011-06-30,76.3,1.92,0.7057,0,140,217.6,2,191.2,0.2012843457206,9.9067357512953,0.87867647058823,0.1959,0.40739691086864,4.9,0,0,-57.5608,-57.5608,-52.6608,0,758.7,NA,41.233695652174,NA,NA,39.310880829016,NA,-54.8567,949.9,0.061580882352941,NA,NA,0.2345,0.33553173948887,NA,0.7694,0,-51.2,949.9,0,0,-58.3,-3.020725388601,-4.2,-0.21761658031088,6.785,-2.9824248704663,49.217616580311,-2.7041,NA,19.3,NA,-0.41642857142857,16,11.58,0,674038,18.4,-64.9,18.4,1.15,NA
"3",2010-06-30,67.9,1.74,0.7917,0,102,137.2,1.5,110.3,0.16613947883717,7.9352517985611,0.80393586005831,-0.1532,0.36314260452191,4.8,0,0,-51.0536,-51.0536,-46.2536,0,553.6,NA,38.985915492958,NA,NA,39.827338129496,NA,-47.6004,663.9,0.11880466472303,NA,NA,-0.582,0.37452711223203,NA,0.7995,0,-8.3,663.9,0,0,-50.9,-3.6618705035971,-7.1,-0.51079136690647,6.5088235294118,-3.6729237410072,47.762589928058,-3.4532,NA,13.9,NA,-0.49901960784314,14.9,9.26,0,843078,14.2,-51.4,14.2,1.15,NA
"4",2009-06-30,56.9,1.54,0.7096,0,66.9,100.7,1.9,71.1,0.1551724137931,2.5392857142857,0.70605759682224,0.5786,0.25930101465614,5,0,0,-31.8324,-31.8324,-26.8324,0,387.1,NA,15.484,NA,NA,13.825,NA,-29.311,458.2,0.19563058589871,NA,NA,-0.3802,0.44921316165951,NA,0.5827,0,-4.2,458.2,0,0,-31.9,-1.1392857142857,-5.4,-0.19285714285714,6.8490284005979,-1.1368714285714,16.364285714286,-2.5214,NA,28,NA,-0.47683109118087,13.9,7.86,0,428873,25,-34.9,25,1.15,NA
"5",2008-06-30,50.8,1.36,0.6133,0,55.3,83.3,18,47.9,0.22456633849039,1.1915422885572,0.5750300120048,-0.2846,0.35219305397033,4.4,0,0,-34.0314,-34.0314,-29.6314,0,165.4,22.351351351351,4.7257142857143,NA,NA,4.1144278606965,NA,-47.3468,213.3,0.27370948379352,-0.67,NA,-0.1212,0.40266021765417,NA,0.4106,0,7.4,213.3,0,0,-32,-0.79601990049751,-2.2,-0.054726368159204,3.8571428571429,-0.84655273631841,5.3059701492537,13.3154,NA,40.2,-4.5988405405405,-0.57866184448463,14.3,4.29,0,211107,35,-40.3,35,1.35,3.8571428571429
"6",2007-06-30,42.3,2.79,0.4694,0,58.4,80.4,2,59.7,0.33314732142857,1.5628272251309,0.74253731343284,0.1791,0.46016190881977,3.2,0,0,-22.2656,-22.2656,-19.0656,0,119.5,NA,2.8588516746412,NA,NA,3.1282722513089,NA,-21.2447,179.2,0.10074626865672,-0.51,NA,0.1659,0.24302788844622,NA,0.369,0,-1.3,179.2,0,0,-19,-0.49738219895288,-1.9,-0.049738219895288,3.0684931506849,-0.58286963350785,4.6910994764398,-1.0209,NA,38.2,NA,-0.32534246575343,11,4.13,0,203061,41.8,-13.7,41.8,1.35,NA
"7",2006-06-30,41.5,3.6,0.6024,0,72.3,94.1,2.1,75,0.34498620055198,2.3364485981308,0.79702444208289,0,0.34528552456839,2.7,0,0,-21.4047,-21.4047,-18.7047,0,142.4,NA,4.4361370716511,NA,NA,4.4361370716511,NA,-20.8047,217.4,0.098831030818278,-0.64,NA,-0.1117,0.34570765661253,NA,0.3116,0,-2.7,217.4,0,0,-17.8,-0.55451713395639,-1.2,-0.037383177570093,3.0069156293223,-0.66681214953271,6.7725856697819,-0.6,NA,32.1,NA,-0.24619640387275,9.9,5.07,0,117057,32.1,-19.4,32.1,1.3,NA
"8",2005-06-30,41,2.21,0.6136,0,NA,110.1,2.4,90.6,0.41294439380128,2.6260869565217,0.82288828337875,-0.0067,0.72033898305085,2.2,0,0,-12.7958,-12.7958,-10.5958,0,128.8,NA,3.7333333333333,NA,NA,3.6078431372549,NA,-12.989,219.4,0.08991825613079,-0.46,NA,0.3691,0.34334763948498,NA,0.4021,0,-3.8,219.4,0,0,-11,-0.30812324929972,0.2,0.0056022408963586,2.5276497695853,-0.35842464985994,6.1456582633053,0.1933,-0.015104793378773,35.7,3.3673052631579,-0.12672811059908,8.8,5.13,0,191297,34.5,-13.2,34.5,1.8,2.5276497695853
"9",2004-06-30,40.8,2.43,0.7439,0,NA,122.6,2,94.6,0.26829268292683,3.0418006430868,NA,1.3142,0.6533136174217,1.3,0,0,-7.2774,-7.2774,-5.9774,0,258,103.2,8.2958199356913,NA,NA,9.9230769230769,NA,-9.2916,352.6,0.079119086460033,-0.41,NA,2.385,0.50394178289873,NA,0.3707,0,2.5,352.6,0,0,-5.9,-0.22692307692308,6.7,0.25769230769231,3.6313079299691,-0.2799,13.561538461539,2.0142,-0.27677890032577,26,-2.91096,-0.06076210092688,6.6,8.62,0,121495,31.1,-4.3,31.1,1.55,3.6313079299691
"10",2003-06-30,40.6,2.73,0.8567,0,NA,118,3.7,101.3,0.47986736144008,13.328947368421,NA,4.8,0.7023,1.1,0,0,-24.4761,-24.4761,-23.3761,0,109.8,NA,NA,NA,NA,14.447368421053,0.15,-27.0761,211.1,0.076271186440678,-0.32,NA,0.2785,0.48951911220715,NA,0.2648,0,1.4,211.1,0,0,-20,-2.6315789473684,1.6,0.21052631578947,2.0555014605647,-3.2205368421053,27.776315789474,2.6,NA,7.6,-17.482914285714,-0.19474196689387,6,5.28,0,133067,9.1,-20.9,9.1,1.45,78.428571428571
"11",2002-06-30,NA,2,1.2929,0,NA,152.2,4.3,137.8,1.0715396578538,23.35593220339,NA,0.166,0.2704,1,0,0,-19.57,-19.57,-18.57,0,-9.2,NA,NA,NA,NA,-1.5593220338983,0.19,-23.036,128.6,0.044021024967148,-0.41,-7.1951219512195,0.263,0.76456739258387,0,0.258,0,-3.625,128.6,0,0,-14.6,-2.4745762711864,1.065,0.18050847457627,0.95827123695976,-3.3169491525424,21.796610169492,3.466,NA,NA,NA,-0.10879284649776,5.4,2.95,0,68000,5.9,-16.2,6.8,1.5,NA
"12",2001-06-30,NA,1.6,1.238,0,NA,159.2,2.4,94.5,0.13860369609856,21,NA,30.3583,0.38772213247173,0.6,0,0,-15.2712,-15.2712,-14.6712,0,587.3,NA,NA,NA,NA,130.51111111111,NA,-17.2716,681.8,0.020100502512563,NA,NA,-0.6679,0.53968253968254,NA,0.4005,NA,47.9,681.8,0,0,-9.6,-2.1333333333333,-0.3,-0.066666666666667,4.7879213483146,-3.3936,151.51111111111,2.0004,NA,NA,-0.31881419624217,-0.067415730337079,4.5027,16.43,0,NA,4.5,-9.2,3.7,NA,4.7879213483146
