"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,67.6,-0.31,0.9855,0,14.3,15.8,0.1,5.2,0.0306,NA,0.3291,0.29,-0.08,1.3,0,0,NA,NA,NA,0,164.7,18.1,NA,NA,NA,169.9,0.0253,NA,-0.48,0.6291,NA,0.3411,0.5696,9.1,169.9,0,0,-14.6,NA,-0.6,NA,11.88,NA,NA,-0.91,NA,NA,NA,-1.021,13.3,2.03,0,872936,NA,-18.1,NA,1.45,11.88
"2",2010-12-31,52.8,0.83,1.0265,0,16.6,17.6,0.1,6.5,0.11648745519713,65,0.36931818181818,NA,0.37749634680955,1.7,0,0,NA,NA,NA,0,49.3,4.8811881188119,NA,493,NA,55.8,0.028409090909091,NA,-0.3934,0.55555555555556,NA,0.3479,0.53409090909091,10.1,55.8,0,0,-15,-150,-0.3,-3,3.3614457831325,NA,558,-1.6,NA,0.1,NA,-0.90361445783132,13.5,0.86,0,294961,NA,-14,NA,1.55,3.3614457831325
"3",2009-12-31,41.2,1.65,0.8579,0,23.9,25.5,0.1,13.5,0.75842696629214,135,0.52941176470588,-0.9,0.4953957337685,1.7,0,0,NA,NA,NA,0,4.3,0.41346153846154,21.5,43,NA,17.8,0.031372549019608,NA,NA,0.75438596491228,NA,0.167,0.39607843137255,10.4,17.8,0,0,-21.5,-215,-0.9,-9,0.74476987447699,NA,178,-2.5,NA,0.1,NA,-0.89958158995816,21.6,0.46,0,177288,0.2,-16.7,0.2,1.7,0.74476987447699
"4",2008-12-31,26.7,2.2,0.8564,0,16.1,18,0.1,4.8,0.077544426494346,NA,0.26666666666667,NA,0.33629145259225,1.6,0,0,NA,NA,NA,0,57.1,5.0530973451327,NA,NA,NA,61.9,0.077777777777778,NA,NA,0.55309033280507,NA,0.3836,0,11.3,61.9,0,0,-23.1,NA,-0.7,NA,3.8447204968944,NA,NA,NA,NA,NA,NA,-1.4347826086957,23.4,1.83,0,153585,NA,-22.4,NA,1.8,3.8447204968944
"5",2007-12-31,25.2,2.62,0.7365,0,24.4,26.6,0.5,13.4,0.16919191919192,44.666666666667,0.50375939849624,NA,0.43448744059742,1.6,0,0,-20.0046,-20.0046,-18.4046,0,65.8,5.9818181818182,NA,219.33333333333,NA,79.2,0.067669172932331,NA,NA,0.77924944812362,NA,0.4206,0,11,79.2,0,0,-18.2,-60.666666666667,-0.8,-2.6666666666667,3.2459016393443,-66.681933333333,264,NA,NA,0.3,-1.8185981818182,-0.74590163934426,17.7,2.47,0,232029,NA,-22,NA,2,3.2459016393443
"6",2006-12-31,23.4,2.11,0.6457,0,25.2,26.7,1.1,13.2,0.035031847133758,NA,0.49438202247191,NA,0.28496205668267,1.7,0,0,-1.7,-1.7,0,0,363.6,30.3,1212,NA,NA,376.8,0.078651685393258,-0.74,NA,0.42148760330578,NA,0.3299,0,12,376.8,0,0,-15.8,NA,0,NA,14.952380952381,NA,NA,NA,NA,NA,-0.14166666666667,-0.62698412698413,15.2,13.69,0,151954,0.3,-17,0.3,1.15,14.952380952381
"7",2005-12-31,21,3.44,0.737,0,22.4,23.8,0.7,10.6,0.039172209903917,10.6,0.4453781512605,0.21,0.26051560379919,2.5,0,0,-19.3604,-19.3604,-16.8604,0,260,22.033898305085,866.66666666667,260,-17.7704,270.6,0.079831932773109,NA,0.9801,0.38728323699422,NA,0.412,0.39075630252101,11.8,270.6,0,0,-23.1,-23.1,0.3,0.3,12.080357142857,-19.3604,270.6,-1.59,NA,1,-1.6407118644068,-1.03125,17.8,11.15,0,163281,0.3,-15.9,0.3,1.2,12.080357142857
"8",2004-12-31,18,3.34,0.8746,0,NA,28.1,1,7.8,0.04295154185022,11.142857142857,0.27758007117438,1.95,0.7637777269609,3.1,0,0,-21.0109,-21.0109,-17.9109,0,173.8,10.223529411765,248.28571428571,434.5,-20.8609,181.6,0.12099644128114,NA,0,0.56393635827932,NA,0.2134,0,17,181.6,0,0,-22.6,-56.5,2.6,6.5,7.3225806451613,-52.5273,454,-0.15,0.0071391447875676,0.4,-1.2359364705882,-0.91129032258065,20,9.1,0,61400,0.7,-25.2,0.7,1.25,7.3225806451613
"9",2003-12-31,18,2.62,0.7838,0,NA,42.5,1.2,20.5,0.1266213712168,3.0147058823529,NA,0.0418,0.66853789231947,3,0,0,-19.3436,-19.3436,-16.3436,0,141.4,7.4814814814815,20.794117647059,21.10447761194,-17.5854,161.9,0.11529411764706,NA,-0.5597,0.54872465663833,NA,0.1746,0,18.9,161.9,0,0,-22,-3.2835820895522,2.8,0.41791044776119,4.1091370558376,-2.8871,24.164179104478,-1.7582,0.090893715856167,6.7,-1.0234693121693,-0.55837563451777,24.5,8.66,0,33426,6.8,-10.9,6.8,1.15,4.1091370558376
"10",2002-12-31,14,1.9,0.674,0,NA,37.8,1.3,15,0.096587250482936,1.2605042016807,NA,-9.4,0.6218,3,0,0,-18.1582,-18.1582,-15.1582,0,140.3,NA,NA,11.789915966387,-16.4582,155.3,0.16402116402116,NA,0.2728,0.5018315018315,NA,0.0478,0,19,155.3,0,0,-17.3,-1.453781512605,4.2,0.35294117647059,4.5676470588235,-1.5259008403361,13.050420168067,-1.7,NA,11.9,-0.95569578947368,-0.50882352941177,22.8,9.99,0,24279,9.2,-21.1,9.2,1.1,7.3842105263158
