"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","Reinvestment Amount","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,16.4,1.14,0.4465,0.1501,261.1,1358.9,0,18.3,0.0835,0.0135,NA,0.64,13.32,0,0.0066,1.15,NA,NA,NA,0.2018,0.2973,200.9,0.7,219.2,0.0024,NA,NA,-0.13,NA,0.1949,0.2208,0.037,288.9,173.1,0.2663,0.2103,13,0,0.0792,0.66,0,NA,0.0498,0,9.52,46.1,19372,14.5,11.94,NA,1.15,0.71
"2",2010-12-31,15.2,0.88,0.578,0.14179382210644,230.6,1361.8,0,11.4,0.066940692894891,0.0083712733147305,NA,0.4757785467128,6.0090909090909,0,0.006,0.7932,NA,NA,NA,0.3471,0.39393939393939,158.9,0.617567042363,170.3,0,NA,NA,NA,NA,0.23953098827471,0.1959,0.037964458804523,257.3,132.2,0.28819969742814,0.22372284204345,22,0,0.036054545454545,0.57328707718994,0,NA,0.095403295750217,0,8.13,38.1,14427,10.4,12.711538461539,NA,1.1,0.63379233345739
"3",2009-12-31,15.4,1.49,0.6607,0.15802571547076,203,1304.5,0,7.4,0.047405509288917,0.0056726715216558,NA,0.43514454366581,NA,0,0.0064,0.7552,NA,NA,NA,0,NA,148.7,0.63628583654258,156.1,0,NA,NA,NA,NA,0.31233595800525,0.1769,0.037485626676888,233.7,118,0.3228813559322,0.24407431133888,-7.4,0,NA,0.58128078817734,0,NA,-0.036453201970443,0,8.12,38.1,5599,9.8,12.040816326531,NA,1.15,0.64744919120697
"4",2008-12-31,15.4,1.65,0.5998,0.18974103585657,162.7,1273.9,0,7.8,0.062852538275584,0.0061229295863098,NA,0.30676892297433,NA,0,0.009,0.774,NA,NA,NA,0,NA,116.3,0.60259067357513,124.1,0.0047099458356229,NA,NA,NA,NA,0.51619047619048,0.1992,0.04105502786718,193,86,0.44302325581395,0.30701047542305,-24.5,0,NA,0.52858020897357,NA,NA,-0.15058389674247,0,5.8,38.1,11584,-6.1,NA,NA,1.15,0.61802788844622
"5",2007-12-31,15.2,2.11,0.4635,0.17749077490775,222.9,1308.1,0,81.8,0.84243048403707,0.06253344545524,NA,0.36245954692557,32.666666666667,0,0.015510204081633,0.76,0,0,0,0.22153,NA,15.3,0.080866807610994,97.1,0.0045868052901154,NA,NA,-0.025,NA,0.73913043478261,0.2193,0.039522972249828,189.2,49,0.98163265306122,0.49536560247168,1.5,0,0.50666666666667,0.21982951996411,NA,0,0.0067294751009421,NA,3.61,48.1,54840,-12.3,NA,NA,1.05,0.35830258302583
"6",2006-12-31,15.2,NA,NA,0.17962371317004,231.1,1259.7,0,27.5,0.11048613901165,0.021830594586013,NA,NA,14.063829787234,0,0.0038325769036813,0.76,0,0,0,0.31413,NA,221.4,0.87096774193548,248.9,0.0055568786218941,0.08,141.375,0.08,NA,0.37919463087248,0.2022,0.047074700325474,254.2,198.3,0.25516893595562,0.20329449578144,14.1,0,0.053900709219858,0.85807009952402,NA,0,0.061012548680225,NA,11.31,50.6,17900,3.7,53.594594594595,NA,0.95,0.88356407525737
"7",2005-12-31,14.1,NA,NA,0.16082735331363,198.8,1150.9,0,21.5,0.058695058695059,0.018681032235642,NA,NA,18.971098265896,0,0.0021480804387569,0.705,0,0,0,0.33139,NA,344.8,1.6007428040854,366.3,0,1.07,20.401869158879,0.125,NA,0.12108033875029,0.169,0.029889651577027,215.4,328.2,0.11608775137112,0.1040131040131,17.3,0,0.040751445086705,1.6509054325956,NA,0,0.087022132796781,NA,21.83,38.1,6000,11.4,28.78947368421,NA,0.75,1.5462220346138
"8",2004-12-31,14.1,0,0,0.21127348643006,NA,968.5,0,13.2,0.041032017407522,0.013629323696438,0,NA,11.838427947598,0,0.0025614754098361,0.705,NA,NA,NA,0.3179,NA,308.5,1.3632346442775,321.7,0,1.56,12.512820512821,0.1,0,0.074626865671642,0.1478,0,226.3,271.1,0.18664699372925,0.15728940006217,22.9,0,0.030786026200873,1.435150873478,0,NA,0.12122816304923,0,19.52,50.6,10200,22.8,11.890350877193,0,0.65,1.3432150313152
"9",2003-12-31,13.9,0,0,0.17246447819696,NA,898.3,0,69.2,0.23252688172043,NA,0,NA,14.10752688172,0,0,0,NA,NA,NA,0.35311,NA,228.4,1.6931060044477,297.6,0,NA,NA,0.09,0,0.30821858987204,0.1378,0,134.9,262.4,0.13414634146342,0.11827956989247,18.6,0,0,1.5535820011841,0,NA,0.1101243339254,0,18.38,35.2,600,21,12.495238095238,0,0.55,1.4581087702107
