"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-09-30,18.2,0.1,0.2401,0,139.4,1171.7,0,149.8,0.7947,0.1278,NA,0.1,67.32,0,0,0,17,12.49,17,0.2568,0.2632,38.7,NA,2.3,2.3,12.49,188.5,0.0186,-0.195,NA,0.1042,0.2265,0.0053,-10.4,188.5,0,0,2.8,0,0,1.35,0,0,NA,NA,0.0201,9.4,10.6,0,4350,NA,5,37.7,NA,0.8,NA
"2",2011-09-30,0,0.4,0.3177,NA,NA,NA,0,0,0,NA,NA,0.62952470884482,NA,0,0,0,NA,NA,NA,0,NA,175.7,NA,NA,NA,NA,175.7,NA,NA,NA,0.1932059447983,0.2297,NA,NA,175.7,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,0,9.26,0,17218,NA,4.4,39.931818181818,NA,0.8,NA
"3",2010-09-30,19.7,0.78,0.4432,0,267.7,1097.3,0,24.4,0.15024630541872,0.022236398432516,NA,0.47946750902527,12.210526315789,0,0.023,3.7352,33.6,28.5613,33.6,0.14996,0.15286624203822,138,0.5672009864365,4.1071428571429,4.1071428571429,28.5613,162.4,0.015492572678392,NA,NA,0.18918918918919,6e-04,0.0051034357058234,243.3,162.4,0,0,13.3,0,0.28084210526316,0.60664923421741,0,0,NA,0.11739146732429,0.049682480388495,11.9,8.9,0,17018,NA,5.6,29,NA,0.85,0.60664923421741
"4",2009-09-30,19.7,1.18,0.4607,0,267.7,1097.3,0,24.4,0.11708253358925,0.022236398432516,NA,0.31256783156067,15.669172932331,0,0.0943,19.6521,33.6,28.5613,33.6,0.14996,NA,184,0.75626798191533,5.4761904761905,5.4761904761905,NA,208.4,0.015492572678392,NA,NA,0.39917695473251,5e-04,0.0051034357058234,243.3,208.4,0,0,13.3,0,1.4776030075188,0.77848337691446,NA,NA,NA,0.11739146732429,0.049682480388495,11.9,10,0,3153,NA,4.7,44.340425531915,NA,0.9,0.77848337691446
"5",2008-09-30,19.7,1.49,0.4165,0,267.7,1097.3,0,24.4,0.15511760966306,0.022236398432516,NA,0.49939975990396,11.827067669173,0,0.12523839796567,19.7,33.6,28.5613,33.6,0.14996,NA,132.9,0.5462392108508,3.9553571428571,3.9553571428571,NA,157.3,0.015492572678392,NA,NA,0.74413646055437,0.006,0.0051034357058234,243.3,157.3,0,0,13.3,0,1.4812030075188,0.58759805752708,NA,NA,NA,0.11739146732429,0.049682480388495,11.9,9,0,5500,NA,10.5,14.980952380952,NA,1.3,0.58759805752708
"6",2007-09-30,19.7,2.04,0.2762,0,267.7,1097.3,0,24.4,0.034957020057307,0.022236398432516,NA,0.49239681390297,52.481203007519,0,0.056446991404011,39.4,33.6,28.5613,33.6,0.14996,NA,673.6,2.7685984381422,20.047619047619,20.047619047619,NA,698,0.015492572678392,NA,NA,0.28070175438597,0.007,0.0051034357058234,243.3,698,0,0,13.3,0,2.9624060150376,2.6073963391857,NA,NA,NA,0.11739146732429,0.049682480388495,11.9,37.5,0,3389,NA,51,13.686274509804,NA,0.85,2.6073963391857
"7",2006-09-30,19.7,1.84,0.237,0,267.7,1097.3,0,24.4,0.023865414710485,0.022236398432516,NA,0.50632911392405,76.872180451128,0,0.034683098591549,35.46,33.6,28.5613,33.6,0.14996,NA,998,4.1019317714755,29.702380952381,29.702380952381,NA,1022.4,0.015492572678392,NA,NA,0.20697515386369,0.1077,0.0051034357058234,243.3,1022.4,0,0,13.3,0,2.6661654135338,3.819200597684,NA,NA,NA,0.11739146732429,0.049682480388495,11.9,51.52,0,5818,NA,13.4,76.298507462687,NA,0.75,3.819200597684
"8",2005-09-30,19.6,0.62,0.2249,0,NA,1050.6,0,20.9,0.028669410150892,0.019893394250904,0,0.55135615829257,63.947368421053,0,0.039204704564548,27.44,NA,NA,NA,0.26505,NA,708.1,3.1853351327036,NA,NA,NA,729,0.013325718636969,NA,0,0.18127090301003,0.103,0.0055206548638873,222.3,729,0,0,11.4,0,2.4070175438596,2.9975328947368,0,NA,NA,NA,0.046875,6.1,35.71,0,6608,NA,11.4,63.947368421053,0,0.75,2.9975328947368
"9",2004-09-30,19.6,0.05,0.3158,0,NA,1068.2,0,12.4,0.014416928264155,NA,0,0.031665611146295,104.89024390244,0,0.022716946842344,19.6,NA,NA,NA,0.25752,NA,847.7,3.2591311034218,NA,NA,NA,860.1,0.010484927916121,NA,0,0.16946442845723,0.1003,0.0056169256693503,260.1,860.1,0,0,8.2,0,2.390243902439,3.1563302752294,0,NA,NA,NA,0.030091743119266,4.8,44.02,0,750,NA,8.2,104.89024390244,0,0.75,3.1563302752294
"10",2003-09-30,19.8,0,0,0,NA,982.6,0,10.1,0.014072732339418,NA,0,0,247.48275862069,0,0.022070502995681,15.84,21.4,18.3338,21.4,0.14328,NA,707.6,NA,33.065420560748,33.065420560748,18.3338,717.7,0.006309790352127,NA,0,0.19800436545058,0.091,0,239.1,717.7,0,0,2.9,0,5.4620689655172,2.8800160513644,0,0,0,0.076678410706817,0.011637239165329,6.8,36.31,0,7514,0,3.1,231.51612903226,0,0.65,2.9594312003346
