"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-12-31,11.8,0.5,0.1806,0.2257,668.2,1936.8,23.1,83.8,0.0968,0.0433,NA,0.69,15.94,0,0.0158,10.62,NA,NA,NA,0.2207,0.2204,782,1,0.09,NA,865.8,0.02,1.65,35.3,0.02,NA,0.2042,NA,0.0389,779.2,671,0.2903,0.225,42.1,0,0.3142,1,1.77,23.1,NA,NA,0.063,1019.1,58.24,194.8,49720,NA,33.8,19.85,NA,0.7,1
"2",2011-12-31,12.5,0.69,0.225,0.22747984577638,661.2,1852.4,8.5,63.6,0.072910695861515,0.034333837184193,NA,0.77777777777778,7.4054644808743,0,0.0126,8.5378,NA,NA,NA,0.28827,0.28849144634526,808.7,1.0206992300896,0.0668,NA,872.3,0.013549989203196,2.17,26.147465437788,0.01,NA,0.18892296254995,NA,0.040649967609588,792.3,677.6,0.28733766233766,0.22320302648172,91.5,0,0.093308852459016,1.0248033877798,1.1086024671968,8.5,NA,NA,0.13838475499093,905.9,56.74,194.7,43867,NA,53.5,12.665420560748,NA,0.7,1.0191611169529
"3",2010-12-31,13.5,0.4,0.2478,0.23951285520974,618.2,1803.7,4.6,99.7,0.099154649428145,0.055275267505683,NA,0.75665859564165,11.484419263456,0,0.0089,7.2161,NA,NA,NA,0.36486,0.36453645364537,905.8,1.2700504767246,0.0633,NA,1005.5,0.015468204246826,5.42,11.40221402214,-0.02,NA,0.27253028661479,0.9868,0.041747518988745,713.2,810.8,0.24013320177602,0.19363500745898,70.6,0,0.10221133144476,1.3115496603041,1.8142842438319,4.6,NA,NA,0.11420252345519,848.4,61.8,194.7,36477,NA,97.4,8.3244353182751,NA,0.75,1.2369295116251
"4",2009-12-31,14.1,0.38,0.2591,0.27534832390675,525.3,1721.3,18.4,109.3,0.14505640345056,0.063498518561552,NA,0.43226553454265,28.699481865285,0,0.0118,6.536,NA,NA,NA,0.6,NA,644.2,1.0464587394412,0.1,NA,753.5,0.019345843258003,4.68,8.6837606837607,0.02,NA,0.21399387129724,0.9914,0.043746005925754,615.6,553.9,0.36035385448637,0.26489714664897,19.3,0,0.33865388601036,1.0544450790025,2.8699481865285,NA,NA,NA,0.036740909956215,892.1,40.64,199.6,61923,NA,24.6,22.516260162602,NA,0.7,1.0394537177542
"5",2008-12-31,16.2,0.17,0.2258,0.24915698763582,601.2,1916.6,21,46.8,0.052272981123646,0.024418240634457,NA,0.53144375553587,9.6773296244784,0,0.010244323081345,7.128,0,0,0,0.33538,NA,848.5,1.1254808330017,0.09,NA,895.3,0,3.62,12.908839779006,NA,NA,0.23123543123543,NA,0.039288323072107,753.9,695.8,0.28672032193159,0.22283033620016,71.9,0,0.09913769123783,1.1573519627412,1.0752588471643,NA,NA,0,0.11959414504325,1014.3,46.73,199.5,105330,NA,49.3,14.113590263692,NA,0.75,1.118146621706
"6",2007-12-31,20.7,0.87,0.1981,0.23078703703704,664.6,2014.4,3.5,109.2,0.13817537643933,0.054209690230342,NA,0.72690560323069,6.7686139747995,0,0.01261127094263,7.452,0,0,0,0.33585,NA,681.1,0.90235824059353,0.1,NA,790.3,0,3.82,9.8167539267016,NA,NA,0.21477908124109,NA,0.03738085782367,754.8,590.9,0.33745134540531,0.25230924965203,87.3,0,0.085360824742268,0.88910622931086,0.67686139747995,NA,NA,0,0.13135720734276,948.7,37.5,199.4,212136,NA,75.6,7.8161375661376,NA,0.9,0.91469907407407
"7",2006-12-31,20.7,1.21,0.2281,0.24140435835351,626.6,1971.7,3.8,64.9,0.055018650389963,0.032915757975351,NA,0.59622972380535,9.2210724365005,0,0.0063354417465823,6.21,0,0,0,0.28557,NA,1114.7,1.4645907239522,0.1034,NA,1179.6,0,3.96,12.219696969697,NA,NA,0.15315103861049,0.9934,0.038190394076178,761.1,980.2,0.20342787186288,0.16904035266192,106.3,0,0.058419567262465,1.5643153526971,0.89178650256291,NA,NA,0,0.16964570699011,979.6,48.39,199.4,91568,NA,96.9,10.115583075335,NA,0.85,1.4280871670702
"8",2005-12-31,20.7,0,0,0.2669077273336,NA,1944.9,4.6,112.1,0.11410830618892,0.05763792482904,0,NA,7.9421906693712,0,0.0064498790647675,4.968,NA,NA,NA,0.25784,NA,870.3,1.3714150646076,0.1067,NA,982.4,0,3.35,11.107462686567,NA,0,0.12534737457949,0.9158,0.03871664352923,634.6,783.1,0.25450134082493,0.20287052117264,98.6,0,0.050385395537525,1.4305809280234,0.7443477665765,4.6,NA,NA,0.18012422360248,917.8,37.21,199.3,37553,NA,106.1,7.3807728557964,0,0.85,1.3156555510915
"9",2004-12-31,20.5,0,0,0.29765576804442,NA,1900.1,2.1,125,0.13404825737265,NA,0,NA,12.70618556701,0,0.0063990692262944,4.51,NA,NA,NA,0.33371,NA,807.5,1.5427970959113,0.1,NA,932.5,0,3.83,8.976501305483,NA,0,0.18673485200682,0.9464,0.039629493184569,523.4,739.5,0.26098715348208,0.20697050938338,58.2,0,0.077491408934708,1.6238471673254,1.270618556701,2.1,NA,NA,0.12779973649539,817.6,34.38,193,99863,NA,84.1,8.7931034482759,0,0,1.4381554595928
"10",2003-12-31,20.3,0,0,0,NA,1545.2,4,88.1,0.140937450008,NA,0,0,13.618736383442,0,0.0071444568868981,4.466,0,0,0,0.35333,NA,537,NA,0.1133,-4,625.1,0,2.58,11.705426356589,NA,0,0.38614649681529,0.8978,0.045495728708258,298.7,625.1,0,0,45.9,0,0.097298474945534,1.6160806618407,1.2020067416983,4,0,0,0.11866597724922,613,30.2,0,102093,0,52.3,11.952198852773,0,NA,1.7977904251758
