"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","Reinvestment Amount","Reinvestment Rate","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-12-31,30,0.93,0.2362,0.3635,514.2,4081.8,0,312.1,0.4086,0.0765,NA,0.8,14.12,0,0.023,10.8,138,99.72,138,0.2795,0.2681,451.8,0.91,3.26,3.26,99.72,763.9,0,1.05,14.75,0.005,NA,0.1528,0.2021,0.0281,495.8,470.2,0.6246,0.3845,33.3,0,0.3008,0.91,0,0,0.2011,0.0648,22.4,15.49,293.7,171827,35.9,13.1,NA,0.8,0.95
"2",2011-12-31,28.9,1.26,0.3651,0.40189527396428,492.3,3871,0,144.8,0.20638540478905,0.037406354947042,NA,0.54779512462339,12.237623762376,0,0.0251,9.3071,136,96.9449,136,0.28717,0.30184331797235,556.8,0.82087571870854,4.0941176470588,4.0941176470588,96.9449,701.6,0,0.67,18.268656716418,0.065,NA,0.23497267759563,0.1728,0.028132265564454,678.3,370.8,0.89212513484358,0.4714937286203,30.3,0,0.30716435643564,0.75319926873857,0,0,0.14292330827068,0.061547836684948,30.1,12.24,330.8,54322,29.9,12.401337792642,NA,0.8,0.85238731624347
"3",2010-12-31,27.5,0.91,0.4198,0.52622796954844,454.3,3606.5,0,55.7,0.056888979675212,0.015444336614446,NA,0.47641734159123,17.705223880597,0,0.0195,9.2527,119.4,83.1836,119.4,0.30332,0.30208333333333,923.4,1.0223649247121,7.7336683417085,7.7336683417085,83.1836,979.1,0,NA,NA,0.14,NA,0.2467718794835,0.1694,0.027699986136143,903.2,474.5,1.063435194942,0.51537125931978,26.8,0,0.34525186567164,1.0444640105657,0,0,0.092098751107174,0.058991855602025,42.6,15.89,504.6,41507,29.1,16.305841924399,NA,0.8,1.0210658045677
"4",2009-12-31,24.5,0.79,0.3917,0.49299719887955,416.3,3133.6,0,67.3,0.095312278714063,0.021476895583355,NA,0.30635690579525,12.606694560669,0,0.0266,8.0146,94.3,69.021,94.3,0.26807,NA,638.8,0.84743963916158,6.7741251325557,6.7741251325557,NA,706.1,0,0.62,18.838709677419,0.29,NA,0.38722222222222,0.1611,0.022976767934644,753.8,301.3,1.3435114503817,0.57328990228013,23.9,0,0.33533807531381,0.72375690607735,NA,NA,0.09156407402494,0.057410521258708,45.8,11.68,404.8,61876,25.5,11.81568627451,NA,0.75,0.85994397759104
"5",2008-12-31,24.1,0.32,0.2679,0.56838037634409,256.9,2501.1,0,33.4,0.037139997776048,0.013354124185358,NA,0.32848077640911,24.077253218884,0,0.01374688057041,7.712,88.3,60.2577,88.3,0.31758,NA,865.9,1.5412958348167,9.806342015855,9.806342015855,NA,899.3,0,NA,NA,NA,NA,0.41624365482233,0.1116,0.027228019671345,561.8,561,0.6030303030303,0.37618147448015,23.3,0,0.33098712446352,2.1837290774621,NA,NA,0.10725825204699,0.090696769170884,54.3,24.79,338.3,75197,24.3,23.086419753086,NA,0.55,1.5109206989247
"6",2007-12-31,23.6,0.43,0.152,0.44551591128255,230,2194.6,0,45.4,0.081654676258993,0.020687141164677,NA,0.57894736842105,17.02752293578,0,0,0,72.5,48.9796,72.5,0.32442,NA,510.6,1.3822414726584,7.0427586206897,7.0427586206897,NA,556,0,NA,NA,NA,NA,0.17311283008802,0.0075,0.025972842431423,369.4,371.2,0.49784482758621,0.33237410071942,21.8,0,0,1.6139130434783,NA,NA,0.13259217650244,0.094782608695652,41.4,16.49,184.8,5658,13.7,27.094890510949,NA,0.55,1.3404050144648
"7",2006-12-31,23,0.16,0.2011,0.28571428571429,212,1803.2,0,46.1,0.084124087591241,0.025565661047027,NA,0.43759323719542,26.169491525424,0,0,0,60.9,39.5546,60.9,0.3505,NA,501.9,2.0019944156362,8.2413793103448,8.2413793103448,NA,548,0,NA,NA,NA,NA,0.10588235294118,0.0076,0.031000443655723,250.7,463.2,0.18307426597582,0.15474452554744,17.7,0,0,2.1849056603774,NA,NA,0.15777642600718,0.083490566037736,22.1,19.65,84.8,2144,13.7,33.810218978102,NA,0.55,1.8463611859838
"8",2005-12-31,22.4,0.03,0.2257,0.37208527648235,NA,1448.4,0,34.7,0.060696169319573,0.023957470312069,0,0.026583961010191,40.70796460177,0,0,0,NA,NA,NA,0.35521,NA,537,2.0225988700565,NA,NA,NA,571.7,0,NA,NA,NA,0,0.12739965095986,0.0078,0.034727975697321,265.5,460,0.24282608695652,0.19538219345811,11.3,0,0,2.4403183023873,0,NA,NA,0.059946949602122,12.9,19.35,111.7,2031,13.7,33.576642335766,0,0.55,1.9043970686209
"9",2004-12-31,15.5,0,0,0.49687890137328,NA,931.9,0,30.6,0.05788876276958,NA,0,NA,68.030303030303,0,0,0,NA,NA,NA,0.35653,NA,498,3.8425925925926,NA,NA,NA,528.6,0,NA,NA,NA,0,0.24170616113744,0,0,129.6,449,0.17728285077951,0.15058645478623,6.6,0,0,5.5707196029777,0,NA,NA,0.081885856079405,11.7,21.7,79.6,1450,6.6,68.030303030303,0,0.55,3.2996254681648
