"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,71.9,1.14,0.6096,0,60.3,68.8,0.3,47.4,0.1959,1.58,0.689,0.17,0.47,2.3,0,0,-61,-60.93,-59,0,194.6,15.09,11.31,6.49,-59.1,242,0.0901,NA,NA,-0.115,0.2898,NA,0.4648,0.0422,12.9,242,0,0,-7.3,-0.2433,-0.4,-0.0133,4.01,-2.031,8.07,-1.83,NA,30,-4.7234,-0.1211,12.5,2.91,0,726037,17.2,-22,17.2,1,4.01
"2",2010-12-31,71.6,1.15,0.7342,0,64.4,72.9,0.3,52.4,0.15888417222559,6.0229885057471,0.71879286694101,-6.6345,0.32348134023427,2.8,0,0,-103.568,-103.568,-100.768,0,277.4,23.116666666667,8.9773462783171,31.885057471264,-94.4335,329.8,0.1042524005487,-0.18,NA,-0.4848,0.51428571428571,NA,0.5136,0.043895747599451,12,329.8,0,0,-30.4,-3.4942528735632,-2.6,-0.29885057471264,5.1211180124224,-11.904366666667,37.908045977011,-9.1345,NA,8.7,-8.6306658333333,-0.47204968944099,11.7,4.41,0,820747,30.9,-7.5,30.9,0.95,5.1211180124224
"3",2009-12-31,53.8,1.28,0.6716,0,55,67.4,0.3,44.3,0.30785267546908,3.488188976378,0.65727002967359,1.9512,0.35363311494937,2.6,0,0,-28.5855,-28.5855,-25.9855,0,99.6,9.3084112149533,11.717647058824,7.8425196850394,-28.2367,143.9,0.1379821958457,NA,NA,0.1974,0.4061433447099,NA,0.5937,0.054896142433234,10.7,143.9,0,0,-28.6,-2.251968503937,-5.9,-0.46456692913386,2.6163636363636,-2.2508244094488,11.330708661417,-0.3488,NA,12.7,-2.6715392523365,-0.52,10.8,2.02,0,559976,8.5,-31,8.5,0.95,2.6163636363636
"4",2008-12-31,40.4,1.52,0.6382,0.0040983606557377,48.6,59.1,0.4,33.5,0.22742701968771,4.1875,0.5668358714044,-1.86,0.22563459730492,2.9,0,0,-37.5656,-37.5656,-34.6656,0,113.8,7.437908496732,8.890625,14.225,-33.2056,147.3,0.18104906937394,NA,NA,0.3981,0.64232488822653,NA,0.5346,0.072758037225042,15.3,147.1,0.0013596193065942,0.0013577732518669,-36.9,-4.6125,-3.1,-0.3875,3.0267489711934,-4.6957,18.3875,-4.36,NA,8,-2.4552679738562,-0.75925925925926,8.7,3.29,0.2,714662,12.8,-30.2,12.8,0.9,3.0184426229508
"5",2007-12-31,39.2,1.49,0.4854,0.009913258983891,79.9,90.6,1.2,68.8,1.2908067542214,12.509090909091,0.75938189845475,0.2618,0.42851256695509,3.3,0,0,-40.2176,-40.2176,-36.9176,0,-15.5,-1.3025210084034,-2.6271186440678,-2.8181818181818,-38.3795,53.3,0.13576158940397,-0.22,NA,-0.627,0.62989323843416,NA,0.5314,0.054083885209713,11.9,52.5,0.015238095238095,0.015009380863039,-35.9,-6.5272727272727,-3.6,-0.65454545454545,0.65707133917397,-7.3123,9.5454545454545,-1.8382,NA,5.5,-3.3796344537815,-0.44931163954944,9.1,1.41,0.8,104956,5.9,-36.8,5.9,1.3,0.66047087980174
"6",2006-12-31,39.1,1.71,0.4732,0.028936170212766,114.1,125.2,0.9,97.9,0.59369314736204,6.6598639455782,0.78194888178914,1.2286,0.38884192730347,3.3,0,0,-26.3716,-26.3716,-23.0716,0,67,3.4183673469388,10.983606557377,4.5578231292517,-25.2002,164.9,0.10782747603834,-0.9,NA,-0.1141,0.26975476839237,NA,0.4011,0.041533546325879,19.6,161.5,0.021052631578947,0.020618556701031,-23.1,-1.5714285714286,2.1,0.14285714285714,1.4154250657318,-1.7939897959184,10.986394557823,-1.1714,NA,14.7,-1.3454923469388,-0.20245398773006,9.1,4.27,3.4,57951,6.1,-34.9,6.1,1.15,1.4034042553191
"7",2005-12-31,28.3,2.19,0.5295,0.085421412300683,80.3,94.5,1.8,64,0.31219512195122,5.3333333333333,0.67724867724868,-0.9625,0.34749763928234,3.6,0,0,-25.6512,-25.6512,-22.0512,0,141,5.9243697478992,9.2156862745098,11.75,-22.8887,205,0.16084656084656,-0.76,NA,-0.3139,0.31711555169418,NA,0.2673,0.058201058201058,23.8,197.5,0.037974683544304,0.036585365853658,-24.4,-2.0333333333333,3.5,0.29166666666667,2.4595267745953,-2.1376,16.458333333333,-2.7625,NA,12,-1.077781512605,-0.30386052303861,7.7,6.43,7.5,123405,15.3,-20.9,15.3,1.15,2.3348519362187
"8",2004-12-31,23.5,3.7,0.7024,0.11146838156484,NA,101.2,0.5,71.3,0.64583333333333,4.6907894736842,0.70454545454545,0.029,1.0535307517084,3.6,0,0,-25.0397,-25.0397,-21.4397,0,39.1,1.7772727272727,2.5723684210526,2.6965517241379,-21.9687,110.4,0.16106719367589,-1.02,NA,0.5395,0.33716475095785,NA,0.2505,0.057312252964427,22,100,0.104,0.094202898550725,-23.7,-1.6344827586207,0.6,0.041379310344828,1.2062726176116,-1.726875862069,6.8965517241379,-3.071,0.12264661648337,14.5,-1.1381681818182,-0.28588661037394,8.5,4.2,10.4,214219,15.2,-23.2,15.2,1.35,1.1832797427653
"9",2003-12-31,20.1,2.85,0.7127,0.11352418558736,NA,110.7,1.9,82.2,0.67710049423394,7.3392857142857,NA,-0.0765,0.79977550161358,3.5,0,0,-22.1381,-22.1381,-18.6381,0,39.2,2.0523560209424,3.5,4.8395061728395,-20.4616,121.4,0.12917795844625,-1.15,NA,0.152,0.33991769547325,NA,0.3324,0.053297199638663,19.1,109.9,0.10464058234759,0.094728171334432,-24.5,-3.0246913580247,-0.2,-0.024691358024691,1.2238307349666,-2.7331,13.567901234568,-1.6765,0.075731090408194,8.1,-1.1590633507853,-0.2728285077951,6.9,4.74,11.5,13692,11.2,-26.2,11.2,1.5,1.1984205330701
"10",2002-12-31,20.1,2.86,0.7994,0.035443037974683,NA,129.4,0.5,109.2,0.99908508691674,15.6,NA,-20.5,0.7866,2.7,0,0,-27.3673,-27.3673,-24.6673,0,0.1,NA,NA,0.014285714285713,-25.1673,109.3,0.037867078825348,-1.23,NA,-0.3849,0.57258064516129,NA,0.29,0.043276661514683,9.3,105.1,0.039961941008563,0.038426349496798,-23.7,-3.3857142857143,-0.7,-0.1,0.91951006124235,-3.9096142857143,15.014285714286,-2.2,NA,7,-2.9427204301075,-0.20734908136483,8.1,5.09,4.2,71072,6.9,-25,6.9,1.35,0.010752688172042
