"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,15.6,1.66,0.9728,NA,-16.9,3678.1,0,94.6,0.2123,0.0257,NA,0.43,NA,0,0,0,71,70.8,71,0,351,1.56,4.96,4.96,NA,70.8,445.6,0.0378,NA,NA,NA,NA,0.5987,0.1253,0.0036,225.6,108.5,3.1069,0.7565,-54.2,0,NA,NA,NA,0,0,NA,0.3138,NA,14.6,6.7,337.1,17341,NA,-46.4,NA,NA,1.8,1.39
"2",2010-12-31,12.5,3.03,1.2994,0.9601338165598,14.3,4509.4,0,507.9,1.2631186272072,0.11263139220295,NA,0.33669385870402,NA,0,0,0,77.7,77.7,77.7,0,-105.8,NA,NA,NA,NA,77.7,402.1,0.033574311438329,NA,NA,NA,NA,0.56075808249721,0.1248,0.0029050427994855,-149.2,57.7,5.9688041594454,0.85650335737379,-143.7,0,NA,4.034965034965,NA,0,0,NA,NA,-10.048951048951,22.5,3.38,344.4,284073,NA,-59.7,NA,NA,1.75,NA
"3",2009-12-31,49.2,2.58,1.31,0.70038087177317,141.6,4815.6,0,234.8,0.57031819285888,0.048758202508514,NA,0.32442748091603,NA,0,0,0,113.8,113.8,113.8,0,176.9,0.74390243902439,1.5544815465729,1.5544815465729,NA,113.8,411.7,0.041884708032229,NA,NA,NA,NA,0.69072164948454,0.1778,0.0027203256084392,237.8,80.7,4.1016109045849,0.80398348311878,-189.5,0,NA,0.56991525423729,NA,0,0,NA,0.47855340622372,-1.3382768361582,41.9,1.15,331,640730,NA,-176.4,NA,NA,1.7,0.87113838341092
"4",2008-12-31,11.2,2.43,1.2345,0.56513990376047,244,5814.6,0,159,0.41776142932212,0.027344959240532,NA,0.22033211826651,NA,0,0,0,152,152,152,0,221.6,0.55110668987814,1.4578947368421,1.4578947368421,0.055,NA,380.6,0.037319850032676,NA,NA,NA,NA,0.82016348773842,0.1806,0.0045058989440374,402.1,63.5,4.9937007874016,0.83315817130846,-218.4,0,NA,0.26024590163934,NA,NA,NA,NA,0.37801541904999,-0.89508196721311,64.3,1.3,317.1,247390,NA,-287.5,NA,NA,1.7,0.6783104615933
"5",2007-12-31,11.2,0.59,0.6415,0.41122932957313,459.3,6378.8,0,118.9,0.31885223920622,0.018639869567944,NA,0.27435697583788,NA,0,0.021497120921305,1.12,147.7,147.7,147.7,0,254,0.38415003024803,1.719702098849,1.719702098849,0.0933,NA,372.9,0.038236031855521,-5.84,NA,-0.13,NA,0.87173396674584,0.1156,0.011898789741017,661.2,52.1,6.1573896353167,0.86028425851435,-30,0,NA,0.11343348573917,NA,NA,NA,NA,0.22338173018754,-0.065316786414108,84.5,5.8,320.8,184535,NA,-64.9,NA,NA,1.1,0.47801563902064
"6",2006-12-31,61,0.24,0.3499,0.35834759227573,525,6495.7,0,133.2,0.24648408586232,0.020505873116061,NA,0.4572735067162,9.1895910780669,0,0.0049352750809062,1.22,176.1,139.3162,176.1,0.20888,407.2,0.59445255474453,2.3123225440091,2.3123225440091,0.0933,NA,540.4,0.031620918453746,-0.44,NA,0.125,NA,0.65778567199526,0.6171,0.011900180119156,685,247.2,1.1860841423948,0.54256106587713,26.9,0,0.045353159851301,0.47085714285714,0.98495081222582,NA,NA,NA,0.20338136058394,0.051238095238095,59,3.79,293.2,699297,NA,-19.1,NA,NA,1,0.66047421168418
"7",2005-12-31,60.8,0.92,0.2172,0.36936606815683,516.3,6471.4,0,167,0.14488981433281,0.025805853447477,NA,0.69981583793738,14.361486486487,0,0.011442013643848,9.728,288.4,184.1607,288.4,0.36144,985.6,1.5123523093448,3.4174757281553,3.4174757281553,0.122,NA,1152.6,0.02381246716321,0.34,40.617647058824,0.21,NA,0.13003533568905,0.6624,0.011852149457614,651.7,850.2,0.35568101623148,0.26236335242061,59.2,0,0.16432432432432,1.6467170249855,1.1771710234825,NA,NA,NA,0.28258509129968,0.11466201820647,40.1,13.81,302.4,236400,NA,15.9,53.471698113208,NA,0.95,1.4078417002565
"8",2004-12-31,60.1,1.05,0.2757,0.39067774603999,NA,6356.8,0,119,0.10359536867764,0.018720110747546,0,0.76169749727965,9.9042056074766,0,0.010706638115632,9.015,NA,NA,NA,0.35878,1029.7,1.5812346437346,NA,NA,0.102,NA,1148.7,0.020419078781777,1.18,11.872881355932,NA,0,0.2044298114337,0.5953,0.012097281651145,651.2,847.8,0.3549186128804,0.26194828937059,85.6,0,0.10531542056075,1.8065203494566,0.97100054975261,0,NA,NA,NA,0.18239931813339,28.4,14.01,300.9,271300,NA,78,10.869230769231,0,0.9,1.4914307971955
"9",2003-12-31,58.3,1.12,0.3651,0.41964912280702,NA,4831.5,0,119.9,0.080254350736278,NA,0,0.6135305395782,30.958549222798,0,0.0080726538849647,9.328,NA,NA,NA,0.37762,1374.1,2.3187647654404,NA,NA,0.1167,NA,1494,0.019372865569699,0.99,20.020202020202,NA,0,0.18670228554467,0.5904,0.018358687778123,592.6,1195,0.25020920502092,0.20013386880857,38.6,0,0.24165803108808,2.8899637243047,2.652831981388,0,NA,NA,NA,0.093349455864571,36.2,19.82,299,111700,NA,57.4,20.818815331011,0,0.85,2.0968421052632
"10",2002-12-31,58.3,0.73,0.4644,0.43197772936335,NA,5421,0,250.7,0.17469165911783,NA,0,0.3473,24.013363028953,0,0.0070293081061028,7.579,217.4,156.1736,217.4,0.28163,1184.4,NA,5.4480220791168,5.4480220791168,0.125,156.1736,1435.1,0.017100166021029,1.13,16.230088495575,NA,0,0.38547877937566,0.5966,0.017026378896883,575.5,1078.2,0.33101465405305,0.24869347083827,44.9,0,0.16879732739421,2.2974643085446,1.9210690423163,0,0,0,0.27137035273675,0.095674408693799,62.8,18.34,356.9,226638,0,68.2,15.809384164223,0,0.8,2.0580364900087
