"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,65.2,1.02,0.4238,0,211.8,286.7,18.9,115,0.0531,0.4143,0.4011,5.98,0.6,833.62,10.3,0,0,4,3.74,14,0.0168,0.037,2052.4,21.2,6.43,540.11,145.56,7.39,NA,0.15,-10.84,2167.4,0.1249,0.09,376.22,0.17,0.2412,0.077,NA,0.1123,96.8,2167.4,0,0,2.6,0.0094,40.1,0.1445,10.23,0.0137,7.81,14.58,3.9026,277.6,0.0386,0.0123,150.9,33.86,0,598157,319,-11.9,NA,319,1.4,10.23
"2",2010-12-31,60.6,1.31,0.4627,0.010939510939511,153.7,220.6,13,79.5,0.038243217240716,0.37411764705882,0.36038077969175,3.6111,0.78344499675816,NA,9.3,0,0,-5.3,-5.3,4,0,NA,1999.3,26.341238471673,7.8067161265131,NA,499.825,9.4084705882353,NA,0.125,-12.6111,2078.8,0.12420670897552,0.3,114.7,0.2059,0.3052792654935,0.077,0.9532,0.19628286491387,75.9,2077.1,0.00081844879880603,0.00081777948816625,-5.9,-0.027764705882353,17.6,0.082823529411765,13.513988288874,-0.024941176470588,9.7745882352941,7.3111,NA,212.5,-0.069828722002635,-0.038386467143787,112.7,34.41,1.7,535066,256.1,5.5,377.65454545454,256.1,1.45,13.377091377091
"3",2009-12-31,58.6,1.23,0.612,0.00078308535630384,127.6,198.1,8.6,60.7,0.042976493911073,0.35580304806565,0.30641090358405,0.0379,0.61274509803922,NA,8.8,0,0,-22.8574,-22.8574,-14.0574,0,NA,1351.7,20.174626865672,6.6619024149827,NA,NA,7.9232121922626,NA,0.14,-22.6953,1412.4,0.12115093387178,-0.03,NA,-0.0111,0.32103524229075,0.0819,0.9028,0.24936900555275,67,1412.3,7.0806485874106e-05,7.0801472670632e-05,-22.5,-0.13188745603752,0.2,0.0011723329425557,11.068181818182,-0.13398264947245,8.278429073857,-0.1621,NA,170.6,-0.34115582089552,-0.17633228840125,97.9,22.75,0.1,400406,202.9,-11.5,NA,202.9,1.5,11.060297572435
"4",2008-12-31,57.7,1.18,0.6802,0,132,187.1,14.9,25,0.033683643222851,0.14740566037736,0.1336183858899,-0.4458,0.36459864745663,NA,7.6,0,0,-22.9488,-22.9488,-15.3488,0,NA,717.2,6.7028037383178,4.5078566939032,NA,NA,4.2287735849057,NA,0.1,-29.803,742.2,0.12880812399786,NA,NA,0.2691,0.52845528455285,0.07,0.8077,0.29663281667558,107,742.2,0,0,-21.7,-0.12794811320755,7.2,0.042452830188679,5.6227272727273,-0.13531132075472,4.376179245283,6.8542,NA,169.6,-0.21447476635514,-0.16439393939394,103.6,12.48,0,588108,159.1,-23.9,NA,159.1,1.55,5.6227272727273
"5",2007-12-31,55.9,0.74,0.621,0,126.9,165.2,12,44,0.072871811858231,0.33976833976834,0.26634382566586,-4.2233,0.46376811594203,NA,5.5,0,0,-12.221,-12.221,-6.721,0,NA,559.8,6.7527141133896,3.2043503148254,NA,NA,4.3227799227799,NA,0.18,-14.4977,603.8,0.10411622276029,-0.31,NA,0.4579,0.59312320916905,0.066,0.8383,0.33595641646489,82.9,603.8,0,0,-21.4,-0.16525096525096,12.1,0.093436293436293,4.7580772261623,-0.094371042471042,4.6625482625483,2.2767,NA,129.5,-0.14741917973462,-0.16863672182821,72.5,10.38,0,637155,174.7,-20.8,NA,174.7,1.8,4.7580772261623
"6",2006-12-31,55,3.04,0.65,0.0022556390977444,132.7,167.7,5.9,94.9,0.065093627820838,1.0858123569794,0.56589147286822,1.1168,0.46769230769231,NA,7.5,0,0,-11.9312,-11.9312,-4.4312,0,NA,1363,35.774278215223,12.379654859219,NA,NA,15.594965675057,0.15,NA,-11.448,1457.9,0.084078711985689,-0.38,NA,-0.2004,0.58085528178986,NA,0.7063,0.18127608825283,38.1,1457.6,0.00020581778265642,0.00020577543041361,-26,-0.2974828375286,-4.3,-0.049199084668192,10.984174830445,-0.13651235697941,16.677345537757,-0.4832,NA,87.4,-0.31315433070866,-0.19593067068576,50.5,25.72,0.3,1034684,110.1,-24.4,NA,110.1,1.9,10.961654135338
"7",2005-12-31,42.8,4.76,0.6072,0.13166144200627,55.4,103.2,6.7,37.2,0.075933864053889,0.43764705882353,0.36046511627907,0.1994,0.35573122529644,NA,6,0,0,0.9,0.9,6.9,0,NA,452.7,17.018796992481,5.2335260115607,503,65.608695652174,5.3258823529412,NA,NA,6e-04,489.9,0.12596899224806,-0.41,NA,0.578,0.24418604651163,NA,0.6368,0.28875968992248,26.6,481.5,0.017445482866044,0.017146356399265,-13.6,-0.16,-11.3,-0.13294117647059,8.6913357400722,0.010588235294118,5.6647058823529,0.8994,0.99934640522876,85,0.033834586466165,-0.24548736462094,37.9,8.5,8.4,263573,86.5,-20.9,NA,86.5,1.35,7.6786833855799
"8",2004-12-31,42,1.89,0.5667,0.10259917920657,NA,120.3,4.3,57.4,0.14389571321133,0.71304347826087,0.47714048212801,-5.3962,0.66701958708311,NA,4,0,0,-6.5652,-6.5652,-2.5652,0,NA,341.5,21.751592356688,4.2422360248447,NA,NA,6.4433962264151,0.3,NA,-1.469,398.9,0.081463009143807,-0.31,NA,1.446,0.32523148148148,NA,0.4498,0.2568578553616,15.7,391.4,0.019161982626469,0.018801704687892,-13.8,-0.26037735849057,-10.4,-0.19622641509434,5.9664634146342,-0.12387169811321,7.3849056603774,-5.0962,0.77624846388447,53,-0.41816560509554,-0.21036585365854,32,8.78,7.5,180842,80.5,-13.6,NA,80.5,1.05,5.4569083447332
"9",2003-12-31,36,2.37,0.7718,0.1625,NA,41.6,4,18.5,0.041657284395406,0.48684210526316,NA,5.4811,0.61414874319772,NA,2,0,0,-15.2385,-15.2385,-13.2385,0,NA,425.6,77.381818181818,11.2,NA,NA,23.005405405405,0.3,NA,-22.7195,444.1,0.19471153846154,-0.33,NA,0.0885,0.37525354969574,NA,0.4211,0,5.5,440.2,0.0088596092685143,0.0087818058995722,-17.5,-0.94594594594595,5.2,0.28108108108108,21.900497512438,-0.8237,23.794594594595,7.4811,-0.49093451637674,18.5,-2.7706272727273,-0.87064676616915,27.2,9.69,3.9,99216,38,-15.2,NA,38,1.2,18.504166666667
"10",2002-12-31,31,1.8,1.3352,0.1440329218107,NA,30.2,5,14.5,0.046414852752881,0.98639455782313,NA,0.4,0.2961,NA,2,0,0,-19.6032,-19.6032,-17.6032,0,NA,297.9,NA,NA,NA,NA,20.265306122449,0.325,NA,-22.6032,312.4,0.20198675496689,-0.52,NA,0.1102,0.5,NA,0.1933,0,9.8,308.9,0.011330527678861,0.011203585147247,-19.7,-1.3401360544218,3.7,0.25170068027211,14.850961538461,-1.3335544217687,21.013605442177,3,NA,14.7,-2.0003316326531,-0.94711538461539,25.5,9.27,3.5,182312,16.4,-16.5,NA,16.4,1.1,30.397959183673
