"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,11,0.32,0.1227,0.6601,193.7,800.2,57.1,7.5,0.0102,0.0213,0.0094,-0.62,0.65,21.73,29.3,0.0426,15.18,69,42.68,98,0.3788,0.3788,725,1.29,2.08,10.55,7.4,2.05,NA,15.5,732.5,0.6382,-0.05,-0.05,0.0913,NA,0.4747,0,562.4,356.3,1.0559,0.5136,16.4,0.0465,57.7,0.1635,0.7948,1.84,NA,0.1947,1.01,27.18,0.6368,352.8,0.0759,0.0847,0,25.92,376.2,39048,349,19.1,18.65,349,0.5,1.29
"2",2010-12-31,10.9,0.38,0.16,0.65152344462689,191,759.6,49.6,8.9,0.013349332533373,0.024832589285714,0.011716692996314,-0.3308,0.78125,32.25,28.9,0.0488,15.1085,52.5,35.7446,81.4,0.31915,0.31914893617021,657.8,1.2199554896142,1.8477528089888,12.529523809524,8.0810810810811,1.8353794642857,NA,15.3754,666.7,0.62730384412849,-0.045,-0.0256,0.1340206185567,NA,0.4262,0,539.2,309.6,1.1534237726098,0.53562321883906,9.6,0.026785714285714,49.4,0.13783482142857,1.5738,1.620942408377,NA,0.146484375,0.86383928571429,20.3692,0.56985340952861,358.4,0.066291960311573,0.050261780104712,0,28.38,357.1,46265,356,11.5,26.921739130435,356,0.5,1.2163838715563
"3",2009-12-31,10.8,0.38,0.1589,0.62025565388397,193.1,725.2,58.7,7.7,0.013688888888889,0.020980926430518,0.010617760617761,-1.6213,0.78665827564506,24.71,27.4,0.0608,15.0237,46.9,30.855,74.3,0.34211,0.3421052631579,554.8,1.1078274760383,1.5851428571429,11.829424307036,7.4670255720054,1.5117166212534,0.05,1.1763,562.5,0.62010479867623,NA,-0.0844,0.11721611721612,NA,0.5153,0,500.8,247.1,1.2764063132335,0.56071111111111,10,0.02724795640327,35,0.095367847411444,1.502368,1.2796478508545,4.942,0.12779291553134,0.6732970027248,29.6787,0.96187675116055,367,0.061611503594249,0.051786639047126,0,22.74,315.4,54930,350,5.5,44.927272727273,350,0.5,1.1061946902655
"4",2008-12-31,7.8,0.26,0.1674,0.70090051457976,139.5,735.2,28.3,11.5,0.020034843205575,0.039902845246357,0.015642002176279,6.4361,0.4778972520908,25.474226804124,19.1,0.0605,14.9496,34.2,23.5275,53.3,0.31206,NA,562.5,1.2365355023082,1.5534382767191,16.447368421053,10.553470919325,1.9517696044414,0.05,7.8914,574,0.57508161044614,0.015,-0.1924,0.14986640757833,NA,0.4437,0,454.9,247.1,1.3229461756374,0.56951219512195,9.7,0.033657182512144,25.1,0.087092297015961,1.5411907216495,1.7713261648745,5.0948453608247,0.11866759195003,0.85739070090215,15.6361,0.66458777385045,288.2,0.051720263794241,0.069534050179212,0,22.98,326.9,61840,362.1,11.9,20.764705882353,362.1,0.5,1.2307032590052
"5",2007-12-31,5.7,0.22,0.1389,0.64409783764622,100.4,474.6,32.5,4.6,0.015503875968992,0.01749714720426,0.0096923725242309,-0.0749,0.51835853131749,13.218390804598,17.8,0.0684,7.866,32.2,21.2227,50,0.34091,NA,292.1,1.0526126126126,1.1068586585828,9.0714285714286,5.842,1.1110688474705,NA,6.5976,296.7,0.5244416350611,0.01,-0.0079,0.2448415230802,NA,0.2698,0,277.5,115,1.58,0.61240310077519,8.7,0.03309243058197,19.7,0.074933434766071,0.90413793103448,1.1454183266932,NA,0.12248003042982,0.4374286801065,14.6251,0.68912381287402,262.9,0.076478190990991,0.086653386454183,NA,20.25,181.7,26715,263.9,9.1,12.637362637363,263.9,0.45,1.051754696916
"6",2006-12-31,5.7,0.09,0.1405,0.62542182227222,97.8,483.4,33.6,4.6,0.013935171160255,0.017631276351092,0.0095159288374017,-0.0816,0.51245551601424,20.4125,16.1,0.048169014084507,7.866,29.3,19.137,45.4,0.34686,NA,325.5,1.2519230769231,1.2409454822722,11.109215017065,7.1696035242291,1.247604446148,NA,1.7186,330.1,0.47952006619777,-0.015,0.1128,0.16596461668071,NA,0.2439,0,260,163.3,1.0214329454991,0.50530142381097,8,0.030663089306248,15.2,0.05825986968187,0.98325,1.6697341513292,NA,0.11230356458413,0.62591031046378,17.4184,0.91019670596499,260.9,0.073603853846154,0.081799591002045,NA,27.85,166.8,1900,262.3,8.6,18.988372093023,262.3,0.45,1.2475434618292
"7",2005-12-31,5.6,0.4,0.1037,0.60091172813925,98.6,450.1,24.4,3.2,0.011122697254084,0.013787160706592,0.0071095312152855,-1.4418,0.69431051108968,16.593023255814,19.1,0.054155571128241,7.728,29.2,19.4688,48.3,0.33326,NA,284.5,1.1834442595674,1.0892036753446,9.7431506849315,5.8902691511387,1.2257647565704,NA,15.6106,287.7,0.47389469006887,-0.015,0.0746,0.056309904153355,NA,0.1659,0,240.4,142.7,1.0161177295024,0.50399721932569,8.6,0.037052994398966,11.5,0.049547608789315,0.89860465116279,1.447261663286,NA,0.12580784144765,0.61482119775959,3.8582,0.19817158730164,232.1,0.080985058236273,0.087221095334686,NA,25.35,145,10000,261.2,7.9,18.063291139241,261.2,0.45,1.1810344827586
"8",2004-12-31,5.5,0.09,0.1039,0.58700299273194,NA,457,22.9,3,0.010873504893077,0.01338688085676,0.0065645514223195,0.4204,0.17324350336862,16.90243902439,18.8,0.054980079681275,7.59,28.6017,18.9252,47.4017,0.33832,NA,272.9,1.1702401372213,1.2177599286033,9.5413775525545,5.7571726269964,1.274638019617,NA,14.4048,275.9,0.44638949671772,-0.04,-0.0376,0.089709762532982,NA,0.1673,0,233.2,138.6,0.99062049062049,0.49764407393983,8.2,0.038299859878561,9,0.042036431574031,0.92560975609756,1.4697773064687,NA,0.13359056515647,0.64736104624007,4.5204,0.23885425133668,214.1,0.081154371025729,0.084886128364389,0,25.1,137.3,1600,224.1,8.4,16.5,224.1,0.4,1.1795639162035
"9",2003-12-31,5.5,0.13,0.1492,0.58878904578519,NA,483.9,21.9,3.8,0.012898845892736,0.017966903073286,NA,-0.7628,0.17426273458445,19.625,18.8,0.048523206751055,7.59,46.5015,32.1539,65.3015,0.30854,NA,290.8,1.2469982847341,1.3749408983452,6.2535630578719,4.4531908843121,1.3176257362936,NA,29.8168,294.6,0.40318247571812,-0.045,0.0101,0.070422535211268,NA,0.1529,0,233.2,157,0.87643312101911,0.46707399864223,8,0.036248300860897,18.3,0.082917988219302,0.94875,1.6918103448276,NA,0.2107,0.71137290439511,2.3372,0.072686455908473,220.7,0.13788130478302,0.083246618106139,0,28.44,137.6,1400,211.5,8.1,19.382716049383,211.5,0.35,1.2605905006419
"10",2002-12-31,4.7,0.12,0.1477,0.66395296246043,NA,480.8,20.8,7.2,0.025052192066806,0.038216560509554,NA,-7.9,0.1832,23.433333333333,14.9,0.046130867709815,6.486,22.1,15.6229,37,0.29308,NA,280.2,NA,NA,12.678733031674,7.572972972973,1.4872611464968,NA,9.7229,287.4,0.39351081530782,NA,-0.09,0.066612674630492,NA,0.1347,0,217.2,140.6,1.0440967283072,0.51078636047321,6,0.031847133757962,7.3,0.038747346072187,1.081,1.8923283983849,NA,0.11730360934183,0.74628450106157,5.9,0.37764998273051,188.4,0.071928784530387,0.080753701211305,0,25.6,146.8,6697,217.9,7,20.085714285714,217.9,0.4,1.2900552486188
