"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Trailing Sales Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-01-31,121.6,2.84,0.6866,0.3553,313,719.8,4.9,618.8,0.3634,2.5978,0.8597,-17.17,0.8,NA,8.8,0,0,-80,-79.74,-71,0,1084.1,3.84,NA,4.55,-0.368,-58.67,1702.9,0.0128,-0.05,NA,-0.03,0.2512,NA,0.8573,0.0065,-133.3,1530.4,0.1127,0.1013,-128,-0.5374,-92.3,-0.3875,NA,4.89,NA,-0.3347,6.42,-21.07,NA,238.2,NA,-0.4089,240.6,12.31,172.5,1903686,282.5,-103.7,282.5,1.2,NA
"2",2011-01-31,116.5,1.48,0.7501,0,168.8,285.8,6.7,209.4,0.18981145757796,0.95355191256831,0.73268019594122,-1.1658,0.38328222903613,NA,9.1,0,0,-88.4414,-88.4414,-79.3414,0,893.8,3.927065026362,NA,4.0701275045537,NA,-84.8756,1103.2,0.035689293212036,0.47,19.085106382979,-0.1279,0.28361237950279,NA,0.8936,0.024492652204339,-40.6,1103.2,0,0,-84.5,-0.38479052823315,-32,-0.14571948998178,NA,6.5355450236967,NA,-0.40273843351548,5.023679417122,-3.5658,NA,219.6,NA,-0.50059241706161,176.8,8.97,0,3307898,227.6,-103.3,227.6,1.15,NA
"3",2010-01-31,109.9,1.46,0.7856,0,195.7,309.4,5.3,244.6,0.24220219823745,1.0294612794613,0.79056237879767,1.0707,0.35005091649694,NA,9.2,0,0,-26.0934,-26.0934,-16.8934,0,765.3,3.294446835988,NA,3.2209595959596,0.4,-23.2641,1009.9,0.032643826761474,-0.72,NA,-0.1046,0.46460348162476,NA,0.7766,0.031027795733678,-48.9,1009.9,0,0,-23.9,-0.10058922558923,-48,-0.2020202020202,NA,5.160449667859,NA,-0.10982053872054,4.2504208754209,-2.8293,NA,237.6,NA,-0.12212570260603,136.2,8.63,0,2470723,232.3,-60.3,232.3,1.1,NA
"4",2009-01-31,103.4,0.58,0.5097,0,154.5,265.6,4.5,207.3,0.20285742244838,0.83019623548258,0.78049698795181,4.2822,0.29821463606043,21.976344086021,9.8,0,0,-1,-1,8.8,0,814.6,3.5665499124343,92.568181818182,3.2623147777333,0.4,0.0178,1021.9,0.038780120481928,NA,NA,-0.1146,0.35668789808917,NA,0.8132,0.038403614457831,-52.8,1021.9,0,0,46.5,0.18622346816179,-50.2,-0.2010412494994,0,6.6142394822006,0.54940860215054,-0.0040048057669203,4.0925110132159,-1.0178,NA,249.7,NA,0.30097087378641,136,10.18,0,1704412,228.4,-17.3,228.4,0.95,NA
"5",2008-01-31,100,1.11,0.4601,0,18.6,167,7.4,99.1,0.14793252724287,0.36340300696736,0.59341317365269,7.0334,0.38252553792654,NA,10.3,0,0,-36.3428,-36.3428,-26.0428,0,570.8,1.8982374459594,NA,2.0931426475981,NA,-40.4762,669.9,0.067664670658683,-0.04,NA,0.0254,0.40431868950112,NA,0.7608,0.080838323353293,-80.5,669.9,0,0,-31.5,-0.11551155115512,-68.5,-0.25119178584525,NA,36.016129032258,NA,-0.13327044371104,2.4565456545655,4.1334,NA,272.7,NA,-1.6935483870968,156.8,7.16,0,1052728,300.7,-0.8,300.7,1.1,NA
"6",2007-01-31,97.2,1.68,0.4909,0,17,211.9,7.3,128.8,0.15709232833272,0.49806651198763,0.6078338839075,5.6402,0.45630474638419,NA,7.8,0,0,-52.3309,-52.3309,-44.5309,0,691.1,2.5058013052937,NA,2.6724671307038,0.395,-57.4711,819.9,0.05521472392638,-0.37,NA,0.1588,0.27390366642703,NA,0.7839,0.079282680509674,-111.8,819.9,0,0,-47.8,-0.18484145398298,-84.8,-0.32791956689869,NA,48.229411764706,NA,-0.20236241299304,3.1705336426914,5.1402,NA,258.6,NA,-2.8117647058824,138.5,7.39,0,1254324,275.8,-44.7,275.8,1.4,NA
"7",2006-01-31,85.4,2.36,0.7,NA,-26.8,161.6,7.1,104.2,0.21054758537078,0.53190403266973,0.64480198019802,17.9933,0.25142857142857,NA,6.3,0,0,-37.3502,-37.3502,-31.0502,0,390.7,1.6178053830228,NA,1.9943848902501,0.25,-56.1434,494.9,0.058168316831683,-0.66,NA,0.0975,0.30536451169188,NA,0.6665,0,-131,494.9,0,0,-34.4,-0.17559979581419,-77.3,-0.39458907605921,NA,NA,NA,-0.19065926493109,2.5262889229199,18.7933,NA,195.9,NA,NA,114.2,5.12,0,2387953,241.5,-47.7,241.5,1.1,NA
"8",2005-01-31,82.3,3.09,0.8985,NA,NA,160.1,3.9,106.3,0.2352810978309,0.54456967213115,0.66396002498438,-6.8991,0.68781302170284,NA,4.9,0,0,-75.8224,-75.8224,-70.9224,0,345.5,1.7699795081967,NA,2.007553747821,0.29,-67.9233,451.8,0.048719550281074,-0.42,NA,0.1794,0.38392857142857,NA,0.5593,0,-104.5,447.3,0.010060362173038,0.0099601593625498,-79.8,-0.46368390470657,-51.4,-0.2986635676932,NA,NA,NA,-0.44057181871005,2.5990703079605,-7.8991,0.10417933713414,172.1,0.72557330143541,NA,91.6,5.12,4.5,1473324,195.2,-48.6,195.2,1.05,NA
"9",2004-01-31,79.6,3.18,0.9392,0.083798882681564,NA,183.9,2,143.2,0.28674409291149,0.98149417409184,NA,-1.4832,0.67717206132879,NA,5.5,0,0,-16.9884,-16.9884,-11.4884,0,356.2,2.4413982179575,NA,2.5244507441531,0.425,-12.0052,499.4,0.047308319738989,-1,NA,0.1802,0.55526173447924,NA,0.51,0.011963023382273,-71.6,493.4,0.012160518848804,0.012014417300761,-32,-0.22678951098512,-43.6,-0.30900070871722,NA,7.5213414634146,NA,-0.1204,3.4968107725018,-4.9832,0.29332907564454,141.1,0.2372687150838,-0.48780487804878,57.4,6.07,6,1586282,145.9,-58.6,145.9,1.2,6.9748603351955
"10",2003-01-31,63.9,3.09,1.1245,NA,NA,82.3,1.4,44.2,0.09587852494577,0.46041666666667,NA,25.6,0.6039,NA,6.8,0,0,-57.1232,-57.1232,-50.3232,0,416.8,NA,NA,4.3416666666667,0.6,-51.7232,461,0.14702308626975,-0.46,NA,2.6725,0.53463775780011,NA,0.4698,0,-60.7,452.8,0.018109540636042,0.017787418655098,-80.6,-0.83958333333333,-43.1,-0.44895833333333,NA,NA,NA,-0.59503333333333,4.7166666666667,-5.4,NA,96,NA,NA,83.3,6.64,8.2,1289904,121.5,-52.3,121.5,1.2,NA
"11",2002-01-31,NA,3.13,1.2365,0.6481,NA,149.9,3.3,52.3,0.12993788819876,2.6958762886598,NA,-5.1093,0.4428,NA,7,0,0,-143.2071,-143.2071,-136.2071,0,350.2,NA,NA,18.051546391753,0.4,-134.3978,402.5,0.12074716477652,-1.23,-4.3983739837398,3.8705,0.56521739130435,0,0.1689,0,-5.175,372,0.081989247311828,0.075776397515528,-157.7,-8.1288659793814,-2.145,-0.11056701030928,NA,22.409638554217,NA,-7.3818092783505,19.175257731959,-8.8093,NA,NA,NA,-9.5,149.7,5.41,30.5,231800,19.4,-81.4,65.6,1,NA
"12",2001-01-31,NA,1.3,NA,0.010401188707281,NA,236.3,21.1,199.3,0.51168164313222,55.361111111111,NA,0,NA,NA,3.5,0,0,-210.5244,-210.5244,-207.0244,0,190.2,NA,NA,52.833333333333,0.3667,-228.1244,389.5,0.091832416419805,NA,NA,NA,0.63333333333333,NA,0.1312,NA,-66.1,291.1,0.0048093438680866,0.0047863247863248,-204.8,-56.888888888889,-75.5,-20.972222222222,NA,2.2086494688923,NA,-58.479,80.861111111111,17.6,NA,NA,NA,-1.5538694992413,NA,6.47,1.4,NA,3.6,-234,9.7,NA,NA
"13",2000-01-31,NA,NA,NA,0.012592592592593,NA,152.8,3.9,145.9,0.48471760797342,NA,NA,NA,NA,NA,0.7,0,0,-68.4,-68.4,-67.7,0,155.1,NA,NA,70.5,0.5,77.4,301,0.026832460732984,NA,NA,0,0.8904612725505,NA,0.1328,NA,-10.9,299.3,0.0056799198128968,0.0056478405315615,NA,-69,NA,-6.7727272727273,NA,2.245311327832,NA,-31.090909090909,136.04545454545,NA,NA,NA,NA,-1.138784696174,65.2,NA,NA,NA,NA,-151.8,2.2,NA,NA
