"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,52.6,1.93,0.6072,0,80.1,87.3,0.6,84.1,0.2634,8.165,0.9633,-3.93,0.79,0.6,0,0,-7,-7.21,-7,0,235.2,NA,13.52,22.83,NA,-3.28,319.3,0.0183,NA,NA,0.26,0.4514,NA,0.4035,0,-4,319.3,0,0,-35.8,-3.4757,-5.7,-0.5534,3.99,-0.7004,31,-3.93,NA,10.3,NA,-0.4469,14,6.01,0,312692,17.4,-25.2,17.4,1.75,NA
"2",2010-12-31,45.4,1.25,0.6407,0,55.9,63,0.7,60.3,0.40909090909091,2.8990384615385,0.95714285714286,3.0288,0.6828468862182,0.7,0,0,-12.7098,-12.7098,-12.0098,0,87.1,NA,8.4563106796117,4.1875,NA,-15.7386,147.4,0.026984126984127,NA,NA,-0.07,0.58992180712424,NA,0.3953,0,-4.4,147.4,0,0,-24.9,-1.1971153846154,-6,-0.28846153846154,2.6368515205725,-0.61104807692308,7.0865384615385,3.0288,NA,20.8,NA,-0.44543828264759,12.6,2.84,0,559845,10.3,-37.8,10.3,1.75,NA
"3",2009-12-31,45,1.52,0.7254,0,71.8,87.4,0.3,84.9,0.26943827356395,3.8243243243243,0.97139588100687,-2.6667,0.58588365039978,0.6,0,0,-19.4411,-19.4411,-18.8411,0,230.2,NA,8.7862595419847,10.369369369369,NA,-16.4745,315.1,0.019450800915332,-0.56,NA,0.2516,0.44135188866799,NA,0.3264,0,-13.1,315.1,0,0,-18.6,-0.83783783783784,-14.8,-0.66666666666667,4.3885793871866,-0.87572702702703,14.193693693694,-2.9667,NA,22.2,NA,-0.25905292479109,12.6,6.64,0,264780,26.2,-19,26.2,1.7,NA
"4",2008-12-31,41.1,1.52,0.7458,0,55.4,67.8,0.7,64.8,0.30252100840336,4,0.95575221238938,-1.7012,0.36470903727541,0.5,0,0,-25.3735,-25.3735,-24.8735,0,149.4,NA,7.9468085106383,9.2222222222222,NA,-23.8722,214.2,0.029498525073746,NA,NA,0.7444,0.55592377796189,NA,0.3676,0,-9.4,214.2,0,0,-24.3,-1.5,-10.6,-0.65432098765432,3.8664259927798,-1.5662641975309,13.222222222222,-1.5012,NA,16.2,NA,-0.43862815884477,10.3,5.92,0,251903,18.8,-18.8,18.8,1.7,NA
"5",2007-12-31,40.3,1.88,0.7625,0,72.1,83.9,1.4,81.1,0.54686446392448,8.9120879120879,0.96662693682956,2.8681,0.2727868852459,0.3,0,0,-24.8027,-24.8027,-24.5027,0,67.2,NA,5.5537190082645,7.3846153846154,NA,-28.7708,148.3,0.021454112038141,-0.68,NA,0.003,0.77737003058104,NA,0.545,0,-9,148.3,0,0,-21.5,-2.3626373626374,-8.7,-0.95604395604396,2.0568654646325,-2.725567032967,16.296703296703,3.9681,NA,9.1,NA,-0.29819694868239,8.3,3.48,0,424552,12.1,-28.4,12.1,1.3,NA
"6",2006-12-31,35,2.1,0.6429,0,48.7,55.8,0.4,53.9,0.10439666860353,6.8227848101266,0.96594982078853,0.3114,0.36086483123347,0.2,0,0,-20.7969,-20.7969,-20.5969,0,462.4,NA,54.4,58.53164556962,NA,-21.3083,516.3,0.012544802867384,-0.53,NA,1.7777,0.5263765883712,NA,0.5715,0,-5.2,516.3,0,0,-17.9,-2.2658227848101,-4.1,-0.51898734177215,10.601642710472,-2.6325164556962,65.354430379747,0.5114,NA,7.9,NA,-0.36755646817248,7.1,11.96,0,464476,8.5,-23.8,8.5,1.45,NA
"7",2005-12-31,30.6,2.62,0.6533,0,37.8,49,0.4,47,0.2073224525805,18.8,0.95918367346939,9.54,0.33062911373029,0.3,0,0,-13.5578,-13.5578,-13.2578,0,179.7,NA,25.671428571429,71.88,NA,-23.1978,226.7,0.010204081632653,-0.34,NA,0.5626,0.35849056603774,NA,0.4076,0,-9.2,226.7,0,0,-13.3,-5.32,-5.3,-2.12,5.9973544973545,-5.4231,90.68,9.64,NA,2.5,NA,-0.35185185185185,4.5,6.6,0,214779,7,-11.6,7,1.35,NA
"8",2004-12-31,25.3,4.23,1.0834,0,NA,34.7,0,33.3,0.32236205227493,30.272727272727,0.95965417867435,0.2,0.7808750230755,0.6,0,0,-13.8235,-13.8235,-13.2235,0,70,NA,63.636363636364,53.846153846154,NA,-13.4235,103.3,0.0086455331412104,NA,NA,-0.4948,0.30452261306533,NA,0.3465,0,-0.9,103.3,0,0,-13.8,-10.615384615385,-1.3,-1,3.1882716049383,-10.633438461538,79.461538461538,-0.4,0.028936294577266,1.3,15.359411111111,-0.42592592592593,4.3,4.03,0,62048,1.1,-13.8,1.1,2,3.1882716049383
"9",2003-12-31,25,3.62,1.0994,0,NA,46.2,0.1,43.9,0.2956228956229,18.291666666667,NA,0.0077,0.65854102237584,0.8,0,0,-10.4393,-10.4393,-9.6393,0,104.6,130.75,43.583333333333,40.230769230769,NA,-9.747,148.5,0.01948051948052,-0.6,NA,-0.4128,0.47229551451187,NA,0.4065,0,0.8,148.5,0,0,-10.4,-4,-0.1,-0.038461538461538,3.3221476510067,-4.0151,57.115384615385,-0.6923,0.066317698027225,2.6,-13.049075,-0.23266219239374,3.6,5.65,0,43020,2.4,-10.5,2.4,1.9,3.3221476510067
"10",2002-12-31,24.7,3.62,1.1372,0,NA,56.2,0.1,52.1,0.38168498168498,12.116279069767,NA,-7.3,0.6997,1.3,0,0,-13.0515,-13.0515,-11.7515,0,84.4,NA,NA,19.627906976744,NA,-11.8515,136.5,0.03202846975089,-0.35,NA,-0.1223,0.44233206590621,NA,0.344,0,2.1,136.5,0,0,-27,-6.2790697674419,0.1,0.023255813953488,2.5184501845018,-3.0352255813954,31.744186046512,-1.2,NA,4.3,-6.2149857142857,-0.49815498154982,4.2,5.11,0,33418,3.9,-9.2,3.9,1.9,40.190476190476
