"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,51.6,2.17,0.7101,0,42.3,90.4,0.2,49.3,0.3575,3.8819,0.5454,0.33,0.76,10.14,0.6,0,0,-1,-0.95,0,0,88.6,NA,7.77,6.98,NA,-0.88,137.9,0.0088,NA,NA,0.09,0.2775,NA,0.3105,0.01,-7,137.9,0,0,13.6,1.0709,-3.2,-0.252,3.26,-0.075,10.86,-0.07,NA,12.7,NA,0.3215,23.9,2.62,0,280958,11.4,NA,11.4,1.15,NA
"2",2010-12-31,49,1.01,0.7696,0,22.6,27,0.6,21.3,0.16945107398568,1.109375,0.78888888888889,0.3891,0.35732848232848,NA,0.6,0,0,-7.4616,-7.4616,-6.8616,0,104.4,80.307692307692,9.5779816513762,5.4375,NA,-7.8506,125.7,0.040740740740741,0.79,3.1898734177215,0.2212,0.79587155963303,NA,0.3313,0.033333333333333,1.3,125.7,0,0,-28.2,-1.46875,-0.9,-0.046875,5.5619469026549,-0.38862239583333,6.546875,0.3891,NA,19.2,-5.7396538461538,-1.2477876106195,8.1,2.52,0,615045,10.9,NA,10.9,1.1,5.5619469026549
"3",2009-12-31,43.1,0.98,0.7327,0,16.9,25.9,0.3,19.5,0.031589178681354,1.4130434782609,0.75289575289575,-2.3283,0.37532414357854,NA,0.5,0,0,-11.8933,-11.8933,-11.3933,0,597.8,NA,29.741293532338,43.31884057971,0.01,-9.365,617.3,0.046332046332046,NA,NA,0.4068,0.44740815299446,NA,0.2977,0.034749034749035,-2.6,617.3,0,0,-17.6,-1.2753623188406,-5.1,-0.3695652173913,36.526627218935,-0.86183188405797,44.731884057971,-2.5283,NA,13.8,NA,-1.0414201183432,7.5,14,0,513069,20.1,-12.3,20.1,1.1,NA
"4",2008-12-31,35.4,1.02,0.6792,0,4.5,8.8,0.3,2.3,0.010043668122271,0.28395061728395,0.26136363636364,-0.1556,0.25912838633687,NA,0.5,0,0,-8.8122,-8.8122,-8.3122,0,226.7,103.04545454546,18.430894308943,27.987654320988,NA,-8.4567,229,0.15909090909091,NA,NA,0.1572,0.52416918429003,NA,0.2,0.10227272727273,2.2,229,0,0,-8.6,-1.0617283950617,-0.3,-0.037037037037037,50.888888888889,-1.0879283950617,28.271604938272,-0.3556,NA,8.1,-4.0055545454545,-1.9111111111111,4.6,5.8,0,402617,12.3,-21.9,12.3,1.1,50.888888888889
"5",2007-12-31,33.9,2.38,1.0935,0,8.5,10.6,1.2,6.8,0.061930783242259,1.0149253731343,0.64150943396226,0.1045,0.15363511659808,NA,1.2,0,0,-7.4149,-7.4149,-6.2149,0,103,60.588235294118,13.918918918919,15.373134328358,NA,-7.5194,109.8,0.14150943396226,NA,NA,-0.1188,0.4036850921273,NA,0.101,0.084905660377358,1.7,109.8,0,0,-7.1,-1.0597014925373,-1,-0.14925373134328,12.917647058823,-1.1067044776119,16.388059701493,0.1045,NA,6.7,-4.3617176470588,-0.83529411764706,3.7,3.27,0,86241,7.4,-8.9,7.4,1.05,12.917647058823
"6",2006-12-31,32.5,3.5,1.0642,0.0082644628099174,12,14,0.9,10.6,0.10211946050096,1.4520547945205,0.75714285714286,0.0178,0.11276075925578,NA,1.6,0,0,-6.8852,-6.8852,-5.2852,0,93.2,62.133333333333,12.594594594595,12.767123287671,NA,-6.203,103.8,0.092857142857143,-0.07,NA,-0.3011,0.41121495327103,NA,0.1006,0.078571428571429,1.5,103.7,0.00096432015429123,0.00096339113680154,-6.8,-0.93150684931507,-1.3,-0.17808219178082,8.6416666666667,-0.94317808219178,14.205479452055,-0.6822,NA,7.3,-4.5901333333333,-0.56666666666667,4.6,2.89,0.1,116252,7.4,-5.7,7.4,0.75,8.5785123966942
"7",2005-12-31,26.5,4.63,1.0659,0.051282051282051,3.8,6.1,0.9,1.8,0.016666666666667,0.21176470588235,0.29508196721312,-0.1812,0.097570128529881,NA,1.3,0,0,-2.5087,-2.5087,-1.2087,0,106.2,48.272727272727,14.957746478873,12.494117647059,NA,-1.9275,108,0.19672131147541,-0.21,NA,3.2651,0.72955974842767,NA,0.026,0.29508196721312,2.2,107.8,0.0018552875695733,0.0018518518518518,-2.5,-0.29411764705882,-1.1,-0.12941176470588,28.368421052632,-0.29514117647059,12.682352941177,-0.5812,NA,8.5,-1.1403181818182,-0.6578947368421,9.7,3.75,0.2,1161017,7.1,-5.1,7.1,0.65,27
"8",2004-12-31,24.5,1.48,0.5522,0,NA,6.1,0.4,2,0.091743119266055,0.27777777777778,0.32786885245902,-3.3,0.53603766751177,NA,1.1,0,0,-7.2429,-7.2429,-6.1429,0,19.8,7.3333333333333,2.75,11,NA,-3.2429,21.8,0.081967213114754,-0.1,NA,0.9246,0.44578313253012,NA,0.028,0.49180327868853,2.7,21.8,0,0,-7.3,-4.0555555555556,-1.1,-0.61111111111111,4.8444444444444,-4.0238111111111,12.111111111111,-4,0.55226802671873,1.8,-2.6825407407407,-1.5869565217391,8.1,0.95,0,63020,7.2,-3.6,7.2,0.7,4.7391304347826
"9",2003-12-31,18.7,1.56,0.5966,0,NA,6.1,0.3,1.4,0.037333333333333,1.75,NA,-0.0714,0.52296345960443,NA,0.7,0,0,-4.2248,-4.2248,-3.5248,0,36.1,8.3953488372093,45.125,51.571428571429,NA,-3.7534,37.5,0.065573770491803,NA,NA,0.4516,0.47643979057592,NA,0.0491,0.65573770491803,4.3,37.5,0,0,-5.1,-7.2857142857143,-0.5,-0.71428571428571,6.9444444444444,-6.0355,53.571428571429,-0.4714,0.11158468855192,0.7,-0.98252325581395,-0.91071428571429,5.2,1.65,0,36189,0.8,-7.4,0.8,0.45,6.6964285714286
"10",2002-12-31,12.9,1.81,0.738,0,NA,2.8,0,2.1,0.061224489795918,7,NA,-1.5,0.5393,NA,0.3,0,0,-2.959,-2.959,-2.659,0,32.2,NA,NA,107.33333333333,NA,-2.659,34.3,0.14285714285714,NA,NA,0,0.49246231155779,NA,0.0092,0,0.1,34.3,0,0,-3.3,-11,-0.5,-1.6666666666667,21.4375,-9.8634,114.33333333333,-0.3,NA,0.3,-29.5902,-2.0625,3.4,2.08,0,168182,0.5,-3.5,0.5,0.45,322
