"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,85.4,1.94,0.5586,0.3485,540.9,942.7,85.8,238.1,0.1738,0.8135,0.2526,7.32,0.8,30.4,0,0,110,110.29,141,0,1132.1,1.91,3.53,10.26,8.05,3.87,0.235,47.57,1370.2,0.2942,NA,NA,NA,0.3885,0.3372,0.1865,592.2,1080.8,0.2678,0.2112,-47.6,-0.1626,77.3,0.2641,2,0.3768,3.69,62.72,0.5687,292.7,0.1862,-0.088,86.8,12.45,289.4,1546304,320.4,-60.1,320.4,1.4,1.65
"2",2010-12-31,69.6,1.52,0.601,0.13481264391878,413.3,583.5,50.5,55.2,0.057267351384998,0.26062322946176,0.094601542416452,11.9903,0.58236272878536,22.5,0,0,-5.5,-5.5,17,0,908.7,2.1507692307692,3.136693130825,NA,53.452941176471,4.2903682719547,0.3,-45.4903,963.9,0.36263924592973,NA,NA,0.3845,0.32861927800521,0.3393,0.31533847472151,422.5,899.5,0.0715953307393,0.066811909949165,-2.5,-0.01180358829084,32.6,0.15391879131256,2.1763851923542,-0.025967894239849,4.2469310670444,39.9903,NA,211.8,-0.01301775147929,-0.0060488749092669,63.3,12.46,64.4,1516024,289.7,-8.4,289.7,1.4,2.017793594306
"3",2009-12-31,59.8,2.1,0.7055,0.042156185210781,277.2,355.8,30.5,67.1,0.070166265816167,0.51026615969582,0.18858909499719,4.2139,0.47838412473423,17,0,0,-33.2928,-33.2928,-16.2928,0,889.2,4,5.2060889929742,NA,NA,6.7619771863118,0.25,-51.0068,956.3,0.48397976391231,0.25,55.36,-0.1472,0.28664495114006,0.3985,0.10595840359753,222.3,944.1,0.0129223599195,0.012757502875667,-33.2,-0.25247148288973,14.1,0.10722433460076,3.4058441558442,-0.25317756653992,7.1794676806084,17.7139,NA,131.5,-0.14976540710751,-0.11976911976912,47.5,13.84,12.2,1182949,170.8,-18.3,170.8,1.35,3.3044229440221
"4",2008-12-31,50.2,NA,NA,0.095619047619048,237.4,290.4,78,36.3,0.037593206296603,0.28030888030888,0.125,-1.3492,NA,9.6,0,0,-41.9232,-41.9232,-32.3232,0,929.3,4.1083112290009,7.8026868178002,NA,NA,7.1760617760618,0.185,-108.974,965.6,0.5530303030303,0.07,220.14285714286,-0.0308,0.56394525719679,0.3795,0.14531680440771,226.2,940.5,0.02668793195109,0.0259942004971,-40.9,-0.31583011583012,16.8,0.12972972972973,3.9616680707666,-0.32373127413127,7.2625482625483,67.0508,NA,129.5,-0.18533687002652,-0.17228306655434,62.4,15.41,25.1,638059,119.1,-52.8,119.1,1.35,3.6784761904762
"5",2007-12-31,44.3,NA,NA,0.0012975778546713,230.9,249,38.1,67.9,0.25661375661376,0.57689039932031,0.27269076305221,-5.1732,NA,7.1,0,0,-10.9723,-10.9723,-3.8723,0,196.7,1.2045315370484,1.5189189189189,NA,NA,1.6711979609176,0.185,-36.7992,264.6,0.35622489959839,-0.2,NA,-0.0068,0.72131147540984,0.1868,0.083935742971888,163.3,264.3,0.0011350737797957,0.0011337868480726,-8.9,-0.075615972812235,51.6,0.43840271877655,1.1446513642269,-0.093222854715378,2.2455395072217,25.8268,NA,117.7,-0.067191243110839,-0.038544824599394,35.9,6.04,0.3,367184,129.5,-12.2,129.5,NA,1.1444636678201
"6",2006-12-31,34.2,NA,NA,0.0024350649350649,122.9,136.9,12.4,0.9,0.0013564431047475,0.0098360655737705,0.0065741417092768,-11.2044,NA,5.8,0,0,-9.158,-9.158,-3.358,0,662.6,5.4178250204415,5.7717770034843,NA,NA,7.2415300546448,NA,-4.5537,663.5,0.40102264426589,0.02,763,-0.1222,0.31277813095995,0.2535,0.15339663988313,122.3,663.2,0.00045235223160434,0.00045214770158252,-77.5,-0.84699453551913,44,0.48087431693989,5.3962571196094,-0.10008797814208,7.248087431694,-4.6044,NA,91.5,-0.074881847914963,-0.63059397884459,20.9,15.26,0.3,366151,114.8,-38.2,114.8,NA,5.385551948052
