"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,129.5,3.74,1.0352,NA,-381.6,2915.3,8.9,459.2,0.0671,1.5813,0.1575,-2.62,0.8,63.4,0,0,59,58.7,122,0,6384,3,23.52,108.76,52.29,21.98,115.82,6843.2,0.7228,NA,NA,0.3891,0.7523,0.028,2126.6,3875.8,0.7656,0.4336,-198.8,-0.6846,40.1,0.1381,NA,0.2021,13.35,-57.12,-0.9731,290.4,0.0276,NA,88.4,18.78,2967.4,3606787,271.4,-296.2,271.4,1.55,2.65
"2",2010-12-31,66.8,1.6,1.0429,NA,-661.6,2553.5,4.3,74.2,0.020522749273959,0.25454545454546,0.02905815547288,0.1544,0.37156007287372,63.3,0,0,104.6,104.6,167.9,0,3541.3,1.6157777068029,12.073985680191,33.855640535373,21.091721262656,12.148542024014,163.4456,3615.5,0.8449579009203,NA,0.3086,0.6044915782907,0.6642,0.032465243783043,2191.7,688,4.2550872093023,0.8097082008021,-204.5,-0.70154373927959,25,0.085763293310463,NA,0.35883361921098,2.3602058319039,-58.8456,-0.5625776871132,291.5,0.047725509878177,NA,68.6,8.69,2927.5,3736562,293.3,-227,293.3,1.55,1.5956132221193
"3",2009-12-31,54.3,NA,NA,NA,-649.7,2732.6,113.3,88.4,0.026418815934969,0.48812810601877,0.032350142721218,87.6303,NA,54.2,0,0,23.5,23.5,77.7,0,3257.7,1.4140550395,10.801392572944,138.62553191489,41.926640926641,17.988404196577,-123.2303,3346.1,0.81127863573154,NA,NA,0.52,0.6319,0.03033740759716,2303.8,304.2,9.999671268902,0.90908819222378,-161.5,-0.89177250138045,131.7,0.72722252898951,NA,0.12976256212038,1.6797349530646,146.7303,6.2438431805632,181.1,0.010200538241167,NA,65.8,5.52,3041.9,1029401,301.6,-101.3,301.6,1.5,1.3987542847588
"4",2008-12-31,52.3,NA,NA,NA,-604.6,2922.1,587.3,102.2,0.030860283238216,14.394366197183,0.034974846856713,3423.7422,NA,24.3,0,0,-164.569,-164.569,-140.269,0,3209.5,1.3057894950974,30.566666666667,NA,NA,452.04225352113,-4151.3113,3311.7,0.74268505526847,NA,0.2089,0.50901525658807,0.5824,0.028370007871052,2457.9,147,21.528571428571,0.95561192136969,-277.8,-39.12676056338,248.3,34.971830985916,NA,-23.178735211268,20.704225352113,3986.7422,NA,7.1,-0.066955132430123,NA,122.7,2.42,3164.7,444499,105,-160.1,105,1.5,1.2935822819421
"5",2007-12-31,47.7,NA,NA,NA,-302.1,2962.3,830.2,296.5,0.10197764402408,54.907407407407,0.10009114539378,-50.9444,NA,6.4,0,0,-159.882,-159.882,-153.482,0,2611,1.2096923647146,348.13333333333,NA,NA,483.51851851852,-932.7376,2907.5,0.55534550855754,-4.7,1.6193,NA,0.7745,0.032812341761469,2158.4,150.5,18.318936877076,0.94823731728289,-181.8,-33.666666666667,131,24.259259259259,NA,-29.607785185185,27.87037037037,772.8556,NA,5.4,-0.07407433283914,NA,122,2.85,2757,329958,7.5,-223.6,7.5,1.85,1.1843659619536
"6",2006-12-31,55.2,0.69,1.1745,0.94272458203344,143.2,2604.5,455,463,0.11806405548756,NA,0.17776924553657,-66.6368,0.21796509152831,3.1,0,0,-3.1,-3.1,0,0,3458.6,1.6977223640291,1152.8666666667,NA,NA,NA,-388.3632,3921.6,0.28750239969284,-3.27,-0.2192,0.2375533428165,0.9066,0.031176809368401,2037.2,1564.6,1.5064553240445,0.60103019175847,-103.7,NA,304,NA,10.925977653631,NA,NA,385.2632,NA,NA,-0.0015216964461025,-0.72416201117318,58,32.3,2357,128600,3,-181.1,3,1.6,1.5685145188385
"7",2005-12-31,54.5,0.69,1.1745,0.76322314049587,286.5,1308.1,247.5,692.6,0.27738395610557,230.86666666667,0.52947022398899,24.7,0.17709663686675,3.7,0,0,-52.0165,-52.0165,-48.3165,0,1804.3,3.487243911867,751.79166666667,NA,NA,601.43333333333,-320.5165,2496.9,0.2278877761639,-1.38,0.4132,0.28472222222222,0.9094,0.058787554468313,517.4,1573.4,0.58694546841235,0.36985862469462,-50.8,-16.933333333333,123.5,41.166666666667,5.491797556719,-17.338833333333,524.46666666667,268.5,NA,3,-0.10053440278315,-0.17731239092496,29.1,28.87,923.5,244600,2.4,-71.8,2.4,1.3,2.0635537190083
"8",2004-12-31,50.9,0,0,0,NA,333.6,3.4,308.4,0.15266570961834,102.8,0.92446043165468,-1.35,NA,1.3,0,0,-29.0888,-29.0888,-27.7888,0,1711.7,NA,570.56666666667,NA,NA,855.85,-29.8388,2020.1,0.060251798561151,-0.74,0.962,0.26958052214726,0.6607,0.00029976019184652,-3.8,2020.1,0,0,-27.1,-13.55,-2.7,-1.35,6.6319763624425,-14.5444,1010.05,0.75,-0.025783119276148,2,7.6549473684212,-0.088969139855548,12.5,37.23,0,251900,3,-41.3,3,1.4,6.6319763624425
"9",2003-12-31,16.5,0,0,0.049751243781095,NA,24.6,2.9,1.3,0.0010542535074203,0.86666666666667,NA,-0.1143,NA,0.4,0,0,-9.1522,-9.1522,-8.7522,0,1231.8,65.521276595745,821.2,NA,NA,1759.7142857143,-11.5379,1233.1,0.80081300813008,-1.05,1.2137,0.83,0.3342,0.0040650406504065,18.8,1232.1,0.00081162243324406,0.00081096423647717,-10.5,-15,-0.1,-0.14285714285714,64.507853403141,-13.0746,1760.1428571429,2.3857,-0.26067055705766,0.7,-0.48682021276596,-0.54973821989529,9.2,61.86,1,169000,1.5,-19.2,1.5,1.35,61.348258706468
"10",2002-12-31,13.3,0,0,0.043010752688172,NA,21.1,1.7,0.6,0.0034822983168891,3,NA,2.6,0,0.4,0,0,-3.1833,-3.1833,-2.7833,0,171.7,NA,NA,NA,NA,858.5,-4.4833,172.3,0.8436018957346,NA,0,0.82352941176471,0.0658,0,18,171.5,0.00466472303207,0.0046430644225189,-5.9,-29.5,-1.3,-6.5,9.6348314606742,-15.9163,857.5,1.3,NA,0.2,-0.17684777777778,-0.3314606741573,3.5,11.9,0.8,107299,0.3,-5.4,0.3,1.15,9.5388888888889
