"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,64,2.18,0.6127,0.5622,270.1,993.7,213.1,30.5,0.0509,0.0418,0.0307,-1.21,0.8,6.6,91.1,0,0,128,77.54,219,0.3928,0.3927,568.6,0.97,0.92,4.45,2.6,0.78,-0.034,-43.25,599.1,0.7536,0.57,7.04,-0.09,-0.125,0.3411,0.8126,0.094,586.5,252.2,1.3755,0.579,38.2,0.0523,8,0.011,0,0.93,NA,0.1749,0.35,120.79,1.5578,730.1,0.1322,0.1414,28.3,4.01,346.9,162677,619.3,42.8,5.89,619.3,1.85,0.97
"2",2010-12-31,63.7,4.22,2.1412,0.5003307972213,302.1,900.7,110.7,46.5,0.076543209876543,0.069673359304765,0.051626512712335,-1.863,0.21016252568653,7.6441102756892,87.6,0,0,118.9,74.9343,206.5,0.36977,0.3696682464455,561,1.0051962013976,0.75575912703759,4.7182506307822,2.7167070217918,0.84057536709619,0.0955,53.6973,607.5,0.73143110913734,0.72,6.5555555555556,-0.39,-0.1925,0.38289368505196,0.8055,0.10991451093594,558.1,305,0.99180327868853,0.49794238683128,39.9,0.059784237338927,-16.6,-0.024872640095894,0,1.0095994703741,0.80043039536013,0.17815403056638,0.45699730296674,21.237,0.28340861176541,667.4,0.13426688227916,0.13207547169811,22.7,4.72,302.5,340509,742.3,39.7,7.6826196473552,742.3,1.8,1.0047965597089
"3",2009-12-31,63.4,4.58,2.2203,0.60538979788258,246,1002.8,101.2,83.2,0.094685330602026,0.1010321797207,0.082967690466693,-2.9891,0.20830518398415,17.776595744681,84.6,0,0,110.5,68.7045,195.1,0.37824,0.37885462555066,795.5,1.472602739726,1.0761634199134,7.1990950226244,4.0773962070733,0.96599878567092,NA,55.0936,878.7,0.63432389309932,0.63,12.539682539683,NA,-0.4901,0.63967611336032,0.7275,0.099621061029118,540.2,501.3,0.75284260921604,0.42949812222602,28.2,0.03424408014572,29.2,0.035458409228901,0,2.0378048780488,NA,0.13418336369156,0.60874316939891,13.6109,0.1981072573725,823.5,0.12718341355054,0.11463414634146,21.8,7.9,377.4,395727,739.2,38.4,13.0546875,739.2,1.85,1.4095283926853
"4",2008-12-31,63.2,4.71,2.2036,0.86439534491483,80.4,1101.3,111.9,116.1,0.1699355971897,0.07208046191097,0.10542086624898,19.3521,0.1343256489381,NA,94.5,0,0,122.2,122.2,216.7,0,NA,567.1,1.1893875838926,0.50606817776191,4.6407528641571,2.6169820027688,0.35208294530328,NA,85.4479,683.2,0.60982475256515,NA,NA,-0.335,0.3585,0.91962174940898,0.4399,0.091528193952602,476.8,170.7,3.0023432923257,0.75014637002342,-44.2,-0.027441485068604,-63.6,-0.039485937791023,NA,2.1231343283582,NA,0.075867635189669,0.10597876699572,36.7521,0.30075333970033,1610.7,0.25629194630872,-0.54975124378109,30.1,2.64,512.5,352087,1120.6,-30.4,NA,1120.6,1.85,1.1523022432113
"5",2007-12-31,62.7,2.1,0.5516,0.74709155285786,200,1163,160.2,108.9,0.18026816752193,0.09272030651341,0.093637145313843,17.2786,0.50761421319797,0.67857142857143,51.7,0,0,107.5,63.2541,159.2,0.41159,NA,495.2,0.7262061885907,0.33030949839915,4.606511627907,3.1105527638191,0.42162622392507,NA,-62.5246,604.1,0.59398108340499,NA,NA,NA,-0.1293,0.94915254237288,0.4092,0.18091143594153,681.9,13.3,44.421052631579,0.97798377752028,19.6,0.016687952320136,-62.5,-0.053214133673904,0,0.0665,NA,0.091528309919114,0.011323967645807,125.7786,1.9884668174172,1174.5,0.092761511951899,0.098,NA,0.18,590.8,431720,1499.2,16.7,0.79640718562874,1499.2,1.75,0.76390996459282
