"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,33.8,1.6,0.3836,0,242.9,273.9,21,174.2,0.2261,0.8865,0.636,0.94,0.8,57.92,8.7,0,0,13,12.99,22,0.031,0.0292,596.1,8.68,2.8,44.49,26.97,3.03,0.2,-0.26,770.3,0.1745,0.52,42.85,0.145,0.2255,0.9673,0,68.7,770.3,0,0,13.3,0.0677,11.2,0.057,0,3.17,2.9,0.0682,3.92,13.24,1.0197,196.5,0.189,0.0548,88.2,22.28,0,474997,213,17.9,43.03,213,1.3,3.17
"2",2010-12-31,35.1,1.26,0.4229,0,246.9,281.6,22.8,177.7,0.34491459627329,0.81215722120658,0.63103693181818,-1.834,0.73894537715772,17.405405405405,8,0,0,30.5,28.6974,38.5,0.0591,0.057324840764331,337.5,4.8771676300578,1.7219387755102,11.065573770492,8.7662337662338,1.5425045703839,0.2167,15.7315,515.2,0.13245738636364,0.34,44.323529411765,0.3302,0.32335115864528,0.8395,0,69.2,515.2,0,0,29.6,0.13528336380256,17.6,0.080438756855576,0,2.0866747671122,0.80320283365969,0.13939670932358,2.3546617915905,12.966,0.45181702010781,218.8,0.41470303468208,0.11988659376266,91,15.07,0,352407,196,14.5,35.531034482759,196,1.25,2.0866747671122
"3",2009-12-31,35.2,1.36,0.5341,0,213,241.8,10,165.6,0.28695200138624,1.0036363636364,0.6848635235732,4.4901,0.58509642389066,29.294416243655,6.6,0,0,22.6,22.0682,29.2,0.02353,0.019900497512438,411.5,8.6814345991561,1.8850206138342,18.20796460177,14.092465753425,2.4939393939394,0.2167,14.1781,577.1,0.074441687344913,0.72,22.944444444444,-0.0163,0.26415564978798,0.9144,0,47.4,577.1,0,0,19.7,0.11939393939394,13.9,0.084242424242424,0,2.7093896713615,1.3518420047833,0.1369696969697,3.4975757575758,7.8901,0.35753316293996,165,0.46557430379747,0.092488262910798,75,16.52,0,516932,218.3,30.6,18.859477124183,218.3,1.25,2.7093896713615
"4",2008-12-31,33.6,1.59,0.5566,0,164.6,195.3,5.2,105.2,0.12269652437602,0.65545171339564,0.53865847414235,-0.5549,0.34495149119655,35.429752066116,5.7,0,0,29.2,27.8045,34.9,0.04779,NA,752.2,12.6632996633,4.9099216710183,25.760273972603,21.553008595989,4.6866043613707,0.214,28.8594,857.4,0.072708653353815,NA,NA,0.1908,0.40606735318675,0.9167,0,59.4,857.4,0,0,24.2,0.15077881619938,12.2,0.07601246105919,0,5.2089914945322,1.65559589094,0.18193146417445,5.3420560747664,-1.0549,-0.037939533229047,160.5,0.46808976430976,0.14702308626975,70.1,23.97,0,449143,153.2,18.3,46.852459016393,153.2,1.2,5.2089914945322
"5",2007-12-31,33.5,2.1,0.5511,0,137.3,172.5,6.7,110.9,0.27983850618218,0.82761194029851,0.64289855072464,-1.8768,0.33387769914716,42.612903225806,4.2,0,0,28.3,18.423,32.5,0.34901,NA,285.4,10.810606060606,1.7370663420572,10.08480565371,8.7815384615385,2.1298507462687,0.275,17.7998,396.3,0.08231884057971,0.64,19.703125,0.1583,0.61365528726062,0.8655,0,26.4,396.3,0,0,9.3,0.069402985074627,8.3,0.061940298507463,0,2.8863801893664,1.549560117302,0.21119402985075,2.9574626865672,0.6232,0.033827735990467,134,0.6978415530303,0.067734887108522,56.9,12.61,0,385259,164.3,28.3,14.003533568905,164.3,1.15,2.8863801893664
"6",2006-12-31,30.4,1.17,0.5583,0,95,117.3,7.5,78.5,0.11262553802009,0.74761904761905,0.6692242114237,0.2253,0.21493820526599,NA,2.7,0,0,17,8.5,19.7,0.6,NA,618.5,37.484848484848,5.0738310090238,36.382352941176,31.395939086294,5.8904761904762,0.2667,3.4747,697,0.097186700767263,0.48,42.145833333333,0.017,0.41176470588235,0.6897,0,16.5,697,0,0,-2.1,-0.02,-1.4,-0.013333333333333,NA,7.3368421052632,NA,0.16190476190476,6.6380952380952,5.0253,0.59121568627451,105,0.51515151515152,-0.022105263157895,49.9,20.23,0,302504,121.9,7.5,92.933333333333,121.9,0.75,7.3368421052632
"7",2005-12-31,29.2,NA,NA,0,78.2,100.8,1.9,63.9,0.19246987951807,0.64480322906155,0.63392857142857,-0.2195,NA,16.354679802956,1.7,0,0,29.8,19.2478,31.5,0.3541,NA,268.1,18.748251748252,2.3600352112676,8.996644295302,8.5111111111111,2.7053481331988,0.226,19.2673,332,0.061507936507936,NA,NA,0.9814,0.42857142857143,0.5432,0,14.3,332,0,0,20.3,0.20484359233098,1.5,0.015136226034309,0,4.2455242966752,0.72365839836087,0.30070635721493,3.3501513622603,-0.0195,-0.0010118173121671,99.1,1.3460013986014,0.25959079283887,33.3,11.11,0,87865,113.6,51,6.5098039215686,113.6,0.55,4.2455242966752
"8",2003-12-31,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0.15758176412289,0,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,9.4,0,19948,NA,0,NA,0,0,NA
"9",2000-12-31,NA,2.2,1.9842,0.31664490861619,NA,1172.5,286.9,503.2,0.6585180726045,3.425459496256,NA,NA,0.33262775929846,NA,51,0,0,-154.00996,-154.01,-103.01,0,NA,260.94,NA,NA,NA,NA,1.7763104152485,0.25,-330.5114,764.14,0.41134328358209,NA,NA,0.6346,0.98204936424832,0.2935,NA,543.7,34.14,14.20913884007,0.93425005777675,-212.6,-1.4472430224643,-93.6,-0.63716814159292,NA,0.060768956924172,NA,-1.0484,0.23240299523485,176.5014,NA,NA,-0.28326275519588,-0.37842648629406,181.0983,0.6,485.1,NA,146.9,-285,NA,190.7,NA,0.72990734549623
"10",1999-12-31,NA,1.95,NA,0.60933383515243,NA,402.4,83.2,124.9,0.2372269705603,1.0204248366013,NA,NA,NA,NA,18.9,0,0,-40.4,-40.4,-21.5,0,NA,401.6,NA,NA,NA,NA,3.281045751634,0.26,-61.9505,526.5,0.47614314115308,NA,NA,1.2317,0.90825688073394,0.3144,NA,225.8,364.6,0.44404827207899,0.30750237416904,NA,-1.328431372549,NA,-0.2859477124183,NA,3.5125240847784,NA,-0.33006535947712,2.9787581699346,NA,NA,NA,-0.17891939769708,-1.5664739884393,45.5,NA,NA,NA,NA,-162.6,NA,122.4,NA,1.5012831479897
