"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,10,2.28,1.1747,0.2433,45.1,106.1,33.8,41.4,0.2321,0.7767,0.3902,-58.48,0.49,NA,1.6,0,0,3,3,5,0,137,7.53,0.81,45.67,29.78,2.57,NA,29.28,178.4,0.3497,NA,NA,0.115,0.3649,0.4079,0.0075,18.2,163.9,0.0885,0.0813,-5.6,-0.1051,-26.8,-0.5028,NA,3.63,NA,0.0563,3.08,-26.28,-8.7591,53.3,0.1648,-0.1242,19.8,16.88,14.5,33974,169.6,-9.8,NA,169.6,1.1,2.99
"2",2010-12-31,7.5,0.99,1.2856,0,11.4,56.7,2.9,10.2,0.060498220640569,0.45739910313901,0.17989417989418,-0.0691,0.22363098942128,NA,0.9,0,0,-34.7961,-34.7961,-33.8961,0,158.4,132,4.2015915119363,NA,NA,7.1031390134529,0.5,-36.727,168.6,0.084656084656085,NA,NA,0.0451,0.53353846153846,0.1299,0.012345679012346,1.2,168.6,0,0,-21.5,-0.96412556053812,-0.1,-0.0044843049327355,NA,14.789473684211,NA,-1.5603618834081,7.5605381165919,1.9309,NA,22.3,-28.996725,-1.8859649122807,33.7,22.64,0,71553,37.7,-17.5,NA,37.7,1.15,14.789473684211
"3",2009-12-31,7.1,1.2,1.0549,0,24.3,41,0.3,1.9,0.024081115335868,0.09452736318408,0.046341463414634,-0.004,0.28438714570101,NA,0.6,0,0,-11.8841,-11.8841,-11.2841,0,77,3.4375,3.8693467336683,NA,NA,3.8308457711443,0.1,-11.5802,78.9,0.019512195121951,NA,NA,0.1798,0.44088669950739,0.1139,0.017073170731707,22.4,78.9,0,0,-8.8,-0.43781094527363,0.4,0.019900497512438,NA,3.2469135802469,NA,-0.59125074626866,3.9253731343284,-0.304,NA,20.1,-0.53054196428571,-0.36213991769547,17.5,11.16,0,29827,19.9,-12.9,NA,19.9,1.2,3.2469135802469
"4",2008-12-31,6.8,0.88,0.856,0,31.8,75.1,17.1,28.2,0.62389380530973,1.7407407407407,0.37549933422104,-0.2963,0.21495327102804,NA,0.5,0,0,-5.1656,-5.1656,-4.6656,0,17,4.7222222222222,1.0179640718563,NA,NA,1.0493827160494,0.05,-21.4693,45.2,0.46604527296937,NA,NA,-0.2923,0.56842105263158,0.141,0.0093209054593875,3.6,45.2,0,0,-4.1,-0.25308641975309,-9.6,-0.59259259259259,NA,1.4213836477987,NA,-0.31886419753086,2.7901234567901,16.3037,NA,16.2,-1.4348888888889,-0.12893081761006,10,6.1,0,26552,16.7,-11.8,NA,16.7,1.15,1.4213836477987
"5",2007-12-31,5.7,2.02,0.6546,0,28.4,34.9,8.1,15.4,0.77777777777778,0.80208333333333,0.44126074498567,-0.1167,0.3666361136572,99,0.4,0,0,-0.7974,-0.7974,-0.3974,0,4.4,0.33846153846154,0.25,NA,NA,0.22916666666667,0.3,-8.3808,19.8,0.037249283667622,-0.14,NA,0.2324,0.66504517025712,0.2944,0.065902578796562,13,19.8,0,0,0.2,0.010416666666667,-1.4,-0.072916666666667,0,0.69718309859155,3.3,-0.041533333333333,1.03125,7.5833,NA,19.2,-0.061341538461539,0.0070422535211268,6.4,3.68,0,9925,17.6,-0.5,NA,17.6,1.5,0.69718309859155
"6",2006-12-31,5.6,3.28,0.5481,0,27.6,31.8,1.4,18.6,0.45365853658537,1.2,0.58490566037736,0,0.36489691662106,102.5,0.3,0,0,0,0,0.3,0.22268,22.4,2.4888888888889,1.2173913043478,NA,74.666666666667,1.4451612903226,0.3,-1.1,41,0.025157232704402,0.04,207.75,0.398,0.53439153439153,0.3525,0.072327044025157,9,41,0,0,0.4,0.025806451612903,0,0,0,1.4855072463768,3.4166666666667,0,2.6451612903226,1.1,NA,15.5,0,0.014492753623188,5.6,8.31,0,41797,18.4,0.6,68.333333333333,18.4,1.25,1.4855072463768
"7",2005-12-31,5.6,3.22,0.6564,0,25.9,28.7,0.4,16.5,0.18171806167401,1.5,0.57491289198606,-0.1636,0.26812918951859,129.71428571429,0.2,0,0,0.6,0.3982,0.8,0.33634,74.3,7.9042553191489,5.0890410958904,123.83333333333,92.875,6.7545454545455,NA,0.3618,90.8,0.020905923344948,0.02,810.005,0.1201,0.3976897689769,0.3731,0.076655052264808,9.4,90.8,0,0,0.7,0.063636363636364,0.5,0.045454545454545,0,3.5057915057915,NA,0.054545454545455,8.2545454545455,0.0364,0.091320948386313,11,0.042361276595745,0.027027027027027,3.5,16.2001,0,21124,14.6,0.3,302.66666666667,14.6,1.1,3.5057915057915
"8",2004-12-31,4.8,0,0,0,NA,13.1,0.2,2.8,0.034869240348692,0.27722772277228,0.21374045801527,0.081,NA,267.66666666667,0.2,0,0,0.3351,0.2829,0.5351,0.15578,77.5,8.4239130434783,7.6732673267327,231.28805061478,144.83815504224,9.2261904761905,NA,0.2019,80.3,0.030534351145038,0.12,151.99916666667,0.0722,0.39808420583649,0.1716,0.16793893129771,9.2,80.3,0,0,0.3,0.035714285714286,0.4,0.047619047619048,0,6.6916666666667,NA,0.039890476190476,9.5595238095238,0.081,0.28617090917443,8.4,0.030747960608696,0.025,2.9,18.2399,0,20719,10.1,0.6,133.83333333333,10.1,0,6.6916666666667
"9",2003-12-31,3.6,0,0,0.23076923076923,NA,4.7,0.4,0.8,0.007181328545781,NA,NA,-0.7,NA,276.25,0.1,0,0,0.4531,0.4531,0.5531,0,110.6,35.677419354839,NA,244.0854519774,199.95660977726,18.745762711864,NA,0.8531,111.4,0.1063829787234,NA,NA,0,0.63726059199071,0.0264,0.4468085106383,3.1,110.5,0.0081447963800905,0.0080789946140036,0.4,0.067796610169491,0.7,0.11864406779661,0,36.833333333333,NA,0.0768,18.728813559322,-0.4,-0.88276836158192,5.9,0.14616774193548,0.13333333333333,2.3,23.27,0.9,4100,NA,0,NA,0,0,28.564102564103
