"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,89,1.2,0.7897,0,141.1,152.1,0.2,146.8,0.1068,NA,0.9652,0.69,0.38,NA,0.1,0,0,NA,NA,NA,0,1228.2,NA,NA,NA,NA,NA,0.204,NA,1375,0.002,NA,NA,-0.115,0.5508,NA,0.7556,0,-5.7,1375,0,0,-47,NA,-6,NA,NA,9.74,NA,NA,0.79,NA,NA,NA,-0.3331,47,13.42,0,3392480,NA,-95.5,NA,NA,1.2,NA
"2",2010-12-31,81.6,1.1,0.7256,0,132,144.3,0.1,139.2,0.18042773817239,NA,0.96465696465696,NA,0.39622381477398,NA,0.1,0,0,NA,NA,NA,0,632.3,NA,NA,NA,NA,NA,NA,NA,771.5,0.0013860013860014,NA,NA,NA,0.31350114416476,NA,0.7696,0,-7.2,771.5,0,0,-75.4,NA,-7.5,NA,NA,5.844696969697,NA,NA,0,NA,NA,NA,-0.57121212121212,65.6,9.75,0,1887235,NA,-54.1,NA,NA,1.15,NA
"3",2009-12-31,80.6,0.86,0.6916,0.097631706138231,186.7,230,0.4,207,0.25907384230288,4.14,0.9,4.284,0.4157027183343,NA,1.2,0,0,-54.01,-54.01,-52.81,0,592,NA,41.398601398601,NA,NA,11.84,NA,-57.494,799,0.026086956521739,NA,NA,-0.5768,0.48938486663038,NA,0.5768,0,-0.10000000000002,778.8,0.025937339496662,0.025281602002503,-53.6,-1.072,-6,-0.12,NA,4.1713979646492,-1.0802,15.576,3.484,NA,50,NA,-0.28709159078736,92.1,9.37,20.2,4382462,14.3,-72.8,NA,14.3,1.15,NA
"4",2008-12-31,69.7,1.06,0.627,0.079298245614035,131.2,207.6,0.4,187.9,0.22959433040078,1.8385518590998,0.90510597302505,16.6154,0.29346092503987,NA,1.1,0,0,-5.5764,-5.5764,-4.4764,0,630.5,NA,8.9942938659058,NA,NA,6.1692759295499,0.15,-21.4917,818.4,0.032273603082852,NA,NA,0.5796,0.65128205128205,NA,0.6167,0,-45.4,807.1,0.014000743402304,0.01380742913001,-4.9,-0.047945205479452,-52.9,-0.51761252446184,NA,6.1516768292683,-0.054563209393346,7.8972602739726,15.9154,NA,102.2,NA,-0.03734756097561,95.9,9.2,11.3,2246497,70.1,-46.1,NA,70.1,1.15,NA
"5",2007-12-31,58.9,0.5,0.4958,0.079510703363914,60.2,199.7,0.3,179.5,0.47790202342918,3.2815356489945,0.89884827240861,79.2527,0.29043969342477,NA,1.1,0,0,-1.472,-0.736,-0.372,0.6,196.1,NA,1.8983543078412,NA,NA,3.5850091407678,NA,-79.1886,375.6,0.037055583375063,-0.04,NA,2.1282,0.36826568265683,NA,0.6918,0,-114.1,370.4,0.014038876889849,0.01384451544196,-2.4,-0.043875685557587,-89.2,-1.6307129798903,NA,6.1528239202658,-0.026909689213894,6.7714808043876,78.4527,NA,54.7,NA,-0.039867109634551,44.1,5.32,5.2,609603,103.3,7.2,51.444444444444,103.3,0.9,NA
"6",2006-12-31,58.1,-1,0.5815,0.17801857585139,53.1,78.2,0.5,58.9,0.18337484433375,3.4244186046512,0.75319693094629,1.2093,0.28890799656062,NA,1.1,0,0,-22.5536,-22.5536,-21.4536,0,262.3,46.017543859649,7.9006024096385,NA,NA,15.25,NA,-23.1629,321.2,0.10869565217391,0.01,516,-0.0958,0.27892561983471,NA,0.6092,0,5.7,309.7,0.037132709073297,0.035803237858032,-21.6,-1.2558139534884,-1.3,-0.075581395348837,NA,5.8323917137476,-1.3112534883721,18.005813953488,0.6093,NA,17.2,-3.9567649122807,-0.40677966101695,27.9,5.16,11.5,391195,33.2,-13.6,NA,33.2,1.05,4.9721362229102
"7",2005-12-31,44.6,0.04,0.6262,0.16352201257862,26.6,49.3,7.3,27,0.14843320505772,1.8367346938775,0.54766734279919,0.7857,0.26828489300543,NA,1.3,0,0,-25.3198,-25.3198,-24.0198,0,154.9,32.270833333333,8.6055555555556,NA,NA,10.537414965986,NA,-32.1055,181.9,0.18458417849899,-0.52,NA,-0.3614,0.33048229983369,NA,0.4289,0,4.8,176.7,0.029428409734012,0.028587135788895,-24.5,-1.6666666666667,-3.5,-0.23809523809524,NA,6.6428571428571,-1.7224353741497,12.020408163265,6.7857,NA,14.7,-5.2749583333333,-0.92105263157895,28.9,3.62,5.2,227100,18,-21.8,NA,18,1.05,5.7201257861635
"8",2004-12-31,38.1,1.04,0.6446,0.094395280235988,NA,54.4,0.1,25,0.1810282404055,1.5923566878981,0.45955882352941,-0.0995,0.32268073223705,NA,1.9,0,0,-22.0508,-22.0508,-20.1508,0,113.1,12.707865168539,7.203821656051,NA,NA,5.7704081632653,NA,-20.1513,138.1,0.11764705882353,-0.61,NA,-0.2919,0.36708860759494,NA,0.4564,0,8.9,134.9,0.023721275018532,0.023171614771904,-21.6,-1.1020408163265,0.5,0.025510204081633,NA,4.3941368078176,-1.1250387755102,6.8826530612245,-1.8995,0.08614169289033,19.6,-2.4776134831461,-0.70358306188925,30.4,2.96,3.2,217184,15.7,-24.4,NA,15.7,1,4.0737463126844
"9",2003-12-31,37.8,1.79,0.6718,0,NA,65.7,0.2,34.6,0.19850831899025,1.8804347826087,NA,1.4781,0.53289669544507,NA,2.1,0,0,0.9535,0.9535,3.0535,0,139.7,8.4156626506024,7.5923913043478,146.50977430993,45.750478136708,5.0985401459854,NA,1.3754,174.3,0.1248097412481,NA,NA,0.0725,0.35890410958904,NA,0.4181,0,16.6,174.3,0,0,0,0,-4.5,-0.16423357664234,NA,3.404296875,0.0348,6.3613138686131,-0.4219,-0.44246351436674,27.4,0.057440963855422,0,17.6,4.69,0,72488,18.4,-18.5,NA,18.4,0.95,3.404296875
"10",2002-12-31,33,1.57,0.8119,0,NA,49.7,0.2,23.5,0.16690340909091,1.0538116591928,NA,2.4,0.4262,NA,2.3,0,0,-12.6851,-12.6851,-10.3851,0,117.3,NA,NA,NA,NA,5.2600896860987,NA,-10.5851,140.8,0.20321931589537,-0.31,NA,-0.062,0.30812013348165,NA,0.3835,0,10.9,140.8,0,0,-10.6,-0.47533632286995,-4.5,-0.20179372197309,NA,4.093023255814,-0.56883901345291,6.3139013452915,-2.1,NA,22.3,-1.163771559633,-0.30813953488372,23.8,3.7,0,107714,21.3,-9.2,NA,21.3,0.9,10.761467889908
