"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-09-30,184.1,1.01,0.2935,-219,1728.6,60,63.5,0.0111,0.0194,0.0367,27.93,0.8,20.17,59.7,0,0,449,285.34,508,0.3638,0.3638,5660.2,5.01,1.61,12.62,11.14,1.73,0.195,0.095,257.11,5723.7,0.1056,1.6,14.73,NA,0.1817,0.029,0.9602,0.3676,1130.6,4310.6,0.3278,0.2469,213.7,0.0654,358.6,0.1097,0,1.03,0.1372,1.32,28.23,0.0989,3269.1,0.2524,1086.4,23.57,1413.1,2530887,3523.7,258.6,16.67,3523.7,1.15,4.79
"2",2011-09-30,182.2,1.61,0.4743,-461.3,1589.4,48.7,59.5,0.010784260417233,0.020403964198759,0.037435510255442,40.0433,0.63251106894371,27.501390820584,51.1,0,0,341,215.1608,392.1,0.36903,0.36902150065818,5457.8,5.2388174313688,1.669460418451,16.005278592375,13.919408314206,1.8716093412434,0.21,0.07,177.5175,5517.3,0.10576318107462,1.25,16.904,0.1038,0.27256843331392,0.034,0.488,0.36969925758148,1041.8,3954.7,0.39512478822667,0.28321824080619,143.8,0.049312437845067,330.7,0.11340489009293,0,1.3095900390754,0.11693700490381,1.3561606254929,37.6433,0.17495413635029,2916.1,0.20652790362834,1012.3,21.13,1562.6,971089,3269.2,200.4,19.734031936128,3269.2,1.2,5.0098065922092
"3",2010-09-30,181.9,1.96,0.5894,-615.5,1490.7,37.3,54.4,0.012639698877762,0.020632632936357,0.036492922787952,33.0544,0.55140821174075,26.502522704339,47.1,0,0,296.8,178.4926,343.9,0.39861,0.39866504854369,4249.5,4.2174473997618,1.4572045813044,14.317722371968,12.356789764466,1.6117348099825,0.205,0.065,155.2381,4303.9,0.10149594150399,0.95,15.294736842105,-0.0062,0.33480760725343,0.031,0.5011,0.38424901053196,1007.6,2626.4,0.63870697532744,0.38976277329864,99.1,0.037586285367519,311.7,0.11822043540924,0,1.2928059855775,0.11256921793218,0.99613138132443,23.2544,0.13028237581825,2636.6,0.17714624057166,899.4,14.53,1677.5,790279,2916.2,143.8,18.264255910988,2916.2,1.3,4.0526365348399
"4",2009-09-30,181.5,1.9,0.5617,-703,1527,45.6,99.8,0.030774923679423,0.037685975379503,0.06535690897184,-1.612,0.38454691116254,18.268041237113,48.5,0,0,282.9,177.2765,331.4,0.37336,NA,3143.1,3.0739364303179,1.1921034665857,11.110286320255,9.4843089921545,1.1868816554641,NA,NA,181.7884,3242.9,0.10235756385069,0.65,11.769230769231,0.05,0.39180327868852,0.0229,0.4601,0.31414538310413,1022.5,1417.6,1.287598758465,0.56286040272595,77.6,0.029302922739974,368,0.13896231402462,0,NA,0.10682727890643,0.5353070009818,-4.512,-0.025451562742689,2648.2,0.17337550709047,903.1,7.65,1825.3,973362,2636.6,99.1,14.304742684157,2636.6,1.35,2.8895126080371
"5",2008-09-30,180.9,NA,NA,-761.2,1404.5,53.3,38.3,0.013986780119052,0.015235897843902,0.027269490922036,-17.7906,NA,16.454700854701,42.6,0,0,250.1,140.4487,292.7,0.43843,NA,2700,2.7658266748617,1.0195989577433,10.795681727309,9.2244619063888,1.0740711273769,NA,NA,147.5392,2738.3,0.10971876112496,0.55,10.345454545454,NA,0.59574468085106,0.018,0.5228,0.33969384122463,976.2,962.6,1.8446914606275,0.64846802760837,58.5,0.023271541093166,333,0.13246877237648,0,NA,0.099490810724799,0.38292624711592,-7.0906,-0.050485040452622,2513.8,0.14387283036263,861.1,5.69,1775.7,960254,2648.1,NA,NA,2648.1,1.35,2.6991621488418
"6",2007-09-30,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0.43,20.441860465116,NA,0.20712694877506,NA,0.4095,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.79,0,825700,2514.1,44.4,0,2514.1,NA,NA
