"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,37.7,1.11,0.273,0.1554,616.3,8137.6,0,101.3,0.0529,0.0124,NA,0.8,23.68,0,0,0,238,153.08,238,0.3576,0.3578,1814.3,2.89,7.61,7.61,0.1033,153.08,1915.6,0,3.08,14.55,0.045,NA,0.2801,NA,0.0025,628.4,1802.2,0.0629,0.0592,76.1,0,0,2.92,2.29,0,0,NA,0.2436,0.1235,14.9,44.82,113.4,197441,NA,115,15.67,NA,1,2.63
"2",2010-12-31,37,1.38,0.3662,0.17671809256662,528.3,6446.2,0,104.9,0.084460547504026,0.016273153175514,NA,0.68268705625341,30.257372654155,0,0,0,193.5,126.816,193.5,0.34462,0.34446397188049,1137.1,2.1182935916543,5.8764857881137,5.8764857881137,0.095,126.816,1242,0,1.91,16.026178010471,0.005,NA,0.21062915201251,NA,0.001473736464894,536.8,1128.6,0.10047846889952,0.091304347826087,37.3,0,0,2.1362862010222,3.1849865951743,0,0,NA,0.23624446721312,0.070603823585084,33.3,30.61,113.4,277135,NA,62.4,18.086538461538,NA,1,1.9354838709677
"3",2009-12-31,35.9,0.94,0.42,0.19097339171438,480.4,5698.9,0,80.5,0.085866666666667,0.014125532997596,NA,0.5952380952381,33.774590163934,0,0,0,161.2,106.5097,161.2,0.33927,0.33875338753388,857,1.6695889343464,5.3163771712159,5.3163771712159,0.1233,106.5097,937.5,0,0.94,22.702127659575,0.055,NA,0.25490196078431,0.9988,0.0017196301040552,513.3,824.1,0.13760465962869,0.12096,24.4,0,0,1.7154454621149,2.7392206134578,0,0,NA,0.20749985583479,0.050791007493755,37.8,21.34,113.4,262283,NA,31.5,26.161904761905,NA,1,1.5788144156282
"4",2008-12-31,30.9,0.94,0.391,0.28381128584644,387.1,5140.2,0,77.9,0.1179588128407,0.015155052332594,NA,0.40920716112532,20.361445783132,0,0,0,137.1,90.2324,137.1,0.34185,NA,582.5,1.259187202767,4.2487235594457,4.2487235594457,0.13,NA,660.4,0,NA,NA,0.12,NA,0.4728370221328,0.8492,0.0014979961869188,462.6,507,0.3025641025641,0.23228346456693,24.9,0,0,1.3097390855076,1.566265060241,NA,NA,NA,0.19505483138781,0.0643244639628,72.9,13.96,153.4,224278,NA,21.3,23.802816901408,NA,1,1.2218316373728
"5",2007-12-31,26.3,0.45,0.3278,0.27760097919217,295.1,4287.4,0,89.5,0.1748046875,0.020875122451836,NA,0.48810250152532,12.694267515924,0,0,0,132.1,86.6959,132.1,0.34371,NA,422.5,1.3244514106583,3.1983345950038,3.1983345950038,0.1217,NA,512,0,1.05,12.723809523809,NA,NA,0.33138142134682,0.7225,0.0018426085739609,319,398.6,0.28449573507275,0.221484375,31.4,0,0,1.3507285665876,1.0430786783832,NA,NA,NA,0.27177400940439,0.10640460860725,121.2,13.36,113.4,251327,NA,27.9,14.286738351255,NA,1,1.2533659730722
"6",2006-12-31,25.9,1.48,0.2677,0.3090760425184,253.5,3675.4,0,93.7,0.15965241097291,0.025493823801491,NA,0.56779977586851,16.215753424657,0,0,0,105.7,69.7028,105.7,0.34056,NA,493.2,1.805270863836,4.6660359508042,4.6660359508042,0.1267,NA,586.9,0,1.27,13.330708661417,NA,NA,0.13642960812772,0.6925,0.0035370299831311,273.2,473.5,0.23949313621964,0.19321860623616,29.2,0,0,1.8678500986193,1.2798542560898,NA,NA,NA,0.25513472913616,0.11518737672584,99.5,16.93,113.4,181403,NA,32.9,14.392097264438,NA,0.95,1.5996184246389
"7",2005-12-31,25.7,1.7,0.2667,0.30907342096826,215.5,3042.2,0,137.8,0.2207625760974,0.045296167247387,NA,0.50993625796775,19.404411764706,0,0,0,87.6,57.8256,87.6,0.33989,NA,486.4,2.7937966685813,5.5525114155251,5.5525114155251,0.158,NA,624.2,0,1.1,18.072727272727,NA,NA,0.15906976744186,0.5987,0.0041088685819473,174.1,527.8,0.18264494126563,0.1544376802307,27.2,0,0,2.4491879350348,1.2281273268801,NA,NA,NA,0.33214035611717,0.1262180974478,50,19.88,96.4,70393,NA,28.6,18.454545454545,NA,0.85,2.0012824623277
"8",2004-12-31,25.4,0,0,0.71270962047661,NA,2611.2,0,78.5,0.073207124871771,0.030062806372549,0,NA,29.989795918367,0,0,0,NA,NA,NA,0.33347,NA,993.8,1.6527523698653,NA,NA,0.18,NA,1072.3,0,1.03,21.728155339806,NA,0,0.17396449704142,0.542,0.00057444852941177,601.3,587.8,0.82425995236475,0.45183250955889,19.6,0,0,3.0097286226319,1.6660997732426,0,NA,NA,NA,0.10035842293907,23.2,22.38,484.5,53688,NA,25.5,23.050980392157,0,0.85,1.5773756987349
"9",2003-12-31,24.9,0,0,0.72051407190499,NA,2192.9,0,69.6,0.069551314080144,NA,0,NA,27.751243781095,0,0,0,NA,NA,NA,0,NA,931.1,1.7081269491836,NA,NA,0.1567,NA,1000.7,0,0.75,29.293333333333,NA,0,0.245707852519,0.4272,0.00068402571936705,545.1,557.8,0.79401219074937,0.44259018686919,20.1,0,0,3.2467986030268,1.770979181946,0,NA,NA,NA,0.11699650756694,20.9,21.97,442.9,63459,NA,15.2,36.697368421053,0,0,1.6279485928095
"10",2002-12-31,0,0,0,NA,NA,0,0,0,NA,NA,0,0,NA,0,NA,0,0,0,0,0,NA,0,NA,NA,NA,0.1467,0,0,NA,0.54,25,NA,0,0.13840155945419,0.2629,NA,0,0,NA,NA,0,0,NA,NA,NA,0,NA,0,NA,NA,0,13.5,0,NA,0,NA,NA,0,NA,NA
