"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-28,107,1.69,0.5588,0,387.8,531.7,39.4,195.8,0.2995,0.4836,0.3683,2.94,0.76,NA,17.9,0,0,51,50.53,68,0,457.9,2.38,1.08,9.06,6.69,1.13,NA,0.075,26.09,653.7,0.1444,NA,NA,NA,0.3454,0.057,0.5848,0,192,653.7,0,0,-81.7,-0.2018,68.1,0.1682,NA,1.69,0.1248,1.61,24.44,0.4838,404.9,0.2632,-0.2107,246.1,5.81,0,1054951,422.4,-66.5,NA,422.4,1.2,1.69
"2",2010-12-28,102.5,1.13,0.5751,0,410.7,551.5,20.7,281.7,0.41426470588235,0.61993838028169,0.51078875793291,-5.8563,0.52164840897235,NA,15.6,0,0,-27.4051,-27.4051,-11.8051,0,398.3,3.0875968992248,0.9717004147353,NA,NA,0.87654049295775,NA,0.035,-26.6488,680,0.093744333635539,NA,NA,0.3892,0.30715123094959,0.048,0.6034,0,129,680,0,0,-27.9,-0.061399647887324,59.8,0.13160211267606,NA,1.6557097638179,-0.060310563380282,1.4964788732394,-0.7563,NA,454.4,-0.21244279069767,-0.067932797662527,234.9,6.28,0,1334928,409.9,-65.1,NA,409.9,1.2,1.6557097638179
"3",2009-12-28,96.9,1.42,0.6748,0,368.5,491.9,15.4,253.2,0.24068441064639,0.81915237787124,0.51473876804229,20.608,0.44457617071725,NA,16.5,0,0,-89.6022,-89.6022,-73.1022,0,798.8,6.928013876843,1.8685380116959,NA,NA,2.5842769330314,NA,0.105,-109.1101,1052,0.088839194958325,-0.03,NA,-0.4213,0.38709677419355,0.066,0.6152,0.0020329335230738,115.3,1052,0,0,-86.6,-0.28016823034617,53.8,0.17405370430281,NA,2.8548168249661,-0.28988078291815,3.4034293109026,19.508,NA,309.1,-0.77712185602775,-0.23500678426052,191.8,10.33,0,1633366,427.5,-43.9,NA,427.5,1.2,2.8548168249661
"4",2008-12-28,94.2,NA,NA,0,405.5,507.1,22.9,235,0.27533684827182,0.45261941448382,0.46341944389667,-21.1657,NA,10.84498094028,13,0,0,73.4,70.9462,86.4,0.03343,618.5,3.6275659824047,1.9431354068489,8.4264305177112,7.1585648148148,1.1912557781202,NA,NA,82.2119,853.5,0.092289489252613,NA,NA,1.0536,0.2983970406905,0.141,0.483,0.0025635969236837,170.5,853.5,0,0,78.7,0.15157935285054,54.7,0.10535439137134,0,2.1048088779285,0.14137134052388,1.643875192604,-11.2657,-0.15879203103768,519.2,0.41610696774194,0.1940813810111,160,8.87,0,636804,318.3,-65.7,NA,318.3,1.1,2.1048088779285
"5",2007-12-28,91.6,NA,NA,0,294.6,529.2,20.2,272.4,0.33935467796188,1.1077673851159,0.51473922902494,35.4819,NA,NA,9.8,0,0,-30.7507,-30.7507,-20.9507,0,530.3,23.887387387387,1.0693688243597,NA,NA,2.1565677104514,0.2,NA,-76.6326,802.7,0.069916855631141,-0.05,NA,NA,0.4698905109489,NA,0.4961,0.0028344671201814,22.2,802.7,0,0,-55.3,-0.22488816592111,-34.9,-0.14192761285075,NA,2.724711473184,-0.12505359902399,3.2643350955673,45.8819,NA,245.9,-1.3851657657658,-0.1877121520706,119.5,8.96,0,679188,495.9,81.5,9.8490797546012,495.9,NA,2.724711473184
"6",2006-12-28,9.1,NA,NA,0.66666666666667,-311,230.5,19.9,29.6,0.024010382868267,0.5085910652921,0.12841648590022,NA,NA,NA,7.5,0,0,-85.5404,-85.5404,-78.0404,0,1203.2,NA,NA,NA,NA,20.6735395189,0.46,NA,NA,1232.8,0.11583514099783,0.01,1116,NA,0.36332651670075,NA,0.2439,0.0078091106290672,-312.2,1204.4,0.023580205911657,0.023036988968202,-89.9,-1.5446735395189,-7.4,-0.12714776632302,NA,NA,-1.4697659793814,20.694158075601,NA,NA,58.2,NA,NA,72.3,11.16,28.4,2870743,NA,NA,NA,NA,NA,NA
