"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,0,NA,0.2175,NA,0,NA,2.42,9.95,NA,NA,0.3348,NA,0.8322,NA,NA,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,24.09,0,561564,NA,NA,NA,NA,0.95,NA
"2",2008-12-31,93,0.55,0.4728,0.24624086467113,2691.9,8730.1,145.3,1117.1,0.28113753617717,0.12795958809177,NA,0.28764805414552,NA,0,0.0261,80.756,NA,NA,NA,0.35842,2856.4,1.163882324179,0.1,NA,3973.5,0.076207603578424,2.18,15.188073394495,-0.24,NA,0.27765321375187,NA,0.788,0.40986930275713,2454.2,3094.1,0.28421835105523,0.22131621995722,-26.3,0,NA,1.1494111965526,NA,NA,NA,NA,-0.009770050893421,6080.6,33.11,879.4,1048745,NA,153.3,20.183300717547,NA,0.85,1.112620054322
"3",2007-12-31,91.8,0.29,0.4072,0.16015756893641,2984.8,8647.9,229.1,1360.6,0.42045735475896,0.15733299413731,NA,0.39292730844794,NA,0,0.030292485375731,80.784,0,0,0,0.28731,1875.4,0.85501960426735,0.07,NA,3236,0.087350686293782,1.17,24.692307692308,0.04,NA,0.5120533424517,NA,0.7668,0.41156812636594,2193.4,2666.8,0.2134393280336,0.17589616810878,-3.1,0,NA,0.89346019833825,NA,NA,NA,0,-0.0010385955507907,7812,28.89,569.2,1377837,NA,-4.5,NA,NA,1,0.91052335396736
"4",2006-12-31,96.5,0.16,0.2783,0.19951502424879,3202.1,8224.3,219.8,1516.8,0.36918583424607,0.18442906995124,NA,0.4599353215954,11.50643030935,0,0.025652489125181,84.92,0,0,0,0.36874,2591.7,1.0436095675284,0.1,NA,4108.5,0.090183967024549,1.22,25.106557377049,0.195,NA,0.3164164879676,NA,0.7795,0.38534586530161,2483.4,3310.4,0.2410886901885,0.19425581112328,287.7,0,0.29516857838026,1.0338215546048,1.150643030935,NA,NA,0,0.089847287717435,8244.3,30.63,798.1,1001640,NA,166.5,19.882282282282,NA,0.8,1.0270736463177
"5",2005-12-31,95.9,0.92,0.2218,0.21281386641531,3006.5,7598.6,200.9,1651.5,0.3478160144897,0.21734266838628,NA,0.64923354373309,8.1092107974449,0,0.017545357524013,69.048,0,0,0,0.35911,3096.7,1.4284989390165,0.13,NA,4748.2,0.09021398678704,3.65,11.145205479452,0.185,NA,0.1385948026949,NA,0.7031,0.37885926354855,2167.8,3935.4,0.20653554911826,0.17118065793353,485.3,0,0.14227900267876,1.308963911525,0.6237854459573,NA,NA,0,0.16141692998503,7816.1,40.68,812.8,355300,NA,399.9,9.84096024006,NA,0.9,1.2432121069306
"6",2004-12-31,90.1,0.37,0.196,0.22814712701297,NA,6208.4,201.8,1431.1,0.2812862393616,0.23051027639972,0,0.37755102040816,12.487825837869,0,0.015880017644464,64.872,NA,NA,NA,0.35908,3656.6,2.076787641279,0.13,NA,5087.7,0.095580181689324,4.87,9.3100616016427,0.145,0,0.24528301886793,NA,0.6768,0.3387829392436,1760.7,4359.5,0.16703750430095,0.14312950842227,349.1,0,0.18582641077055,1.769564864426,0.96060198752837,201.8,NA,NA,0.1417031985712,6570.7,45.34,728.2,262400,NA,438.2,9.9486535828389,0,0.85,1.5939908515571
"7",2003-12-31,78.8,0.43,0.2127,0.24161723762256,NA,4892.1,99,1171.5,0.31601521404872,NA,0,0.40432534085567,6.8920177383592,0,0.017226528854436,47.28,NA,NA,NA,0.34815,2535.6,1.9403122130395,0.125,NA,3707.1,0.097708550520227,3.85,9.0467532467532,0.125,0,0.18022274721566,NA,0.5604,0.34324727622085,1306.8,3108.3,0.19264549753885,0.16152787893502,451,0,0.10483370288248,1.6537909018356,0.55136141906874,99,NA,NA,0.23995743548816,6072.2,34.83,598.8,149500,NA,372.8,8.3377145922747,0,0.9,1.4958237501513
"8",2002-12-31,73.6,0.09,0.4212,0.26500053861898,NA,3398,94.7,939.2,0.33453250222618,NA,0,0.047,9.8784129692833,0,0.019071474843446,44.16,0,0,0,0.33318,1868.3,NA,0.1333,-94.7,2807.5,0.12745732783991,5.17,5.8355899419729,NA,0,0.18243754731264,NA,0.6244,0.27645673925839,917.4,2315.5,0.21248110559274,0.17524487978629,234.4,0,0.18839590443686,1.6968342371391,0.74106623925606,94.7,0,0,0.17177194782354,4633.3,30.17,492,460316,0,439.7,5.2660905162611,0,0.9,2.0365162415522
"9",2001-12-31,NA,0.02,0.4614,0.3181,NA,2837.3,141.8,672.8,0.3075516547815,NA,0,0.0091,9.9958158995816,0,0.0171,28.5963,NA,NA,NA,0.35656,1514.8,NA,0.1317,NA,2187.6,0.16670778557079,2.87,7.9407665505226,0.255,NA,0.18505427922242,0,0.6188,0.26109329291932,946.9031,1672.3,0.30813849189739,0.23555494605961,167.3,0,0.17092845188285,1.5140787686736,0.75898374332434,141.8,NA,NA,0.15147125396107,3663,22.79,515.3,409900,0,212,7.8882075471698,0,1,2.3102680728366
"10",2000-12-31,NA,1.05,0.5287,0.093440478415249,NA,2199.7,158.5,300.9,0.22634271099744,NA,NA,0.59580102137318,14.956204379562,0,0.014553440702782,17.892,NA,NA,NA,0.35554,1028.5,NA,0.13,NA,1329.4,0.19779969995909,NA,10.601123595506,NA,NA,0.37053485228809,NA,0.6305,NA,669.3,1229.4,0.081340491296567,0.075221904618625,82.2,0,0.21766423357664,1.4127786715697,115.04772599663,158.5,NA,NA,0.09446104343829,NA,18.87,100,NA,NA,152.3,8.0722258699934,NA,NA,1.3702329416615
