"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,36.8,1.17,0.3395,0.2975,220.1,2423.5,0,39.1,0.1025,0.0161,NA,0.8,16.1,0,0.0102,2.94,75,48.17,75,0.3577,0.3561,342.3,1.25,4.56,4.56,0.1,48.17,381.4,0,0.53,14.09,NA,NA,0.1792,0.6495,0.0014,274.2,288.2,0.3234,0.2444,17.9,0,0.1247,1.31,1.61,0,0,NA,0.1757,0.0813,8,7.47,93.2,56471,NA,23.6,12.21,NA,1,1.22
"2",2010-12-31,36.6,1.16,0.4836,0.31603933536792,201.7,2395.1,0,15.9,0.053,0.0066385537138324,NA,0.49110835401158,NA,0,0.0072,1.489,77,77,77,0,NA,284.1,1.0182795698925,3.6896103896104,3.6896103896104,0.1,77,300,0,NA,NA,NA,NA,0.2491103202847,0.6747,0.0017118283161455,279,206.8,0.45067698259188,0.31066666666667,-22.6,0,NA,1.0252850768468,NA,0,0,NA,0.27598566308244,-0.11204759543877,12.3,5.77,93.2,104822,NA,-0.9,NA,NA,0.95,1.0172939979654
"3",2009-12-31,36.5,0.62,0.5772,0.36012364760433,165.6,2466,0,29,0.092859430035222,0.011759935117599,NA,0.41146916146916,NA,0,0.0067,1.468,82.5,82.5,82.5,0,NA,283.3,1.2328111401219,3.4339393939394,3.4339393939394,0.11,82.5,312.3,0,NA,NA,NA,NA,0.32216905901116,0.6474,0.0019870235198702,229.8,219.1,0.42537654039251,0.29843099583734,-83,0,NA,1.3230676328502,NA,0,0,NA,0.35900783289817,-0.5012077294686,19.7,6.08,93.2,102508,NA,-14.6,NA,NA,0.95,1.2067233384853
"4",2008-12-31,23.2,0.62,0.5594,0.33190883190883,187.6,2684.3,0,35.9,0.13839629915189,0.013374064001788,NA,0.2860207365034,127.84615384615,0,0,0,88.3,88.3,88.3,0,NA,223.5,0.91261739485504,2.5311438278596,2.5311438278596,0.11,NA,259.4,0,NA,NA,0.045,NA,0.42918454935622,0.595,0.019334649629326,244.9,166.2,0.56077015643803,0.35929067077872,1.3,0,0,0.88592750533049,11.622377622378,NA,NA,NA,0.36055532870559,0.0069296375266524,34.7,4.75,93.2,170534,NA,-46.3,NA,NA,1,0.92378917378917
"5",2007-12-31,23,0.42,0.4366,0.27609942638623,189.3,2391,0,46,0.16197183098591,0.019238812212463,NA,0.38479157123225,9.2086956521739,0,0,0,87.8,55.0269,87.8,0.37327,NA,238,1.1044083526682,2.7107061503417,2.7107061503417,0.12,NA,284,0,0.59,16.610169491525,0.115,NA,0.51512287334594,0.5132,0.019029694688415,215.5,211.8,0.34088762983947,0.25422535211268,23,0,0,1.1188589540412,0.76739130434783,NA,NA,NA,0.25534521577726,0.12150026413101,44.9,9.8,72.2,41769,NA,15.5,13.664516129032,NA,1.05,1.0860420650096
"6",2006-12-31,22.7,0.61,0.2195,0.30736483610047,162.7,2112.4,0,39,0.089882461396635,0.01846241242189,NA,0.58314350797267,15.864035087719,0,0,0,85.8,54.2136,85.8,0.36814,NA,394.9,2.0158244002042,4.6025641025641,4.6025641025641,0.14,NA,433.9,0,1.02,13.735294117647,0.1,NA,0.22054380664653,0.4791,0.019929937511835,195.9,361.7,0.19961293889964,0.16639778750864,22.8,0,0,2.2231100184388,1.1331453634085,NA,NA,NA,0.27674113323124,0.14013521819299,33,14.01,72.2,104815,NA,23.1,15.658008658009,NA,0.8,1.8471690080885
"7",2005-12-31,22.3,0.6,0.2213,0.45114595898673,136.5,1933.1,0,50.7,0.082992306433131,0.026227303295225,NA,0.46995029371893,24.935,0,0,0,69.7,44.7174,69.7,0.35843,NA,560.2,2.8292929292929,8.0373027259684,8.0373027259684,0.185,NA,610.9,0,1.01,21.821782178218,0.03,NA,0.140409328891,0.2557,0.021468108219958,198,498.7,0.22498496089834,0.18366344737273,20,0,0,3.6534798534798,1.3478378378378,NA,NA,NA,0.2258456010101,0.14652014652015,18.5,22.04,112.2,37742,NA,23.2,21.495689655172,NA,0.65,2.4563731403297
"8",2004-12-31,22,0.12,0.2749,0.48847926267281,NA,1699.6,0,32.3,0.061232227488152,0.019004471640386,0,0.087304474354311,23.346590909091,0,0,0,NA,NA,NA,0.36727,NA,495.2,2.3992248062016,NA,NA,0.17,NA,527.5,0,NA,NA,NA,0,0.14567644767593,0.165,0.024240997881855,206.4,410.9,0.2837673399854,0.22104265402844,17.6,0,0,3.3652743652744,1.3733288770054,0,NA,NA,NA,0.14414414414414,9.6,18.23,116.6,23905,NA,19.3,21.290155440415,0,0.6,2.2098868873062
"9",2003-12-31,20.7,0.06,0.2802,0.58535528596187,NA,1403.9,0,34.7,0.060222145088511,NA,0,0.042826552462527,33.930769230769,0,0,0,NA,NA,NA,0.36368,NA,541.5,2.7613462519123,NA,NA,0.175,NA,576.2,0,0.77,27.155844155844,NA,0,0.31824860417279,0.1519,0.026853764513142,196.1,441.1,0.30627975515756,0.23446719888928,13,0,0,4.6091954022988,1.9389010989011,0,NA,NA,NA,0.13584117032393,10.1,20.91,135.1,37981,NA,14.8,29.804054054054,0,0.55,2.4965337954939
"10",2002-12-31,13.3,0.08,0.2885,0.3815987933635,NA,1118.6,0,33.3,0.10850439882698,NA,0,0.0618,23.3,0,0.012454155286773,3.192,38.6,24.042,38.6,0.37715,NA,273.6,NA,7.0880829015544,7.0880829015544,0.15,24.042,306.9,0,0.9,20.455555555556,NA,0,0.19876733436055,0.1283,0.0078669765778652,99.3,256.3,0.19742489270386,0.16487455197133,11,0,0.29018181818182,3.1256097560976,1.5533333333333,0,0,0,0.24211490433031,0.13414634146342,13.5,18.41,50.6,8468,0,12,21.358333333333,0,0.5,2.7552870090634
