"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,39.7,NA,NA,0,109.3,153.5,0.5,21.5,0.1362,0.3076,0.1401,-7.33,NA,22.56,3.2,0,0,7,6.8,10,0,0,136.4,1.55,1.27,20.06,13.64,1.95,16.83,157.9,0.0117,-0.09,0.1931,NA,0.0497,0.527,87.8,157.9,0,0,7,0.1001,-13.7,-0.196,0,1.44,0.0973,2.26,-10.03,-1.475,69.9,0.0774,0.064,23.1,4,0,105237,107.3,10.6,14.9,107.3,0.85,1.44
"2",2010-12-31,22,NA,NA,0,34,55.1,0.7,16.2,0.23478260869565,0.31034482758621,0.2940108892922,-1.7253,NA,11.129032258065,0.8,0,0,6.7,6.5131,7.5,0.02789,0.015873015873016,52.8,2.9662921348315,0.87853577371048,7.8805970149254,7.04,1.0114942528736,8.3384,69,0.021778584392015,0.1198,0.34659090909091,NA,0.0057,0.17422867513612,17.8,69,0,0,6.2,0.11877394636015,-11.4,-0.2183908045977,0,2.0294117647059,0.12835249042146,1.3218390804598,-1.8253,-0.28024703861163,52.2,0.36590657303371,0.18235294117647,15.6,3.76,0,15668,60.1,6.6,10.454545454545,60.1,0.8,2.0294117647059
"3",2009-12-31,21.6,NA,NA,0,26.3,45.8,0.3,11.2,0.22178217821782,0.24507658643326,0.24454148471616,-0.8114,NA,12.02380952381,0.7,0,0,5.4,5.0853,6.1,0.05828,0.066666666666667,39.3,2.6026490066225,0.79716024340771,7.2777777777778,6.4426229508197,0.85995623632385,6.2967,50.5,0.019650655021834,0.0498,0.44469525959368,NA,0.0038,0.18777292576419,15.1,50.5,0,0,4.2,0.091903719912473,-10.3,-0.2253829321663,0,1.9201520912548,0.11816192560175,1.1050328227571,-1.2114,-0.23821237967224,45.7,0.3367740397351,0.15969581749049,13.8,2.3,0,15879,49.3,5.7,8.859649122807,49.3,0.75,1.9201520912548
"4",2008-12-31,21.6,NA,NA,0.20512820512821,21.7,45.2,0.8,7.9,0.19174757281553,0.1816091954023,0.17477876106195,-0.2092,NA,NA,0.9,0,0,2.5,1,3.4,0.6,NA,33.3,1.7164948453608,0.74330357142857,13.32,9.7941176470588,0.76551724137931,1.3092,41.2,0.024336283185841,0.0245,0.44927536231884,NA,0.0024,0.19026548672566,19.4,35.6,0.15730337078652,0.13592233009709,-0.3,-0.0068965517241379,-7,-0.16091954022988,NA,1.6405529953917,0.057471264367816,0.8183908045977,-0.3092,-0.30919540229885,43.5,0.051546391752577,-0.013824884792627,14.6,1.57,5.6,6587,44.8,3.9,9.1282051282051,44.8,0.75,1.5091575091575
"5",2007-12-31,21.5,NA,NA,0.40489130434783,21.9,52.5,0.2,13.1,0.23905109489051,0.30896226415094,0.24952380952381,0.0375,NA,NA,4,0,0,0.8,0.8,4.8,0,NA,41.7,1.7594936708861,0.97658079625293,52.125,8.6875,0.98349056603774,4.5625,54.8,0.022857142857143,-0.3269,0.49068322981367,NA,0.0033,0.16380952380952,23.7,39.9,0.3734335839599,0.27189781021898,-2.5,-0.058962264150943,-5.3,-0.125,NA,1.8219178082192,0.018867924528302,0.94103773584906,-3.7625,-4.703125,42.4,0.033755274261603,-0.11415525114155,16,2,14.9,700,42.7,-2.4,NA,42.7,0.5,1.4891304347826
"6",2006-12-31,15.2,NA,NA,0.86734693877551,3.9,45.6,0.3,3.1,0.060665362035225,0.069977426636569,0.067982456140351,-0.0045,NA,NA,5.8,0,0,-0.5,-0.5,5.3,0,NA,48,1.8250950570342,1.0859728506787,NA,9.0566037735849,1.0835214446953,5.0045,51.1,0.032894736842105,-0.0494,0.50617283950617,NA,0.1754,0.20614035087719,26.3,25.6,0.99609375,0.49902152641879,-3.8,-0.085778781038375,-2,-0.045146726862302,NA,6.5641025641026,-0.011286681715576,0.57787810383747,-5.5045,NA,44.3,-0.019011406844107,-0.97435897435897,16,1.5,25.5,1971,44.2,-1.1,NA,44.2,0.6,1.7380952380952
"7",2005-12-31,12.8,NA,NA,0.9,3.6,51.9,0.4,12,0.23255813953488,0.30456852791878,0.23121387283237,0.2728,NA,NA,5.2,0,0,-4.4,-4.4,0.8,0,NA,39.6,1.65,0.94510739856802,NA,49.5,1.005076142132,0.1272,51.6,0.032755298651252,-0.244,0.34615384615385,NA,0.0056,0.1907514450867,24,19.2,1.6875,0.62790697674419,-9.1,-0.23096446700508,-4.3,-0.10913705583756,NA,5.3333333333333,-0.11167512690355,0.48730964467005,-4.5272,NA,39.4,-0.18333333333333,-2.5277777777778,19,1.5,32.4,7500,41.9,-2.7,NA,41.9,0.8,1.4333333333333
"8",2004-12-31,11.7,0,0,0.77169811320755,NA,68.7,0.4,22.1,0.37777777777778,0.53125,0.3216885007278,0.0649,NA,NA,4.3,0,0,-0.801,-0.801,3.499,0,NA,36.4,1.1779935275081,0.875,NA,10.403091204244,0.76150627615063,3.0341,58.5,0.034934497816594,-0.145,0.49367088607595,NA,0.0022,0.12518195050946,30.9,17.6,2.3238636363636,0.6991452991453,-4.3,-0.089958158995816,-0.5,-0.010460251046025,NA,1.4545454545454,-0.016758158995816,0.36820083682008,-3.8351,4.7877090326509,47.8,-0.025923624595469,-0.35537190082645,21.8,1.54,40.9,4981,41.6,-7.6,NA,41.6,1.3,1.1037735849057
"9",2003-12-31,11,0,0,0.39667458432304,NA,76.7,0.8,32.8,0.76635514018692,0.66666666666667,NA,0.1304,NA,NA,3.9,0,0,2.3953,2.3953,6.2953,0,NA,10,1.0752688172043,0.20325203252033,4.1747726836274,1.5884765556745,0.19120458891013,5.3649,42.8,0.040417209908735,0,0.56342182890855,NA,0.005,0.25945241199479,9.3,26.1,0.63984674329502,0.39018691588785,-2.2,-0.04206500956023,-2.2,-0.04206500956023,NA,1.0275590551181,0.0458,0.49904397705545,-2.9696,-1.2397398575414,52.3,0.25756344086021,-0.086614173228346,25.2,2.651,16.7,2360,49.2,-3.2,NA,49.2,1.4,1.0166270783848
"10",2001-12-31,NA,1.52,0.8762,0.7869,NA,70.5,0.5,16.1,0.25195618153365,0.25394321766562,NA,0.0913,0.3032,NA,8.8,0,0,-4.5293,-4.5293,4.2707,0,NA,47.8,NA,NA,NA,11.192544547732,0.75394321766562,3.6794,63.9,0.058156028368794,-0.1816,0.41968911917098,0,0.0542,0.10780141843972,29.133,25,0.956,0.37402190923318,-18,-0.28391167192429,1.954,0.030820189274448,NA,3.8461538461538,-0.071440063091483,0.39432176656151,-8.2087,NA,NA,-0.15546974221673,-2.7692307692308,33.2,0.91,23.9,170700,63.4,-0.2,NA,66.4,1.55,2.1933889403769
"11",2000-12-31,NA,1.7,0.8762,0.36041358936485,NA,92.4,3.7,19.9,0.43449781659389,0.27372764786795,NA,-0.3838,0.58205889066423,NA,7,0,0,-28.18579,-28.1858,-21.1858,0,NA,25.9,NA,NA,NA,NA,0.35625859697387,-23.5818,45.8,0.072510822510822,-0.2608,0.51515151515152,NA,0.0717,NA,23.4,21.4,1.1401869158878,0.53275109170306,-36.8,-0.50618982118294,5,0.068775790921596,NA,1.1322751322751,-0.3877,0.29436038514443,-4.604,NA,NA,-1.2045209401709,-1.94708994709,55.7464,1,24.4,NA,72.7,-43.4,NA,57.4,NA,1.0577367205543
"12",1999-12-31,NA,1.35,0.8762,0.13902847571189,NA,85.1,2.2,8.7,0.31521739130435,NA,NA,NA,0.23111161835197,1.4732824427481,6,0,0,17.3,19.8798,25.8798,-0.14912280701754,NA,18.9,NA,NA,1.0924855491329,0.7302986137003,0.21976744186047,25.0445,27.6,0.061104582843713,0.2085,0.93670496060566,NA,0.4532,NA,51,19.3,0.4300518134715,0.30072463768116,NA,-0.091860465116279,NA,0.25116279069767,0,0.37548638132296,0.20116279069767,0.22441860465116,NA,-0.19114856815073,NA,0.38980048159615,-0.15369649805447,34.9,NA,NA,NA,NA,-7.9,NA,86,NA,0.46231155778895
