"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,34.4,1.44,0.4175,0,271.3,377.8,9.9,185.1,0.7011,0.5514,0.4899,4.63,0.8,NA,16.9,0,0,-10,-9.6,7,0,78.9,0.92,0.29,NA,10.81,0.24,NA,-0.01,-7.23,264,0.0993,NA,NA,0.1,0.2537,0.402,0.4491,0.0164,86.2,264,0,0,-27.1,-0.0807,-24.3,-0.0724,NA,0.97,NA,-0.0286,0.79,-2.37,NA,335.7,-0.1114,-0.0999,218.7,7.56,0,49894,271.8,-54.5,NA,271.8,NA,0.97
"2",2010-12-31,34,1.21,0.4223,0,412.7,565.4,12.9,334.3,1.251122754491,0.83221309434902,0.59126282278033,5.7834,NA,NA,23.4,0,0,-14.8,-14.8,8.6,0,-67.1,-0.85586734693878,-0.18992357769601,NA,NA,-0.16704007966144,NA,-0.025,-10.0834,267.2,0.076759816059427,NA,NA,-0.2909,0.42715231788079,NA,0.3427,0.00884329678104,78.4,267.2,0,0,-25.9,-0.064475977097336,-48,-0.11949215832711,NA,0.64744366367822,NA,-0.036843415484192,0.66517301468758,-4.7166,NA,401.7,-0.18877551020408,-0.062757450932881,271.8,7.5,0,112651,353.3,-21.7,NA,353.3,NA,0.64744366367822
"3",2009-12-31,135.1,1.15,0.4181,0,375.8,606.9,16.8,334.9,0.60071748878924,0.5955895429486,0.55182072829132,11.4044,0.6577373834011,NA,31.5,0,0,-61.6955,-61.6955,-30.1955,0,222.6,5.4425427872861,0.49532710280374,NA,NA,0.39587408856482,NA,-0.03,-58.4,557.5,0.09408469270061,NA,NA,-0.0753,0.3525,0.399,0.3862,0,40.9,557.5,0,0,-36.2,-0.064378445669571,-56.8,-0.10101369375778,NA,1.4835018626929,NA,-0.10971991819313,0.99146363151343,-3.2956,NA,562.3,-1.5084476772616,-0.096327833954231,401.8,4.2,0,569527,449.4,-59.5,NA,449.4,1.1,1.4835018626929
"4",2008-12-31,134.4,1.17,0.3868,0,553.6,789,29.5,370.7,0.71980582524272,0.61292989417989,0.46983523447402,6.0756,0.45501551189245,NA,46,0,0,-94.7469,-94.7469,-48.7469,0,144.3,0.78895571350465,0.25342465753425,NA,NA,0.23859126984127,-0.025,0.055,-84.3225,515,0.079847908745247,NA,NA,0.1285,0.38914728682171,0.401,0.4233,0.22217997465146,182.9,515,0,0,-29,-0.047949735449735,-103.8,-0.17162698412698,NA,0.93027456647399,NA,-0.1566582010582,0.85152116402116,-10.4244,NA,604.8,-0.51802558775287,-0.052384393063584,446.6,3.71,0,695772,569.4,-60.7,NA,569.4,1.1,0.93027456647399
"5",2007-12-31,142.3,1.41,0.3619,0.10255358424777,875.1,1275.4,26.7,556.6,0.95816835944224,0.98062015503876,0.43641210600596,7.7136,0.48632218844985,10.5,45.2,0,0,-53.4302,-34.034,-8.2302,0.36302,24.3,0.058064516129032,0.039894926941389,NA,NA,0.042811839323467,-0.13,0.155,-23.2476,580.9,0.044299827505096,-0.12,NA,0.6476,0.44402277039848,0.382,0.5238,0.27693272698761,418.5,480.9,0.20794343938449,0.17214666896196,45.8,0.080690627202255,-105.5,-0.18587033121917,0,0.54953719574906,NA,-0.094133544749824,0.84725158562368,-10.7864,NA,567.6,-0.081323700826762,0.052336875785625,407.6,3.53,100,661816,609.1,80.4,5.9813432835821,609.1,1.1,0.59573377089529
"6",2006-12-31,163.3,1.31,0.3937,0.093475415965601,969.8,1303.4,13.8,678.9,0.64271513774496,1.7174298001518,0.52086849777505,33.8383,0.5486410972822,6.58608815427,21,0,0,-29.9338,-19.0858,-8.9338,0.3624,377.4,0.96546431312356,0.70357941834452,NA,NA,0.954717935745,-0.075,0.195,-45.7241,1056.3,0.036596593524628,0.1,60,0.2364,0.34416365824308,0.35,0.5353,0.23714899493632,390.9,956.3,0.10456969570219,0.094670074789359,145.2,0.36731596256008,-94.8,-0.23981785985328,0,0.98607960404207,NA,-0.075724209461169,2.4191753098912,26.6383,NA,395.3,-0.048825219053466,0.14972159208084,301.1,6,100,2027335,536.4,84.8,11.277122641509,536.4,1.35,0.98738081884464
"7",2005-12-31,166,1.03,0.396,0.10619093129447,841.7,1113,13.8,781.3,0.42535932055749,2.4032605352199,0.70197663971249,6.124,0.60606060606061,5.5613192443164,16.4,0,0,-25.1777,-18.3082,-8.7777,0.27284,1055.5,6.5804239401496,2.9875459949052,NA,NA,3.2466933251307,0.035,0.235,-21.8322,1836.8,0.02973944294699,0.49,22.326530612245,0.2526,0.25311203319502,0.3479,0.6841,0.11078167115903,160.4,1736.8,0.057577153385537,0.054442508710801,312.3,0.96062749923101,-70.6,-0.21716394955398,0,2.0634430319591,1.588948355519,-0.077446016610274,5.3423561980929,3.524,NA,325.1,-0.11414099957606,0.37103481050255,251.8,10.94,100,2022230,353.3,401.6,4.3247011952191,353.3,1.5,1.9505150260168
"8",2004-12-31,170.6,1.68,0.5032,0.20798668885191,NA,602.5,10,363.6,0.25221975582686,1.1579617834395,0.60348547717842,-13.4788,0.66772655007949,NA,15.3,0,0,-22.6876,-22.6876,-7.3876,0,1078,9.19795221843,3.4331210191083,NA,NA,4.0419947506562,NA,0.17,-3.9088,1441.6,0.047800829875519,0.15,51.733333333333,0.2678,0.32265112891478,0.327,0.491,0.19784232365145,117.2,1341.6,0.07453786523554,0.069367369589345,-23,-0.086239220097488,-76,-0.28496437945257,NA,3.5231092436975,NA,-0.085067829021372,5.0303712035996,-18.7788,0.82771308667454,266.7,-0.19358011945393,-0.060399159663865,191.6,7.76,100,1856343,314,-23,NA,314,1.8,2.9983361064892
"9",2003-12-31,164.2,2.1,0.6241,0.21436227224009,NA,580.9,9.1,373.6,0.30911798775443,1.5046314941603,NA,-14.2644,0.67296907546868,NA,12.4,0,0,-1.3966,-1.3966,11.0034,0,835,8.9881593110872,3.3628674989931,NA,75.885359487578,4.1254940711462,NA,0.145,16.1678,1208.6,0.051471854019625,0.02,326,0.0634,0.23850823937554,0.334,0.5257,0.16956446892753,92.9,1108.6,0.090203860725239,0.082740360747973,-14.7,-0.072628458498024,-62.9,-0.31077075098814,NA,3.02482946794,NA,-0.0069,5.4772727272727,-17.5644,12.576887115739,202.4,-0.015032938643703,-0.040109140518417,146.7,6.52,100,433839,248.3,-14.7,NA,248.3,1.85,2.5907824222937
"10",2002-12-31,157.7,2.33,0.7497,0,NA,462.1,6.3,309.1,0.36228316924519,1.6918445539135,NA,66.5,0.6832,NA,13.1,0,0,-10.9,-10.9,2.2,0,544.1,NA,NA,NA,247.31818181818,2.9781061850027,NA,0.075,-4.1,853.2,0.064921012767799,-0.04,NA,-0.0199,0.50934199837531,0.374,0.4265,0.13005842891149,40.7,853.2,0,0,-9.2,-0.050355774493705,-60.6,-0.33169129720854,NA,2.4391080617496,NA,-0.059660645867542,4.6699507389163,-6.8,NA,182.7,-0.26781326781327,-0.026300743281875,141.9,5.19,0,828997,194.5,NA,NA,194.5,1.9,13.36855036855
