"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,0,0.83,0.1855,NA,NA,NA,0,0,NA,NA,NA,NA,0.8,NA,0,NA,0,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,3.67,39.5,NA,0.0839,0.16,0.7664,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,144.96,0,390050,1817.9,827.5,NA,1817.9,0.95,NA
"2",2008-12-31,0,0.95,0.3267,NA,NA,NA,0,0,NA,NA,NA,NA,0.51423324150597,NA,0,NA,0,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,2.13,38.239436619718,NA,0.30471444998084,0.2,0.7552,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,81.45,0,2693354,1647.1,811.9,NA,1647.1,1.05,NA
"3",2007-12-31,0,0.76,0.2624,NA,0,0,0,0,NA,NA,NA,NA,0.64024390243902,NA,0,NA,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,2.05,38.780487804878,NA,0.32232258064516,0.25,0.698,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.5,0,2391554,1788.2,543.9,0,1788.2,1.05,NA
"4",2006-12-31,128.5,1.28,0.2017,0.092219253501741,2327.8,5204.8,247.3,707.6,0.070403756989632,0.77097406842449,0.13595142944974,33.1227,0.75359444719881,26.115949918345,183.1,0.026784783741532,257,385.4,385.4,568.5,0,9343,4.5009153097601,8.2857396239801,24.242345614945,16.434476693052,10.179777729353,NA,288.0773,10050.6,0.81420996003689,1.25,55.928,0.0465,0.26488529014845,0.27,0.649,0.035140639409776,2075.8,9595,0.047483064095883,0.045330627027242,367.4,0.4003050773589,-144.9,-0.15787753323164,0.69951007076756,4.1219176905232,0.4199171932883,10.454347352364,97.3227,0.25252388809548,917.8,0.18566335870508,0.15783142881691,18.8,69.91,455.6,1571109,1127.6,159.9,60.006253908693,1127.6,0.95,3.6109075231731
"5",2005-12-31,128.5,0.85,0.1769,0.16368470216282,4484.8,5204.8,247.3,707.6,0.054708520179372,0.77097406842449,0.13595142944974,23.8079,0.63312605992086,33.964071856287,183.1,0.0205955891781,257,385.4,385.4,568.5,0,12226.4,2.8884898884899,11.44151225903,31.723923196679,21.506420404573,13.321420788843,NA,297.3921,12934,0.81420996003689,2.29,42.576419213974,0.0465,0.18271783731596,0.36,0.6003,0.035140639409776,4232.8,12478.4,0.036511091165534,0.03522498840266,367.4,0.4003050773589,-144.9,-0.15787753323164,0.69951007076756,2.7823760256868,0.4199171932883,13.595990411854,88.0079,0.22835477947932,917.8,0.091050841050841,0.081921155904388,18.8,97.5,455.6,439800,1068.6,NA,NA,1068.6,0.7,2.6180066391385
"6",2004-12-31,128.5,0.07,0.1845,0.092219253501741,NA,5204.8,247.3,707.6,0.075893431721653,0.71251636290404,0.13595142944974,-11.8882,0.075880758807588,24.137180185084,183.1,0.029489826010027,257,385.3853,385.3853,568.4853,0,8616,1.3483990109237,8.6758634578592,22.356845351556,15.156064188254,9.3876661582044,NA,333.0735,9323.6,0.81420996003689,1.92,35.322916666667,0.0465,0.16612694300518,0.36,0.5471,0.035140639409776,6389.8,8868,0.051375732972485,0.048865245184264,367.4,0.4003050773589,-144.9,-0.15787753323164,0.69951007076756,3.809605636223,0.4199011985182,9.6622357812159,52.3118,0.13573900985034,917.8,0.060312579423456,0.081921155904388,18.8,67.82,455.6,284400,993.1,409.4,21.660967269174,993.1,0.6,1.8872156100721
"7",2003-12-31,0,0,0.2103,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,NA,0.0671,NA,0,NA,2.89,19,0,0.18177110305541,NA,0.48,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,54.91,0,173900,914.6,0,NA,914.6,0.6,NA
"8",2002-12-31,0,-0.03,0.1967,NA,NA,0,0,0,NA,NA,NA,0,-0.038,NA,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0.0683,0,0,NA,2.89,15.231833910035,0,0.23710504995949,NA,0.4515,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,44.02,0,240128,865.5,317.8,0,865.5,0.55,NA
"9",2001-12-31,NA,-0.17,0.1914,0,NA,0,0,0,NA,NA,NA,0,-0.1508,NA,0,0.0568,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0.0737,NA,0,NA,NA,NA,NA,0.16812843763936,0,0.4758,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,31.08,0,78800,0,294,0,831.9,0.65,NA
"10",2000-12-31,NA,0.65,0.1806,NA,NA,0,0,0,NA,NA,NA,NA,0.6,NA,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0.0827,NA,0,NA,NA,10.82334384858,NA,0.18350168350168,NA,0.4802,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,34.31,0,NA,NA,314.6,0,817.5,NA,NA
