"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,71.4,1.08,0.4283,0,236.1,257.1,2.3,247.6,0.5451,51.5833,0.963,4.69,0.63,NA,2,0,0,-1,-1.45,1,0,NA,206.6,89.83,NA,375.21,43.04,-6.44,454.2,0.0191,NA,NA,0.02,0.3611,NA,0.7771,0,-11.5,454.2,0,0,-86,-17.9167,-9,-1.875,NA,1.92,-0.302,94.63,4.99,NA,4.8,NA,-0.3643,21.8,6.5,0,567636,2.3,-99.2,NA,2.3,1.2,NA
"2",2010-12-31,52.3,1.11,0.5566,0.0047932893948472,166.1,186.7,3.6,177.3,0.30759888965996,1.4184,0.94965184788431,7.6928,0.53898670499461,15.187335092348,1.3,0,0,35.3,35.3,36.6,0,0,399.1,83.145833333333,11.305949008499,10.9043715847,3.1928,25.3072,576.4,0.024102838778789,NA,NA,NA,0.22790138304269,NA,0.9668,0,-10.4,575.6,0.0013898540653231,0.0013879250520472,37.9,0.3032,-8,-0.064,0,3.4653822998194,0.2824,4.6048,9.9928,0.2830821529745,125,NA,0.22817579771222,25.3,7.89,0.8,350635,4.8,-77.4,NA,4.8,1.2,NA
"3",2009-12-31,52,1.6,1.6236,0.017873100983021,109.9,140.7,0.1,133.3,0.32615610472229,166.625,0.94740582800284,-2204.8875,0.19247351564425,NA,1.4,0,0,NA,NA,NA,0,NA,275.4,2.1874503574265,NA,NA,344.25,NA,408.7,0.01634683724236,0.72,10.458333333333,NA,0.25541125541125,NA,0.8864,0,-21.4,406.7,0.0049176297024834,0.0048935649620749,-111.5,-139.375,-14.1,-17.625,NA,3.7006369426752,NA,508.375,-2206.1875,NA,0.8,NA,-1.0145586897179,20.9,7.53,2,253745,125.9,30,13.556666666667,125.9,1.25,NA
"4",2008-12-31,36.6,1.82,1.6316,0.031598513011152,104.2,143.9,2.5,134.5,0.26713008937438,NA,0.93467685892981,NA,0.12257906349596,NA,1.4,0,0,NA,NA,NA,0,NA,369,NA,NA,NA,NA,NA,503.5,0.025017373175816,NA,NA,NA,0.55755015839493,NA,0.9159,0,-26.9,500.1,0.0067986402719456,0.0067527308838133,-132.3,NA,-19.2,NA,NA,4.799424184261,NA,NA,NA,NA,NA,NA,-1.2696737044146,27,9.51,3.4,582537,NA,-119.8,NA,NA,1.25,NA
"5",2007-12-31,31.4,2.19,1.6245,0.021428571428571,82.2,115.8,0.9,108.3,0.3508260447036,8.5952380952381,0.93523316062176,-4.4905,0.12803939673746,NA,1.3,0,0,-79.483,-79.483,-78.183,0,NA,200.4,25.05,NA,NA,15.904761904762,-74.5925,308.7,0.022452504317789,-3.81,NA,-0.6979,0.72008232872684,NA,NA,0,-24.3,306.9,0.0058651026392962,0.0058309037900875,-74.3,-5.8968253968254,-12.3,-0.97619047619048,NA,3.7335766423358,-6.3081746031746,24.357142857143,-4.8905,NA,12.6,NA,-0.90389294403893,21.8,8,1.8,585590,8,-118,NA,8,1.3,NA
"6",2006-12-31,25.2,2.48,0.5253,0.026785714285714,87.2,113.2,0.9,104.5,0.13378568685188,3.1194029850746,0.92314487632509,-4.9866,0.42642299638302,NA,1.4,0,0,-43.064,-43.064,-41.664,0,NA,676.6,86.74358974359,NA,NA,20.197014925373,-37.5774,781.1,0.026501766784452,-0.42,NA,0.996,0.64718384697131,NA,0.9962,0,-14.9,778.7,0.0030820598433286,0.003072589937268,-37.6,-1.1223880597015,-6.5,-0.19402985074627,NA,8.9300458715596,-1.2854910447761,23.244776119403,-5.4866,NA,33.5,NA,-0.43119266055046,19.6,23.25,2.4,1047875,7.8,-70.7,NA,7.8,1.4,NA
"7",2005-12-31,24.8,1.63,0.6369,0.01985559566787,108.6,147.7,1.8,138.2,0.46329198793161,8.3757575757576,0.93568043331077,21.96,0.27633851468048,NA,1.1,0,0,-47.7983,-47.7983,-46.6983,0,NA,160.1,4.4104683195592,NA,NA,9.7030303030303,-70.4583,298.3,0.023696682464455,-0.64,NA,1.7634,0.26584867075665,NA,0.9511,0,-27.4,296.1,0.0074299223235393,0.0073751257123701,-45.3,-2.7454545454546,-18.3,-1.1090909090909,NA,2.7265193370166,-2.8968666666667,17.945454545454,22.66,NA,16.5,NA,-0.4171270718232,12.4,11.87,2.2,149721,36.3,-31.1,NA,36.3,1.1,NA
"8",2004-12-31,19.7,0,0,0.038602941176471,NA,78.8,1.5,71.4,0.3371104815864,6.1551724137931,0.90609137055838,-10.717,NA,NA,2.2,0,0,-56.4404,-56.4404,-54.2404,0,NA,140.4,12.103448275862,NA,NA,29.872340425532,-45.0233,211.8,0.035532994923858,NA,NA,-0.6773,0.5423467816446,NA,0.8243,0,-17,209.7,0.010014306151645,0.009915014164306,-56.3,-11.978723404255,-7.3,-1.5531914893617,NA,4.0095602294455,-12.008585106383,44.617021276596,-11.417,0.20228473559423,4.7,3.3200205882353,-1.076481835564,13.1,8.36,2.1,304111,11.6,-51.1,NA,11.6,1.25,3.8933823529412
"9",2003-12-31,14.8,0,0,0.080459770114942,NA,55.5,1.2,46.5,0.10069294066695,7.8813559322034,NA,1.0306,NA,NA,2.7,0,0,-38.2983,-38.2983,-35.5983,0,NA,415.3,70.389830508475,NA,NA,37.414414414414,-37.829,461.8,0.063063063063063,NA,NA,0,0.45509282488711,NA,0.6172,0,-3,458.3,0.0076369190486581,0.0075790385448246,-41.2,-3.7117117117117,-2.2,-0.1981981981982,NA,11.4575,-3.4503,41.288288288288,-0.4694,0.012255609301225,11.1,12.76611,-1.03,8.5,23.4,3.5,130857,5.9,-53.3,NA,5.9,1.25,10.616091954023
"10",2002-12-31,5.1,0,0,0.18327974276527,NA,44.3,1.6,27.3,0.31128848346636,1.7278481012658,NA,-7.2,0,NA,4.9,0,0,-37.072,-37.072,-32.172,0,NA,60.4,NA,NA,NA,3.8227848101266,-33.772,87.7,0.11738148984199,NA,NA,-0.1481,0.59387290416063,NA,0.0828,0,3.8,82,0.069512195121951,0.064994298745724,-37,-2.3417721518987,-1.4,-0.088607594936709,NA,3.2283464566929,-2.3463265822785,5.1898734177215,-3.3,NA,15.8,-9.7557789473684,-1.4566929133858,9.5,16.97,5.7,19151,12.6,-37.2,NA,12.6,1.3,15.894736842105
