"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-25,96,NA,NA,-9.7,350.5,16.1,13.7,0.0203,0.0254,0.0391,2.19,NA,19.68,28,0,0,107,87.5,135,0.1815,0.1802,661.2,3.39,1.32,6.19,4.9,1.23,0.19,97.2,674.9,0.3218,0.26,18.77,-0.115,0.1709,0.8721,0.2331,194.9,456.6,0.4781,0.3235,23.2,0.0431,-32.7,-0.0607,0,1.04,0.1985,0.85,-9.71,-0.111,538.5,0.4489,55.4,4.88,218.3,522309,502.4,18.9,24.16,502.4,1.3,3.24
"2",2010-12-25,99,NA,NA,-103.7,311.2,27.4,29.1,0.045334164200031,0.053053783044667,0.093508997429306,0.3852,NA,16.832599118943,29.6,0,0,106.9,100.7725,136.5,0.05732,0.058091286307054,612.8,4.8251968503937,1.1258497152306,5.732460243218,4.4893772893773,1.1172288058341,0.19,102.5873,641.9,0.41613110539846,0.32,11.75,-0.1201,0.17001338688086,0.9013,0.26799485861182,127,382.1,0.67992672075373,0.4047359401776,22.7,0.041385597082954,-50.3,-0.091704649042844,0,0.88592626941804,0.19489516864175,0.69662716499544,-1.8148,-0.018009284458501,548.5,0.79348418897638,55.6,3.76,259.8,607311,544.3,22.9,16.685589519651,544.3,1.3,4.1121076233184
"3",2009-12-25,96.6,NA,NA,-127.5,312.6,18.4,26.5,0.041393314589191,0.043578358822562,0.084772872680742,5.0288,NA,8.6923076923077,32.3,0,0,121.6,117.6371,153.9,0.03259,0.032558139534884,613.7,4.9253611556982,1.1095642740915,5.046875,3.9876543209876,1.0092090116757,0.19,126.5083,640.2,0.42066538707614,0.28,12.785714285714,-0.2076,0.29967426710098,0.7773,0.28023032629558,124.6,361.6,0.77046460176991,0.43517650734146,41.6,0.068409801019569,-55.6,-0.091432330208847,0,0.45748987854251,0.19996711067259,0.59463903963164,-8.8712,-0.07541179744003,608.1,0.94411762439807,57.3,3.58,278.6,736979,553.1,37.9,9.5408970976253,553.1,1.35,4.2369291859696
"4",2008-12-25,95.7,0.81,0.8078,-174,347.2,27.9,21,0.038328162073371,0.027620676048928,0.060483870967742,9.9059,0.26739291903937,14.986394557823,39.8,0,0,140.1,126.3002,179.9,0.0985,NA,526.9,3.973604826546,0.80763335377069,3.7608850820842,2.928849360756,0.69301591477048,0.19,128.2943,547.9,0.46082949308756,0.24,9.125,-0.1998,0.45882352941177,0.7811,0.28456221198157,132.6,220.3,1.4870630957785,0.59791932834459,14.7,0.01933447323425,-69.8,-0.091805866105485,0,0.78875760830648,0.18426936735499,0.28975404445614,-1.9941,-0.015788952326804,760.3,0.95248981900453,61,2.19,327.6,669747,652.4,20.4,10.799019607843,652.4,1.35,3.5670572916667
"5",2007-12-25,94.6,0.81,0.8078,-178.9,381.1,30.9,21.6,0.039618488628026,0.02299340004258,0.056678037260561,-13.6107,0.31691012626888,5.5417867435158,44.6,0,0,153.8,133.7891,198.4,0.13011,NA,523.6,3.4356955380577,0.65787159190853,3.4044213263979,2.6391129032258,0.55737704918033,0.24,161.0997,545.2,0.48438729992128,0.24,8.2916666666667,-0.0694,0.5637707948244,0.8606,0.28548937286801,152.4,192.3,1.8351534061362,0.64728539985327,34.7,0.036938471364701,-89.1,-0.094847775175644,0,0.23090778097983,0.16372152437726,0.20470513093464,-27.3107,-0.2041321707978,939.4,0.87788111548556,67.4,1.99,352.9,227374,795.9,35.5,5.4169014084507,795.9,1.6,3.1333333333333
"6",2006-12-25,93.2,0.81,0.8078,-224,443.9,32.3,26.2,0.031719128329298,0.02635814889336,0.059022302320342,-2.666,0.23768259470166,12.385382059801,55.3,0,0,194,130.4456,249.3,0.3276,NA,799.8,3.9399014778325,0.83018476230019,4.1226804123711,3.208182912154,0.8046277665996,0.3,156.1116,826,0.53232710069836,0.12,26,NA,0.22270742358079,0.9662,0.26334760081099,203,372.8,1.2156652360515,0.54866828087167,30.1,0.030281690140845,-86.6,-0.087122736418511,0,0.41284606866002,0.19517102615694,0.37505030181087,-25.666,-0.19675600966538,994,0.64258916256158,66.4,3.12,453.2,1054988,963.4,20.3,18.364532019704,963.4,1.2,3.6038394415358
"7",2005-12-25,91.8,0.81,0.8078,-265.4,512.9,47.2,28.2,0.028267842822775,0.028813732502299,0.05498147787093,1.5567,0.17826194602624,NA,56.1,0,0,182.5,182.5,238.6,0,NA,969.4,3.7255956956187,0.97613533380324,5.3117808219178,4.0628667225482,0.99049759885563,0.3,189.8433,997.6,0.56170793527003,0.03,157,-1e-04,0.35741935483871,0.8748,0.23747319165529,260.2,443.8,1.2478593961244,0.55513231756215,-7.3,-0.0074588740165526,-105.8,-0.10810258506182,NA,NA,0.18647185041381,0.45345866966384,-7.3433,-0.040237385069095,978.7,0.70138355111453,62.9,4.71,553.8,875323,993.1,23.2,19.129310344828,993.1,0.9,3.4590846047157
"8",2004-12-25,90,0.81,0.8078,NA,500.5,36.1,15.6,0.017118402282454,0.015934627170582,0.031168831168831,-2.0346,0.20054468927953,NA,56.6,0,0,171.016,171.016,227.616,0,NA,895.7,3.2954378219279,0.91491317671093,5.2375216354025,3.9351363700267,0.93302083333333,0.22,193.5506,911.3,0.57022977022977,0.03,134.33333333333,-0.5351,0.27835051546392,0.9205,0.25514485514486,271.8,358.5,1.5419804741981,0.60660594754746,-37.7,-0.039270833333333,-102.8,-0.10708333333333,NA,NA,0.17814166666667,0.3734375,-22.5346,-0.13176885983378,960,0.62919793966152,66.9,4.03,552.8,892696,979,-17,NA,979,0.8,NA
