"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-06-01,16,0.66,0.3734,0,200.2,231.4,0.2,148.9,0.8607,0.9436,0.6435,-1.58,0.44,21.63,1.1,0.0222,3.84,6,6.2,7,0,0,24.1,0.47,0.16,3.89,3.3,0.15,8.68,173,0.019,NA,NA,-0.145,0.0943,NA,0.8714,0.0069,51.3,173,0,0,8,0.0507,43.1,0.2731,0.4987,0.86,0.0393,1.1,-2.48,-0.4007,157.8,0.1209,0.04,40.6,11.32,0,17892,152,7.7,22.47,152,0.95,0.86
"2",2011-06-01,17.8,0.67,0.4569,0,224.2,314.1,0.5,223.1,1.0479098168154,1.4040276903713,0.71028334925183,-0.2542,0.51980739768002,106.45,2,0.0162,3.449,2.8,2.2651,4.8,0.19102,0.2,-10.2,-9.2727272727273,-0.062615101289134,NA,NA,-0.064191315292637,4.0194,212.9,0.01655523718561,NA,NA,-0.6777,0.14243323442136,NA,0.8375,0,1.1,212.9,0,0,2,0.012586532410321,-10.1,-0.063561988672121,1.72449,0.94959857270294,0.017621145374449,1.3398363750787,-1.7542,-0.77445317149306,158.9,2.0592218181818,0.0089206066012489,43.3,12.29,0,95328,162.9,2.5,85.16,162.9,0.95,0.94959857270294
"3",2010-06-01,17.7,1.41,0.6482,0.13052208835341,129.9,234.8,1.3,29,0.12769704975782,0.058967059780398,0.12350936967632,5.8309,0.3856834310398,12,3.9,0.0068,1.4117,22.2,22.2,26.1,0,0,198.1,1.6453488372093,0.38140161725067,8.9234234234234,7.5900383141762,0.40280601870679,18.9691,227.1,0.071124361158433,NA,NA,0.0012,0.39407008086253,NA,0.8698,0,120.4,207.6,0.09393063583815,0.085865257595773,17.3,0.035176901179341,103.9,0.21126474176495,0.0816,1.5981524249423,0.04514030093534,0.42212281415209,3.2309,0.14553634561768,491.8,0.1843853820598,0.13317936874519,95.8,11.69,19.5,91258,519.4,23.8,8.7226890756302,519.4,1,1.5200803212851
"4",2009-06-01,17.9,1.38,0.5779,0.3062536528346,118.7,248.8,1.2,43.9,0.2796178343949,0.088436744560838,0.17644694533762,-6.5149,0.26302128395916,NA,4.3,0.0137,1.433,-0.8,-0.8,3.5,0,NA,113.1,0.88915094339623,0.24218415417559,NA,32.314285714286,0.22784045124899,8.8149,157,0.077974276527331,NA,NA,-0.1265,0.4468085106383,NA,0.7742,0,127.2,104.6,0.50095602294455,0.33375796178344,-12.2,-0.024576954069299,110,0.22159548751007,NA,0.88121314237574,-0.0016116035455278,0.21071716357776,-9.6149,NA,496.4,-0.0062893081761006,-0.1027801179444,110.4,5.87,52.4,37115,467,-13.9,NA,467,0.95,0.91759205143191
"5",2008-06-01,17.9,1.8,0.5304,0.28259766615931,141.4,286.2,4.5,40,0.37037037037037,0.070372976776918,0.13976240391335,-2.1577,0.33182503770739,NA,5,0.027380497131931,1.432,10.3,10.3,15.3,0,NA,68,0.4328453214513,0.11766741650805,6.6019417475728,4.4444444444444,0.11963406052076,12.9577,108,0.099930118798043,NA,NA,0.0129,0.48335015136226,NA,0.8651,0.0052410901467505,157.1,52.3,1.0650095602295,0.51574074074074,-8.5,-0.014954257565095,129.1,0.2271287825475,NA,0.36987270155587,0.018121041520056,0.09201266713582,-2.6577,-0.25803140137876,568.4,0.065563335455124,-0.06011315417256,125.3,2.93,55.7,21234,577.9,-4.4,NA,577.9,1.1,0.54794520547945
"6",2007-06-01,17.8,1.22,0.3484,0.47072508724312,136.5,349.1,6.4,17.4,0.071020408163265,0.031221963036067,0.049842452019479,3.4765,0.39035591274397,38.625,5.6,0.023042071197411,2.848,4.3,2.9131,9.9,0.32253,NA,227.6,0.94636174636175,0.41578370478626,52.93023255814,22.989898989899,0.40839763143729,-1.3633,245,0.085075909481524,NA,NA,-0.1409,0.25186104218362,NA,0.8299,0.037811515325122,240.5,123.6,0.98220064724919,0.49551020408163,3.2,0.0057419702135295,195.7,0.35115736587116,0.89,0.90549450549451,0.0077157724744303,0.22178359949758,4.2765,1.4679987278676,557.3,0.012112769230769,0.023443223443223,128.2,6.55,121.4,16676,547.4,2.4,51.5,547.4,0.85,0.94998061264056
"7",2006-06-01,17.5,2.85,0.427,0.56355555555556,98.2,309.3,6.2,17,0.058580289455548,0.026649945132466,0.054962819269318,-1.8491,0.3559718969555,NA,6.2,0.017135862913097,2.8,16.2,8.1,22.4,0.6,NA,273.2,1.3134615384615,0.42323780015492,16.864197530864,12.196428571429,0.42828029471704,9.9491,290.2,0.10475266731329,NA,NA,0.0954,0.24546553808948,NA,0.6265,0.050113158745554,208,163.4,0.77600979192166,0.43694004135079,-2.6,-0.004075873961436,155.2,0.2432983226211,NA,1.6639511201629,0.025395830067409,0.25615300203794,-1.8491,-0.22827990764449,637.9,0.038942307692308,-0.026476578411405,139.6,9.11,126.8,214465,645.5,-5.5,NA,645.5,0.95,1.2897777777778
"8",2005-06-01,17.4,1.9,0.451,0.53633526526973,NA,287.8,7.1,24.5,0.10049220672683,0.040949356510112,0.085128561501042,5.3208,0.84257206208426,NA,5,0.022099447513812,2.784,8.2522,3.3009,13.2522,0.6,NA,219.3,1.0975975975976,0.36653852582317,26.574634977455,16.54815830996,0.37895282529808,-4.1199,243.8,0.11049339819319,NA,NA,-0.0876,0.28179824561403,NA,0.6036,0.025017373175816,199.8,123.5,0.97408906882591,0.49343724364233,-17.8,-0.03075859685502,157.1,0.27147053741144,NA,1.1875,0.014259944703646,0.21340936581994,7.4208,2.2481264256038,578.7,0.016520980980981,-0.17115384615385,128.7,7.24,120.3,38875,598.3,-17,NA,598.3,1.05,1.0869371377619
"9",2004-06-01,14.3,1.53,0.4164,0.62100045065345,NA,278.9,4.9,16.9,0.052680798004987,0.030039104159261,NA,13.1888,0.73487031700288,30.5,4.9,0.014911463187325,2.288,24.3407,17.1351,29.2407,0.29603,NA,303.9,1.4824390243902,0.54017063633132,12.485271570063,10.393055154668,0.58431070947895,3.9463,320.8,0.10971674435282,NA,NA,0.0964,0.30491195551437,NA,0.6552,0.020078881319469,205,183,0.75300546448087,0.42955112219451,6,0.011536243030187,161.4,0.31032493751202,0.38133333333333,2.1759809750297,0.0468,0.35185541242069,13.1888,0.76969514634638,520.1,0.08358589512,0.071343638525565,108.5,10.73,137.8,1835,562.6,6.3,29.047619047619,562.6,1.1,1.4456962595764
"10",2003-06-01,14,1.29,0.4001,0.64462040055892,NA,265.6,6.1,17.5,0.056781310837119,0.03767491926803,NA,-9.6,0.7099,NA,5.4,0.01319199057715,2.24,-1.7,-1.7,3.7,0,NA,290.7,NA,NA,NA,78.567567567568,0.62583423035522,-2.4,308.2,0.11709337349398,NA,NA,0.033,0.27549467275495,NA,0.718,0.019201807228916,197.2,169.8,0.8150765606596,0.44905905256327,-9.7,-0.020882669537137,167,0.35952637244349,NA,2.2254259501966,-0.0036598493003229,0.36555435952637,0.7,NA,464.5,-0.0086206896551724,-0.12712975098296,100.7,12.3,138.4,28143,475.2,-9.5,NA,475.2,1,1.4741379310345
