"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-29,67.3,2.82,0.6672,0,20.2,88.3,10.7,19.6,0.1201,0.0866,0.222,-0.36,0.8,NA,12.5,0,0,-6,-6.1,6,0,143.6,239.33,0.63,22.44,0.63,0.2,-3.94,163.2,0.5074,-0.02,0.58,0.4033,0.3126,0.0125,0.6,163.2,0,0,-8.3,-0.0367,-33.7,-0.1489,NA,8.08,-0.0269,0.72,-2.16,226.4,-10.1667,-0.4109,71.6,2.24,0,550503,228.8,-3.6,NA,228.8,1.3,8.08
"2",2010-12-29,63.7,2.61,0.878,0,27.9,100.1,10.2,29,0.32258064516129,0.11039208222307,0.28971028971029,5.7885,0.38439635535307,NA,14.6,0,0,-13.3,-13.3,1.3,0,60.9,NA,0.27151136870263,46.846153846154,0.23182337266844,0.15,-14.6885,89.9,0.49150849150849,NA,-0.2797,0.36649214659686,0.2776,0.012987012987013,-1.1,89.9,0,0,-16.7,-0.063570612866388,-39.6,-0.15074229158736,NA,3.2222222222222,-0.050628092881614,0.34221545489151,1.3885,262.7,NA,-0.59856630824373,76.3,1.31,0,515186,224.3,-12,NA,224.3,1.35,NA
"3",2009-12-29,52.7,2.47,0.9743,0.013605442176871,14.5,125.8,10.8,28.8,0.20310296191819,0.095490716180371,0.22893481717011,4.4854,0.35923226932156,NA,18.3,0,0,-10.2,-10.2,8.1,0,113,NA,0.41666666666667,13.950617283951,0.37466843501326,0.175,-7.1854,141.8,0.55882352941177,NA,-0.0876,0.42115027829314,0.3249,0.01510333863275,-14.1,141.6,0.0014124293785311,0.001410437235543,-23.9,-0.079244031830239,-44.5,-0.14754641909814,NA,9.7655172413793,-0.033819628647215,0.46949602122016,-3.0146,301.6,NA,-1.648275862069,71,2.27,0.2,640814,271.2,-17.4,NA,271.2,1.4,NA
"4",2008-12-29,54.7,2.2,0.903,0.36577708006279,40.4,145.7,30.2,20.8,0.18165938864629,0.060659084281132,0.14275909402883,4.4267,0.23034330011074,NA,24.7,0,0,-29.9121,-29.9121,-5.2121,0,93.7,2.1841491841492,0.30511234125692,NA,0.27325750947798,NA,-39.8388,114.5,0.65339739190117,NA,0.0404,0.7244094488189,0.1722,0.020590253946465,42.9,91.2,0.25548245614035,0.20349344978166,-149.2,-0.43511227763196,-42.4,-0.12365121026538,NA,2.2574257425743,-0.087232662583844,0.26596675415573,9.9267,342.9,-0.69725128205128,-3.6930693069307,93.8,1.68,23.3,436046,307.1,-54.6,NA,307.1,1.3,1.7974882260597
"5",2007-12-29,52.6,NA,NA,0,183.5,276.2,52.3,23,0.75163398692811,0.072509457755359,0.083272990586531,2.922,NA,1.7894736842105,19.2,0,0,-21.0398,-10.5199,-1.8398,0.51382,7.6,0.047352024922118,0.022261277094318,NA,0.023959646910467,NA,-46.5419,30.6,0.46669080376539,-1.63,NA,0.83219954648526,0.1385,0.31716147719044,160.5,30.6,0,0,17.1,0.05390920554855,-38.3,-0.12074401008827,0,0.16675749318801,-0.066329634300126,0.096469104665826,36.022,317.2,-0.065544423676013,0.093188010899183,90.6,0.43,0,615899,341.4,-73.9,NA,341.4,1.65,0.16675749318801
"6",2006-12-29,51.9,NA,NA,0,285.9,467.6,4.8,87.4,0.41638875655074,3.7835497835498,0.1869118905047,1136.7965,NA,NA,1.9,0,0,-7.6357,-7.6357,-5.7357,0,122.5,0.61712846347607,0.42877143857193,NA,5.3030303030303,NA,-1147.3323,209.9,0.18242087254063,NA,NA,0.56916426512968,0.7431,0.58105218135158,198.5,209.9,0,0,-21.7,-0.93939393939394,-100,-4.3290043290043,NA,0.734172787688,-0.33055108225108,9.0865800865801,1139.6965,23.1,-0.038467153652393,-0.075900664568031,6.5,3.41,0,737214,285.7,2,104.95,285.7,NA,0.734172787688
"7",2005-12-29,21,NA,NA,0,115.1,129.2,0,1,0.0047573739295909,NA,0.0077399380804954,NA,NA,63.69696969697,0,0,0,0,0,0,0.02514,209.2,1.8334794040316,NA,NA,NA,NA,NA,210.2,0,NA,NA,0.29152032112393,0.6278,0,114.1,210.2,0,0,3.3,NA,-14.1,NA,0,1.8262380538662,NA,NA,NA,NA,0,0.028670721112077,0.2,10.07,0,221261,NA,NA,NA,NA,NA,1.8262380538662
