"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2002-12-31,58.3,1.03,0.2755,0.55859553123575,4947.4,237.1,65.2,0.018763669851502,0.0087961901164281,129,0.8225,257.84931506849,307,0.018583647665091,34.98,151.5,94.8708,458.5,0.37379,3409.6,22.505610561056,7.4364231188659,0.4599921751683,0.25,0.01,164.7708,3474.8,0.58026438129118,0.94,33.734042553192,-0.0051,0.21663516068053,0.07,NA,0.080951610947164,2926.9,1882.3,0.84603941985868,0.45829975825947,7.3,0.00098484950690069,330.7,0.044615031771515,4.7917808219178,1.4957883026065,10.31397260274,0.020439000040473,0.25394277079989,-69.9,-0.73679139364408,7412.3,0.032413411800882,0.0058010171646535,940.2,31.71,1592.5,1187553,7694.6,-2,NA,7694.6,1.15,1.1649185144692
"2",2001-12-31,NA,1.15,0.3255,0.5207,4934,340.8,56.7,0.017174011812812,0.0076392444288755,-2.6407,0.6182,49.439628482972,296,0.0219,34.9721,514.5794,248.7374,810.5794,0.51662,3244.8,6.3057324098089,4.0030625007248,0.43717496160168,0.12,NA,206.5781,3301.5,0.59383867044994,0.73,36.13698630137,-0.0611,0.32865457035262,0.059,0.8547,0.082752330766113,3105.4849,1596.9,0.9918592272528,0.47975162804786,32.3,0.0043518094365552,362.453,0.048833634232438,1.0827278637771,1.0955680570801,4.1199690402477,0.033512622992105,0.21515184177198,42.1593,0.16949321506087,NA,0.0800961519317,0.022159714599341,917,26.38,1583.9,352100,7422.2,0,NA,7368.1,1.2,1.0631189995482
"3",2000-12-31,NA,1.2,0.3392,0.34281624619789,5266.9,305,62.8,0.015933020423697,0.0080443721418781,17.4327,1.061320754717,16.402730375427,297.7,0.017883895131086,34.38,655.7628,357.7252,953.4628,0.45449,3878.7,5.914791140943,4.0680139801993,0.49684245583921,0.105,NA,279.6325,3941.5,0.54544418918149,NA,27.232,0.1193,0.16941067856593,0.0509,0.793,NA,3610.2,1922.4,0.9966708281315,0.49916631929971,117.2,0.015012745462231,593.4,0.07601163103488,0.29334470989761,1.0941377347752,156.21647976597,0.04582284,0.24625001601189,78.0926,0.21830340058376,NA,0.099087353893967,0.066704610130905,956.3208,34.04,1916,NA,7806.7,61.5,31.258536585366,7530.3,NA,1.0731010073509
"4",1999-12-31,NA,1.2,0.3519,0.55606413994169,5138.4,227.6,66.9,0.01764147460577,NA,NA,0.51150895140665,12.927983539095,289,0.018239694413497,34.38,703.5,412.7857,701.7857,0.41324,3725.3,5.2953802416489,5.3083159322463,0.48583687628785,0.41,NA,419.7255,3792.2,0.55497820333178,NA,NA,0.1121,0.33777858969675,0.039,0.8446,NA,3454.5,1884.9,1.0118839195713,0.50295343072623,NA,0.018753749445734,NA,0.069055009259501,0.2358024691358,1.2378669468707,0.31531667168523,0.091747306919847,0.24582018310337,NA,-0.14874547725325,NA,0.11949215805471,0.094437512313653,871.2,NA,NA,NA,NA,143.8,13.107788595271,7667.8,NA,1.0769012324644
