"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,11,1.28,0.5073,0,45.5,331.3,6.1,45.5,0.2259,0.8333,0.1373,-5.1,0.63,3.2,0,0,-3,-2.88,0,0,155.9,NA,2.43,NA,485.67,2.86,NA,-0.68,201.4,0.0254,NA,NA,NA,0.5494,NA,0.3853,0.0447,0,201.4,0,0,-44,-0.8059,-29,-0.5311,4.43,-0.0527,3.69,-2.2,NA,54.6,NA,-0.967,69.6,18.03,0,35017,64.2,-7.5,64.2,1.2,NA
"2",2010-12-31,10.8,0.5,0.7307,0.49703557312253,101.8,282.8,7,68.8,0.43379571248424,0.3696937130575,0.24328147100424,-46.076,0.42767209525113,5.3,0,0,1.2,1.2,6.5,0,89.8,0.67215568862275,0.95940170940171,74.833333333333,13.815384615385,0.48253627082214,NA,45.576,158.6,0.041018387553041,NA,NA,-0.1309,0.34137686302342,NA,0.3161,0.17362093352192,133.6,58,1.7344827586207,0.63430012610341,-10.6,-0.056958624395486,92.7,0.49811929070392,0.56974459724951,0.0064481461579796,0.31166039763568,-44.376,-36.980028658427,186.1,0.0089820359281437,-0.1041257367387,127.1,5.59,100.6,17989,93.6,-36.8,93.6,1.25,0.78359683794466
"3",2009-12-31,10.9,NA,NA,0.39368104312939,120.9,291.8,3.9,86.1,0.50676868746321,0.39714022140221,0.29506511309116,-5.9566,NA,11.5,0,0,-2.3,-2.3,9.2,0,83.8,0.7396293027361,0.43018480492813,NA,9.1086956521739,0.38653136531365,NA,11.2566,169.9,0.042152159013023,NA,NA,-0.1851,0.2382762991128,NA,0.363,0.23920493488691,113.3,91.4,0.85886214442013,0.46203649205415,-11.7,-0.053966789667897,58.7,0.27075645756458,0.75599669148056,-0.010608856088561,0.42158671586716,-13.5566,NA,216.8,-0.020300088261253,-0.096774193548387,132.8,9.45,78.5,27199,194.8,-10.7,194.8,1.4,0.85205616850552
"4",2008-12-31,9.4,NA,NA,0.35557629491367,138.1,284.1,4.1,73.6,0.41232492997199,0.32195975503062,0.25906370996128,-3.8937,NA,18,0,0,-78.3733,-78.3733,-60.3733,0,104.9,0.7455579246624,0.48318747121142,NA,NA,0.4588801399825,NA,-60.5796,178.5,0.060190073917635,NA,NA,-0.3457,0.66602931803697,NA,0.4115,0.26011967617036,140.7,102.3,0.74486803519062,0.42689075630252,-202.3,-0.88495188101487,77.4,0.33858267716535,0.74076755973932,-0.34284015748031,0.44750656167979,-17.7937,NA,228.6,-0.55702388059702,-1.4648805213613,191.1,9.15,76.2,68327,217.1,-10.5,217.1,NA,0.83294447036864
"5",2007-12-31,9.3,NA,NA,0.31699554423934,214.6,443.6,9.4,45.9,0.37902559867878,0.13250577367205,0.10347159603246,NA,NA,28.3,0,0,-73.0895,-73.0895,-44.7895,0,75.2,0.28028326500186,NA,NA,NA,0.21709006928406,NA,NA,121.1,0.048467087466186,NA,NA,NA,0.77316293929712,NA,0.4533,0.56199278629396,268.3,21.5,4.6325581395349,0.822460776218,-560.2,-1.6172055427252,37.3,0.10767898383372,0.10018639328984,-0.2109974595843,0.062066974595843,NA,NA,346.4,-0.27241714498696,-2.6104380242311,301.8,2.6,99.6,142886,NA,NA,NA,NA,0.38542329726289
"6",2001-12-31,NA,NA,NA,-0.085,NA,27.9,0.2,3.4,0.009764503159104,0.053125,NA,-0.3437,NA,7.9,0,0,-19.8901,-19.8901,-11.9901,0,344.8,NA,NA,NA,NA,5.3875,0.3,-11.8464,348.2,0.07168458781362,0.1,145.1,1.0234,0.41550522648084,0,0.6096,0.1326164874552,8.311,323.3,0.0030931023816888,0.0028719126938541,-28.9,-0.4515625,-0.699,-0.010921875,NA,-0.3107828125,5.0515625,-8.0437,NA,NA,-2.3932258452653,NA,78.1,14.51,1,162600,64,-3.9,95.5,0.95,41.896282035856
"7",2000-12-31,NA,NA,NA,0.056179775280899,NA,38,7.3,7.7,0.074684772065955,0.25,NA,0,NA,3.2,0,0,-62.84432,-62.8443,-59.6443,0,95.4,NA,NA,NA,NA,3.0974025974026,NA,-66.9443,103.1,0.076315789473684,NA,27.9,NA,0.59525094441446,NA,0.2486,NA,17.5,101.6,0.014763779527559,0.01454898157129,-66,-2.1428571428571,1,0.032467532467532,4.2869198312236,-2.0404,3.2987012987013,4.1,NA,NA,-3.591104,-2.7848101265823,87.5059,5.58,1.5,NA,30.8,-42.9,54.9,NA,4.0912698412698
"8",1999-12-31,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,71.9,NA,NA,NA,NA,NA,NA,0,71.9,NA,NA,NA,0,0.84364163118388,NA,0.3028,NA,0,71.9,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA
