"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-06-30,24.6,1.38,0.3136,0.3166,1164.4,2392.9,18.3,15.7,0.0088,0.0042,0.0066,0.35,0.8,7.4,56,0,0,300,182.88,356,0.39,0.3925,1763.5,1.04,0.47,5.88,4.96,0.47,0.165,0.145,220.24,1779.2,0.0282,NA,0.12,0.165,0.209,0.044,NA,0.636,1688.2,1239.7,0.4352,0.3032,167.5,0.0444,192.6,0.051,0,1.06,0.45,0.0794,0.33,-37.35,-0.2042,3774.5,0.1083,0.1439,819.8,55.03,539.5,285430,3781.3,161.1,7.7,3781.3,0.85,1.04
"2",2011-06-30,30.4,0.62,0.2317,0.23838325094504,1309.6,2320.1,14.4,164.8,0.086536441923965,0.046061825702946,0.071031421059437,4.7375,0.8,10.364077669903,56.1,0,0,251.4,159.8678,307.5,0.36409,0.36837494524748,1739.6,1.1189296970477,0.47423804590808,6.9196499602227,5.6572357723577,0.48622058248085,0.175,0.105,196.8302,1904.4,0.027067798801776,NA,0.08,0.1308,0.17837837837838,0.044,NA,0.59238825912676,1554.7,1494.5,0.27427233188357,0.21523839529511,144.2,0.040304097490078,187.5,0.052406506791883,0,1.1411881490531,0.59223300970874,0.070266644306557,0.4177147968025,-36.9625,-0.23120639551792,3577.8,0.10282869621149,0.11010995723885,741.7,55.92,409.9,371072,3668.2,157.6,9.4828680203046,3668.2,0.8,1.1075312590869
"3",2010-06-30,30.2,0.6,0.2585,0.31166392865525,1173.2,2244.8,22.5,254.5,0.11964084242196,0.080816741291162,0.11337312900927,6.1968,0.72533849129594,14.985915492958,53,0,0,194.8,124.0506,247.8,0.36319,0.36757719714964,1872.7,1.2916063176771,0.57735232457763,9.6134496919918,7.5573042776433,0.5946778444635,0.135,0.065,148.3538,2127.2,0.026149322879544,NA,0.075,0.1429,0.14993093188822,0.044,0.9974,0.5658410548824,1449.9,1596,0.3328320802005,0.24971793907484,106.5,0.033819186434219,206.5,0.065574291067289,0,1.3603818615752,1.1100678142932,0.06185894382522,0.50681146994379,-24.3032,-0.19591385970812,3149.1,0.08555803020898,0.090777361063757,693.7,53.4,531.2,271111,3243.6,111.3,14.339622641509,3243.6,0.75,1.2480638347806
"4",2009-06-30,30,0.52,0.2865,0.39094978232878,993.3,2007.5,12.4,208.5,0.098437278693168,0.076368031646033,0.10386052303861,6.4498,0.41884816753927,15.502617801047,46.6,0,0,184.1,108.6448,230.7,0.40986,NA,1909.6,1.3425196850394,0.67838999609222,10.372623574144,8.2774165583008,0.69943593875906,0.13,0.075,136.395,2118.1,0.015392278953923,NA,0.115,0.1371,0.19112383679313,0.035,NA,0.58859277708593,1422.4,1480.5,0.4306653157717,0.30102450309239,95.5,0.034979122408615,207.9,0.076148267526189,0,1.4904862579281,1.192509061619,0.067430957439016,0.5422679657168,-27.7502,-0.2554217816361,2730.2,0.076381309055118,0.096144165911608,627.6,48.85,637.6,325340,2814.9,98.4,15.045731707317,2814.9,0.75,1.2987307621559
"5",2001-06-30,NA,0.75,0.4902,0.18953488372093,NA,284.7,8.7,14.8,0.01558222783744,0.026250443419652,NA,55.0036,0.45899632802938,43.3125,14.1,0,0,51.47494,31.4007,65.5749,0.38998,NA,935,NA,NA,18.164178530368,14.258495699729,1.6583894998226,0.1875,NA,2.3784,949.8,0.055145767474535,27.153333333333,NA,0.513,0.59085714285714,NA,0.8014,NA,194.3,900.9,0.054279054279054,0.051484523057486,20.8,0.036892515076268,67.1,0.11901383469315,0,5.623595505618,231,0.055694826,1.5979070592409,29.0223,0.92425520292735,NA,0.16160958774473,0.12983770287141,168.2943,40.73,48.9,NA,563.8,23.1,39,584.1,NA,4.5423242467719
"6",2000-06-30,NA,0.9,0.3924,0.18296892980437,NA,236,8.1,4.9,0.016007840574976,NA,NA,NA,0.34403669724771,15.585227272727,12,0,0,44.2,26.9642,38.9642,0.38995,NA,301.2,NA,NA,6.8144796380091,7.7301708413952,0.60664652567976,NA,NA,30.0703,306.1,0.063559322033898,11.792452830189,NA,-0.1882,0.28723404255319,NA,0.5327,NA,168.9,274.3,0.11593146190303,0.10388761842535,NA,0.036656596173212,NA,0.13071500503525,0,1.9316901408451,NA,0.089023162134945,0.55246727089627,NA,-0.1446361677201,NA,0.1596460035524,0.12816901408451,157.9,NA,NA,NA,NA,18.2,15.071428571429,496.5,NA,1.7612197928654
