"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-09-30,17.7,1.18,0.4201,0.0714,149.5,208.6,8.1,0,0,0,0,0,0.7,138.8,9.8,0.0102,2.12,4,2.33,13,0.3338,0.3478,219.7,1.36,0.6,62.77,16.52,0.6,4.03,219.7,0.4204,0.54,23.11,-0.315,-0.005,0.2122,0.7466,0,161,208.2,0.0552,0.0523,1.5,0.0041,79,0.2175,1.416,1.39,0.0096,0.57,-1.7,-0.729,363.3,0.0145,0.01,18.9,12.48,11.5,56395,363.3,1.5,138.8,363.3,1.25,1.36
"2",2011-09-30,17.6,NA,NA,0.087277197295636,148.5,216.5,7.9,0,0,0,0,0,NA,25.082191780822,9.6,0.0115,2.1056,12.1,7.4058,21.7,0.38795,0.38655462184874,197.3,1.2126613398894,0.58563371920451,16.305785123967,9.0921658986175,0.58563371920451,9.1058,197.3,0.41339491916859,0.65,16.907692307692,NA,0.5896,0.26359832635983,0.7419,0,162.7,183.1,0.077553249590388,0.071971616827167,7.3,0.021668150786584,76.5,0.22707034728406,0.28844520547945,1.2329966329966,0.035915701988721,0.54348471356486,-1.7,-0.22954965732962,336.9,0.045518162261832,0.049158249158249,19.6,10.99,14.2,66279,336.9,7.3,25.082191780822,336.9,1.2,1.2126613398894
"3",2010-09-30,17.6,NA,NA,0,147.9,182.5,1.5,45.9,0.20958904109589,0.21691871455577,0.25150684931507,0,NA,75.51724137931,7,0.0096,2.1024,4.3,2.9826,11.3,0.30637,0.30952380952381,173.1,1.6970588235294,0.81805293005671,40.255813953488,15.318584070797,0.81805293005671,8.4826,219,0.32164383561644,0.3,41.633333333333,-0.16,-0.0969,0.27621722846442,0.7277,0,102,219,0,0,2.9,0.013705103969754,46,0.21739130434783,0.72496551724138,1.4807302231237,0.020321361058601,1.0349716446125,-5.5,-1.8440231354495,211.6,0.029241264705882,0.019607843137255,16,12.49,0,92365,211.6,2.9,75.51724137931,211.6,1.3,1.4807302231237
"4",2009-09-30,17.3,NA,NA,0,147.1,182.1,2.4,35.1,0.15676641357749,0.15247610773241,0.19275123558484,0,NA,NA,7.4,0.0093,2.0823,-6.4,-6.4,1,0,NA,188.8,1.6857142857143,0.82015638575152,NA,188.8,0.82015638575152,-1.4,223.9,0.35255354200988,0.79,16.455696202532,0.12,-0.3406,0.48232735182164,0.7211,0,112,223.9,0,0,-20.9,-0.090790616854909,47.1,0.20460469157255,NA,1.5220938137322,-0.027801911381408,0.97263249348393,-5,NA,230.2,-0.057142857142857,-0.14208021753909,17.2,13,0,147878,230.2,-20.9,NA,230.2,1.35,1.5220938137322
"5",2008-09-30,17.5,1.29,0.6423,0,169.9,228.2,9.5,26.5,0.14270328486807,0.074879909578977,0.11612620508326,0,0.34874669157714,4.2494279176201,7.3,0.011308562197092,2.1,68.1,43.665,75.4,0.35881,NA,159.2,1.1101813110181,0.44984458886691,2.337738619677,2.1114058355438,0.44984458886691,41.465,185.7,0.30280455740578,0.38,29.71052631579,NA,0.2422,0.48472580051527,0.9099,0,143.4,185.7,0,0,43.7,0.12348120938118,71,0.20062164453235,0.048054919908467,1.0929958799294,0.19242723933315,0.52472449844589,2.2,0.050383557426801,353.9,0.30449817991632,0.25721012360212,18.6,11.29,0,181921,353.9,43.7,4.2494279176201,353.9,1.4,1.0929958799294
"6",2007-09-30,18.3,1.29,0.6423,0,143.9,173.5,17,8.7,0.039707895937928,0.029214237743452,0.05014409221902,0,0.22419430172816,9.0164609053498,5.7,0.010022820629849,2.196,38.5,24.4128,44.2,0.3659,NA,210.4,1.5562130177515,0.70651443922095,5.4649350649351,4.7601809954751,0.70651443922095,13.1128,219.1,0.38674351585014,1.26,8.1190476190476,NA,-0.1007,0.39558779087338,0.9038,0,135.2,219.1,0,0,24.3,0.081598388179987,61.9,0.20785762256548,0.09037037037037,1.5225851285615,0.12928139691068,0.73572867696441,11.3,0.46287098802475,297.8,0.18056841715976,0.16886726893676,17.6,10.23,0,202797,297.8,24.3,9.0164609053498,297.8,0.9,1.5225851285615
"7",2006-09-30,18.2,1.29,0.6423,0,122.4,166.6,19,10.7,0.033024691358025,0.03247344461305,0.06422569027611,0,0.22419430172816,9.4186046511628,4.6,0.0067407407407407,2.184,53.9,34.3726,58.5,0.36229,NA,313.3,2.8048343777977,0.95083459787557,5.8126159554731,5.3555555555556,0.95083459787557,19.9726,324,0.3313325330132,NA,NA,0.71,-0.0125,0.57583716349311,0.7828,0,111.7,324,0,0,34.4,0.10440060698027,46.2,0.1402124430956,0.063488372093023,2.6470588235294,0.16358118361153,0.98330804248862,14.4,0.41893871825525,329.5,0.30772219337511,0.28104575163399,17,17.79,0,127739,329.5,34.4,9.4186046511628,329.5,0.9,2.6470588235294
"8",2005-09-30,9.4,1.29,0.6423,0.10927456382002,NA,138.3,6.6,1.4,0.0085209981740718,0.0040520984081042,0.010122921185828,0,0.40168145726296,6.2716049382716,5.2,0,0,42.1335,26.9157,47.3335,0.36118,NA,162.9,1.5153488372093,0.47149059334298,3.8662821745167,3.441537177686,0.47149059334298,25.5157,164.3,0.36080983369487,NA,NA,0.36,0.0049,0.42837078651685,0.3595,0,107.5,152.4,0.078083989501312,0.072428484479611,24.3,0.070332850940666,52.7,0.15253256150507,0,1.5711340206186,0.1219493487699,0.4410998552822,1.4,0.052014208482066,345.5,0.25037881367442,0.25051546391753,16.3,16.57,11.9,12466,345.5,24.3,6.2716049382716,345.5,0.8,1.5087235996327
"9",2004-09-30,8.5,1.29,0.6423,0.69192913385827,NA,132.9,1,0.3,0.0011881188118812,0.00090225563909774,NA,24.8066,0.40168145726296,27.194029850746,7.1,0,0,17.0104,17.0104,24.1104,0,NA,252.2,2.4896347482725,0.7584962406015,14.826206525177,10.460207661252,1.1890617633192,-1.6962,252.5,0.38224228743416,NA,NA,NA,-0.155,0.95098039215686,0.131,0,101.3,182.2,0.38583973655324,0.27841584158416,6.7,0.031588873173032,43.7,0.20603488920321,0,5.8210862619808,0.0802,0.85902876001886,18.7066,1.0997142139974,212.1,0.16792122408687,0.21405750798722,11.3,17.22,70.3,154479,332.5,36.8,4.9510869565217,332.5,0.65,2.4852362204724
"10",2003-09-30,8.5,1.29,0.6423,0.75954592363261,NA,136.4,0.5,0.3,0.0037878787878788,0.001195219123506,NA,-65.5,0.4405,3.5,8.4,0,0,12.5,12.5,20.9,0,NA,78.9,NA,NA,6.312,3.7751196172249,0.31434262948207,20.4,79.2,0.40615835777126,NA,NA,NA,-0.1626,NA,0.1474,0,96.6,5.6,13.142857142857,0.92929292929293,1.6,0.0063745019920319,35.7,0.14223107569721,0,0.24034334763949,0.049800796812749,0.022310756972112,-7.9,-0.632,251,0.12939958592132,0.068669527896996,11.6,0.66,73.6,13831,251,1.6,3.5,251,NA,0.8167701863354
