"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-06-30,24.5,3.09,0.9806,0.7946,2.3,26.3,1.8,9.9,0.0837,0.2281,0.3764,0,0.79,NA,0.8,0,0,-57,-56.61,-56,0,NA,108.4,83.38,2.5,NA,NA,2.5,NA,-57.61,118.3,0.0875,NA,0.03,0.2889,NA,NA,0.1863,1.3,109.4,0.0814,0.0752,-4.9,-0.1129,-6.4,-0.1475,NA,47.57,-1.3044,2.52,1,NA,43.4,-43.548,-2.1304,33.1,4.5,8.9,36879,43.4,-4.9,43.4,0.65,10.56
"2",2011-06-30,24.1,1.08,1.0266,0.625,6,28.2,0.7,13.1,0.075071633237822,0.29705215419501,0.4645390070922,0.805,0.1704656146503,19.352941176471,0.6,0,0,9.7,9.4817,10.3,0.02251,0.022988505747126,161.4,55.655172413793,5.3979933110368,16.639175257732,15.669902912621,3.6598639455782,NA,8.5767,174.5,0.035460992907801,NA,0.3565,0.78363123236124,NA,NA,0.17375886524823,2.9,164.5,0.060790273556231,0.05730659025788,8.5,0.19274376417234,-2.5,-0.056689342403628,0,27.416666666667,0.21995464852608,3.7301587301587,0.905,0.095446296350596,44.1,3.2695355172414,1.4166666666667,23.5,6.91,10,37798,29.9,-0.1,29.9,0.7,10.90625
"3",2010-06-30,22.1,0.21,1.0505,NA,-4.2,15.3,0.5,5.7,0.14214463840399,0.19063545150502,0.37254901960784,0,0.14278914802475,NA,0.6,0,0,1.3,0.52,1.9,0.6,NA,34.4,NA,1.1505016722408,26.461538461538,18.105263157895,1.1505016722408,NA,0.62,40.1,0.058823529411765,NA,-0.0968,0.55555555555556,NA,NA,0.3202614379085,-0.8,31,0.29354838709677,0.22693266832918,-0.1,-0.0033444816053512,-6.5,-0.21739130434783,NA,NA,0.043478260869565,1.0367892976589,-0.1,-0.19230769230769,29.9,NA,NA,18.9,1.35,9.1,13708,29.9,-0.1,29.9,0.6,NA
"4",2009-06-30,22.2,-0.37,0.9772,NA,-4.1,18.6,0.3,7.5,0.22865853658537,0.22590361445783,0.40322580645161,NA,0.098239869013508,9.7727272727273,0.7,0,0,3.2,3.2,3.9,0,NA,25.3,NA,NA,7.90625,6.4871794871795,0.76204819277108,NA,NA,32.8,0.053763440860215,NA,-0.2386,0.7887323943662,NA,NA,0.26344086021505,-0.3,21.5,0.52558139534884,0.34451219512195,2.2,0.066265060240964,-6.1,-0.18373493975904,0,NA,0.096385542168675,0.64759036144578,NA,NA,33.2,NA,NA,19.2,1.04,11.3,11525,NA,NA,NA,0.6,NA
"5",2008-06-30,15.3,0.71,1.0697,NA,-13.3,13.9,0.5,3.8,0.18446601941748,0.12624584717608,0.27338129496403,NA,0.074787323548658,NA,0.8,0,0,-2.6602,-2.6602,-1.8602,0,NA,16.8,NA,NA,NA,NA,0.55813953488372,NA,NA,20.6,0.086330935251799,NA,0.3385,0.73913043478261,NA,NA,0.35251798561151,-0.3,3.8,4.4210526315789,0.81553398058252,-4.1,-0.13621262458472,-6.4,-0.21262458471761,NA,NA,-0.088378073089701,0.12624584717608,NA,NA,30.1,NA,NA,21.1,0.29,16.8,7195,NA,NA,NA,0.5,NA
"6",2007-06-30,15.3,3.96,0.8458,NA,-2.2,16.1,0.8,6.9,0.38121546961326,0.30530973451327,0.42857142857143,0,0.17025301489714,NA,0.4,0,0,0.1,0.1,0.5,0,NA,11.2,8.6153846153846,0.49557522123894,112,22.4,0.49557522123894,NA,-0.3,18.1,0.074534161490683,NA,0.1029,NA,NA,NA,0.30434782608696,1.3,7.7,1.3506493506493,0.57458563535912,-1.1,-0.048672566371681,-4.9,-0.21681415929204,NA,NA,0.004424778761062,0.34070796460177,0.4,4,22.6,0.076923076923077,NA,15.3,0.6,10.4,1000,22.6,-1.1,22.6,0.9,2.2073170731707
"7",2006-06-30,15.3,4.28,1.1171,NA,-2.2,16.1,0.8,6.9,0.22622950819672,0.30530973451327,0.42857142857143,0,0.15038940112792,NA,0.4,0,0,0.1,0.1,0.5,0,NA,23.6,18.153846153846,1.0442477876106,236,47.2,1.0442477876106,NA,-0.3,30.5,0.074534161490683,NA,0.1029,NA,NA,NA,0.30434782608696,1.3,20.1,0.51741293532338,0.34098360655738,-1.1,-0.048672566371681,-4.9,-0.21681415929204,NA,NA,0.004424778761062,0.88938053097345,0.4,4,22.6,0.076923076923077,NA,15.3,1.31,10.4,9084,22.6,-1.1,22.6,1.05,3.719512195122
"8",2005-06-30,15.3,5.65,4.5974,NA,NA,15.9,0.6,4.5,0.21028037383178,0.22058823529412,0.28301886792453,0,0.245791099317,NA,0.3,0,0,-0.6835,-0.6835,-0.3835,0,NA,16.9,5.1212121212121,0.82843137254902,NA,NA,0.82843137254902,NA,-0.9835,21.4,0.044025157232704,NA,-0.7481,NA,NA,0,0.30817610062893,3.3,12.2,0.75409836065574,0.42990654205607,-0.8,-0.03921568627451,-2.1,-0.10294117647059,NA,NA,-0.033505882352941,0.59803921568627,0.3,-0.43890449438202,20.4,-0.20712727272727,NA,14.5,0.72,9.2,2130,20.4,-0.8,20.4,1.45,NA
"9",2004-06-30,3.7,6.63,4.6347,NA,NA,15.2,0.2,5.2,0.48148148148148,0.26530612244898,NA,0,0.28610266036637,NA,2.3,0,0,-2.1168,-2.1168,0.1832,0,NA,5.6,0.048192771084337,0.28571428571429,NA,30.56768558952,0.28571428571429,NA,-0.0168,10.8,0.032894736842105,NA,-0.1191,NA,NA,0,0.32236842105263,116.2,3.7,1.9189189189189,0.65740740740741,-4.9,-0.25,-2.6,-0.13265306122449,NA,NA,-0.108,0.18877551020408,-2.1,0.99206349206349,19.6,-0.01821686746988,NA,14.7,1.04,7.1,1277,19.6,-4.9,19.6,1.3,NA
"10",2003-06-30,3.7,6.54,4.6057,NA,NA,19,0.1,4.4,0.38938053097345,0.19909502262443,NA,-1.3,0.3123,NA,6.1,0,0,-10.8736,-10.8736,-4.7736,0,NA,6.9,NA,NA,NA,NA,0.31221719457014,NA,-4.8736,11.3,0.063157894736842,NA,-0.2747,NA,NA,NA,0.32105263157895,3.4,7.6,0.48684210526316,0.32743362831858,-11.5,-0.52036199095023,-2.8,-0.12669683257919,NA,NA,-0.49201809954751,0.34389140271493,-6,NA,22.1,-3.1981176470588,NA,20.3,2.02,3.7,52039,21,-7.2,21,1.35,2.0294117647059
