"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Reinvestment Rate","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing Net Income","Trailing PE Ratio","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-07,18.4,1.21,0.3111,0.3801,178.9,1270.2,0,19.8,0.0702,0.0156,0.8,32.53,0,0.0299,5.15,40,30.42,40,0.2434,0.2535,262.3,0.98,6.52,6.52,0.11,30.42,282.1,0,0.69,14.1,-0.41,0.0886,0.5961,0.0175,268.8,172.4,0.6363,0.3889,5.3,0,0.6207,0.96,2.96,0,0,0.1132,0.0296,6.5,9.73,109.7,24815,8.3,20.77,0.95,0.98
"2",2010-12-07,18.4,0.98,0.3384,0.30396119644301,172.2,1210.2,0,25.7,0.10866807610994,0.02123615931251,0.66489361702128,31.627450980392,0,0.0229,3.6938,41.1,26.7758,41.1,0.34852,0.34615384615385,210.8,0.95083446098331,5.1289537712895,5.1289537712895,0.1067,26.7758,236.5,0,0.31,28.548387096774,-0.19,0.2700296735905,0.611,0.018591968269707,221.7,161.3,0.46621202727836,0.31797040169133,5.1,0,0.72426862745098,0.93670150987224,2.9641472334013,0,0,0.1207750473613,0.029616724738676,9.3,8.85,75.2,36052,7.4,21.797297297297,0.9,0.95594179466451
"3",2009-12-07,18.4,0.41,0.3444,0.45475485357025,165.7,1199.1,0,16.7,0.061897702001483,0.013927112000667,0.65331010452962,NA,0,0.0039,0.5132,44.7,44.7,44.7,0,NA,253.1,0.88126740947075,5.662192393736,5.662192393736,0.12,44.7,269.8,0,NA,NA,-0.07,0.21578178275694,0.6,0.018930864815278,287.2,131.6,1.0501519756839,0.51223128243143,-4.9,0,NA,0.7942063971032,NA,0,0,0.15564066852368,-0.029571514785757,9.6,10.06,138.2,35137,3.9,33.74358974359,0.9,0.88779203685423
"4",2008-12-07,12.1,0.22,0.2946,0.55117806102742,116.2,1090.8,0,20.2,0.066909572706194,0.018518518518519,0.4887983706721,12.341085271318,0,0,0,42,26.6679,42,0.36505,NA,281.7,1.180142438207,6.7071428571429,6.7071428571429,0.12,NA,301.9,0,NA,NA,0.275,0.2936170212766,0.208,0.020993766043271,238.7,159.2,0.8963567839196,0.47267307055316,12.9,0,0,1.3700516351119,1.0284237726098,NA,NA,0.11172140762463,0.11101549053356,10.1,11.44,142.7,42928,-1.1,NA,0.9,1.1660872923909
"5",2007-12-07,11.9,NA,NA,0.56861958266453,107.5,949.3,0,23.8,0.074166406980368,0.025071105024755,NA,13.891472868217,0,0,0,38.9,24.2316,38.9,0.37708,NA,297.1,1.3181011535049,7.6375321336761,7.6375321336761,0.12,NA,320.9,0,1.02,14.078431372549,NA,0.29761439186547,0.2504,0.024333719582851,225.4,179.2,0.79073660714286,0.44157058273605,12.9,0,0,1.666976744186,1.1576227390181,NA,NA,0.10750482697427,0.12,18.6,14.36,141.7,4323,15.5,11.561290322581,0.65,1.28772070626
"6",2006-12-07,10.6,NA,NA,0.49041533546326,95.7,885.4,0,32.3,0.13475177304965,0.036480686695279,NA,11.903225806452,0,0,0,35.6,22.4387,35.6,0.3697,NA,207.4,1.3337620578778,5.8258426966292,5.8258426966292,0.12,NA,239.7,0,1.12,9.3035714285714,NA,0.22443044110519,0.1581,0.026654619381071,155.5,147.6,0.6239837398374,0.38423028785982,12.4,0,0,1.5423197492163,0.99193548387097,NA,NA,0.14430019292605,0.12957157784744,15.9,10.42,92.1,22485,12.7,11.622047244094,0.5,1.276357827476
