"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,29.9,0.84,0.2294,0.9544,42.3,1194.1,42.6,105.7,0.07,0.2824,0.0885,-2.29,0.8,23.71,88.7,0.074,46.35,65,42.06,154,0.3549,0.3684,1404.9,1.71,3.21,21.55,9.13,3.75,0.035,0.06,90.45,1510.6,0.278,0.51,31.2,0.025,0.2113,0.4209,0.4947,821.3,625.9,1.4135,0.5857,26.4,0.0705,-13.6,-0.0363,3.7679,14.8,6.77,0.1742,1.67,-48.39,-1.1504,374.3,0.0512,0.6241,81.1,15.91,884.7,191272,437.2,12.3,50.89,437.2,0.85,1.63
"2",2010-12-31,29.8,0.81,0.2707,0.92955525181369,67,1209.5,41.8,67.7,0.046532407725617,0.17657798643714,0.055973542786275,0.1638,0.8,20.385714285714,87.1,0.0812,46.349,65.9,42.18,153,0.35994,0.37219730941704,1387.2,1.5702965813901,3.7061180870959,21.050075872534,9.0666666666667,3.6181533646322,0.115,0.01,87.3162,1454.9,0.29441918147995,0.85,22.411764705882,-0.0611,0.088339222614841,0.4393,0.5067383216205,883.4,570.8,1.5488787666433,0.60767063028387,28,0.073030777256129,-6.9,-0.017996870109546,1.65532,8.5194029850746,1.7726708074534,0.17188315075639,1.4887845592071,-45.1362,-1.0700871907542,383.4,0.047747287751868,0.41791044776119,88,19.05,884.1,157694,374.3,26,21.953846153846,374.3,0.9,1.529702449795
"3",2009-12-31,29.6,1.09,0.3725,0.92197318810222,74.5,1223,42.4,42.8,0.029755283648498,0.10536681437715,0.034995911692559,0.7228,0.63758389261745,22.413654618474,85.2,0.0819,45.7084,70.7,47.8321,155.9,0.32345,0.34986945169713,1395.6,1.5302631578947,3.5738796414853,19.739745403112,8.9518922386145,3.4357459379616,0.17,0.01,89.9093,1438.4,0.30842191332788,1.02,18.921568627451,-0.0332,0.098282174035483,0.4374,0.52011447260834,912,558.1,1.5773158932091,0.61199944382647,24.9,0.061299852289513,-18.7,-0.04603643525357,1.835678313253,7.4912751677852,1.3184502716749,0.1740521910389,1.3739537173806,-42.0772,-0.87968626010175,406.2,0.052447461622807,0.33422818791946,104.8,19.3,880.3,133997,390.5,28.1,19.861209964413,390.5,0.95,1.5064935064935
"4",2008-12-31,29.5,1.26,0.4024,0.92631136339746,70.1,1241.6,48,15.5,0.011207519884309,0.037045889101338,0.012483891752577,0.1772,0.37773359840954,94.679245283019,97.7,0.0915,45.9147,68.4,30.2492,166.1,0.55776,NA,1367.5,1.4613165206241,3.3508943886302,19.992690058479,8.2329921733895,3.2684034416826,0.165,0.04,79.772,1383,0.32240657216495,0.82,21.317073170732,0.2688,0.38039215686275,0.4532,0.53084729381443,935.8,501.8,1.7560781187724,0.63716558206797,5.3,0.012667304015296,-7.2,-0.017208413001912,8.6631509433962,7.1583452211127,5.7381360777587,0.16347992351816,1.1993307839388,-49.5228,-1.6371582439056,418.4,0.032324445394315,0.075606276747504,108.8,17.48,881.2,159611,408.1,15,33.453333333333,408.1,0.95,1.4538000630716
"5",2007-12-31,29.4,1.33,0.353,0.85171755725191,155.4,1304.6,33.5,34.3,0.028172484599589,0.10419198055893,0.026291583627165,4.0341,0.45325779036827,28.5,65.7,0.14025854108957,45.57,66.6,47.262,132.3,0.29036,NA,1183.2,1.167209233501,2.9535696455317,17.765765765766,8.9433106575964,3.5941676792224,0.4,0.06,75.4279,1217.5,0.31549900352598,0.61,19.475409836066,-0.0934,0.46992344148742,0.4681,0.52667484286371,1013.7,324.9,2.7473068636503,0.73314168377823,11.4,0.034629404617254,-18.6,-0.056500607533414,3.9973684210526,2.0907335907336,0.7125,0.20230862697448,0.98693803159174,-28.1659,-0.59595113027987,329.2,0.046623284995561,0.073359073359073,89.7,11.88,892.6,154516,400.6,7.6,42.75,400.6,1,1.1617366412214
"6",2006-12-31,26,NA,NA,0.83779971791255,115,889.6,33.4,26.7,0.025023430178069,0.083229426433915,0.030013489208633,0.2877,NA,22.961165048544,67.4,0.085200845665962,40.3,60.6,50.0453,128,0.17417,NA,1040.3,1.524695881577,3.1920834611844,17.166666666667,8.12734375,3.2428304239402,NA,NA,83.7575,1067,0.35341726618705,0.71,25.183098591549,0.1428,0.20938536087733,0.5287,0.49527877697842,682.3,473,1.2558139534884,0.55670103092783,20.6,0.064214463840399,-18.1,-0.05642144638404,1.9563106796117,4.1130434782609,NA,0.18890274314215,1.4744389027431,-33.7123,-0.67363472635214,320.8,0.073347937857247,0.17913043478261,94.7,17.88,594,287043,325.9,19.6,24.132653061224,325.9,0.75,1.5049365303244
"7",2005-12-31,29.8,NA,NA,0.73587907716786,199.2,946,31.1,31.4,0.028555838486722,0.097697573117611,0.033192389006342,-0.0754,NA,NA,67.4,0.084814542783695,46.19,54.1,27.05,121.5,0.6,NA,1068.2,1.4778638627559,3.3360399750156,19.744916820702,8.7917695473251,3.3235843186061,NA,NA,63.4254,1099.6,0.35422832980973,NA,NA,NA,0.25577211394303,0.4853,0.49080338266385,722.8,544.6,1.0190965846493,0.50472899236086,-4.5,-0.014001244555072,-20.2,-0.062850031113877,NA,2.7339357429719,NA,0.16832607342875,1.6944617299316,-36.3754,-1.3447475060014,321.4,0.037423907028224,-0.022590361445783,98.8,20.9,555,111224,320.2,11.6,46.948275862069,320.2,NA,1.4579687085654
"8",2004-12-31,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0.14190687361419,0,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,12.99,0,107250,NA,0,NA,0,0,NA
