"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-09-30,25.9,1.46,0.3454,0,270.9,293.1,4,118.6,0.4917,0.6222,0.4046,0,0.8,31.74,7.8,0,0,12,8.53,20,0.3012,0.3028,122.6,0.8,0.64,10.05,6.13,0.64,NA,12.33,241.2,0.0519,0.38,24.92,-0.115,0.055,0.2155,NA,0.8889,0.3303,152.3,241.2,0,0,7.6,0.0399,36.7,0.1925,0,0.89,0.064,1.27,-3.8,-0.4457,190.6,0.056,0.0281,88.2,9.47,0,120549,190.6,7.6,31.74,190.6,0.95,0.89
"2",2011-09-30,25.6,1.05,0.3631,0,260.7,283.9,2.7,106.2,0.36036647438073,0.52007835455436,0.37407537865446,0,0.65408978242908,26.790909090909,9.2,0,0,17.2,11.476,26.4,0.33279,0.33333333333333,188.5,1.2200647249191,0.92311459353575,10.959302325581,7.1401515151515,0.92311459353575,NA,17.976,294.7,0.054244452271927,0.54,20.666666666667,-0.09,0.0945,0.24716369529984,NA,0.8697,0.35364564987672,154.5,294.7,0,0,11,0.05386875612145,36.5,0.17874632713026,0,1.1304181051016,0.084231145935357,1.4431929480901,-6.5,-0.56639885005349,204.2,0.074278394822007,0.042194092827004,89.4,11.16,0,115585,204.2,10.9,27.036697247706,204.2,0.95,1.1304181051016
"3",2010-09-30,25.1,0.73,0.4339,0,240.6,267,3,87.6,0.3082336382829,0.48,0.32808988764045,0,0.51855266190366,31.932584269663,10.1,0,0,9.5,8.0749,19.6,0.15001,0.15238095238095,196.6,1.2849673202614,1.0772602739726,20.694736842105,10.030612244898,1.0772602739726,NA,15.1749,284.2,0.061423220973783,0.45,24.666666666667,-0.065,0.0834,0.25650178480367,NA,0.7736,0.39737827715356,153,284.2,0,0,8.9,0.048767123287671,34.6,0.18958904109589,0,1.1812136325852,0.052054794520548,1.5572602739726,-7.1,-0.87926731026557,182.5,0.052777156862745,0.036990856192851,82.7,11.1,0,75107,182.5,8.9,31.932584269663,182.5,0.9,1.1812136325852
"4",2009-09-30,24.7,0.48,0.4002,0,229.6,259,3.9,70.8,0.31949458483755,0.42676311030741,0.27335907335907,0,0.37981009495252,41.811320754717,10.1,0,0,5,4.2938,15.1,0.14125,NA,150.8,0.94962216624685,0.90898131404461,30.16,9.9867549668874,0.90898131404461,NA,10.4937,221.6,0.064478764478764,0.29,31.448275862069,0.515,-0.0789,0.26911850554583,NA,0.7618,0.43783783783784,158.8,221.6,0,0,5.3,0.031946955997589,35.3,0.21277878239904,0,0.96515679442509,0.030138637733574,1.335744424352,-6.2,-1.4439592430859,165.9,0.027038727959698,0.02308362369338,76.2,9.12,0,134950,165.9,5.4,41.037037037037,165.9,0.95,0.96515679442509
"5",2008-09-30,25.4,0.63,0.3813,0.0017219113215669,231.9,271.4,4.4,73.5,0.3828125,0.39708265802269,0.27081798084009,0,0.48255966430632,15.451612903226,9.3,0,0,16,10.255,25.3,0.35906,NA,118.5,0.74622166246851,0.64019448946515,7.40625,4.6837944664032,0.64019448946515,NA,15.155,192,0.06005895357406,0.56,14.482142857143,NA,0.185,0.39728427507665,NA,0.798,0.44436256448047,158.8,191.6,0.0020876826722338,0.0020833333333333,12.4,0.066990815775257,39,0.21069692058347,0,0.82621819749892,0.086439762290654,1.0351161534306,-4.9,-0.47781383592848,185.1,0.064578337531486,0.053471323846486,81.9,8.11,0.4,113224,185.1,12.4,15.451612903226,185.1,1.15,0.82651743435213
"6",2007-09-30,28.2,1.83,0.3066,0.0035762181493071,222.9,251.8,2.9,85.5,0.20493767976989,0.4933641084824,0.3395552025417,0,0.62622309197652,21.030303030303,7,0,0,20.3,16.9192,27.3,0.16654,NA,331.7,2.4001447178003,1.9140219272937,16.339901477832,12.150183150183,1.9140219272937,NA,21.0192,417.2,0.079428117553614,0.78,16.884615384615,NA,0.0651,0.20599512025096,NA,0.8024,0.36139793486894,138.2,416.4,0.0019212295869356,0.0019175455417066,19.8,0.11425274091171,30.5,0.17599538372764,0,1.8681022880215,0.11713791113676,2.402769763416,-4.1,-0.24232769820958,173.3,0.12242574529667,0.088829071332436,71,13.17,0.8,177923,173.3,19.8,21.030303030303,173.3,1.2,1.8649977648637
"7",2006-09-30,25,2.82,0.3401,0.0056439199589533,193.8,225.3,1.3,58.9,0.16969173148948,0.40704906703525,0.26142920550377,0,0.61158482799177,31.171171171171,10.2,0,0,13.2,9.6084,23.4,0.27209,NA,288.2,2.1191176470588,1.9917069799585,21.833333333333,12.316239316239,1.9917069799585,NA,18.5084,347.1,0.086551264980027,0.59,23.372881355932,NA,0.0458,0.17838277123121,NA,0.7566,0.43142476697736,136,346,0.0031791907514451,0.0031691155286661,11.1,0.076710435383552,24.8,0.17138908085694,0,1.7853457172343,0.091223220456116,2.3911541119558,-8.9,-0.92627168776693,144.7,0.070650088235294,0.057275541795666,64.3,13.79,1.1,88210,144.7,11.1,31.171171171171,144.7,1.3,1.7809132888661
"8",2005-09-30,22.7,2.62,0.5248,0.010315925209542,NA,177.6,1.3,50.2,0.20718118035493,0.40095846645367,0.28265765765766,0,0.9984756097561,13.598870056497,8.9,0,0,16.9288,16.6295,25.8288,0.01768,NA,192.1,1.8312678741659,1.5343450479233,11.347552921773,7.4374457000646,1.5343450479233,NA,24.2295,242.3,0.11711711711712,0.6,17.483333333333,0.555,0.0835,0.29086892488954,NA,0.7198,0.36599099099099,104.9,240.7,0.0066472787702534,0.0066033842344201,17.7,0.14137380191693,20.2,0.16134185303514,0,1.5680781758958,0.13521373801917,1.9225239616613,-7.6,-0.45702026511428,125.2,0.15852678287131,0.11530944625407,58.7,10.49,1.6,85157,125.2,17.7,13.598870056497,125.2,1.2,1.56221792392
"9",2004-09-30,21.8,2.53,0.5669,0,NA,150.5,1.3,79.2,0.21347708894879,0.71223021582734,NA,0,0.89257364614571,42.643678160919,8.6,0,0,20.3718,14.5251,28.9718,0.287,NA,291.8,6.0918580375783,2.6241007194245,14.323693883321,10.071849078277,2.6241007194245,NA,21.8251,371,0.12358803986711,0.54,30.685185185185,NA,0.0028,0.36025589764094,NA,0.6875,0.13421926910299,47.9,371,0,0,8.7,0.078237410071942,3,0.026978417266187,0,2.918961447679,0.1832,3.3363309352518,-7.3,-0.50257753705657,111.2,0.30323845344468,0.068450039339103,56,16.57,0,87255,111.2,8.7,42.643678160919,111.2,1,2.918961447679
"10",2003-09-30,20.2,2.33,0.6781,0.018535681186284,NA,132.5,1.7,57.6,0.2967542503864,0.5597667638484,NA,0,0.7553,32.016666666667,10.3,0,0,5.1,5.1,15.4,0,NA,136.5,NA,NA,26.764705882353,8.8636363636364,1.3265306122449,NA,13.7,194.1,0.15018867924528,0.33,27.575757575758,NA,0.1131,0.59016393442623,NA,0.3974,0.17811320754717,50.3,192.1,0.010411244143675,0.010303967027306,6,0.058309037900875,2.1,0.020408163265306,0,1.8139754485363,0.049562682215743,1.8668610301263,-8.6,-1.6862745098039,102.9,0.1013916500994,0.056657223796034,56.2,9.1,2,109094,102.9,6.6,29.106060606061,102.9,0.9,2.713717693837
